Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2025-03-06,30.4,40.0,28.16,34.400002,34.400002,189575,0.0,0.0
2025-03-07,35.759998,38.672001,34.104,35.200001,35.200001,21413,0.0,0.0
2025-03-10,34.880001,35.639999,33.52,34.599998,34.599998,15463,0.0,0.0
2025-03-11,35.040001,35.639999,30.559999,33.040001,33.040001,7575,0.0,0.0
2025-03-12,32.880001,34.624001,30.4,34.0,34.0,118238,0.0,0.0
2025-03-13,33.759998,36.639999,32.0,34.959999,34.959999,290100,0.0,0.0
2025-03-14,34.400002,39.096001,33.200001,38.84,38.84,420438,0.0,0.0
2025-03-17,39.119999,44.32,34.799999,42.16,42.16,277963,0.0,0.0
2025-03-18,42.16,45.360001,40.48,44.799999,44.799999,127550,0.0,0.0
2025-03-19,44.16,46.799999,44.080002,46.720001,46.720001,214025,0.0,0.0
2025-03-20,47.720001,48.439999,45.200001,46.240002,46.240002,107063,0.0,0.0
2025-03-21,46.720001,53.52,45.200001,50.32,50.32,277863,0.0,0.0
2025-03-24,49.200001,49.599998,40.0,41.919998,41.919998,49713,0.0,0.0
2025-03-25,41.84,45.759998,39.200001,44.080002,44.080002,36725,0.0,0.0
2025-03-26,44.080002,50.560001,41.68,48.560001,48.560001,336863,0.0,0.0
2025-03-27,48.560001,49.68,46.0,47.599998,47.599998,65700,0.0,0.0
2025-03-28,47.68,54.023998,46.32,52.880001,52.880001,37300,0.0,0.0
2025-03-31,53.279999,55.68,50.080002,52.880001,52.880001,37575,0.0,0.0
2025-04-01,49.68,53.759998,9.04,10.16,10.16,595188,0.0,0.0
2025-04-02,7.08,7.6,5.6,5.96,5.96,385700,0.0,0.0
2025-04-03,5.68,8.16,5.44,5.92,5.92,430250,0.0,0.0
2025-04-04,5.88,5.944,5.208,5.704,5.704,96250,0.0,0.0
2025-04-07,5.2,5.584,4.896,5.488,5.488,91813,0.0,0.0
2025-04-08,6.16,6.48,4.976,5.176,5.176,142788,0.0,0.0
2025-04-09,4.984,5.84,4.984,5.84,5.84,66050,0.0,0.0
2025-04-10,5.52,5.808,4.16,4.96,4.96,83825,0.0,0.0
2025-04-11,4.72,5.04,4.496,4.888,4.888,54000,0.0,0.0
2025-04-14,5.04,5.44,4.88,5.384,5.384,30325,0.0,0.0
2025-04-15,5.592,5.592,5.36,5.512,5.512,24925,0.0,0.0
2025-04-16,5.416,6.68,5.296,5.592,5.592,82200,0.0,0.0
2025-04-17,5.424,5.68,5.04,5.344,5.344,20750,0.0,0.0
2025-04-21,5.128,5.4,4.488,4.632,4.632,82413,0.0,0.0
2025-04-22,4.648,5.168,4.584,4.72,4.72,14238,0.0,0.0
2025-04-23,4.712,5.08,4.648,5.08,5.08,14500,0.0,0.0
2025-04-24,5.096,5.184,4.712,4.984,4.984,21038,0.0,0.0
2025-04-25,5.168,5.336,4.296,4.832,4.832,55788,0.0,0.0
2025-04-28,4.704,4.808,4.36,4.368,4.368,34313,0.0,0.0
2025-04-29,4.56,4.936,4.408,4.864,4.864,44175,0.0,0.0
2025-04-30,4.912,4.912,4.4,4.48,4.48,13375,0.0,0.0
2025-05-01,4.48,4.496,4.24,4.344,4.344,8725,0.0,0.0
2025-05-02,4.72,5.2,4.6,5.032,5.032,81900,0.0,0.0
2025-05-05,4.872,5.2,4.264,4.936,4.936,55463,0.0,0.0
2025-05-06,4.592,5.08,4.264,4.616,4.616,28425,0.0,0.0
2025-05-07,4.496,4.784,4.44,4.568,4.568,21813,0.0,0.0
2025-05-08,4.496,4.88,4.48,4.696,4.696,22975,0.0,0.0
2025-05-09,4.56,4.792,4.328,4.56,4.56,24550,0.0,0.0
2025-05-12,4.656,4.792,4.44,4.712,4.712,9088,0.0,0.0
2025-05-13,4.664,4.744,4.448,4.56,4.56,11088,0.0,0.0
2025-05-14,4.512,5.944,4.48,5.12,5.12,129338,0.0,0.0
2025-05-15,4.992,5.52,4.72,4.88,4.88,22288,0.0,0.0
2025-05-16,4.88,5.0,4.76,4.952,4.952,9888,0.0,0.0
2025-05-19,4.84,5.16,4.68,4.792,4.792,16038,0.0,0.0
2025-05-20,4.88,4.96,4.552,4.872,4.872,12650,0.0,0.0
2025-05-21,4.728,4.88,4.504,4.64,4.64,13175,0.0,0.0
2025-05-22,4.584,4.832,4.4,4.72,4.72,14450,0.0,0.0
2025-05-23,4.576,4.64,4.248,4.4,4.4,23200,0.0,0.0
2025-05-27,4.56,4.96,4.32,4.88,4.88,42238,0.0,0.0
2025-05-28,4.736,4.848,4.32,4.512,4.512,13538,0.0,0.0
2025-05-29,4.792,4.792,4.52,4.68,4.68,4138,0.0,0.0
2025-05-30,4.632,4.696,4.48,4.608,4.608,7775,0.0,0.0
2025-06-02,4.48,4.664,4.4,4.64,4.64,17225,0.0,0.0
2025-06-03,4.52,4.784,4.448,4.576,4.576,6688,0.0,0.0
2025-06-04,4.56,4.8,4.56,4.76,4.76,10888,0.0,0.0
2025-06-05,4.8,10.4,4.8,7.2,7.2,8306438,0.0,0.0
2025-06-06,6.104,6.256,5.256,5.608,5.608,134900,0.0,0.0
2025-06-09,5.576,6.36,5.248,6.12,6.12,86113,0.0,0.0
2025-06-10,6.192,6.192,5.552,5.992,5.992,28350,0.0,0.0
