Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2024-10-22,4.0,4.96,3.52,4.11,4.11,1637900,0.0,0.0
2024-10-23,4.2,4.45,3.9,4.03,4.03,330500,0.0,0.0
2024-10-24,3.75,4.006,3.75,3.76,3.76,93000,0.0,0.0
2024-10-25,3.85,4.182,3.85,4.12,4.12,74500,0.0,0.0
2024-10-28,4.18,4.89,4.03,4.39,4.39,486900,0.0,0.0
2024-10-29,4.49,4.49,4.2,4.4,4.4,67100,0.0,0.0
2024-10-30,4.26,4.64,4.23,4.5,4.5,70500,0.0,0.0
2024-10-31,4.48,4.735,4.43,4.55,4.55,95600,0.0,0.0
2024-11-01,4.69,4.806,4.55,4.64,4.64,31200,0.0,0.0
2024-11-04,4.87,4.9,4.5,4.5,4.5,56600,0.0,0.0
2024-11-05,4.41,4.55,4.13,4.24,4.24,144600,0.0,0.0
2024-11-06,4.25,4.4,3.9,4.16,4.16,111100,0.0,0.0
2024-11-07,4.14,4.4,4.01,4.28,4.28,52800,0.0,0.0
2024-11-08,4.22,4.39,4.2,4.21,4.21,38200,0.0,0.0
2024-11-11,4.26,4.6,4.23,4.45,4.45,17200,0.0,0.0
2024-11-12,4.76,4.76,4.416,4.42,4.42,14000,0.0,0.0
2024-11-13,4.661,4.661,4.435,4.52,4.52,7700,0.0,0.0
2024-11-14,4.526,4.68,4.457,4.5,4.5,6100,0.0,0.0
2024-11-15,4.74,4.8,4.4,4.4,4.4,16100,0.0,0.0
2024-11-18,4.67,4.73,4.05,4.19,4.19,112500,0.0,0.0
2024-11-19,4.12,4.43,4.0,4.36,4.36,106700,0.0,0.0
2024-11-20,4.5,4.56,3.8,4.0,4.0,94300,0.0,0.0
2024-11-21,4.01,4.35,4.0,4.15,4.15,238300,0.0,0.0
2024-11-22,4.1,4.275,4.0,4.0,4.0,167500,0.0,0.0
2024-11-25,4.0,4.37,4.0,4.01,4.01,48700,0.0,0.0
2024-11-26,4.15,4.285,4.05,4.09,4.09,65800,0.0,0.0
2024-11-27,4.23,4.275,4.13,4.16,4.16,83400,0.0,0.0
2024-11-29,4.29,4.49,3.921,4.14,4.14,91500,0.0,0.0
2024-12-02,4.36,4.365,4.1,4.13,4.13,80100,0.0,0.0
2024-12-03,4.195,4.78,4.13,4.55,4.55,107500,0.0,0.0
2024-12-04,4.645,9.89,3.6,5.11,5.11,1255300,0.0,0.0
2024-12-05,4.38,5.725,4.34,5.12,5.12,235600,0.0,0.0
2024-12-06,5.2,5.75,4.68,5.01,5.01,225000,0.0,0.0
2024-12-09,4.99,5.4,4.81,5.0,5.0,122900,0.0,0.0
2024-12-10,4.79,5.2,4.79,5.07,5.07,76500,0.0,0.0
2024-12-11,5.015,5.17,4.801,5.0,5.0,38100,0.0,0.0
2024-12-12,4.99,5.3,4.7,5.144,5.144,105000,0.0,0.0
2024-12-13,5.2,5.4,4.85,5.14,5.14,68600,0.0,0.0
2024-12-16,5.18,5.18,4.6,4.78,4.78,110100,0.0,0.0
2024-12-17,4.67,4.83,4.32,4.718,4.718,132400,0.0,0.0
2024-12-18,4.6,4.8,4.52,4.601,4.601,81800,0.0,0.0
2024-12-19,4.65,5.0,4.4,4.5,4.5,100600,0.0,0.0
2024-12-20,4.54,4.763,4.39,4.5,4.5,126800,0.0,0.0
2024-12-23,4.55,4.59,4.31,4.31,4.31,45900,0.0,0.0
2024-12-24,4.5,5.0,4.41,4.81,4.81,97100,0.0,0.0
2024-12-26,4.81,5.16,4.585,5.08,5.08,111500,0.0,0.0
2024-12-27,5.16,5.5,4.81,4.894,4.894,51700,0.0,0.0
2024-12-30,4.75,5.06,4.66,4.73,4.73,43400,0.0,0.0
2024-12-31,4.74,4.925,4.74,4.74,4.74,10600,0.0,0.0
2025-01-02,4.72,4.85,4.6,4.7,4.7,17800,0.0,0.0
2025-01-03,4.95,5.5,4.41,4.56,4.56,99200,0.0,0.0
2025-01-06,4.6,5.0,4.455,4.65,4.65,83700,0.0,0.0
2025-01-07,4.74,4.74,4.3,4.48,4.48,18400,0.0,0.0
2025-01-08,4.7,4.7,4.1,4.359,4.359,89600,0.0,0.0
2025-01-10,4.4,4.4,4.1,4.1,4.1,17200,0.0,0.0
2025-01-13,4.3,4.48,4.1,4.4,4.4,12500,0.0,0.0
2025-01-14,4.4,4.7,4.35,4.55,4.55,65400,0.0,0.0
2025-01-15,4.58,4.8,4.56,4.69,4.69,40600,0.0,0.0
2025-01-16,4.65,4.7,4.31,4.52,4.52,75800,0.0,0.0
2025-01-17,4.6,4.7,4.48,4.51,4.51,9100,0.0,0.0
2025-01-21,4.58,4.64,4.4,4.58,4.58,26200,0.0,0.0
2025-01-22,4.58,4.8,4.33,4.56,4.56,34400,0.0,0.0
2025-01-23,4.79,4.79,4.295,4.395,4.395,37500,0.0,0.0
2025-01-24,4.5,4.5,4.3,4.38,4.38,41200,0.0,0.0
2025-01-27,4.3,4.331,4.05,4.1,4.1,33900,0.0,0.0
2025-01-28,4.161,4.5,4.13,4.26,4.26,26800,0.0,0.0
2025-01-29,4.386,4.56,4.38,4.389,4.389,23300,0.0,0.0
2025-01-30,4.3,4.41,4.296,4.36,4.36,24800,0.0,0.0
2025-01-31,4.35,4.54,4.29,4.29,4.29,11200,0.0,0.0
2025-02-03,4.27,4.36,4.15,4.15,4.15,5600,0.0,0.0
2025-02-04,4.2,4.35,4.15,4.16,4.16,5200,0.0,0.0
2025-02-05,4.2,4.38,4.15,4.15,4.15,3500,0.0,0.0
2025-02-06,4.21,4.42,3.92,3.92,3.92,5500,0.0,0.0
2025-02-07,3.96,4.08,3.95,4.07,4.07,8000,0.0,0.0
2025-02-10,4.13,4.13,4.005,4.005,4.005,4600,0.0,0.0
2025-02-11,3.97,4.16,3.92,3.95,3.95,9900,0.0,0.0
