Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1989-06-02,2.864198,2.91358,2.864198,2.888889,1.777745,1590131,0.0,0.0
1989-06-05,2.888889,2.888889,2.864198,2.864198,1.762552,438413,0.0,0.0
1989-06-06,2.864198,2.888889,2.864198,2.864198,1.762552,547256,0.0,0.0
1989-06-07,2.864198,2.888889,2.864198,2.888889,1.777745,177188,0.0,0.0
1989-06-08,2.888889,2.91358,2.888889,2.888889,1.777745,743681,0.0,0.0
1989-06-09,2.888889,2.938272,2.888889,2.91358,1.79294,414113,0.0,0.0
1989-06-12,2.91358,2.938272,2.888889,2.888889,1.777745,939600,0.0,0.0
1989-06-13,2.888889,2.888889,2.839506,2.839506,1.747356,492075,0.0,0.0
1989-06-14,2.839506,2.839506,2.814815,2.814815,1.732162,136181,0.0,0.0
1989-06-15,2.814815,2.839506,2.790123,2.790123,1.716967,118463,0.0,0.0
1989-06-16,2.790123,2.814815,2.790123,2.814815,1.732162,99731,0.0,0.0
1989-06-19,2.814815,2.888889,2.814815,2.864198,1.762552,309319,0.0,0.0
1989-06-20,2.864198,2.888889,2.839506,2.864198,1.762552,205538,0.0,0.0
1989-06-21,2.864198,2.888889,2.864198,2.888889,1.777745,198450,0.0,0.0
1989-06-22,2.888889,2.888889,2.839506,2.888889,1.777745,218700,0.0,0.0
1989-06-23,2.888889,2.888889,2.864198,2.864198,1.762552,118463,0.0,0.0
1989-06-26,2.864198,2.888889,2.864198,2.864198,1.762552,213131,0.0,0.0
1989-06-27,2.864198,2.888889,2.864198,2.888889,1.777745,322988,0.0,0.0
1989-06-28,2.888889,2.888889,2.839506,2.839506,1.747356,146813,0.0,0.0
1989-06-29,2.839506,2.839506,2.839506,2.839506,1.747356,139219,0.0,0.0
1989-06-30,2.814815,2.839506,2.740741,2.814815,1.732162,215156,0.0,0.0
1989-07-03,2.839506,2.839506,2.839506,2.839506,1.747356,17213,0.0,0.0
1989-07-05,2.864198,2.864198,2.814815,2.864198,1.762552,157950,0.0,0.0
1989-07-06,2.864198,2.864198,2.790123,2.790123,1.716967,17719,0.0,0.0
1989-07-07,2.790123,2.839506,2.765432,2.839506,1.747356,31894,0.0,0.0
1989-07-10,2.864198,2.91358,2.839506,2.91358,1.79294,401963,0.0,0.0
1989-07-11,2.938272,2.938272,2.888889,2.888889,1.777745,125550,0.0,0.0
1989-07-12,2.91358,2.91358,2.888889,2.888889,1.777745,59738,0.0,0.0
1989-07-13,2.91358,2.91358,2.888889,2.888889,1.777745,60244,0.0,0.0
1989-07-14,2.888889,2.888889,2.864198,2.888889,1.777745,132638,0.0,0.0
1989-07-17,2.888889,2.91358,2.888889,2.91358,1.79294,128081,0.0,0.0
1989-07-18,2.888889,2.91358,2.888889,2.91358,1.79294,63281,0.0,0.0
1989-07-19,2.962963,2.962963,2.91358,2.962963,1.823329,117450,0.0,0.0
1989-07-20,2.962963,2.962963,2.938272,2.962963,1.823329,127069,0.0,0.0
1989-07-21,2.987654,3.012346,2.962963,2.962963,1.823329,54675,0.0,0.0
1989-07-24,3.012346,3.111111,3.012346,3.111111,1.914495,165544,0.0,0.0
1989-07-25,3.08642,3.08642,3.037037,3.061728,1.884106,97200,0.0,0.0
1989-07-26,3.061728,3.135802,3.061728,3.111111,1.914495,62775,0.0,0.0
1989-07-27,3.135802,3.160494,3.135802,3.135802,1.92969,207563,0.0,0.0
1989-07-28,3.160494,3.160494,3.111111,3.135802,1.92969,131119,0.0,0.0
1989-07-31,3.209877,3.259259,3.185185,3.185185,1.960078,432338,0.0,0.0
1989-08-01,3.209877,3.209877,3.185185,3.209877,1.975273,321975,0.0,0.0
1989-08-02,3.209877,3.209877,3.160494,3.209877,1.975273,156431,0.0,0.0
1989-08-03,3.185185,3.209877,3.160494,3.209877,1.975273,107831,0.0,0.0
1989-08-04,3.185185,3.209877,3.160494,3.160494,1.944884,70369,0.0,0.0
1989-08-07,3.160494,3.209877,3.160494,3.209877,1.975273,248569,0.0,0.0
1989-08-08,3.234568,3.234568,3.160494,3.185185,1.960078,147825,0.0,0.0
1989-08-09,3.209877,3.209877,3.160494,3.160494,1.944884,45056,0.0,0.0
1989-08-10,3.160494,3.185185,3.160494,3.160494,1.944884,37463,0.0,0.0
1989-08-11,3.185185,3.185185,3.111111,3.135802,1.92969,42019,0.0,0.0
1989-08-14,3.160494,3.160494,3.111111,3.111111,1.914495,57206,0.0,0.0
1989-08-15,3.111111,3.160494,3.111111,3.135802,1.92969,100238,0.0,0.0
1989-08-16,3.111111,3.160494,3.111111,3.160494,1.944884,34931,0.0,0.0
1989-08-17,3.111111,3.160494,3.111111,3.160494,1.944884,75431,0.0,0.0
1989-08-18,3.135802,3.160494,3.111111,3.111111,1.914495,64800,0.0,0.0
1989-08-21,3.135802,3.135802,3.08642,3.08642,1.899299,87075,0.0,0.0
1989-08-22,3.08642,3.111111,3.08642,3.08642,1.899299,35438,0.0,0.0
1989-08-23,3.111111,3.111111,3.08642,3.111111,1.914495,83025,0.0,0.0
1989-08-24,3.08642,3.135802,3.08642,3.111111,1.914495,134663,0.0,0.0
1989-08-25,3.111111,3.135802,3.111111,3.111111,1.914495,23288,0.0,0.0
1989-08-28,3.135802,3.135802,3.08642,3.08642,1.899299,127575,0.0,0.0
1989-08-29,3.061728,3.061728,3.037037,3.037037,1.868912,66825,0.0,0.0
1989-08-30,3.037037,3.08642,3.037037,3.037037,1.868912,103781,0.0,0.0
1989-08-31,3.061728,3.061728,3.037037,3.037037,1.868912,24300,0.0,0.0
1989-09-01,3.037037,3.061728,3.012346,3.061728,1.884106,92644,0.0,0.0
1989-09-05,3.08642,3.08642,3.08642,3.08642,1.899299,47081,0.0,0.0
1989-09-06,3.08642,3.111111,3.061728,3.08642,1.899299,46575,0.0,0.0
1989-09-07,3.111111,3.135802,3.111111,3.135802,1.92969,287550,0.0,0.0
1989-09-08,3.135802,3.135802,3.135802,3.135802,1.92969,125550,0.0,0.0
1989-09-11,3.135802,3.160494,3.135802,3.160494,1.944884,5569,0.0,0.0
1989-09-12,3.160494,3.160494,3.135802,3.160494,1.944884,15694,0.0,0.0
1989-09-13,3.185185,3.185185,3.135802,3.135802,1.92969,55181,0.0,0.0
1989-09-14,3.160494,3.160494,3.135802,3.135802,1.92969,73406,0.0,0.0
1989-09-15,3.160494,3.160494,3.135802,3.160494,1.944884,247556,0.0,0.0
1989-09-18,3.160494,3.160494,3.135802,3.160494,1.944884,40500,0.0,0.0
1989-09-19,3.160494,3.160494,3.135802,3.135802,1.92969,314888,0.0,0.0
1989-09-20,3.160494,3.185185,3.135802,3.135802,1.92969,153900,0.0,0.0
1989-09-21,3.160494,3.160494,3.135802,3.135802,1.92969,52650,0.0,0.0
1989-09-22,3.135802,3.135802,3.111111,3.135802,1.92969,103781,0.0,0.0
1989-09-25,3.135802,3.135802,3.08642,3.08642,1.899299,110869,0.0,0.0
1989-09-26,3.111111,3.111111,3.061728,3.061728,1.884106,28856,0.0,0.0
1989-09-27,3.061728,3.135802,3.061728,3.135802,1.92969,26325,0.0,0.0
1989-09-28,3.111111,3.160494,3.08642,3.08642,1.899299,170606,0.0,0.0
1989-09-29,3.135802,3.135802,3.08642,3.08642,1.899299,37969,0.0,0.0
1989-10-02,3.111111,3.111111,3.08642,3.111111,1.914495,11138,0.0,0.0
1989-10-03,3.111111,3.160494,3.111111,3.135802,1.92969,124031,0.0,0.0
1989-10-04,3.160494,3.209877,3.135802,3.209877,1.975273,581681,0.0,0.0
1989-10-05,3.160494,3.185185,3.135802,3.135802,1.92969,87581,0.0,0.0
1989-10-06,3.160494,3.185185,3.135802,3.160494,1.944884,161494,0.0,0.0
1989-10-09,3.185185,3.234568,3.185185,3.234568,1.990467,131119,0.0,0.0
