Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2026-07-29,5.18,5.38,4.51,5.13,5.13,4438100,0.0,0.0
2026-07-30,5.61,5.61,5.07,5.07,5.07,201500,0.0,0.0
2026-07-31,5.3,5.47,4.8,5.37,5.37,321000,0.0,0.0
2026-08-03,5.76,6.82,5.3,6.33,6.33,442300,0.0,0.0
2026-08-04,6.72,8.22,6.5,8.22,8.22,206200,0.0,0.0
2026-08-05,8.58,8.58,6.5,6.76,6.76,403700,0.0,0.0
2026-08-06,7.09,8.0,6.3,8.0,8.0,147200,0.0,0.0
2026-08-07,8.08,8.41,6.94,7.68,7.68,108900,0.0,0.0
2026-08-10,7.6,8.0,7.3,7.84,7.84,68500,0.0,0.0
2026-08-11,7.92,8.0,7.57,8.0,8.0,44100,0.0,0.0
2026-08-12,8.0,8.1,7.89,8.0,8.0,57700,0.0,0.0
2026-08-13,8.0,11.1,7.8,10.1,10.1,261200,0.0,0.0
2026-08-14,9.8,10.03,7.56,8.1,8.1,243800,0.0,0.0
2026-08-17,8.26,9.45,8.26,8.5,8.5,63100,0.0,0.0
2026-08-18,7.92,10.31,7.92,9.91,9.91,118900,0.0,0.0
2026-08-19,9.76,10.45,9.01,10.25,10.25,57500,0.0,0.0
2026-08-20,10.35,11.0,9.78,11.0,11.0,57800,0.0,0.0
2026-08-21,11.02,11.2,9.75,10.07,10.07,61400,0.0,0.0
2026-08-24,10.27,10.77,10.24,10.27,10.27,26000,0.0,0.0
2026-08-25,10.37,11.0,10.0,10.5,10.5,185000,0.0,0.0
2026-08-26,10.61,11.84,10.2,11.11,11.11,105500,0.0,0.0
2026-08-27,10.5,11.04,9.8,10.82,10.82,89400,0.0,0.0
2026-08-28,10.3,10.3,8.79,10.3,10.3,53800,0.0,0.0
2026-08-31,9.4,10.3,9.27,9.79,9.79,89300,0.0,0.0
2026-09-01,9.87,9.87,8.58,8.58,8.58,47200,0.0,0.0
2026-09-02,8.92,9.11,6.4,6.51,6.51,245187,0.0,0.0
