Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2016-11-16,9.04,9.9,9.0,9.9,5.658617,2600,0.0,0.0
2016-11-17,9.02,15.79,9.02,15.314,8.753138,7400,0.0,0.0
2016-11-18,14.34,14.34,13.0,13.95,7.973507,700,0.0,0.0
2016-11-21,14.06,14.06,14.06,14.06,8.036379,200,0.0,0.0
2016-11-22,15.46,15.46,15.46,15.46,8.836588,100,0.0,0.0
2016-11-23,16.059999,16.110001,15.89,16.0,9.145241,1100,0.0,0.0
2016-11-25,16.0,16.0,16.0,16.0,9.145241,0,0.0,0.0
2016-11-28,15.484,15.87,15.484,15.87,9.070933,700,0.0,0.0
2016-11-29,15.87,15.87,15.87,15.87,9.070933,0,0.0,0.0
2016-11-30,15.49,15.49,15.0,15.0,8.573664,1500,0.0,0.0
2016-12-01,14.35,16.690001,12.565,12.95,7.401929,382700,0.0,0.0
2016-12-02,12.85,12.9,11.03,11.58,6.618867,329600,0.0,0.0
2016-12-05,11.28,11.28,10.36,10.64,6.081584,325500,0.0,0.0
2016-12-06,10.66,12.27,10.66,12.0,6.85893,216100,0.0,0.0
2016-12-07,12.0,12.93,11.99,12.52,7.15615,194600,0.0,0.0
2016-12-08,12.71,14.45,12.71,13.54,7.73916,351500,0.0,0.0
2016-12-09,13.9,14.44,13.824,14.36,8.207852,192200,0.0,0.0
2016-12-12,14.61,15.0,14.407,14.88,8.505073,224400,0.0,0.0
2016-12-13,14.88,15.0,14.181,14.24,8.139265,229900,0.0,0.0
2016-12-14,14.21,14.53,13.525,13.82,7.899201,182000,0.0,0.0
2016-12-15,13.79,14.17,13.6,13.72,7.842044,197300,0.0,0.0
2016-12-16,13.77,14.21,13.72,14.04,8.024948,494500,0.0,0.0
2016-12-19,13.99,14.26,13.83,13.95,7.973507,105500,0.0,0.0
2016-12-20,13.97,14.07,13.55,13.69,7.824896,94200,0.0,0.0
2016-12-21,13.6,13.79,13.07,13.3,7.601982,121400,0.0,0.0
2016-12-22,13.37,13.37,12.59,13.01,7.436224,84700,0.0,0.0
