Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2026-07-30,9.9,9.9,9.9,9.9,9.9,4800,0.0,0.0
2026-07-31,9.81,9.86,9.81,9.86,9.86,1800,0.0,0.0
2026-08-03,9.94,9.94,9.94,9.94,9.94,100,0.0,0.0
2026-08-04,9.86,9.86,9.86,9.86,9.86,0,0.0,0.0
2026-08-05,9.92,9.92,9.92,9.92,9.92,100,0.0,0.0
2026-08-06,9.92,9.92,9.92,9.92,9.92,0,0.0,0.0
2026-08-07,9.82,9.82,9.82,9.82,9.82,500,0.0,0.0
2026-08-10,9.82,9.82,9.82,9.82,9.82,0,0.0,0.0
2026-08-11,9.82,9.82,9.82,9.82,9.82,0,0.0,0.0
2026-08-12,9.82,9.82,9.82,9.82,9.82,0,0.0,0.0
2026-08-13,9.82,9.82,9.82,9.82,9.82,0,0.0,0.0
2026-08-14,9.82,9.82,9.8,9.8,9.8,3200,0.0,0.0
2026-08-17,9.92,9.93,9.88,9.88,9.88,500,0.0,0.0
2026-08-18,9.88,9.88,9.88,9.88,9.88,0,0.0,0.0
2026-08-19,9.88,9.88,9.88,9.88,9.88,0,0.0,0.0
2026-08-20,9.88,9.88,9.88,9.88,9.88,0,0.0,0.0
2026-08-21,9.9,9.92,9.9,9.91,9.91,1900,0.0,0.0
2026-08-24,9.91,9.91,9.91,9.91,9.91,1600,0.0,0.0
2026-08-25,9.8,9.89,9.8,9.89,9.89,114697,0.0,0.0
