Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains
2026-09-01,0.0,24.809999,24.669701,24.669701,24.669701,522,0.0,0.0,
2026-09-02,25.280001,25.280001,25.190001,25.23,25.23,2100,0.0,0.0,0.0
2026-09-03,25.530001,25.66,25.530001,25.629999,25.629999,1600,0.0,0.0,0.0
2026-09-04,26.98,26.98,25.75,25.83,25.83,7100,0.0,0.0,0.0
2026-09-08,25.629999,25.629999,25.59,25.6,25.6,1500,0.0,0.0,0.0
2026-09-09,25.370001,25.370001,25.32,25.32,25.32,1200,0.0,0.0,0.0
2026-09-10,25.030001,25.030001,24.66,24.66,24.66,1300,0.0,0.0,0.0
2026-09-11,24.93,24.98,24.93,24.98,24.98,2200,0.0,0.0,0.0
2026-09-14,24.860001,24.860001,24.860001,24.860001,24.860001,100,0.0,0.0,0.0
2026-09-15,24.57,24.57,24.57,24.57,24.57,100,0.0,0.0,0.0
2026-09-16,24.74,24.74,24.74,24.74,24.74,100,0.0,0.0,0.0
2026-09-17,25.0609,25.0609,25.0609,25.0609,25.0609,9,0.0,0.0,0.0
