Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2024-09-05,3.76,4.48,3.57,3.78,3.78,2242800,0.0,0.0
2024-09-06,4.2,4.2,3.521,3.9,3.9,596400,0.0,0.0
2024-09-09,3.65,3.99,3.36,3.54,3.54,167900,0.0,0.0
2024-09-10,3.41,3.672,3.41,3.59,3.59,67000,0.0,0.0
2024-09-11,3.63,3.97,3.33,3.35,3.35,72200,0.0,0.0
2024-09-12,3.32,3.96,3.32,3.88,3.88,264600,0.0,0.0
2024-09-13,3.94,4.399,3.8,4.1,4.1,174700,0.0,0.0
2024-09-16,4.05,4.56,3.942,4.49,4.49,321700,0.0,0.0
2024-09-17,4.45,4.5,4.01,4.03,4.03,88100,0.0,0.0
2024-09-18,4.21,4.33,4.04,4.319,4.319,84600,0.0,0.0
2024-09-19,4.24,4.319,4.08,4.25,4.25,94900,0.0,0.0
2024-09-20,4.24,4.322,4.145,4.22,4.22,123800,0.0,0.0
2024-09-23,4.325,4.75,4.02,4.34,4.34,1137800,0.0,0.0
2024-09-24,4.155,4.48,4.11,4.42,4.42,140900,0.0,0.0
2024-09-25,4.48,5.51,4.4,5.45,5.45,382300,0.0,0.0
2024-09-26,5.87,6.26,4.65,4.99,4.99,578300,0.0,0.0
2024-09-27,5.11,5.11,4.7,4.83,4.83,28900,0.0,0.0
2024-09-30,4.73,5.75,4.69,5.61,5.61,210900,0.0,0.0
2024-10-01,5.86,6.139,5.19,5.4,5.4,227200,0.0,0.0
2024-10-02,5.73,6.45,5.4,6.44,6.44,373700,0.0,0.0
2024-10-03,6.4,6.45,5.8,5.92,5.92,178000,0.0,0.0
2024-10-04,6.0,6.04,5.13,5.79,5.79,341800,0.0,0.0
2024-10-07,5.645,6.0,5.5,5.7,5.7,115800,0.0,0.0
2024-10-08,5.56,5.6,4.81,4.91,4.91,169500,0.0,0.0
2024-10-09,5.04,5.45,4.632,4.8,4.8,462300,0.0,0.0
2024-10-10,4.98,5.12,4.82,5.03,5.03,140900,0.0,0.0
2024-10-11,4.95,5.6,4.84,5.38,5.38,184100,0.0,0.0
2024-10-14,5.5,5.5,5.066,5.2,5.2,127600,0.0,0.0
2024-10-15,5.32,5.84,5.0,5.43,5.43,343800,0.0,0.0
2024-10-16,5.27,5.57,4.88,4.99,4.99,168100,0.0,0.0
2024-10-17,4.74,4.98,4.112,4.54,4.54,491500,0.0,0.0
2024-10-18,4.38,4.68,4.242,4.52,4.52,123300,0.0,0.0
2024-10-21,4.39,5.15,4.308,4.88,4.88,187700,0.0,0.0
2024-10-22,4.89,5.0,4.5,4.97,4.97,110400,0.0,0.0
2024-10-23,4.74,4.95,4.4,4.5,4.5,82900,0.0,0.0
2024-10-24,4.8,4.83,4.3,4.48,4.48,128400,0.0,0.0
2024-10-25,4.41,4.74,4.3,4.55,4.55,103700,0.0,0.0
2024-10-28,4.68,4.68,4.44,4.61,4.61,118900,0.0,0.0
2024-10-29,4.28,4.57,4.01,4.1,4.1,133200,0.0,0.0
2024-10-30,4.3,4.37,4.005,4.22,4.22,119200,0.0,0.0
2024-10-31,4.36,4.36,3.72,4.0,4.0,207900,0.0,0.0
2024-11-01,3.94,4.31,3.55,3.86,3.86,114900,0.0,0.0
2024-11-04,3.99,3.99,3.52,3.81,3.81,120300,0.0,0.0
2024-11-05,3.535,4.16,3.535,4.16,4.16,122000,0.0,0.0
2024-11-06,4.3,4.44,3.832,4.29,4.29,295800,0.0,0.0
2024-11-07,4.31,4.67,4.06,4.59,4.59,151900,0.0,0.0
2024-11-08,4.45,4.58,4.21,4.31,4.31,155000,0.0,0.0
2024-11-11,4.25,4.588,4.01,4.03,4.03,182900,0.0,0.0
2024-11-12,4.1,4.35,4.0,4.35,4.35,222400,0.0,0.0
2024-11-13,4.38,4.42,4.14,4.22,4.22,149600,0.0,0.0
2024-11-14,4.32,4.4,4.05,4.16,4.16,149200,0.0,0.0
2024-11-15,4.03,4.4,4.0,4.35,4.35,142600,0.0,0.0
2024-11-18,4.36,4.8,4.2,4.64,4.64,142300,0.0,0.0
2024-11-19,4.58,4.7,4.275,4.55,4.55,143400,0.0,0.0
2024-11-20,4.55,5.1,4.55,4.98,4.98,74500,0.0,0.0
2024-11-21,5.05,5.05,4.7,4.74,4.74,43100,0.0,0.0
2024-11-22,4.89,4.89,4.68,4.68,4.68,25000,0.0,0.0
2024-11-25,4.64,4.9,4.33,4.36,4.36,40800,0.0,0.0
2024-11-26,4.31,4.6,4.3,4.43,4.43,52100,0.0,0.0
2024-11-27,4.55,4.56,4.29,4.54,4.54,29500,0.0,0.0
2024-11-29,4.58,4.7,4.58,4.58,4.58,12900,0.0,0.0
2024-12-02,4.493,5.0,4.493,4.62,4.62,126500,0.0,0.0
2024-12-03,4.72,4.76,4.31,4.31,4.31,27500,0.0,0.0
2024-12-04,4.37,4.905,4.36,4.61,4.61,32400,0.0,0.0
2024-12-05,4.61,4.8,4.47,4.49,4.49,43100,0.0,0.0
2024-12-06,4.37,4.573,3.915,4.33,4.33,57100,0.0,0.0
2024-12-09,4.33,4.55,4.05,4.17,4.17,74800,0.0,0.0
2024-12-10,4.1,4.16,3.9,4.04,4.04,19700,0.0,0.0
2024-12-11,4.2,4.505,4.16,4.34,4.34,118400,0.0,0.0
2024-12-12,4.34,4.34,4.15,4.15,4.15,8400,0.0,0.0
2024-12-13,4.22,4.52,3.9,4.0,4.0,166400,0.0,0.0
2024-12-16,4.0,4.11,3.91,4.0,4.0,18400,0.0,0.0
2024-12-17,4.12,4.25,4.0,4.06,4.06,11600,0.0,0.0
2024-12-18,4.25,4.5,4.1,4.1,4.1,26600,0.0,0.0
2024-12-19,4.25,4.4,3.99,4.11,4.11,18600,0.0,0.0
2024-12-20,4.24,4.48,4.01,4.17,4.17,4400,0.0,0.0
2024-12-23,4.19,4.19,3.83,4.05,4.05,30300,0.0,0.0
2024-12-24,4.18,4.18,3.85,3.85,3.85,2300,0.0,0.0
2024-12-26,3.83,4.19,3.83,4.15,4.15,13800,0.0,0.0
2024-12-27,4.04,4.705,4.04,4.23,4.23,124200,0.0,0.0
2024-12-30,4.3,4.315,4.01,4.18,4.18,62400,0.0,0.0
2024-12-31,4.31,4.438,4.29,4.41,4.41,20500,0.0,0.0
2025-01-02,4.31,4.4,4.17,4.17,4.17,38500,0.0,0.0
2025-01-03,4.32,4.32,4.18,4.2,4.2,8600,0.0,0.0
2025-01-06,4.18,4.31,4.0,4.06,4.06,25900,0.0,0.0
2025-01-07,4.06,4.25,3.7,3.99,3.99,111000,0.0,0.0
2025-01-08,3.83,4.0,3.72,4.0,4.0,14200,0.0,0.0
2025-01-10,3.7,4.128,3.7,3.94,3.94,89300,0.0,0.0
2025-01-13,3.74,4.0,3.65,3.9,3.9,15000,0.0,0.0
2025-01-14,3.8,3.86,3.515,3.86,3.86,2000,0.0,0.0
2025-01-15,3.76,3.995,3.5,3.7,3.7,34300,0.0,0.0
2025-01-16,3.58,4.2,3.58,3.85,3.85,159500,0.0,0.0
2025-01-17,3.68,3.84,3.66,3.84,3.84,12800,0.0,0.0
2025-01-21,4.0,4.0,3.51,3.64,3.64,49800,0.0,0.0
2025-01-22,3.7,3.71,3.4,3.64,3.64,16700,0.0,0.0
2025-01-23,3.56,3.6,3.35,3.6,3.6,24500,0.0,0.0
2025-01-24,3.64,3.64,3.4,3.59,3.59,12200,0.0,0.0
2025-01-27,3.59,3.68,3.35,3.55,3.55,53200,0.0,0.0
2025-01-28,3.51,3.725,3.4,3.6,3.6,122400,0.0,0.0
2025-01-29,3.7,3.815,3.38,3.59,3.59,32600,0.0,0.0
2025-01-30,3.64,3.64,2.96,3.09,3.09,87800,0.0,0.0
2025-01-31,3.2,3.42,2.92,3.01,3.01,83600,0.0,0.0
2025-02-03,2.88,3.15,2.81,3.1,3.1,12700,0.0,0.0
2025-02-04,3.1,3.1,2.66,2.97,2.97,17600,0.0,0.0
2025-02-05,2.86,3.08,2.7,2.98,2.98,50600,0.0,0.0
2025-02-06,2.89,2.98,2.73,2.96,2.96,5200,0.0,0.0
2025-02-07,2.82,2.82,2.59,2.73,2.73,6100,0.0,0.0
2025-02-10,2.82,2.9,2.35,2.82,2.82,8700,0.0,0.0
2025-02-11,2.7,2.745,2.52,2.59,2.59,26600,0.0,0.0
2025-02-12,2.63,2.84,2.51,2.84,2.84,11900,0.0,0.0
2025-02-13,2.64,2.79,2.64,2.79,2.79,700,0.0,0.0
2025-02-14,2.69,2.71,2.44,2.63,2.63,40100,0.0,0.0
2025-02-18,2.6,2.803,2.6,2.66,2.66,6100,0.0,0.0
2025-02-19,2.73,3.1,2.65,3.1,3.1,30900,0.0,0.0
2025-02-20,1.96,2.97,1.96,2.96,2.96,56200,0.0,0.0
2025-02-21,3.3,3.3,2.805,3.0,3.0,3400,0.0,0.0
2025-02-24,2.98,5.0,1.32,2.2,2.2,1091200,0.0,0.0
2025-02-25,2.11,2.429,1.8,1.9,1.9,89200,0.0,0.0
2025-02-26,2.15,2.248,1.931,2.01,2.01,19600,0.0,0.0
2025-02-27,2.075,2.39,2.02,2.05,2.05,14900,0.0,0.0
2025-02-28,2.125,2.19,1.88,1.975,1.975,3100,0.0,0.0
2025-03-03,2.17,2.18,1.9,1.9,1.9,5600,0.0,0.0
2025-03-04,2.0,2.03,1.87,1.97,1.97,2200,0.0,0.0
2025-03-05,1.97,2.17,1.82,2.169,2.169,13600,0.0,0.0
2025-03-06,2.16,2.37,1.91,2.16,2.16,2800,0.0,0.0
2025-03-07,2.1,2.505,2.05,2.3,2.3,7600,0.0,0.0
2025-03-10,2.06,3.38,2.06,3.185,3.185,495000,0.0,0.0
2025-03-11,3.19,3.77,2.75,3.3,3.3,231100,0.0,0.0
2025-03-12,3.3,4.0,3.21,3.85,3.85,85700,0.0,0.0
2025-03-13,3.99,4.31,3.37,3.63,3.63,156500,0.0,0.0
2025-03-14,3.531,4.29,3.5,4.18,4.18,64800,0.0,0.0
2025-03-17,4.14,4.15,3.6,3.67,3.67,92600,0.0,0.0
2025-03-18,3.73,3.82,3.47,3.47,3.47,43800,0.0,0.0
2025-03-19,3.5,4.45,3.45,4.22,4.22,138900,0.0,0.0
2025-03-20,4.04,4.85,3.99,4.02,4.02,109800,0.0,0.0
2025-03-21,4.02,4.3,3.56,4.24,4.24,33400,0.0,0.0
2025-03-24,4.465,4.645,3.79,3.91,3.91,63000,0.0,0.0
2025-03-25,3.89,4.0,3.66,3.84,3.84,26700,0.0,0.0
2025-03-26,3.79,3.85,3.439,3.65,3.65,40300,0.0,0.0
2025-03-27,3.65,3.98,3.512,3.71,3.71,188200,0.0,0.0
2025-03-28,3.95,4.31,3.52,3.52,3.52,55800,0.0,0.0
2025-03-31,3.628,3.79,3.57,3.59,3.59,4300,0.0,0.0
2025-04-01,3.59,3.59,3.31,3.41,3.41,12100,0.0,0.0
2025-04-02,3.47,4.2,3.42,3.9,3.9,25000,0.0,0.0
2025-04-03,3.99,4.003,3.4,3.4,3.4,11300,0.0,0.0
2025-04-04,3.32,3.46,3.32,3.36,3.36,22200,0.0,0.0
2025-04-07,3.22,3.63,3.22,3.63,3.63,4000,0.0,0.0
2025-04-08,3.495,3.98,3.495,3.53,3.53,6800,0.0,0.0
2025-04-09,3.465,3.495,3.08,3.25,3.25,10400,0.0,0.0
2025-04-10,3.25,3.54,3.05,3.05,3.05,41100,0.0,0.0
