Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2026-02-09,4.0,4.0,4.0,4.0,4.0,0,0.0,0.0
2026-02-10,5.0,5.5,3.07,3.07,3.07,2531600,0.0,0.0
2026-02-11,3.46,3.65,3.08,3.26,3.26,1337000,0.0,0.0
2026-02-12,3.3,3.52,3.17,3.3,3.3,336400,0.0,0.0
2026-02-13,3.42,3.45,3.21,3.32,3.32,143500,0.0,0.0
2026-02-17,3.34,3.47,3.05,3.3,3.3,324800,0.0,0.0
2026-02-18,3.24,3.24,2.63,3.0,3.0,488700,0.0,0.0
2026-02-19,3.03,3.3,2.88,3.25,3.25,180300,0.0,0.0
2026-02-20,3.25,3.38,3.16,3.2,3.2,197700,0.0,0.0
2026-02-23,3.25,3.32,2.65,2.88,2.88,136100,0.0,0.0
2026-02-24,3.21,3.21,2.32,2.35,2.35,366700,0.0,0.0
2026-02-25,2.53,2.69,2.45,2.63,2.63,357200,0.0,0.0
2026-02-26,2.9,2.96,2.4,2.55,2.55,389700,0.0,0.0
2026-02-27,2.46,2.56,2.26,2.46,2.46,104900,0.0,0.0
2026-03-02,2.42,3.6,2.32,2.86,2.86,2051700,0.0,0.0
2026-03-03,2.77,2.85,2.5,2.59,2.59,377600,0.0,0.0
2026-03-04,2.68,2.83,2.5,2.73,2.73,733300,0.0,0.0
2026-03-05,2.77,2.8,2.31,2.58,2.58,387200,0.0,0.0
2026-03-06,2.4,2.49,2.25,2.37,2.37,148100,0.0,0.0
2026-03-09,2.3,2.3,1.85,1.93,1.93,356900,0.0,0.0
2026-03-10,2.01,2.03,1.78,1.82,1.82,492200,0.0,0.0
2026-03-11,1.88,1.92,1.76,1.77,1.77,199800,0.0,0.0
2026-03-12,1.8,1.89,1.62,1.66,1.66,465200,0.0,0.0
2026-03-13,1.69,1.73,1.44,1.64,1.64,689500,0.0,0.0
2026-03-16,1.65,1.96,1.59,1.65,1.65,351900,0.0,0.0
2026-03-17,1.7,1.79,1.57,1.61,1.61,384300,0.0,0.0
2026-03-18,1.65,1.7,1.5,1.63,1.63,413800,0.0,0.0
2026-03-19,1.62,1.63,1.47,1.61,1.61,383000,0.0,0.0
2026-03-20,1.65,1.9,1.54,1.55,1.55,892700,0.0,0.0
2026-03-23,1.71,1.77,1.5,1.7,1.7,1539600,0.0,0.0
2026-03-24,1.62,1.7,1.53,1.61,1.61,638800,0.0,0.0
2026-03-25,1.64,1.94,1.6,1.78,1.78,680600,0.0,0.0
2026-03-26,1.8,1.82,1.59,1.68,1.68,504600,0.0,0.0
2026-03-27,1.67,1.96,1.59,1.95,1.95,476500,0.0,0.0
2026-03-30,1.88,1.9,1.67,1.75,1.75,334300,0.0,0.0
2026-03-31,1.78,2.8,1.76,2.75,2.75,2693700,0.0,0.0
2026-04-01,2.64,2.94,2.17,2.77,2.77,1020400,0.0,0.0
2026-04-02,2.7,2.75,2.42,2.51,2.51,190700,0.0,0.0
2026-04-06,2.42,2.5,2.23,2.37,2.37,154600,0.0,0.0
2026-04-07,2.23,2.69,2.11,2.38,2.38,327300,0.0,0.0
2026-04-08,2.52,2.62,2.01,2.23,2.23,395300,0.0,0.0
2026-04-09,2.23,2.25,2.1,2.25,2.25,79400,0.0,0.0
2026-04-10,2.21,2.31,2.05,2.18,2.18,152800,0.0,0.0
2026-04-13,2.12,2.44,2.08,2.35,2.35,134500,0.0,0.0
2026-04-14,2.37,2.56,2.2,2.29,2.29,142300,0.0,0.0
2026-04-15,2.3,2.45,2.15,2.39,2.39,162900,0.0,0.0
2026-04-16,2.4,2.99,2.38,2.87,2.87,477200,0.0,0.0
2026-04-17,2.9,2.9,2.57,2.83,2.83,338800,0.0,0.0
2026-04-20,2.88,3.27,2.6,2.99,2.99,507400,0.0,0.0
2026-04-21,3.0,3.1,2.46,2.66,2.66,339000,0.0,0.0
2026-04-22,2.7,2.7,2.5,2.61,2.61,170300,0.0,0.0
2026-04-23,2.67,2.67,2.35,2.41,2.41,212500,0.0,0.0
2026-04-24,2.46,2.71,2.38,2.58,2.58,120200,0.0,0.0
