Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-05-14,11.0,11.4,10.8,11.01,8.452593,1560600,0.0,0.0
2010-05-17,11.05,11.14,10.43,10.74,8.245307,234000,0.0,0.0
2010-05-18,10.74,10.99,10.12,10.25,7.869126,184300,0.0,0.0
2010-05-19,10.25,10.35,9.74,9.74,7.477588,176700,0.0,0.0
2010-05-20,9.55,9.61,8.23,8.47,6.502585,419900,0.0,0.0
2010-05-21,8.46,9.35,8.45,9.0,6.909476,141100,0.0,0.0
2010-05-24,9.49,9.49,8.92,9.1,6.986248,105700,0.0,0.0
2010-05-25,9.25,9.25,8.75,9.05,6.947863,141000,0.0,0.0
2010-05-26,9.0,9.5,9.0,9.43,7.239595,63500,0.0,0.0
2010-05-27,9.83,10.26,9.5,10.2,7.830739,121800,0.0,0.0
2010-05-28,10.3,10.75,10.3,10.45,8.02267,110300,0.0,0.0
2010-06-01,10.66,10.66,10.28,10.34,7.938221,24400,0.0,0.0
2010-06-02,10.29,10.29,9.9,9.91,7.608101,37500,0.0,0.0
2010-06-03,9.9,9.9,9.7,9.74,7.477588,5000,0.0,0.0
2010-06-04,9.43,9.84,9.43,9.65,7.408494,27800,0.0,0.0
2010-06-07,9.92,9.92,9.45,9.45,7.254949,16000,0.0,0.0
2010-06-08,9.3,9.3,8.65,8.8,6.755932,47300,0.0,0.0
2010-06-09,8.71,8.71,8.45,8.61,6.610065,31300,0.0,0.0
2010-06-10,8.88,9.06,8.65,9.03,6.932508,30800,0.0,0.0
2010-06-11,8.8,9.84,8.8,9.65,7.408494,62000,0.0,0.0
2010-06-14,9.88,10.35,9.83,10.13,7.776999,64300,0.0,0.0
2010-06-15,10.3,10.4,10.05,10.4,7.984284,63300,0.0,0.0
2010-06-16,10.3,10.7,10.22,10.32,7.922866,96800,0.0,0.0
2010-06-17,10.55,10.55,9.9,10.51,8.068733,53800,0.0,0.0
2010-06-18,10.3,10.63,10.3,10.62,8.153182,16800,0.0,0.0
2010-06-21,10.68,10.83,10.57,10.83,8.314404,19300,0.0,0.0
2010-06-22,11.0,11.05,10.77,10.89,8.360467,60000,0.0,0.0
2010-06-23,10.93,11.01,10.69,10.9,8.368142,64100,0.0,0.0
2010-06-24,10.95,10.95,10.62,10.83,8.314404,3600,0.0,0.0
2010-06-25,10.75,11.0,10.6,11.0,8.444915,19400,0.0,0.0
