Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2019-08-16,0.905,0.905,0.905,0.905,0.905,1500,0.0,0.0
2019-08-19,0.905,0.905,0.905,0.905,0.905,0,0.0,0.0
2019-08-20,1.27,1.27,1.27,1.27,1.27,200,0.0,0.0
2019-08-21,1.27,1.27,1.27,1.27,1.27,0,0.0,0.0
2019-08-22,1.125,1.125,1.1,1.1,1.1,18800,0.0,0.0
2019-08-23,1.1,1.1,1.1,1.1,1.1,0,0.0,0.0
2019-08-26,1.093,1.093,1.062,1.062,1.062,1600,0.0,0.0
2019-08-27,1.062,1.062,1.062,1.062,1.062,0,0.0,0.0
2019-08-28,1.062,1.062,1.062,1.062,1.062,0,0.0,0.0
2019-08-29,1.062,1.062,1.062,1.062,1.062,0,0.0,0.0
2019-08-30,1.062,1.062,1.062,1.062,1.062,0,0.0,0.0
2019-09-03,1.062,1.062,1.062,1.062,1.062,0,0.0,0.0
2019-09-04,1.071,1.071,1.071,1.071,1.071,5000,0.0,0.0
2019-09-05,1.071,1.071,1.071,1.071,1.071,0,0.0,0.0
2019-09-06,1.071,1.071,1.071,1.071,1.071,0,0.0,0.0
2019-09-09,0.98,0.98,0.98,0.98,0.98,2000,0.0,0.0
2019-09-10,0.98,0.985,0.98,0.985,0.985,3000,0.0,0.0
2019-09-11,0.953,0.953,0.953,0.953,0.953,2500,0.0,0.0
2019-09-12,0.929,0.929,0.929,0.929,0.929,1000,0.0,0.0
2019-09-13,0.908,0.909,0.877,0.909,0.909,57200,0.0,0.0
2019-09-16,0.773,0.773,0.773,0.773,0.773,1600,0.0,0.0
2019-09-17,0.877,0.877,0.78,0.78,0.78,1200,0.0,0.0
2019-09-18,0.78,0.78,0.78,0.78,0.78,0,0.0,0.0
2019-09-19,0.803,0.803,0.798,0.798,0.798,1800,0.0,0.0
2019-09-20,0.798,0.798,0.798,0.798,0.798,0,0.0,0.0
2019-09-23,0.786,0.786,0.786,0.786,0.786,100,0.0,0.0
2019-09-24,0.786,0.786,0.786,0.786,0.786,0,0.0,0.0
2019-09-25,0.786,0.786,0.786,0.786,0.786,0,0.0,0.0
2019-09-26,0.786,0.786,0.786,0.786,0.786,0,0.0,0.0
2019-09-27,0.649,0.67,0.649,0.67,0.67,2300,0.0,0.0
2019-09-30,0.67,0.67,0.67,0.67,0.67,0,0.0,0.0
2019-10-01,0.648,0.648,0.648,0.648,0.648,800,0.0,0.0
2019-10-02,0.648,0.648,0.648,0.648,0.648,0,0.0,0.0
2019-10-03,0.648,0.648,0.648,0.648,0.648,0,0.0,0.0
2019-10-04,0.648,0.648,0.648,0.648,0.648,0,0.0,0.0
2019-10-07,0.648,0.648,0.648,0.648,0.648,0,0.0,0.0
2019-10-08,0.648,0.648,0.648,0.648,0.648,0,0.0,0.0
2019-10-09,0.648,0.648,0.648,0.648,0.648,0,0.0,0.0
2019-10-10,0.648,0.648,0.648,0.648,0.648,0,0.0,0.0
2019-10-11,0.42,0.42,0.42,0.42,0.42,1000,0.0,0.0
2019-10-14,0.42,0.42,0.42,0.42,0.42,0,0.0,0.0
2019-10-15,0.419,0.419,0.419,0.419,0.419,1000,0.0,0.0
2019-10-16,0.4,0.4,0.397,0.397,0.397,12000,0.0,0.0
2019-10-17,0.398,0.398,0.39,0.39,0.39,1400,0.0,0.0
2019-10-18,0.39,0.39,0.39,0.39,0.39,0,0.0,0.0
2019-10-21,0.39,0.39,0.39,0.39,0.39,0,0.0,0.0
2019-10-22,0.39,0.39,0.39,0.39,0.39,0,0.0,0.0
2019-10-23,0.39,0.39,0.39,0.39,0.39,0,0.0,0.0
2019-10-24,0.39,0.39,0.39,0.39,0.39,0,0.0,0.0
2019-10-25,0.782,0.782,0.782,0.782,0.782,1000,0.0,0.0
2019-10-28,0.807,0.807,0.807,0.807,0.807,2000,0.0,0.0
2019-10-29,0.59,0.59,0.59,0.59,0.59,7000,0.0,0.0
2019-10-30,0.559,0.559,0.559,0.559,0.559,2000,0.0,0.0
2019-10-31,0.56,0.58,0.56,0.58,0.58,12000,0.0,0.0
2019-11-01,0.58,0.58,0.58,0.58,0.58,0,0.0,0.0
2019-11-04,0.6,0.6,0.598,0.598,0.598,10000,0.0,0.0
2019-11-05,0.598,0.598,0.598,0.598,0.598,0,0.0,0.0
2019-11-06,0.598,0.598,0.598,0.598,0.598,0,0.0,0.0
2019-11-07,0.598,0.598,0.598,0.598,0.598,0,0.0,0.0
2019-11-08,0.598,0.598,0.598,0.598,0.598,0,0.0,0.0
2019-11-11,1.01,1.01,0.396,0.46,0.46,3200,0.0,0.0
2019-11-12,0.433,0.433,0.433,0.433,0.433,500,0.0,0.0
2019-11-13,0.433,0.448,0.433,0.448,0.448,5900,0.0,0.0
2019-11-14,0.448,0.448,0.448,0.448,0.448,0,0.0,0.0
2019-11-15,0.448,0.448,0.448,0.448,0.448,0,0.0,0.0
2019-11-18,0.448,0.448,0.448,0.448,0.448,0,0.0,0.0
2019-11-19,0.413,0.413,0.405,0.405,0.405,15000,0.0,0.0
2019-11-20,0.405,0.405,0.405,0.405,0.405,0,0.0,0.0
2019-11-21,0.405,0.405,0.405,0.405,0.405,0,0.0,0.0
2019-11-22,0.405,0.405,0.405,0.405,0.405,0,0.0,0.0
2019-11-25,0.405,0.405,0.405,0.405,0.405,0,0.0,0.0
2019-11-26,0.405,0.405,0.405,0.405,0.405,0,0.0,0.0
2019-11-27,0.495,0.515,0.495,0.5,0.5,20000,0.0,0.0
2019-11-29,0.5,0.5,0.5,0.5,0.5,0,0.0,0.0
2019-12-02,0.5,0.5,0.5,0.5,0.5,0,0.0,0.0
