Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-01-15,18.190001,18.190001,17.1,17.299999,1.297355,41700,0.0,0.0
2015-01-16,17.049999,17.35,16.9,17.16,1.286856,105300,0.0,0.0
2015-01-20,16.950001,16.950001,16.856001,16.9,1.267359,36200,0.0,0.0
2015-01-21,16.379999,16.48,16.24,16.24,1.217864,30600,0.0,0.0
2015-01-22,16.34,17.200001,16.309999,16.99,1.274107,26300,0.0,0.0
2015-01-23,16.75,16.889999,16.295,16.295,1.221988,32300,0.0,0.0
2015-01-26,16.549999,17.299999,16.370001,17.299999,1.297355,12800,0.0,0.0
2015-01-27,17.17,17.17,17.030001,17.059999,1.279357,1700,0.0,0.0
2015-01-28,17.5,17.5,17.337999,17.337999,1.300205,700,0.0,0.0
2015-01-29,17.379999,17.379999,16.51,17.17,1.287606,7800,0.0,0.0
2015-01-30,16.9,17.1,16.9,17.0,1.274858,7200,0.0,0.0
2015-02-02,16.52,16.700001,16.23,16.59,1.244111,39300,0.0,0.0
2015-02-03,16.49,16.59,16.280001,16.48,1.235862,4600,0.0,0.0
2015-02-04,16.35,16.35,16.01,16.01,1.200616,7400,0.0,0.0
2015-02-05,16.4,16.719999,16.4,16.49,1.236612,5100,0.0,0.0
2015-02-06,16.49,16.49,16.49,16.49,1.236612,0,0.0,0.0
2015-02-09,16.120001,16.799999,16.120001,16.370001,1.227613,2200,0.0,0.0
2015-02-10,16.690001,16.700001,16.42,16.610001,1.245611,11700,0.0,0.0
2015-02-11,17.0,17.1,17.0,17.1,1.282357,900,0.0,0.0
2015-02-12,17.58,17.68,17.43,17.450001,1.308604,3100,0.0,0.0
2015-02-13,17.450001,17.450001,17.450001,17.450001,1.308604,0,0.0,0.0
2015-02-17,17.870001,17.93,17.870001,17.92,1.34385,5100,0.0,0.0
2015-02-18,18.02,18.188,18.0,18.188,1.363948,1600,0.0,0.0
2015-02-19,18.190001,18.43,18.120001,18.24,1.367847,7100,0.0,0.0
2015-02-20,18.24,18.24,18.24,18.24,1.367847,0,0.0,0.0
2015-02-23,18.280001,18.433001,18.280001,18.433001,1.382321,1500,0.0,0.0
2015-02-24,18.02,18.23,18.02,18.23,1.367097,1100,0.0,0.0
2015-02-25,18.209999,18.209999,18.209999,18.209999,1.365597,200,0.0,0.0
2015-02-26,18.209999,18.209999,18.209999,18.209999,1.365597,0,0.0,0.0
2015-02-27,18.07,18.07,18.07,18.07,1.355098,0,0.0,0.0
2015-03-02,17.66,17.719999,17.66,17.719999,1.328851,1600,0.0,0.0
2015-03-03,18.4,18.83,18.4,18.639999,1.397844,10400,0.0,0.0
2015-03-04,18.66,18.938,18.66,18.882999,1.416067,4600,0.0,0.0
2015-03-05,18.882999,18.882999,18.882999,18.882999,1.416067,0,0.0,0.0
2015-03-06,18.6,18.6,18.440001,18.540001,1.390345,1500,0.0,0.0
2015-03-09,18.653,18.743999,18.594999,18.743999,1.405643,2300,0.0,0.0
2015-03-10,18.34,18.35,18.27,18.27,1.370097,5300,0.0,0.0
2015-03-11,18.233999,18.4,18.200001,18.360001,1.376846,3100,0.0,0.0
2015-03-12,18.42,18.59,18.370001,18.59,1.394094,2100,0.0,0.0
2015-03-13,18.700001,18.700001,18.700001,18.700001,1.402343,200,0.0,0.0
2015-03-16,18.9,18.9,18.9,18.9,1.417341,200,0.0,0.0
2015-03-17,18.9,18.9,18.9,18.9,1.417341,0,0.0,0.0
2015-03-18,18.502001,18.91,18.41,18.905001,1.417716,1800,0.0,0.0
2015-03-19,18.48,18.549999,17.91,18.209999,1.365597,6700,0.0,0.0
2015-03-20,18.049999,18.33,18.049999,18.299999,1.372347,900,0.0,0.0
2015-03-23,18.389999,19.299999,18.389999,19.299999,1.447338,5200,0.0,0.0
2015-03-24,19.639999,19.743999,19.51,19.51,1.463087,3400,0.0,0.0
2015-03-25,18.65,19.197001,18.65,19.139999,1.435339,4600,0.0,0.0
2015-03-26,19.02,19.02,18.59,18.9,1.417341,1700,0.0,0.0
2015-03-27,18.9,18.9,18.9,18.9,1.417341,0,0.0,0.0
2015-03-30,18.961,19.110001,18.961,19.0,1.424841,400,0.0,0.0
2015-03-31,19.33,19.33,18.93,19.048,1.42844,5000,0.0,0.0
2015-04-01,19.547001,19.716,19.370001,19.649,1.47351,2800,0.0,0.0
2015-04-02,19.584,19.879999,19.584,19.879999,1.490833,21500,0.0,0.0
2015-04-06,19.379999,19.910999,19.379999,19.910999,1.493158,2000,0.0,0.0
2015-04-07,19.860001,20.440001,19.799999,20.07,1.505082,8900,0.0,0.0
2015-04-08,20.290001,20.299999,20.24,20.26,1.51933,3900,0.0,0.0
2015-04-09,20.360001,20.379999,20.360001,20.379999,1.528329,300,0.0,0.0
2015-04-10,20.379999,20.379999,20.379999,20.379999,1.528329,0,0.0,0.0
2015-04-13,20.379999,20.379999,20.379999,20.379999,1.528329,0,0.0,0.0
2015-04-14,20.190001,20.525999,20.190001,20.5,1.537328,9200,0.0,0.0
2015-04-15,20.200001,20.200001,20.176001,20.176001,1.513031,4800,0.0,0.0
2015-04-16,20.02,20.309999,20.02,20.309999,1.52308,3000,0.0,0.0
2015-04-17,20.346001,20.346001,20.346001,20.346001,1.525779,400,0.0,0.0
2015-04-20,20.370001,20.5,20.360001,20.360001,1.526829,2300,0.0,0.0
2015-04-21,21.17,21.544001,21.17,21.42,1.60632,14400,0.0,0.0
2015-04-22,21.639999,21.802,21.610001,21.65,1.623568,1100,0.0,0.0
2015-04-23,21.84,21.84,21.610001,21.610001,1.620569,1100,0.0,0.0
