Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains
2026-01-08,25.09,25.09,24.934999,24.969999,23.842451,1500,0.0,0.0,0.0
2026-01-09,25.129999,25.129999,25.129999,25.129999,23.995224,100,0.0,0.0,0.0
2026-01-12,25.23,25.23,25.171,25.171,24.034372,1400,0.0,0.0,0.0
2026-01-13,25.09,25.142,25.059999,25.142,24.006685,700,0.0,0.0,0.0
2026-01-14,24.874001,24.874001,24.874001,24.874001,23.750786,0,0.0,0.0,0.0
2026-01-15,25.0,25.0,25.0,25.0,23.871094,100,0.0,0.0,0.0
2026-01-16,24.972,24.972,24.972,24.972,23.84436,100,0.0,0.0,0.0
2026-01-20,24.599001,24.599001,24.599001,24.599001,23.488205,100,0.0,0.0,0.0
2026-01-21,24.752001,24.752001,24.752001,24.752001,23.634295,100,0.0,0.0,0.0
2026-01-22,24.906,24.906,24.906,24.906,23.78134,100,0.0,0.0,0.0
2026-01-23,24.978001,24.978001,24.978001,24.978001,23.850088,100,0.0,0.0,0.0
2026-01-26,25.08,25.08,25.08,25.08,23.947481,0,0.0,0.0,0.0
2026-01-27,25.219999,25.360001,25.219999,25.219999,24.081161,600,0.0,0.0,0.0
2026-01-28,25.201,25.201,25.201,25.201,24.063017,100,0.0,0.0,0.0
2026-01-29,24.913,24.913,24.913,24.913,23.967773,100,0.189,0.0,0.0
2026-01-30,24.809999,24.855,24.809999,24.855,23.911976,300,0.0,0.0,0.0
2026-02-02,24.805,24.805,24.761999,24.761999,23.822504,100,0.0,0.0,0.0
2026-02-03,24.398001,24.398001,24.398001,24.398001,23.472317,0,0.0,0.0,0.0
2026-02-04,24.309999,24.309999,24.131001,24.131001,23.215446,100,0.0,0.0,0.0
2026-02-05,23.677,23.677,23.677,23.677,22.778669,100,0.0,0.0,0.0
2026-02-06,24.049999,24.249001,24.049999,24.249001,23.328966,300,0.0,0.0,0.0
2026-02-09,24.18,24.33,24.18,24.33,23.406897,100,0.0,0.0,0.0
2026-02-10,24.285,24.285,24.285,24.285,23.363604,200,0.0,0.0,0.0
2026-02-11,24.17,24.257,24.17,24.257,23.336664,100,0.0,0.0,0.0
2026-02-12,24.17,24.17,23.891001,23.891001,22.984552,200,0.0,0.0,0.0
