Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains
2026-08-19,24.91,24.91,24.549999,24.629999,24.629999,8200,0.0,0.0,
2026-08-20,24.620001,24.9,24.530001,24.790001,24.790001,7900,0.0,0.0,
2026-08-21,24.790001,24.790001,23.809999,23.83,23.83,5700,0.0,0.0,
2026-08-24,23.120001,23.17,23.1,23.17,23.17,1600,0.0,0.0,0.0
2026-08-25,24.42,24.719999,24.42,24.719999,24.719999,5100,0.0,0.0,0.0
2026-08-26,24.32,24.379999,24.32,24.379999,24.379999,800,0.0,0.0,0.0
2026-08-27,25.110001,25.110001,24.809999,24.870001,24.870001,3000,0.0,0.0,0.0
2026-08-28,24.91,24.91,24.799999,24.799999,24.799999,1600,0.0,0.0,0.0
2026-08-31,25.040001,25.040001,25.040001,25.040001,25.040001,100,0.0,0.0,0.0
2026-09-01,24.059999,24.059999,24.059999,24.059999,24.059999,100,0.0,0.0,0.0
2026-09-02,24.76,24.940001,24.76,24.940001,24.940001,900,0.0,0.0,0.0
2026-09-03,24.24,24.629999,24.24,24.629999,24.629999,300,0.0,0.0,0.0
2026-09-04,25.799999,26.43,25.799999,26.43,26.43,4800,0.0,0.0,0.0
2026-09-08,27.02,27.200001,26.91,26.91,26.91,34400,0.0,0.0,0.0
2026-09-09,27.76,27.82,27.690001,27.690001,27.690001,2200,0.0,0.0,0.0
2026-09-10,27.0,27.0,26.73,26.73,26.73,900,0.0,0.0,0.0
2026-09-11,27.030001,27.030001,26.940001,26.98,26.98,7700,0.0,0.0,0.0
2026-09-14,25.27,25.27,25.110001,25.110001,25.110001,700,0.0,0.0,0.0
2026-09-15,25.49,25.549999,25.1,25.23,25.23,15800,0.0,0.0,0.0
2026-09-16,25.68,25.68,25.68,25.68,25.68,100,0.0,0.0,0.0
2026-09-17,26.6,26.709999,26.6,26.6,26.6,2200,0.0,0.0,0.0
2026-09-18,26.42,26.42,26.42,26.42,26.42,600,0.0,0.0,0.0
2026-09-21,26.549999,27.92,26.549999,27.85,27.85,2800,0.0,0.0,0.0
2026-09-22,28.48,28.709999,28.440001,28.709999,28.709999,19900,0.0,0.0,0.0
2026-09-23,28.15,28.15,28.15,28.15,28.15,400,0.0,0.0,0.0
2026-09-24,27.93,27.93,27.6,27.719999,27.719999,600,0.0,0.0,0.0
2026-09-25,28.129999,28.440001,28.087999,,,4235,0.0,0.0,0.0
