Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1988-10-24,12.0,12.125,12.0,12.0,1.133415,86800,0.0,0.0
1988-10-25,12.0,12.0,12.0,12.0,1.133415,89000,0.0,0.0
1988-10-26,12.0,12.0,12.0,12.0,1.133415,121900,0.0,0.0
1988-10-27,12.0,12.0,12.0,12.0,1.133415,156000,0.0,0.0
1988-10-28,12.0,12.125,12.0,12.0,1.133415,71800,0.0,0.0
1988-10-31,12.0,12.0,12.0,12.0,1.133415,54000,0.0,0.0
1988-11-01,12.0,12.0,12.0,12.0,1.133415,32600,0.0,0.0
1988-11-02,12.0,12.0,12.0,12.0,1.133415,24300,0.0,0.0
1988-11-03,12.0,12.0,12.0,12.0,1.133415,20100,0.0,0.0
1988-11-04,12.0,12.0,12.0,12.0,1.133415,31100,0.0,0.0
1988-11-07,12.0,12.0,12.0,12.0,1.133415,19900,0.0,0.0
1988-11-08,12.0,12.0,12.0,12.0,1.133415,43000,0.0,0.0
1988-11-09,12.0,12.0,12.0,12.0,1.133415,15700,0.0,0.0
1988-11-10,12.0,12.125,12.0,12.125,1.145222,13200,0.0,0.0
1988-11-11,12.125,12.125,12.0,12.0,1.133415,26300,0.0,0.0
1988-11-14,12.0,12.125,12.0,12.0,1.133415,30400,0.0,0.0
1988-11-15,12.0,12.125,12.0,12.0,1.133415,25000,0.0,0.0
1988-11-16,12.0,12.125,12.0,12.0,1.133415,34800,0.0,0.0
1988-11-17,12.0,12.125,12.0,12.0,1.133415,58000,0.0,0.0
1988-11-18,12.0,12.125,12.0,12.0,1.133415,29700,0.0,0.0
1988-11-21,12.0,12.125,12.0,12.0,1.133415,32000,0.0,0.0
1988-11-22,12.0,12.125,12.0,12.0,1.133415,57400,0.0,0.0
1988-11-23,12.0,12.125,12.0,12.0,1.133415,25500,0.0,0.0
1988-11-25,12.0,12.125,12.0,12.0,1.133415,2300,0.0,0.0
1988-11-28,12.0,12.125,12.0,12.0,1.133415,168700,0.0,0.0
1988-11-29,12.0,12.125,12.0,12.0,1.133415,162000,0.0,0.0
1988-11-30,12.0,12.125,12.0,12.0,1.133415,96900,0.0,0.0
1988-12-01,12.0,12.125,12.0,12.0,1.133415,91800,0.0,0.0
1988-12-02,12.0,12.125,12.0,12.0,1.133415,156400,0.0,0.0
1988-12-05,12.0,12.125,12.0,12.0,1.133415,32800,0.0,0.0
1988-12-06,12.0,12.125,12.0,12.125,1.145222,34700,0.0,0.0
1988-12-07,12.125,12.125,12.0,12.125,1.145222,75600,0.0,0.0
1988-12-08,12.125,12.125,12.0,12.125,1.145222,23600,0.0,0.0
1988-12-09,12.125,12.125,12.0,12.0,1.133415,33100,0.0,0.0
1988-12-12,12.0,12.125,12.0,12.0,1.133415,44800,0.0,0.0
1988-12-13,12.0,12.125,12.0,12.0,1.133415,55700,0.0,0.0
1988-12-14,12.0,12.125,12.0,12.0,1.133415,47800,0.0,0.0
1988-12-15,12.0,12.125,12.0,12.0,1.133415,37800,0.0,0.0
1988-12-16,12.0,12.125,12.0,12.0,1.133415,23900,0.0,0.0
1988-12-19,12.0,12.125,12.0,12.0,1.133415,25600,0.0,0.0
1988-12-20,12.0,12.125,12.0,12.0,1.133415,37800,0.0,0.0
1988-12-21,12.0,12.125,12.0,12.0,1.133415,56100,0.0,0.0
1988-12-22,12.0,12.125,12.0,12.0,1.133415,21600,0.0,0.0
1988-12-23,12.0,12.0,12.0,12.0,1.133415,15600,0.0,0.0
1988-12-27,12.0,12.125,12.0,12.0,1.133415,24300,0.0,0.0
1988-12-28,12.0,12.125,12.0,12.0,1.133415,10300,0.0,0.0
1988-12-29,12.0,12.125,12.0,12.0,1.133415,33500,0.0,0.0
1988-12-30,12.0,12.125,12.0,12.0,1.133415,46300,0.0,0.0
1989-01-03,12.0,12.125,12.0,12.125,1.145222,28000,0.0,0.0
1989-01-04,12.125,12.125,12.0,12.0,1.133415,29200,0.0,0.0
1989-01-05,12.0,12.125,12.0,12.0,1.133415,45000,0.0,0.0
1989-01-06,12.0,12.125,12.0,12.0,1.133415,24900,0.0,0.0
1989-01-09,12.0,12.125,12.0,12.0,1.133415,52000,0.0,0.0
1989-01-10,12.0,12.125,12.0,12.0,1.133415,43400,0.0,0.0
1989-01-11,12.0,12.125,12.0,12.0,1.133415,68600,0.0,0.0
1989-01-12,12.0,12.125,12.0,12.0,1.133415,58800,0.0,0.0
1989-01-13,12.0,12.125,12.0,12.0,1.133415,46000,0.0,0.0
1989-01-16,12.0,12.125,12.0,12.0,1.133415,36100,0.0,0.0
1989-01-17,12.0,12.125,12.0,12.0,1.133415,43100,0.0,0.0
1989-01-18,12.0,12.125,12.0,12.0,1.133415,70900,0.0,0.0
1989-01-19,12.0,12.125,12.0,12.0,1.133415,42000,0.0,0.0
1989-01-20,12.0,12.125,12.0,12.125,1.145222,52800,0.0,0.0
1989-01-23,12.125,12.125,12.0,12.0,1.133415,76800,0.0,0.0
1989-01-24,12.0,12.125,12.0,12.0,1.133415,61600,0.0,0.0
1989-01-25,12.0,12.125,12.0,12.125,1.145222,67200,0.0,0.0
1989-01-26,12.125,12.125,11.875,12.0,1.133415,41800,0.0,0.0
1989-01-27,12.0,12.0,11.875,11.875,1.121609,26900,0.0,0.0
1989-01-30,11.875,12.0,11.875,11.875,1.121609,17700,0.0,0.0
1989-01-31,11.875,12.0,11.875,11.875,1.121609,23800,0.0,0.0
1989-02-01,11.875,12.0,11.875,11.875,1.121609,21800,0.0,0.0
1989-02-02,11.875,12.0,11.875,11.875,1.121609,11800,0.0,0.0
1989-02-03,11.875,12.0,11.875,12.0,1.133415,20300,0.0,0.0
1989-02-06,12.0,12.0,11.875,11.875,1.121609,20900,0.0,0.0
1989-02-07,11.875,12.0,11.75,11.75,1.109803,17100,0.0,0.0
1989-02-08,11.75,12.0,11.625,11.75,1.109803,22800,0.0,0.0
1989-02-09,11.75,11.75,11.625,11.75,1.109803,13000,0.0,0.0
1989-02-10,11.75,11.75,11.625,11.625,1.097998,24400,0.0,0.0
1989-02-13,11.625,11.75,11.625,11.75,1.109803,15400,0.0,0.0
1989-02-14,11.75,11.875,11.625,11.875,1.121609,35200,0.0,0.0
1989-02-15,11.875,11.875,11.75,11.75,1.109803,34400,0.0,0.0
1989-02-16,11.75,11.875,11.75,11.75,1.109803,19800,0.0,0.0
1989-02-17,11.75,11.875,11.625,11.75,1.109803,19200,0.0,0.0
1989-02-21,11.75,11.75,11.625,11.75,1.109803,26600,0.0,0.0
1989-02-22,11.75,11.75,11.625,11.625,1.097998,21800,0.0,0.0
1989-02-23,11.625,11.75,11.5,11.5,1.086189,25300,0.0,0.0
1989-02-24,11.5,11.5,11.125,11.375,1.074383,15000,0.0,0.0
1989-02-27,11.375,11.375,10.875,11.0,1.038965,51400,0.0,0.0
1989-02-28,11.0,11.125,11.0,11.125,1.050769,27600,0.0,0.0
1989-03-01,11.125,11.25,11.125,11.25,1.062577,16300,0.0,0.0
1989-03-02,11.25,11.25,11.125,11.125,1.050769,19600,0.0,0.0
1989-03-03,11.125,11.375,11.125,11.25,1.062577,17000,0.0,0.0
1989-03-06,11.25,11.5,11.125,11.25,1.062577,32000,0.0,0.0
1989-03-07,11.25,11.5,11.25,11.375,1.074383,19400,0.0,0.0
1989-03-08,11.375,11.625,11.25,11.5,1.086189,40200,0.0,0.0
1989-03-09,11.5,11.5,11.375,11.5,1.086189,26900,0.0,0.0
1989-03-10,11.5,11.5,11.375,11.5,1.086189,18400,0.0,0.0
1989-03-13,11.5,11.625,11.375,11.625,1.097998,10300,0.0,0.0
1989-03-14,11.625,11.75,11.625,11.625,1.097998,11900,0.0,0.0
1989-03-15,11.625,11.75,11.5,11.5,1.086189,31800,0.0,0.0
1989-03-16,11.5,11.625,11.375,11.375,1.074383,21500,0.0,0.0
1989-03-17,11.375,11.5,11.375,11.375,1.074383,9800,0.0,0.0
1989-03-20,11.375,11.5,11.25,11.25,1.062577,19600,0.0,0.0
1989-03-21,11.25,11.375,11.25,11.25,1.062577,40200,0.0,0.0
1989-03-22,11.25,11.375,11.25,11.25,1.062577,24400,0.0,0.0
1989-03-23,11.25,11.375,11.25,11.375,1.074383,18900,0.0,0.0
1989-03-27,11.375,11.5,11.125,11.25,1.062577,24500,0.0,0.0
1989-03-28,11.25,11.5,11.25,11.5,1.086189,24800,0.0,0.0
1989-03-29,11.5,11.5,11.25,11.375,1.074383,17200,0.0,0.0
1989-03-30,11.375,11.375,11.25,11.25,1.062577,9200,0.0,0.0
1989-03-31,11.25,11.5,11.0,11.125,1.050769,33700,0.0,0.0
1989-04-03,11.125,11.375,11.0,11.125,1.050769,30600,0.0,0.0
1989-04-04,11.25,11.5,11.25,11.5,1.086189,31200,0.0,0.0
1989-04-05,11.5,11.5,11.25,11.375,1.074383,30200,0.0,0.0
1989-04-06,11.375,11.375,11.25,11.25,1.062577,22300,0.0,0.0
1989-04-07,11.25,11.375,11.125,11.125,1.050769,27900,0.0,0.0
1989-04-10,11.125,11.25,11.0,11.25,1.062577,33700,0.0,0.0
1989-04-11,11.25,11.25,11.125,11.25,1.062577,18500,0.0,0.0
1989-04-12,11.25,11.375,11.0,11.0,1.038965,24400,0.0,0.0
1989-04-13,11.0,11.25,11.0,11.125,1.050769,20700,0.0,0.0
1989-04-14,11.125,11.25,11.0,11.25,1.062577,40400,0.0,0.0
1989-04-17,11.25,11.25,11.125,11.25,1.062577,20700,0.0,0.0
1989-04-18,11.25,11.375,11.125,11.375,1.074383,27700,0.0,0.0
1989-04-19,11.375,11.375,11.25,11.375,1.074383,24600,0.0,0.0
1989-04-20,11.375,11.5,11.25,11.25,1.062577,21200,0.0,0.0
1989-04-21,11.25,11.625,11.25,11.625,1.097998,39400,0.0,0.0
1989-04-24,11.625,11.75,11.5,11.625,1.097998,21200,0.0,0.0
1989-04-25,11.625,11.625,11.375,11.5,1.086189,17900,0.0,0.0
1989-04-26,11.5,11.625,11.375,11.625,1.097998,24500,0.0,0.0
1989-04-27,11.625,11.625,11.375,11.5,1.086189,25800,0.0,0.0
1989-04-28,11.5,11.5,11.375,11.375,1.074383,21800,0.0,0.0
1989-05-01,11.375,11.75,11.375,11.75,1.109803,16300,0.0,0.0
1989-05-02,11.75,11.875,11.5,11.75,1.109803,33900,0.0,0.0
1989-05-03,11.75,11.875,11.75,11.875,1.121609,15100,0.0,0.0
1989-05-04,11.875,11.875,11.625,11.875,1.121609,19400,0.0,0.0
1989-05-05,11.875,11.875,11.625,11.75,1.109803,21500,0.0,0.0
1989-05-08,11.75,11.875,11.625,11.625,1.097998,24800,0.0,0.0
1989-05-09,11.625,11.625,11.5,11.5,1.086189,24100,0.0,0.0
1989-05-10,11.5,11.75,11.5,11.5,1.086189,27200,0.0,0.0
1989-05-11,11.5,11.75,11.5,11.625,1.097998,21700,0.0,0.0
1989-05-12,11.625,11.75,11.5,11.5,1.086189,26100,0.0,0.0
1989-05-15,11.5,11.625,11.5,11.5,1.086189,15800,0.0,0.0
1989-05-16,11.5,11.875,11.5,11.75,1.109803,53400,0.0,0.0
1989-05-17,11.75,11.875,11.75,11.875,1.121609,31500,0.0,0.0
1989-05-18,11.875,11.875,11.625,11.75,1.109803,34200,0.0,0.0
1989-05-19,11.75,11.875,11.625,11.75,1.109803,25800,0.0,0.0
1989-05-22,11.75,11.75,11.625,11.75,1.109803,15600,0.0,0.0
1989-05-23,11.75,11.875,11.625,11.875,1.121609,31200,0.0,0.0
1989-05-24,11.875,11.875,11.625,11.75,1.109803,39500,0.0,0.0
1989-05-25,11.75,11.75,11.625,11.75,1.109803,38900,0.0,0.0
1989-05-26,11.75,11.75,11.625,11.75,1.109803,11900,0.0,0.0
1989-05-30,11.75,11.75,11.625,11.75,1.109803,18400,0.0,0.0
1989-05-31,11.75,11.875,11.625,11.875,1.121609,21600,0.0,0.0
1989-06-01,11.875,11.875,11.75,11.875,1.121609,16500,0.0,0.0
1989-06-02,11.875,11.875,11.75,11.875,1.121609,30000,0.0,0.0
1989-06-05,11.875,12.0,11.75,12.0,1.133415,31500,0.0,0.0
1989-06-06,12.0,12.0,11.75,12.0,1.133415,20300,0.0,0.0
1989-06-07,12.0,12.0,11.75,12.0,1.133415,30900,0.0,0.0
1989-06-08,12.0,12.0,11.75,11.875,1.121609,24200,0.0,0.0
1989-06-09,11.875,11.875,11.625,11.875,1.121609,34100,0.0,0.0
