Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1994-03-28,4.051562,4.145784,3.863117,3.95734,1.343008,1448170,0.0,0.0
1994-03-29,4.051562,4.051562,3.768895,3.768895,1.279054,874527,0.0,0.0
1994-03-30,3.863117,3.863117,3.768895,3.863117,1.311031,520577,0.0,0.0
1994-03-31,3.768895,3.863117,3.768895,3.816006,1.295043,204039,0.0,0.0
1994-04-04,3.863117,3.863117,3.674672,3.863117,1.311031,266126,0.0,0.0
1994-04-05,3.863117,3.863117,3.768895,3.816006,1.295043,190241,0.0,0.0
1994-04-06,3.816006,3.95734,3.816006,3.95734,1.343008,73762,0.0,0.0
1994-04-07,3.95734,3.95734,3.768895,3.863117,1.311031,44575,0.0,0.0
1994-04-08,3.95734,3.95734,3.816006,3.863117,1.311031,240654,0.0,0.0
1994-04-11,3.816006,3.95734,3.816006,3.863117,1.311031,115684,0.0,0.0
1994-04-12,3.95734,3.95734,3.768895,3.816006,1.295043,23880,0.0,0.0
1994-04-13,3.863117,3.863117,3.768895,3.816006,1.295043,15920,0.0,0.0
1994-04-14,3.863117,3.863117,3.863117,3.863117,1.311031,531,0.0,0.0
1994-04-15,3.768895,3.768895,3.674672,3.721784,1.263067,41126,0.0,0.0
1994-04-18,3.674672,3.768895,3.674672,3.674672,1.247079,78538,0.0,0.0
1994-04-19,3.674672,3.674672,3.674672,3.674672,1.247079,0,0.0,0.0
1994-04-20,3.721784,3.721784,3.721784,3.721784,1.263067,2653,0.0,0.0
1994-04-21,3.816006,3.816006,3.721784,3.721784,1.263067,6633,0.0,0.0
1994-04-22,3.721784,3.721784,3.721784,3.721784,1.263067,0,0.0,0.0
1994-04-25,3.768895,3.863117,3.768895,3.768895,1.279054,21492,0.0,0.0
1994-04-26,3.674672,3.863117,3.674672,3.816006,1.295043,9287,0.0,0.0
1994-04-28,3.721784,3.816006,3.721784,3.816006,1.295043,5307,0.0,0.0
1994-04-29,3.816006,3.816006,3.674672,3.721784,1.263067,47229,0.0,0.0
1994-05-02,3.768895,3.768895,3.674672,3.768895,1.279054,26268,0.0,0.0
1994-05-03,3.768895,3.768895,3.721784,3.768895,1.279054,143543,0.0,0.0
1994-05-04,3.768895,3.816006,3.674672,3.768895,1.279054,49351,0.0,0.0
1994-05-05,3.816006,3.816006,3.816006,3.816006,1.295043,6368,0.0,0.0
1994-05-06,3.768895,3.863117,3.768895,3.816006,1.295043,77742,0.0,0.0
1994-05-09,3.768895,3.816006,3.768895,3.768895,1.279054,49882,0.0,0.0
