Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1981-12-31,9.595625,9.74325,9.448,9.713725,3.088908,180779,0.0,0.0
1982-01-04,9.595625,9.713725,9.448,9.50705,3.023187,80864,0.0,0.0
1982-01-05,9.359425,9.448,9.27085,9.27085,2.948078,152413,0.0,0.0
1982-01-06,9.15275,9.3299,8.9756,9.0937,2.891747,364098,0.0,0.0
1982-01-07,9.0937,9.182275,8.9756,9.15275,2.910523,362405,0.0,0.0
1982-01-08,8.9756,9.03465,8.91655,8.9756,2.854191,270533,0.0,0.0
1982-01-11,8.7394,8.9756,8.473675,8.473675,2.694581,453853,0.0,0.0
1982-01-12,8.591775,8.709875,8.44415,8.709875,2.769692,175699,0.0,0.0
1982-01-13,8.6213,8.7394,8.5032,8.591775,2.732134,154953,0.0,0.0
1982-01-14,8.532725,8.56225,8.473675,8.56225,2.722747,262913,0.0,0.0
1982-01-15,8.5032,8.56225,8.414625,8.56225,2.722747,393734,0.0,0.0
1982-01-18,8.5032,8.56225,8.44415,8.56225,2.722747,83827,0.0,0.0
1982-01-19,8.532725,8.650825,8.3851,8.44415,2.685191,574090,0.0,0.0
1982-01-20,8.267,8.473675,8.0308,8.08985,2.572526,791279,0.0,0.0
1982-01-21,7.883175,8.178425,7.5584,7.587925,2.412917,296782,0.0,0.0
1982-01-22,7.587925,7.73555,7.4403,7.4403,2.365975,690940,0.0,0.0
1982-01-25,7.233625,7.351725,7.086,7.26315,2.309639,483489,0.0,0.0
1982-01-26,7.38125,7.49935,7.26315,7.3222,2.328419,330652,0.0,0.0
1982-01-27,7.528875,7.6765,7.351725,7.646975,2.431694,201948,0.0,0.0
1982-01-28,8.0308,8.32605,7.706025,8.32605,2.647636,270957,0.0,0.0
1982-01-29,8.267,8.414625,8.08985,8.3851,2.666415,206181,0.0,0.0
1982-02-01,8.0308,8.20795,7.85365,7.9127,2.516193,266300,0.0,0.0
1982-02-02,8.0308,8.1489,7.9127,8.08985,2.572526,202371,0.0,0.0
1982-02-03,8.0308,8.08985,7.97175,7.97175,2.534971,37680,0.0,0.0
1982-02-04,7.9127,7.97175,7.85365,7.942225,2.525581,347163,0.0,0.0
1982-02-05,8.119375,8.237475,8.001275,8.119375,2.581915,174852,0.0,0.0
1982-02-08,8.060325,8.20795,7.9127,7.97175,2.534971,85521,0.0,0.0
1982-02-09,7.942225,8.001275,7.85365,7.9127,2.516193,120237,0.0,0.0
1982-02-10,8.060325,8.1489,7.942225,8.001275,2.54436,80864,0.0,0.0
1982-02-11,7.97175,8.0308,7.9127,8.0308,2.553749,76207,0.0,0.0
1982-02-12,8.08985,8.1489,8.001275,8.060325,2.563138,234547,0.0,0.0
1982-02-16,7.942225,8.001275,7.85365,7.942225,2.525581,246825,0.0,0.0
1982-02-17,8.060325,8.119375,8.001275,8.060325,2.563138,215919,0.0,0.0
1982-02-18,8.08985,8.1489,8.0308,8.060325,2.563138,185859,0.0,0.0
1982-02-19,7.942225,8.0308,7.824125,7.85365,2.497417,530483,0.0,0.0
1982-02-22,7.9127,8.0308,7.7946,7.7946,2.478639,106689,0.0,0.0
