Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1993-08-06,4.375,4.375,3.75,3.8125,3.400174,2800000,0.0,0.0
1993-08-09,3.875,3.875,3.625,3.625,3.232952,502200,0.0,0.0
1993-08-10,3.75,3.75,3.5,3.6875,3.288693,73400,0.0,0.0
1993-08-11,3.75,3.875,3.625,3.75,3.344434,352600,0.0,0.0
1993-08-12,3.875,3.875,3.75,3.75,3.344434,115200,0.0,0.0
1993-08-13,3.875,3.875,3.75,3.875,3.455915,68600,0.0,0.0
1993-08-16,3.875,3.875,3.75,3.75,3.344434,53000,0.0,0.0
1993-08-17,3.875,3.875,3.625,3.75,3.344434,132800,0.0,0.0
1993-08-18,3.625,3.875,3.625,3.875,3.455915,21000,0.0,0.0
1993-08-19,3.625,3.875,3.625,3.875,3.455915,11400,0.0,0.0
1993-08-20,3.625,3.875,3.625,3.875,3.455915,3000,0.0,0.0
1993-08-23,3.625,3.875,3.625,3.625,3.232952,1400,0.0,0.0
1993-08-24,3.6875,3.875,3.625,3.75,3.344434,971000,0.0,0.0
1993-08-25,3.875,3.875,3.75,3.75,3.344434,132800,0.0,0.0
1993-08-26,3.75,3.875,3.75,3.75,3.344434,77200,0.0,0.0
1993-08-27,3.75,3.875,3.75,3.8125,3.400174,75000,0.0,0.0
1993-08-30,3.8125,3.8125,3.75,3.8125,3.400174,32400,0.0,0.0
1993-08-31,3.8125,3.8125,3.75,3.75,3.344434,70200,0.0,0.0
1993-09-01,3.75,3.8125,3.75,3.8125,3.400174,12000,0.0,0.0
1993-09-02,3.75,3.8125,3.6875,3.6875,3.288693,42200,0.0,0.0
1993-09-03,3.625,3.8125,3.625,3.8125,3.400174,13400,0.0,0.0
1993-09-07,3.8125,3.8125,3.75,3.8125,3.400174,3600,0.0,0.0
1993-09-08,3.8125,3.8125,3.5,3.625,3.232952,17600,0.0,0.0
1993-09-09,3.5,3.625,3.5,3.5,3.121471,13000,0.0,0.0
1993-09-10,3.625,3.625,3.625,3.625,3.232952,1000,0.0,0.0
1993-09-13,3.75,3.75,3.625,3.625,3.232952,29400,0.0,0.0
1993-09-14,3.8125,3.8125,3.625,3.625,3.232952,31800,0.0,0.0
1993-09-15,3.8125,3.8125,3.625,3.75,3.344434,800,0.0,0.0
1993-09-16,3.625,3.875,3.625,3.625,3.232952,2800,0.0,0.0
1993-09-17,3.875,3.875,3.625,3.75,3.344434,19800,0.0,0.0
1993-09-20,3.625,3.875,3.625,3.875,3.455915,5800,0.0,0.0
1993-09-21,3.625,3.625,3.625,3.625,3.232952,2800,0.0,0.0
1993-09-22,3.8125,3.8125,3.5,3.625,3.232952,73400,0.0,0.0
1993-09-23,3.625,3.625,3.4375,3.4375,3.065731,18000,0.0,0.0
1993-09-24,3.625,3.625,3.375,3.625,3.232952,9200,0.0,0.0
1993-09-27,3.625,3.625,3.4375,3.4375,3.065731,6200,0.0,0.0
1993-09-28,3.625,3.625,3.5,3.5625,3.177212,126400,0.0,0.0
1993-09-29,3.75,3.75,3.5,3.75,3.344434,2600,0.0,0.0
1993-09-30,3.5,3.75,3.5,3.6875,3.288693,14000,0.0,0.0
1993-10-01,3.625,3.75,3.625,3.75,3.344434,1200,0.0,0.0
1993-10-04,3.75,3.75,3.5,3.75,3.344434,61600,0.0,0.0
1993-10-05,3.625,3.75,3.625,3.75,3.344434,10200,0.0,0.0
1993-10-06,3.75,3.75,3.625,3.75,3.344434,4400,0.0,0.0
1993-10-07,3.625,3.875,3.625,3.875,3.455915,97400,0.0,0.0
1993-10-08,3.75,3.875,3.75,3.875,3.455915,14600,0.0,0.0
1993-10-11,3.875,3.875,3.75,3.875,3.455915,9600,0.0,0.0
1993-10-12,3.75,4.25,3.75,4.25,3.790359,62200,0.0,0.0
1993-10-13,4.25,4.25,3.875,4.25,3.790359,4800,0.0,0.0
1993-10-14,4.0,4.375,3.875,4.375,3.901839,10600,0.0,0.0
1993-10-15,4.375,4.375,3.875,4.375,3.901839,4600,0.0,0.0
1993-10-18,3.875,4.375,3.875,4.375,3.901839,6800,0.0,0.0
1993-10-19,4.375,4.375,4.125,4.125,3.678877,78400,0.0,0.0
1993-10-20,4.125,4.5,4.125,4.125,3.678877,29400,0.0,0.0
1993-10-21,4.125,4.5,4.125,4.25,3.790359,21400,0.0,0.0
1993-10-22,4.5,4.5,4.125,4.5,4.01332,46200,0.0,0.0
1993-10-25,4.25,4.5,4.25,4.25,3.790359,19600,0.0,0.0
1993-10-26,4.5,4.5,4.25,4.25,3.790359,25400,0.0,0.0
1993-10-27,4.25,4.5,4.25,4.5,4.01332,20400,0.0,0.0
1993-10-28,4.25,4.5,4.25,4.5,4.01332,33200,0.0,0.0
1993-10-29,4.25,4.5,4.25,4.25,3.790359,36400,0.0,0.0
1993-11-01,4.5,4.5,4.3125,4.3125,3.846099,25400,0.0,0.0
1993-11-02,4.5,4.5,4.25,4.25,3.790359,29600,0.0,0.0
1993-11-03,4.25,4.5,4.25,4.25,3.790359,62400,0.0,0.0
1993-11-04,4.375,4.5,4.25,4.25,3.790359,22000,0.0,0.0
1993-11-05,4.25,4.5,4.25,4.25,3.790359,9200,0.0,0.0
1993-11-08,4.25,4.5,4.25,4.5,4.01332,2400,0.0,0.0
1993-11-09,4.5,4.5,4.25,4.25,3.790359,10000,0.0,0.0
1993-11-10,4.25,4.5,4.0,4.25,3.790359,32200,0.0,0.0
1993-11-11,4.25,4.25,3.875,3.9375,3.511655,44400,0.0,0.0
1993-11-12,4.125,4.125,3.875,4.125,3.678877,5200,0.0,0.0
1993-11-15,3.875,4.125,3.875,3.875,3.455915,5200,0.0,0.0
1993-11-16,3.875,3.875,3.875,3.875,3.455915,200,0.0,0.0
1993-11-17,4.125,4.125,3.875,3.875,3.455915,92000,0.0,0.0
1993-11-18,4.0,4.0,4.0,4.0,3.567396,32200,0.0,0.0
1993-11-19,4.125,4.125,4.0,4.0625,3.623136,45400,0.0,0.0
1993-11-22,4.0,4.0,4.0,4.0,3.567396,16800,0.0,0.0
1993-11-23,3.875,4.0,3.875,4.0,3.567396,6000,0.0,0.0
1993-11-24,3.875,3.875,3.875,3.875,3.455915,20200,0.0,0.0
1993-11-26,3.9375,4.125,3.9375,4.125,3.678877,4400,0.0,0.0
1993-11-29,4.25,4.25,3.875,4.0,3.567396,9400,0.0,0.0
1993-11-30,4.125,4.25,3.875,3.875,3.455915,15000,0.0,0.0
1993-12-01,4.0,4.25,3.875,4.125,3.678877,61200,0.0,0.0
1993-12-02,4.25,4.25,3.875,4.125,3.678877,4600,0.0,0.0
1993-12-03,4.25,4.25,3.875,3.875,3.455915,400,0.0,0.0
1993-12-06,3.875,3.875,3.875,3.875,3.455915,5600,0.0,0.0
1993-12-07,3.875,4.0,3.875,4.0,3.567396,4200,0.0,0.0
1993-12-08,3.875,3.875,3.6875,3.75,3.344434,377000,0.0,0.0
1993-12-09,4.125,4.125,3.75,3.75,3.344434,3600,0.0,0.0
1993-12-10,4.125,4.125,3.75,4.125,3.678877,55400,0.0,0.0
1993-12-13,3.75,4.0,3.75,3.875,3.455915,8400,0.0,0.0
1993-12-14,3.625,4.125,3.625,3.75,3.344434,2200,0.0,0.0
1993-12-15,3.625,4.125,3.625,4.125,3.678877,1600,0.0,0.0
1993-12-16,4.125,4.125,4.125,4.125,3.678877,0,0.0,0.0
1993-12-17,4.0,4.0,3.625,3.625,3.232952,4400,0.0,0.0
1993-12-20,4.125,4.125,4.125,4.125,3.678877,200,0.0,0.0
1993-12-21,4.125,4.125,3.625,4.125,3.678877,49600,0.0,0.0
1993-12-22,4.125,4.125,4.125,4.125,3.678877,0,0.0,0.0
1993-12-23,3.625,4.0,3.625,4.0,3.567396,1000,0.0,0.0
1993-12-27,4.0,4.125,3.625,3.625,3.232952,5200,0.0,0.0
1993-12-28,3.625,4.0,3.625,3.625,3.232952,10400,0.0,0.0
1993-12-29,3.625,3.9375,3.625,3.625,3.232952,3200,0.0,0.0
1993-12-30,4.125,4.125,4.125,4.125,3.678877,200,0.0,0.0
1993-12-31,3.875,4.25,3.875,4.0,3.567396,62400,0.0,0.0
1994-01-03,4.25,4.25,4.0,4.125,3.678877,11000,0.0,0.0
1994-01-04,4.0,4.0,4.0,4.0,3.567396,3000,0.0,0.0
1994-01-05,4.0,4.5,4.0,4.421875,3.943645,42600,0.0,0.0
1994-01-06,4.625,6.125,4.625,5.625,5.016651,1020400,0.0,0.0
1994-01-07,5.625,6.125,5.25,5.375,4.793688,178800,0.0,0.0
1994-01-10,5.5,5.625,5.375,5.5,4.90517,102600,0.0,0.0
1994-01-11,5.375,5.625,5.375,5.5625,4.96091,166000,0.0,0.0
1994-01-12,5.5,5.75,5.5,5.6875,5.072391,15600,0.0,0.0
1994-01-13,5.875,5.875,5.5,5.5,4.90517,3400,0.0,0.0
1994-01-14,5.5,5.875,5.5,5.875,5.239612,50000,0.0,0.0
1994-01-17,5.875,5.875,5.5,5.875,5.239612,16000,0.0,0.0
1994-01-18,5.5625,5.875,5.5,5.75,5.128131,52800,0.0,0.0
1994-01-19,5.5,5.875,5.5,5.875,5.239612,53400,0.0,0.0
