Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1982-10-20,0.304038,0.327425,0.304038,0.304038,0.157937,48103,0.0,0.0
1982-10-21,0.304038,0.327425,0.304038,0.304038,0.157937,38482,0.0,0.0
1982-10-22,0.304038,0.327425,0.304038,0.304038,0.157937,112239,0.0,0.0
1982-10-25,0.311833,0.327425,0.311833,0.311833,0.161986,80171,0.0,0.0
1982-10-26,0.311833,0.327425,0.304038,0.304038,0.157937,192410,0.0,0.0
1982-10-27,0.304038,0.304038,0.304038,0.304038,0.157937,0,0.0,0.0
1982-10-28,0.304038,0.304038,0.304038,0.304038,0.157937,0,0.0,0.0
1982-10-29,0.304038,0.304038,0.304038,0.304038,0.157937,0,0.0,0.0
1982-11-01,0.304038,0.304038,0.304038,0.304038,0.157937,0,0.0,0.0
1982-11-02,0.304038,0.304038,0.304038,0.304038,0.157937,0,0.0,0.0
1982-11-03,0.304038,0.319629,0.304038,0.304038,0.157937,185997,0.0,0.0
1982-11-04,0.304038,0.304038,0.304038,0.304038,0.157937,0,0.0,0.0
1982-11-05,0.304038,0.319629,0.304038,0.304038,0.157937,3207,0.0,0.0
1982-11-08,0.304038,0.319629,0.296242,0.296242,0.153887,32068,0.0,0.0
1982-11-09,0.296242,0.311833,0.288446,0.288446,0.149837,141101,0.0,0.0
1982-11-10,0.288446,0.288446,0.288446,0.288446,0.149837,0,0.0,0.0
1982-11-11,0.296242,0.311833,0.296242,0.296242,0.153887,25655,0.0,0.0
1982-11-12,0.296242,0.296242,0.296242,0.296242,0.153887,0,0.0,0.0
1982-11-15,0.296242,0.296242,0.296242,0.296242,0.153887,0,0.0,0.0
1982-11-16,0.296242,0.311833,0.296242,0.296242,0.153887,6414,0.0,0.0
1982-11-17,0.296242,0.296242,0.296242,0.296242,0.153887,0,0.0,0.0
1982-11-18,0.296242,0.311833,0.296242,0.296242,0.153887,3207,0.0,0.0
1982-11-19,0.296242,0.296242,0.296242,0.296242,0.153887,0,0.0,0.0
1982-11-22,0.304038,0.319629,0.304038,0.304038,0.157937,51309,0.0,0.0
1982-11-23,0.304038,0.304038,0.304038,0.304038,0.157937,0,0.0,0.0
1982-11-24,0.304038,0.311833,0.296242,0.296242,0.153887,3207,0.0,0.0
1982-11-26,0.296242,0.311833,0.296242,0.296242,0.153887,38482,0.0,0.0
1982-11-29,0.296242,0.311833,0.296242,0.296242,0.153887,9621,0.0,0.0
1982-11-30,0.296242,0.311833,0.296242,0.296242,0.153887,0,0.0,0.0
1982-12-01,0.311833,0.327425,0.311833,0.311833,0.161986,179583,0.0,0.0
1982-12-02,0.327425,0.350813,0.327425,0.327425,0.170085,221272,0.0,0.0
1982-12-03,0.389792,0.413179,0.389792,0.389792,0.202483,102619,0.0,0.0
1982-12-06,0.459954,0.491138,0.459954,0.459954,0.238929,205238,0.0,0.0
1982-12-07,0.459954,0.46775,0.444363,0.444363,0.23083,301443,0.0,0.0
1982-12-08,0.444363,0.46775,0.444363,0.444363,0.23083,96205,0.0,0.0
1982-12-09,0.444363,0.46775,0.444363,0.444363,0.23083,44896,0.0,0.0
1982-12-10,0.444363,0.46775,0.444363,0.444363,0.23083,12827,0.0,0.0
1982-12-13,0.452158,0.46775,0.452158,0.452158,0.23488,32068,0.0,0.0
1982-12-14,0.452158,0.483342,0.452158,0.452158,0.23488,371994,0.0,0.0
1982-12-15,0.452158,0.452158,0.452158,0.452158,0.23488,0,0.0,0.0
1982-12-16,0.452158,0.46775,0.3742,0.3742,0.194383,3207,0.0,0.0
