Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1994-12-19,29.375,32.5,29.375,30.0,30.0,38480,0.0,0.0
1994-12-20,31.25,31.25,28.75,29.6875,29.6875,10940,0.0,0.0
1994-12-21,29.6875,30.0,28.75,28.75,28.75,4920,0.0,0.0
1994-12-22,31.25,31.25,28.75,30.0,30.0,2090,0.0,0.0
1994-12-23,30.0,30.0,30.0,30.0,30.0,0,0.0,0.0
1994-12-27,30.0,30.0,30.0,30.0,30.0,0,0.0,0.0
1994-12-28,28.75,29.6875,27.5,27.5,27.5,5550,0.0,0.0
1994-12-29,28.75,28.75,28.75,28.75,28.75,2750,0.0,0.0
1994-12-30,27.5,27.5,27.5,27.5,27.5,300,0.0,0.0
1995-01-03,27.5,27.5,27.5,27.5,27.5,2300,0.0,0.0
1995-01-04,28.75,28.75,28.75,28.75,28.75,210,0.0,0.0
1995-01-05,28.75,30.0,27.5,27.5,27.5,2620,0.0,0.0
1995-01-06,30.0,30.0,27.5,30.0,30.0,2000,0.0,0.0
1995-01-09,30.0,30.0,27.5,30.0,30.0,2100,0.0,0.0
1995-01-10,30.0,30.0,27.5,27.5,27.5,1690,0.0,0.0
1995-01-11,28.75,30.0,27.5,30.0,30.0,2030,0.0,0.0
1995-01-12,27.5,30.0,27.5,30.0,30.0,2440,0.0,0.0
1995-01-13,27.5,30.0,27.5,29.375,29.375,3240,0.0,0.0
1995-01-16,30.0,30.0,27.5,30.0,30.0,1770,0.0,0.0
1995-01-17,29.6875,30.0,27.5,30.0,30.0,1590,0.0,0.0
1995-01-18,27.5,29.375,27.5,27.5,27.5,3740,0.0,0.0
1995-01-19,29.375,29.375,27.5,27.5,27.5,4220,0.0,0.0
1995-01-20,27.5,28.75,27.5,28.75,28.75,7730,0.0,0.0
1995-01-23,27.5,30.0,27.5,28.75,28.75,840,0.0,0.0
1995-01-24,27.5,30.0,27.5,27.5,27.5,2000,0.0,0.0
