Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2020-08-20,10.05,10.47,9.85,9.95,9.95,157800,0.0,0.0
2020-08-21,9.94,9.98,9.9,9.98,9.98,192600,0.0,0.0
2020-08-24,10.0,10.115,9.9,9.97,9.97,50600,0.0,0.0
2020-08-25,9.95,10.01,9.85,10.01,10.01,257700,0.0,0.0
2020-08-26,9.91,10.05,9.91,9.97,9.97,4600,0.0,0.0
2020-08-27,9.99,9.99,9.911,9.955,9.955,9200,0.0,0.0
2020-08-28,9.91,10.05,9.91,10.0,10.0,597800,0.0,0.0
2020-08-31,10.08,10.18,9.9,10.0,10.0,7500,0.0,0.0
2020-09-01,10.1,10.135,9.96,10.11,10.11,281200,0.0,0.0
2020-09-02,10.21,10.72,10.05,10.27,10.27,443800,0.0,0.0
2020-09-03,10.35,10.44,10.15,10.32,10.32,282800,0.0,0.0
2020-09-04,10.48,10.48,10.25,10.34,10.34,139800,0.0,0.0
2020-09-08,10.5,10.57,10.3,10.42,10.42,321300,0.0,0.0
2020-09-09,10.5,10.5,10.3,10.4,10.4,350400,0.0,0.0
2020-09-10,10.5,10.5,10.3,10.32,10.32,59900,0.0,0.0
2020-09-11,10.33,10.5,10.3,10.39,10.39,116100,0.0,0.0
2020-09-14,10.35,10.498,10.3,10.38,10.38,65000,0.0,0.0
2020-09-15,10.32,10.685,10.32,10.528,10.528,353000,0.0,0.0
2020-09-16,10.56,10.6,10.46,10.5,10.5,54200,0.0,0.0
2020-09-17,10.5,10.6,10.35,10.435,10.435,56900,0.0,0.0
2020-09-18,10.36,11.03,10.36,11.03,11.03,84400,0.0,0.0
2020-09-21,10.6,10.845,10.44,10.7,10.7,571300,0.0,0.0
2020-09-22,10.75,10.75,10.433,10.65,10.65,69800,0.0,0.0
2020-09-23,10.52,10.65,10.45,10.65,10.65,68500,0.0,0.0
2020-09-24,10.35,10.72,10.35,10.69,10.69,286100,0.0,0.0
2020-09-25,10.42,10.7,10.35,10.6,10.6,190800,0.0,0.0
2020-09-28,10.58,10.81,10.5,10.62,10.62,19200,0.0,0.0
2020-09-29,10.65,10.97,10.45,10.85,10.85,415400,0.0,0.0
