Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2006-12-19,22.0,23.549999,21.1,21.549999,17.178638,52517300,0.0,0.0
2006-12-20,21.99,22.0,19.809999,20.23,16.1264,13510700,0.0,0.0
2006-12-21,19.879999,20.440001,18.879999,20.059999,15.990887,14750400,0.0,0.0
2006-12-22,20.15,20.18,19.35,19.51,15.552454,3800500,0.0,0.0
2006-12-26,19.700001,20.07,19.4,19.879999,15.847398,1749000,0.0,0.0
2006-12-27,20.0,21.0,20.0,20.700001,16.501064,4178400,0.0,0.0
2006-12-28,20.51,21.120001,20.35,21.02,16.756155,3032000,0.0,0.0
2006-12-29,21.24,21.51,21.0,21.26,16.947472,2690600,0.0,0.0
2007-01-03,21.629999,21.780001,21.209999,21.559999,17.186619,3335300,0.0,0.0
2007-01-04,21.65,22.0,21.530001,21.65,17.258356,2697800,0.0,0.0
2007-01-05,21.6,21.6,20.51,20.780001,16.564837,3467100,0.0,0.0
2007-01-08,20.75,20.76,19.879999,20.0,15.943058,1539200,0.0,0.0
2007-01-09,20.0,20.07,19.5,19.870001,15.839426,2911100,0.0,0.0
2007-01-10,19.74,21.5,19.530001,20.959999,16.708328,4175900,0.0,0.0
2007-01-11,21.09,21.17,20.24,20.610001,16.429316,3482700,0.0,0.0
2007-01-12,20.700001,20.799999,20.26,20.629999,16.445267,1371300,0.0,0.0
2007-01-16,20.940001,21.08,20.450001,20.74,16.532949,2138700,0.0,0.0
2007-01-17,20.790001,21.379999,20.610001,21.209999,16.907608,2450500,0.0,0.0
2007-01-18,21.360001,22.219999,21.299999,22.200001,17.696796,4721200,0.0,0.0
2007-01-19,22.0,22.34,21.360001,21.82,17.393871,4010000,0.0,0.0
2007-01-22,22.07,22.07,21.25,21.32,16.995298,1374300,0.0,0.0
2007-01-23,21.1,21.379999,20.719999,21.040001,16.772099,1782900,0.0,0.0
2007-01-24,21.059999,21.809999,20.85,21.139999,16.85181,3267900,0.0,0.0
2007-01-25,21.549999,21.549999,20.5,20.65,16.461208,4701100,0.0,0.0
2007-01-26,20.65,20.799999,20.25,20.389999,16.253952,2353100,0.0,0.0
2007-01-29,20.35,20.5,20.01,20.049999,15.982917,1210200,0.0,0.0
2007-01-30,20.219999,20.219999,19.129999,19.190001,15.297366,4009800,0.0,0.0
2007-01-31,19.4,19.9,19.25,19.35,15.424907,3478500,0.0,0.0
2007-02-01,19.65,20.379999,19.5,20.219999,16.118429,3106400,0.0,0.0
2007-02-02,20.450001,20.5,20.23,20.42,16.277863,1740300,0.0,0.0
2007-02-05,20.540001,20.700001,19.879999,19.950001,15.903203,1595900,0.0,0.0
2007-02-06,19.84,20.18,19.59,19.6,15.624198,1997100,0.0,0.0
2007-02-07,19.77,19.77,19.139999,19.200001,15.305337,3059600,0.0,0.0
2007-02-08,19.280001,19.299999,18.549999,18.85,15.026331,4921900,0.0,0.0
2007-02-09,18.959999,19.1,18.4,18.620001,14.842987,3436400,0.0,0.0
2007-02-12,18.389999,18.43,17.17,17.450001,13.910316,4688200,0.0,0.0
2007-02-13,17.450001,17.870001,17.27,17.639999,14.061776,4143100,0.0,0.0
2007-02-14,18.040001,18.440001,17.860001,18.209999,14.516157,3085900,0.0,0.0
2007-02-15,18.040001,18.190001,17.799999,18.08,14.412523,2232800,0.0,0.0
2007-02-16,17.950001,18.620001,17.9,18.35,14.627754,1830000,0.0,0.0
2007-02-20,18.4,18.74,18.219999,18.440001,14.699504,1108700,0.0,0.0
2007-02-21,18.459999,18.620001,18.299999,18.440001,14.699504,795700,0.0,0.0
2007-02-22,18.4,18.58,18.200001,18.559999,14.795159,970500,0.0,0.0
2007-02-23,18.4,18.450001,18.27,18.4,14.667614,890200,0.0,0.0
2007-02-26,18.68,18.700001,17.92,18.16,14.476294,1857700,0.0,0.0
2007-02-27,17.5,17.6,16.200001,17.0,13.5516,4057200,0.0,0.0
