Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2026-03-06,19.049999,20.48,18.25,18.49,18.49,8823200,0.0,0.0
2026-03-09,18.5,19.049999,17.940001,18.0,18.0,1945300,0.0,0.0
2026-03-10,18.030001,18.690001,17.98,18.33,18.33,1318000,0.0,0.0
2026-03-11,18.26,18.389999,17.85,18.049999,18.049999,1518800,0.0,0.0
2026-03-12,18.35,18.379999,16.51,16.530001,16.530001,2359200,0.0,0.0
2026-03-13,16.57,17.16,15.18,15.76,15.76,2126400,0.0,0.0
2026-03-16,15.9,16.24,15.55,15.96,15.96,794000,0.0,0.0
2026-03-17,16.02,16.889999,15.97,16.83,16.83,1035600,0.0,0.0
2026-03-18,16.809999,17.549999,16.639999,16.790001,16.790001,1043600,0.0,0.0
2026-03-19,16.75,17.24,16.459999,17.110001,17.110001,399200,0.0,0.0
2026-03-20,17.110001,17.860001,16.26,16.57,16.57,693400,0.0,0.0
2026-03-23,16.889999,17.700001,16.549999,17.1,17.1,522700,0.0,0.0
2026-03-24,17.01,17.200001,16.01,16.309999,16.309999,476300,0.0,0.0
2026-03-25,16.4,16.940001,16.01,16.01,16.01,667300,0.0,0.0
2026-03-26,16.110001,16.379999,15.05,15.27,15.27,867600,0.0,0.0
2026-03-27,15.22,15.55,14.37,14.47,14.47,725600,0.0,0.0
2026-03-30,14.3,15.05,14.1,14.35,14.35,888600,0.0,0.0
2026-03-31,14.73,15.4,14.53,14.92,14.92,1550100,0.0,0.0
2026-04-01,15.08,15.08,14.13,14.48,14.48,992000,0.0,0.0
2026-04-02,14.27,14.97,13.52,14.01,14.01,725600,0.0,0.0
2026-04-06,14.1,14.42,13.18,13.23,13.23,971900,0.0,0.0
2026-04-07,13.15,13.54,12.8,13.2,13.2,1123000,0.0,0.0
2026-04-08,13.55,13.75,13.05,13.56,13.56,692600,0.0,0.0
2026-04-09,13.42,14.09,13.17,13.8,13.8,1265900,0.0,0.0
2026-04-10,14.01,14.7,13.89,13.92,13.92,663600,0.0,0.0
2026-04-13,13.9,14.43,13.75,14.39,14.39,1407400,0.0,0.0
2026-04-14,14.42,15.48,14.42,15.21,15.21,1080400,0.0,0.0
2026-04-15,15.05,15.8,15.05,15.22,15.22,1065900,0.0,0.0
2026-04-16,15.13,15.22,13.84,14.02,14.02,1671100,0.0,0.0
2026-04-17,14.14,15.06,14.01,14.44,14.44,816600,0.0,0.0
2026-04-20,14.35,15.24,13.57,13.81,13.81,566700,0.0,0.0
2026-04-21,13.8,13.82,13.09,13.2,13.2,850200,0.0,0.0
2026-04-22,13.41,13.72,13.07,13.19,13.19,431700,0.0,0.0
2026-04-23,13.2,13.69,12.89,13.63,13.63,907700,0.0,0.0
2026-04-24,13.59,13.59,12.8,13.2,13.2,670200,0.0,0.0
2026-04-27,13.24,13.46,12.77,12.92,12.92,531900,0.0,0.0
2026-04-28,12.92,13.39,12.69,12.94,12.94,642800,0.0,0.0
2026-04-29,12.93,13.04,12.01,12.02,12.02,659700,0.0,0.0
2026-04-30,12.22,12.68,12.05,12.34,12.34,718900,0.0,0.0
2026-05-01,12.35,12.74,12.07,12.11,12.11,580800,0.0,0.0
2026-05-04,12.07,12.41,11.8,11.87,11.87,542100,0.0,0.0
2026-05-05,11.91,12.17,11.52,11.68,11.68,452500,0.0,0.0
2026-05-06,11.68,12.09,11.45,11.79,11.79,439200,0.0,0.0
2026-05-07,11.73,12.15,11.68,11.73,11.73,394400,0.0,0.0
2026-05-08,11.79,12.08,11.25,11.57,11.57,538400,0.0,0.0
2026-05-11,11.6,11.88,11.1,11.16,11.16,579500,0.0,0.0
2026-05-12,11.31,12.11,11.19,11.89,11.89,1054900,0.0,0.0
2026-05-13,11.67,12.02,11.02,11.18,11.18,1116400,0.0,0.0
2026-05-14,11.29,11.39,10.92,11.08,11.08,471800,0.0,0.0
2026-05-15,11.0,11.24,10.65,10.8,10.8,578000,0.0,0.0
2026-05-18,10.8,11.47,10.75,10.88,10.88,631600,0.0,0.0
2026-05-19,10.86,11.35,10.69,10.89,10.89,634800,0.0,0.0
2026-05-20,10.89,11.68,10.75,11.63,11.63,811100,0.0,0.0
2026-05-21,11.63,11.94,11.34,11.72,11.72,617900,0.0,0.0
2026-05-22,11.71,12.19,11.59,11.87,11.87,696300,0.0,0.0
2026-05-26,11.9,11.9,11.17,11.18,11.18,516200,0.0,0.0
2026-05-27,11.29,11.57,10.8,10.8,10.8,730700,0.0,0.0
2026-05-28,10.8,11.7,10.72,11.51,11.51,569900,0.0,0.0
2026-05-29,11.85,12.08,11.29,12.04,12.04,574100,0.0,0.0
2026-06-01,12.04,12.55,11.83,12.0,12.0,1086600,0.0,0.0
2026-06-02,12.0,12.45,11.46,12.3,12.3,1062600,0.0,0.0
2026-06-03,12.72,14.7,12.62,14.26,14.26,2965600,0.0,0.0
2026-06-04,14.26,15.23,14.03,14.06,14.06,1263000,0.0,0.0
2026-06-05,14.23,14.64,14.01,14.23,14.23,457600,0.0,0.0
2026-06-08,14.31,15.0,14.22,14.88,14.88,742200,0.0,0.0
2026-06-09,14.89,15.69,14.74,15.12,15.12,798900,0.0,0.0
2026-06-10,15.18,15.49,14.66,14.71,14.71,748600,0.0,0.0
2026-06-11,14.43,15.54,14.24,15.47,15.47,1413700,0.0,0.0
2026-06-12,15.37,15.68,15.0,15.16,15.16,963100,0.0,0.0
2026-06-15,15.17,15.52,14.87,15.0,15.0,1020000,0.0,0.0
2026-06-16,15.04,15.36,14.7,14.7,14.7,460500,0.0,0.0
2026-06-17,15.02,15.37,14.11,14.17,14.17,561400,0.0,0.0
2026-06-18,14.39,14.96,14.17,14.77,14.77,2855000,0.0,0.0
2026-06-22,14.61,14.96,14.12,14.22,14.22,631500,0.0,0.0
2026-06-23,14.14,14.49,13.73,13.74,13.74,537600,0.0,0.0
2026-06-24,13.97,14.98,13.95,14.13,14.13,1111700,0.0,0.0
2026-06-25,14.25,14.76,13.94,14.22,14.22,653100,0.0,0.0
2026-06-26,14.22,14.67,13.73,14.24,14.24,6306900,0.0,0.0
2026-06-29,14.17,15.13,14.08,14.88,14.88,1339500,0.0,0.0
2026-06-30,14.9,15.55,14.26,14.95,14.95,847100,0.0,0.0
2026-07-01,14.87,15.74,14.87,15.19,15.19,859700,0.0,0.0
2026-07-02,15.34,15.76,15.18,15.59,15.59,447200,0.0,0.0
2026-07-06,15.59,15.85,15.22,15.29,15.29,1031200,0.0,0.0
