Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2014-12-11,14.25,17.5,13.8,17.02,10.316463,19850700,0.0,0.0
2014-12-12,16.5,16.5,14.89,15.15,9.182985,6046700,0.0,0.0
2014-12-15,15.21,15.4,13.6,14.46,8.76475,2894900,0.0,0.0
2014-12-16,14.46,14.46,13.81,13.92,8.437437,1442600,0.0,0.0
2014-12-17,13.8,14.0,13.2,13.29,8.05557,1944600,0.0,0.0
2014-12-18,13.24,14.17,12.91,13.76,8.340454,2092200,0.0,0.0
2014-12-19,13.69,13.69,12.01,12.56,7.613088,2619700,0.0,0.0
2014-12-22,12.29,12.3,10.82,10.83,6.564472,2646200,0.0,0.0
2014-12-23,10.85,12.13,10.84,11.97,7.255469,2734900,0.0,0.0
2014-12-24,12.29,12.379,11.75,12.03,7.291837,678900,0.0,0.0
2014-12-26,12.14,12.35,11.5,11.53,6.988767,779700,0.0,0.0
2014-12-29,11.63,12.195,11.45,11.53,6.988767,516100,0.0,0.0
2014-12-30,11.4,11.95,11.32,11.87,7.194854,300400,0.0,0.0
2014-12-31,11.82,12.22,11.665,12.0,7.273653,474700,0.0,0.0
2015-01-02,12.0,12.8,11.95,12.77,7.740379,781300,0.0,0.0
2015-01-05,12.77,13.63,12.42,13.09,7.934343,1266000,0.0,0.0
2015-01-06,13.21,13.349,11.88,12.16,7.370636,1167800,0.0,0.0
2015-01-07,12.34,12.67,11.99,12.25,7.425187,394600,0.0,0.0
2015-01-08,12.38,12.38,12.06,12.08,7.322143,383200,0.0,0.0
2015-01-09,12.01,12.33,11.75,12.07,7.316082,658400,0.0,0.0
2015-01-12,12.09,12.43,11.76,11.97,7.255469,366100,0.0,0.0
2015-01-13,12.0,12.07,10.05,10.78,6.534165,1321300,0.0,0.0
2015-01-14,10.58,10.88,10.3,10.73,6.503857,653400,0.0,0.0
2015-01-15,10.71,11.4,10.08,11.12,6.740252,530200,0.0,0.0
2015-01-16,11.06,11.189,10.76,10.95,6.637208,149700,0.0,0.0
2015-01-20,10.91,11.15,10.58,10.91,6.612962,270300,0.0,0.0
2015-01-21,10.85,11.34,10.7,11.2,6.788742,208800,0.0,0.0
2015-01-22,11.28,11.28,10.75,10.81,6.552349,712000,0.0,0.0
2015-01-23,10.74,10.9,10.21,10.49,6.358384,761900,0.0,0.0
2015-01-26,10.4,10.67,10.25,10.33,6.261403,226200,0.0,0.0
2015-01-27,10.2,10.25,9.8,10.02,6.0735,608100,0.0,0.0
2015-01-28,10.01,10.46,10.01,10.28,6.231096,571000,0.0,0.0
2015-01-29,10.22,10.28,9.7,9.94,6.025009,710100,0.0,0.0
2015-01-30,9.92,10.0,9.818,9.84,5.964395,250100,0.0,0.0
2015-02-02,9.84,9.98,9.72,9.82,5.952272,285300,0.0,0.0
2015-02-03,9.94,10.35,9.79,10.19,6.176543,316300,0.0,0.0
2015-02-04,10.3,11.73,10.11,10.71,6.491734,704500,0.0,0.0
2015-02-05,10.7,11.17,10.46,10.48,6.352322,393200,0.0,0.0
2015-02-06,10.56,10.83,10.3,10.335,6.264433,194400,0.0,0.0
2015-02-09,10.31,10.5,10.31,10.38,6.291708,130000,0.0,0.0
2015-02-10,10.4,10.64,10.18,10.27,6.225035,183100,0.0,0.0
2015-02-11,10.23,10.441,10.18,10.25,6.212911,81800,0.0,0.0
2015-02-12,10.39,11.59,10.33,11.49,6.964523,598400,0.0,0.0
2015-02-13,11.6,12.17,11.01,11.02,6.679637,754800,0.0,0.0
2015-02-17,11.12,11.364,11.0,11.22,6.800865,148200,0.0,0.0
2015-02-18,11.3,11.3,11.09,11.21,6.794803,98900,0.0,0.0
2015-02-19,11.12,11.405,11.11,11.15,6.758436,47500,0.0,0.0
2015-02-20,11.4,11.58,11.11,11.5,6.970583,204500,0.0,0.0
