Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains
2026-02-12,23.93,24.41,22.540001,22.700001,22.630264,2000,0.0,0.0,0.0
2026-02-13,22.620001,23.540001,22.620001,22.84,22.769833,600,0.0,0.0,0.0
2026-02-17,22.49,23.51,22.07,23.1,23.029036,1000,0.0,0.0,0.0
2026-02-18,23.09,23.27,23.049999,23.129999,23.058943,2200,0.0,0.0,0.0
2026-02-19,22.77,23.440001,22.629999,23.440001,23.367992,15000,0.0,0.0,0.0
2026-02-20,22.49,23.799999,22.49,23.290001,23.218452,13200,0.0,0.0,0.0
2026-02-23,22.15,23.01,21.59,22.35,22.28134,10200,0.0,0.0,0.0
2026-02-24,22.4,23.370001,22.08,22.700001,22.630264,6200,0.0,0.0,0.0
2026-02-25,23.309999,24.139999,23.200001,24.129999,24.05587,8600,0.0,0.0,0.0
2026-02-26,24.25,24.33,22.15,23.139999,23.068913,2000,0.0,0.0,0.0
2026-02-27,23.17,24.5,23.17,24.49,24.414764,2600,0.0,0.0,0.0
2026-03-02,23.26,25.07,23.26,24.01,23.936239,15600,0.0,0.0,0.0
2026-03-03,22.370001,22.51,21.57,22.049999,21.98226,14600,0.0,0.0,0.0
2026-03-04,22.559999,23.0,22.18,22.33,22.2614,3700,0.0,0.0,0.0
2026-03-05,22.82,23.33,20.799999,20.860001,20.795916,67700,0.0,0.0,0.0
2026-03-06,25.57,30.690001,25.5,28.639999,28.552015,125500,0.0,0.0,0.0
2026-03-09,27.33,30.57,25.450001,30.57,30.476086,162400,0.0,0.0,0.0
2026-03-10,30.57,32.09,30.209999,30.940001,30.84495,23600,0.0,0.0,0.0
2026-03-11,31.4,31.940001,29.030001,29.040001,28.950788,21000,0.0,0.0,0.0
2026-03-12,28.6,28.639999,27.18,27.309999,27.226101,17500,0.0,0.0,0.0
2026-03-13,27.4,29.0,26.870001,27.34,27.256008,19300,0.0,0.0,0.0
2026-03-16,28.299999,30.18,28.299999,29.700001,29.608761,38600,0.0,0.0,0.0
2026-03-17,30.0,30.73,28.9,29.15,29.06045,14100,0.0,0.0,0.0
2026-03-18,29.440001,29.92,27.15,27.16,27.076561,19200,0.0,0.0,0.0
2026-03-19,26.48,28.309999,25.860001,28.309999,28.22303,9500,0.0,0.0,0.0
2026-03-20,27.98,28.709999,27.120001,27.26,27.176256,11900,0.0,0.0,0.0
2026-03-23,28.34,29.41,28.110001,28.67,28.581924,28100,0.0,0.0,0.0
2026-03-24,28.02,30.299999,28.02,29.950001,29.908066,12700,0.048,0.0,0.0
2026-03-25,31.370001,33.93,31.370001,33.919998,33.872505,40700,0.0,0.0,0.0
2026-03-26,33.669998,35.23,33.240002,33.41,33.36322,45400,0.0,0.0,0.0
2026-03-27,34.220001,34.220001,30.59,31.459999,31.415949,18300,0.0,0.0,0.0
2026-03-30,32.380001,32.389999,26.1,26.790001,26.752491,12500,0.0,0.0,0.0
2026-03-31,31.889999,34.09,30.09,33.630001,33.582912,57000,0.0,0.0,0.0
2026-04-01,35.0,39.900002,34.73,38.740002,38.68576,153600,0.0,0.0,0.0
2026-04-02,36.110001,39.0,34.759998,39.0,38.945393,63400,0.0,0.0,0.0
2026-04-06,41.099998,42.27,38.349998,40.740002,40.682961,32400,0.0,0.0,0.0
2026-04-07,39.360001,40.68,38.18,40.68,40.623043,69400,0.0,0.0,0.0
2026-04-08,43.98,45.25,41.57,44.470001,44.407734,85100,0.0,0.0,0.0
2026-04-09,48.639999,50.18,47.060001,48.610001,48.541939,69700,0.0,0.0,0.0
2026-04-10,52.380001,56.57,52.07,55.619999,55.542122,127800,0.0,0.0,0.0
2026-04-13,56.82,60.169998,55.669998,58.040001,57.958736,145700,0.0,0.0,0.0
2026-04-14,62.43,62.799999,57.900002,60.279999,60.195595,146400,0.0,0.0,0.0
2026-04-15,59.669998,64.18,58.209999,60.98,60.894615,99500,0.0,0.0,0.0
2026-04-16,58.630001,60.900002,55.389999,59.66,59.576466,88300,0.0,0.0,0.0
2026-04-17,60.900002,65.57,59.66,65.360001,65.268486,115800,0.0,0.0,0.0
2026-04-20,72.940002,74.620003,69.190002,73.18,73.077538,203000,0.0,0.0,0.0
2026-04-21,73.839996,79.949997,73.25,76.400002,76.29303,216500,0.0,0.0,0.0
2026-04-22,79.050003,83.559998,76.190002,82.550003,82.434418,219500,0.0,0.0,0.0
2026-04-23,83.669998,93.480003,83.239998,90.949997,90.822655,223200,0.0,0.0,0.0
2026-04-24,95.5,96.639999,83.019997,89.660004,89.534462,320700,0.0,0.0,0.0
2026-04-27,86.169998,88.519997,75.419998,82.949997,82.833855,237800,0.0,0.0,0.0
2026-04-28,72.25,80.0,70.599998,77.629997,77.521301,196200,0.0,0.0,0.0
2026-04-29,78.440002,81.989998,76.0,81.150002,81.036377,138500,0.0,0.0,0.0
2026-04-30,84.93,90.470001,81.0,89.970001,89.844025,200100,0.0,0.0,0.0
2026-05-01,86.669998,90.989998,83.68,89.580002,89.454575,78200,0.0,0.0,0.0
2026-05-04,91.709999,91.709999,86.779999,88.25,88.126434,72300,0.0,0.0,0.0
2026-05-05,93.660004,98.0,89.160004,93.620003,93.488922,122200,0.0,0.0,0.0
2026-05-06,98.779999,100.639999,89.959999,97.330002,97.193726,126500,0.0,0.0,0.0
2026-05-07,95.959999,95.959999,82.080002,83.120003,83.003624,120800,0.0,0.0,0.0
2026-05-08,88.199997,94.440002,86.75,94.019997,93.888351,169600,0.0,0.0,0.0
2026-05-11,87.029999,98.5,85.559998,94.830002,94.69722,248000,0.0,0.0,0.0
2026-05-12,88.639999,92.379997,80.790001,87.769997,87.647102,199500,0.0,0.0,0.0
2026-05-13,92.529999,106.730003,92.529999,102.260002,102.116821,804200,0.0,0.0,0.0
2026-05-14,105.779999,118.389999,102.0,107.160004,107.009964,587500,0.0,0.0,0.0
2026-05-15,96.629997,106.610001,96.489998,100.440002,100.29937,246800,0.0,0.0,0.0
2026-05-18,106.559998,107.080002,87.510002,91.410004,91.282013,318100,0.0,0.0,0.0
2026-05-19,85.610001,105.68,85.370003,99.029999,98.891342,282600,0.0,0.0,0.0
2026-05-20,108.010002,118.279999,106.529999,111.5,111.34388,313400,0.0,0.0,0.0
2026-05-21,117.919998,120.389999,113.220001,115.959999,115.797638,232600,0.0,0.0,0.0
2026-05-22,121.029999,125.010002,117.989998,122.480003,122.30851,195900,0.0,0.0,0.0
2026-05-26,143.0,148.669998,127.75,137.75,137.557129,334400,0.0,0.0,0.0
2026-05-27,150.539993,150.550003,121.730003,125.529999,125.354233,695400,0.0,0.0,0.0
2026-05-28,124.839996,136.0,119.919998,132.880005,132.693954,705800,0.0,0.0,0.0
2026-05-29,132.240005,137.210007,125.610001,132.399994,132.214615,207000,0.0,0.0,0.0
2026-06-01,125.540001,158.529999,121.169998,150.820007,150.608826,292500,0.0,0.0,0.0
2026-06-02,198.139999,250.479996,197.449997,249.020004,248.671326,1157900,0.0,0.0,0.0
2026-06-03,298.040009,308.769989,255.270004,267.910004,267.534882,1251400,0.0,0.0,0.0
2026-06-04,235.029999,303.679993,225.759995,295.390015,294.97641,862000,0.0,0.0,0.0
2026-06-05,255.740005,263.799988,192.490005,195.240005,194.966629,654400,0.0,0.0,0.0
2026-06-08,233.059998,256.779999,223.009995,233.440002,233.113144,674200,0.0,0.0,0.0
2026-06-09,251.889999,255.0,162.0,198.220001,197.942459,926200,0.0,0.0,0.0
