Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2026-04-15,10.17,10.17,10.0,10.01,10.01,11900,0.0,0.0
2026-04-16,10.01,10.04,10.0,10.04,10.04,1600,0.0,0.0
2026-04-17,10.02,10.06,10.02,10.06,10.06,6100,0.0,0.0
2026-04-20,10.18,10.18,10.01,10.03,10.03,1700,0.0,0.0
2026-04-21,10.03,10.03,10.03,10.03,10.03,0,0.0,0.0
2026-04-22,10.03,10.03,10.03,10.03,10.03,7300,0.0,0.0
2026-04-23,10.03,10.03,10.03,10.03,10.03,0,0.0,0.0
2026-04-24,10.03,10.03,10.03,10.03,10.03,0,0.0,0.0
2026-04-27,10.04,10.05,10.04,10.05,10.05,100200,0.0,0.0
2026-04-28,10.08,10.08,10.08,10.08,10.08,800,0.0,0.0
2026-04-29,10.08,10.08,10.08,10.08,10.08,0,0.0,0.0
2026-04-30,10.08,10.08,10.08,10.08,10.08,0,0.0,0.0
2026-05-01,10.04,10.05,10.04,10.05,10.05,4200,0.0,0.0
2026-05-04,10.05,10.05,10.05,10.05,10.05,5000,0.0,0.0
2026-05-05,10.05,10.05,10.05,10.05,10.05,0,0.0,0.0
2026-05-06,10.1,10.12,10.1,10.12,10.12,8300,0.0,0.0
2026-05-07,10.06,10.06,10.06,10.06,10.06,400,0.0,0.0
2026-05-08,10.06,10.06,10.06,10.06,10.06,0,0.0,0.0
2026-05-11,10.02,10.02,10.02,10.02,10.02,100,0.0,0.0
2026-05-12,10.02,10.02,10.02,10.02,10.02,0,0.0,0.0
2026-05-13,10.04,10.07,10.04,10.07,10.07,13300,0.0,0.0
2026-05-14,10.07,10.07,10.07,10.07,10.07,0,0.0,0.0
2026-05-15,10.07,10.07,10.07,10.07,10.07,0,0.0,0.0
2026-05-18,10.07,10.07,10.07,10.07,10.07,0,0.0,0.0
2026-05-19,10.07,10.07,10.07,10.07,10.07,0,0.0,0.0
2026-05-20,10.06,10.06,10.06,10.06,10.06,1100,0.0,0.0
2026-05-21,10.08,10.08,10.08,10.08,10.08,100,0.0,0.0
2026-05-22,10.08,10.08,10.08,10.08,10.08,0,0.0,0.0
2026-05-26,10.15,10.15,10.15,10.15,10.15,155500,0.0,0.0
2026-05-27,10.15,10.15,10.15,10.15,10.15,4400,0.0,0.0
2026-05-28,10.15,10.15,10.15,10.15,10.15,370300,0.0,0.0
2026-05-29,10.18,10.25,10.15,10.15,10.15,58000,0.0,0.0
2026-06-01,10.15,10.15,10.15,10.15,10.15,0,0.0,0.0
2026-06-02,10.15,10.15,10.15,10.15,10.15,0,0.0,0.0
2026-06-03,10.16,10.22,10.15,10.22,10.22,17900,0.0,0.0
2026-06-04,10.2,10.3,10.15,10.15,10.15,11800,0.0,0.0
2026-06-05,10.15,10.15,10.15,10.15,10.15,0,0.0,0.0
2026-06-08,10.2,10.2,10.2,10.2,10.2,124900,0.0,0.0
2026-06-09,10.16,10.22,10.1,10.16,10.16,12100,0.0,0.0
2026-06-10,10.16,10.16,10.16,10.16,10.16,0,0.0,0.0
2026-06-11,10.13,10.25,10.13,10.25,10.25,32900,0.0,0.0
2026-06-12,10.15,10.16,10.15,10.15,10.15,9200,0.0,0.0
2026-06-15,10.72,11.0,10.19,10.22,10.22,19700,0.0,0.0
2026-06-16,10.39,10.39,10.14,10.18,10.18,26300,0.0,0.0
2026-06-17,11.15,11.8,10.16,10.24,10.24,15700,0.0,0.0
2026-06-18,10.16,10.22,10.13,10.2,10.2,11800,0.0,0.0
2026-06-22,10.16,10.18,10.14,10.15,10.15,17500,0.0,0.0
2026-06-23,10.32,10.32,10.19,10.19,10.19,800,0.0,0.0
2026-06-24,10.17,10.24,10.15,10.16,10.16,7300,0.0,0.0
2026-06-25,10.18,10.2,10.17,10.17,10.17,44900,0.0,0.0
2026-06-26,10.12,10.18,10.1,10.16,10.16,14600,0.0,0.0
2026-06-29,10.3,10.3,10.23,10.23,10.23,3500,0.0,0.0
2026-06-30,10.16,10.21,10.14,10.15,10.15,17500,0.0,0.0
2026-07-01,10.16,10.18,10.16,10.17,10.17,2500,0.0,0.0
2026-07-02,10.16,10.29,10.15,10.16,10.16,14700,0.0,0.0
2026-07-06,10.22,10.26,10.22,10.25,10.25,14900,0.0,0.0
2026-07-07,10.18,10.3,10.17,10.25,10.25,10500,0.0,0.0
2026-07-08,10.14,10.3,10.14,10.3,10.3,4600,0.0,0.0
2026-07-09,10.18,10.29,10.14,10.14,10.14,5600,0.0,0.0
2026-07-10,10.17,10.3,10.17,10.2,10.2,12200,0.0,0.0
2026-07-13,10.27,10.27,10.17,10.21,10.21,5200,0.0,0.0
2026-07-14,10.13,10.22,10.12,10.22,10.22,15000,0.0,0.0
2026-07-15,10.05,10.23,10.03,10.23,10.23,4200,0.0,0.0
2026-07-16,10.125,10.2,10.12,10.2,10.2,10383,0.0,0.0
