Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2014-04-17,15.0,17.379999,15.0,16.99,9.586126,951100,0.0,0.0
2014-04-21,16.969999,17.370001,16.33,16.82,9.490209,444300,0.0,0.0
2014-04-22,16.629999,17.0,16.629999,16.799999,9.478924,576700,0.0,0.0
2014-04-23,16.809999,16.85,16.709999,16.780001,9.467643,1608900,0.0,0.0
2014-04-24,16.85,16.860001,16.450001,16.629999,9.383005,368900,0.0,0.0
2014-04-25,16.9,16.92,16.32,16.889999,9.529701,1086500,0.0,0.0
2014-04-28,16.93,16.93,16.379999,16.67,9.405576,1187900,0.0,0.0
2014-04-29,16.620001,16.879999,16.450001,16.68,9.411217,648500,0.0,0.0
2014-04-30,16.700001,16.700001,16.360001,16.549999,9.337868,26746200,0.0,0.0
2014-05-01,16.120001,17.360001,16.120001,17.0,9.591767,3650100,0.0,0.0
2014-05-02,17.01,17.299999,16.870001,16.950001,9.563556,2995000,0.0,0.0
2014-05-05,16.93,17.26,16.530001,16.809999,9.484568,3978400,0.0,0.0
2014-05-06,16.690001,16.799999,16.25,16.34,9.219381,14309200,0.0,0.0
2014-05-07,16.360001,16.610001,16.26,16.6,9.366078,5692900,0.0,0.0
2014-05-08,16.5,16.639999,16.35,16.450001,9.281447,5668200,0.0,0.0
2014-05-09,16.299999,16.51,16.030001,16.280001,9.18553,2797000,0.0,0.0
2014-05-12,16.280001,16.549999,15.775,15.95,8.999335,6980100,0.0,0.0
2014-05-13,15.78,16.129999,15.78,15.85,8.942916,8292000,0.0,0.0
2014-05-14,15.77,16.040001,15.5,15.74,8.88085,4577500,0.0,0.0
2014-05-15,15.66,16.0,15.59,15.74,8.88085,4919000,0.0,0.0
2014-05-16,15.66,15.95,15.66,15.86,8.948557,2786900,0.0,0.0
2014-05-19,15.76,16.040001,15.664,16.02,9.038832,4532400,0.0,0.0
2014-05-20,16.1,16.165001,15.82,15.94,8.993695,9754800,0.0,0.0
2014-05-21,15.93,16.129999,15.82,15.93,8.98805,1743600,0.0,0.0
2014-05-22,15.84,16.040001,15.8,15.97,9.010619,2128900,0.0,0.0
2014-05-23,16.0,16.129999,15.97,16.07,9.067041,2826400,0.0,0.0
2014-05-27,16.09,16.34,15.79,15.98,9.016261,1726900,0.0,0.0
2014-05-28,16.02,16.049999,15.665,15.68,8.846995,4219100,0.0,0.0
2014-05-29,15.73,15.82,15.53,15.68,8.846995,3463400,0.0,0.0
2014-05-30,15.63,15.91,15.63,15.8,8.914701,5261300,0.0,0.0
2014-06-02,15.84,15.94,15.79,15.81,8.920344,2986800,0.0,0.0
2014-06-03,16.6,16.6,15.74,15.83,8.931627,3483500,0.0,0.0
2014-06-04,15.6,15.96,15.58,15.89,9.051251,3231500,0.15,0.0
2014-06-05,16.030001,16.68,15.9,16.67,9.495554,4582400,0.0,0.0
2014-06-06,16.76,16.950001,16.610001,16.67,9.495554,1622700,0.0,0.0
2014-06-09,16.610001,16.809999,16.370001,16.809999,9.575299,3169300,0.0,0.0
2014-06-10,16.719999,17.0,16.700001,16.799999,9.5696,3441800,0.0,0.0
2014-06-11,16.73,16.969999,16.73,16.879999,9.615171,1857100,0.0,0.0
2014-06-12,16.809999,17.0,16.68,16.74,9.535423,2336400,0.0,0.0
2014-06-13,16.719999,16.860001,16.549999,16.67,9.495554,1485600,0.0,0.0
2014-06-16,16.66,16.889999,16.6,16.780001,9.558211,804900,0.0,0.0
2014-06-17,16.690001,16.959999,16.639999,16.84,9.592385,1268800,0.0,0.0
2014-06-18,16.76,17.120001,16.690001,17.059999,9.717703,2268100,0.0,0.0
2014-06-19,17.01,17.32,16.725,17.190001,9.791758,3754000,0.0,0.0
2014-06-20,17.280001,17.530001,17.15,17.459999,9.945548,3907900,0.0,0.0
2014-06-23,17.450001,17.77,17.450001,17.68,10.070867,4460000,0.0,0.0
2014-06-24,17.66,17.76,17.58,17.655001,10.056626,2609200,0.0,0.0
2014-06-25,17.6,17.76,17.52,17.610001,10.030993,5173500,0.0,0.0
2014-06-26,17.58,17.68,17.530001,17.67,10.06517,931700,0.0,0.0
2014-06-27,17.610001,17.91,17.610001,17.84,10.162008,4649500,0.0,0.0
2014-06-30,17.76,17.98,17.639999,17.709999,10.087956,2023700,0.0,0.0
2014-07-01,17.790001,17.969999,17.77,17.771999,10.123271,2274000,0.0,0.0
2014-07-02,17.75,17.940001,17.635,17.77,10.122131,2509900,0.0,0.0
2014-07-03,17.76,17.889999,17.68,17.700001,10.082262,1953700,0.0,0.0
2014-07-07,17.65,17.77,17.6,17.65,10.053778,1747300,0.0,0.0
2014-07-08,17.6,17.700001,17.440001,17.6,10.025301,4540600,0.0,0.0
2014-07-09,17.6,17.74,17.57,17.719999,10.093653,2496900,0.0,0.0
2014-07-10,17.540001,17.870001,17.5,17.780001,10.12783,2692500,0.0,0.0
2014-07-11,17.809999,17.934999,17.74,17.889999,10.190488,6752700,0.0,0.0
2014-07-14,17.969999,18.065001,17.82,18.0,10.253146,2796700,0.0,0.0
2014-07-15,17.99,18.09,17.645,17.700001,10.082262,3716200,0.0,0.0
2014-07-16,17.709999,17.915001,17.49,17.82,10.150613,3180600,0.0,0.0
2014-07-17,17.690001,18.280001,17.690001,17.700001,10.082262,2805800,0.0,0.0
2014-07-18,17.75,17.75,17.5,17.690001,10.076563,2191700,0.0,0.0
2014-07-21,17.65,17.9,17.57,17.860001,10.1734,2268500,0.0,0.0
2014-07-22,17.879999,17.99,17.83,17.969999,10.236053,1774500,0.0,0.0
2014-07-23,17.950001,18.02,17.91,17.98,10.241755,1414400,0.0,0.0
2014-07-24,17.92,18.15,17.92,17.969999,10.236053,2131800,0.0,0.0
2014-07-25,17.9,18.15,17.780001,17.870001,10.179096,1967600,0.0,0.0
2014-07-28,17.799999,18.049999,17.66,17.99,10.247448,2900400,0.0,0.0
2014-07-29,17.93,18.110001,17.65,17.700001,10.082262,3500400,0.0,0.0
2014-07-30,17.700001,17.969999,17.48,17.58,10.013906,3032300,0.0,0.0
2014-07-31,17.530001,17.959999,17.190001,17.200001,9.797453,3568000,0.0,0.0
2014-08-01,17.200001,17.5,17.139999,17.34,9.877196,1832500,0.0,0.0
2014-08-04,17.32,17.34,16.98,17.17,9.780362,1700400,0.0,0.0
2014-08-05,17.07,17.25,16.879999,16.950001,9.655046,2083500,0.0,0.0
2014-08-06,16.92,17.15,16.860001,16.99,9.677831,2538600,0.0,0.0
2014-08-07,17.040001,17.190001,16.761,16.860001,9.60378,1392800,0.0,0.0
2014-08-08,16.9,17.344999,16.76,17.280001,9.843019,3591800,0.0,0.0
2014-08-11,17.35,17.389999,17.09,17.1,9.740487,1096300,0.0,0.0
2014-08-12,17.110001,17.17,16.940001,17.1,9.740487,1166900,0.0,0.0
2014-08-13,17.15,17.235001,17.07,17.17,9.780362,940900,0.0,0.0
2014-08-14,17.15,17.17,17.040001,17.15,9.76897,1448200,0.0,0.0
2014-08-15,17.16,17.25,16.860001,17.02,9.694921,1595100,0.0,0.0
2014-08-18,17.129999,17.51,17.07,17.379999,9.899981,2932800,0.0,0.0
2014-08-19,17.35,17.459999,17.184999,17.32,9.865807,1413900,0.0,0.0
2014-08-20,17.18,17.565001,17.110001,17.5,9.968335,1279200,0.0,0.0
2014-08-21,17.5,17.540001,17.290001,17.459999,9.945548,1167200,0.0,0.0
2014-08-22,17.42,17.6,17.370001,17.450001,9.939857,1062000,0.0,0.0
2014-08-25,17.48,17.74,17.450001,17.629999,10.042386,769600,0.0,0.0
2014-08-26,17.6,17.74,17.530001,17.610001,10.030993,917000,0.0,0.0
2014-08-27,17.58,17.77,17.58,17.709999,10.087956,840200,0.0,0.0
