Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2024-12-13,5.25,5.88,4.59,5.0,5.0,2387800,0.0,0.0
2024-12-16,5.1,5.17,4.66,5.07,5.07,189000,0.0,0.0
2024-12-17,5.01,5.25,4.88,5.16,5.16,179100,0.0,0.0
2024-12-18,5.24,5.6,5.0,5.22,5.22,85400,0.0,0.0
2024-12-19,5.47,5.47,5.11,5.45,5.45,81100,0.0,0.0
2024-12-20,5.5,5.5,5.153,5.38,5.38,16600,0.0,0.0
2024-12-23,5.49,5.89,5.11,5.22,5.22,79500,0.0,0.0
2024-12-24,5.29,5.45,5.18,5.35,5.35,148100,0.0,0.0
2024-12-26,5.25,5.45,5.212,5.436,5.436,6500,0.0,0.0
2024-12-27,5.49,5.5,5.38,5.4,5.4,5800,0.0,0.0
2024-12-30,5.47,5.99,5.4,5.767,5.767,47700,0.0,0.0
2024-12-31,5.79,5.9,5.79,5.85,5.85,7700,0.0,0.0
2025-01-02,5.84,6.266,5.732,5.84,5.84,76600,0.0,0.0
2025-01-03,5.8,5.895,5.64,5.8,5.8,82000,0.0,0.0
2025-01-06,5.86,6.06,5.3,5.4,5.4,52300,0.0,0.0
2025-01-07,5.47,5.9,5.4,5.635,5.635,17800,0.0,0.0
2025-01-08,5.455,7.8,5.455,6.69,6.69,395800,0.0,0.0
2025-01-10,7.29,7.95,6.5,7.01,7.01,916000,0.0,0.0
2025-01-13,7.3,7.8,6.75,7.3,7.3,547700,0.0,0.0
2025-01-14,7.5,7.583,7.24,7.4,7.4,222900,0.0,0.0
2025-01-15,7.3,7.9,7.15,7.58,7.58,614000,0.0,0.0
2025-01-16,7.46,7.95,7.44,7.76,7.76,426800,0.0,0.0
2025-01-17,7.74,9.26,7.74,9.19,9.19,163000,0.0,0.0
2025-01-21,9.43,9.82,8.0,8.45,8.45,215400,0.0,0.0
2025-01-22,8.15,8.396,6.599,7.38,7.38,147100,0.0,0.0
2025-01-23,7.29,7.29,6.7,7.18,7.18,123400,0.0,0.0
2025-01-24,7.36,7.944,7.07,7.29,7.29,39900,0.0,0.0
2025-01-27,7.2,7.557,7.16,7.23,7.23,18300,0.0,0.0
2025-01-28,7.22,9.86,6.93,8.41,8.41,132800,0.0,0.0
2025-01-29,8.21,9.03,7.64,8.96,8.96,219700,0.0,0.0
2025-01-30,8.89,9.7,8.03,8.28,8.28,62800,0.0,0.0
2025-01-31,8.51,8.725,7.5,7.76,7.76,90200,0.0,0.0
2025-02-03,7.66,7.9,7.2,7.27,7.27,75400,0.0,0.0
