Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains
2024-12-13,14.27,14.303,14.27,14.303,12.818467,500,0.0,0.0,0.0
2024-12-16,14.3,14.3,13.5,13.81,12.376636,27800,0.0,0.0,0.0
2024-12-17,13.19,13.68,12.8,13.468,12.070133,16700,0.0,0.0,0.0
2024-12-18,14.32,14.74,13.1,13.316,11.933908,20600,0.0,0.0,0.0
2024-12-19,13.72,14.169,13.36,13.569,12.160649,30400,0.0,0.0,0.0
2024-12-20,13.169,14.38,13.07,14.279,12.796958,53300,0.0,0.0,0.0
2024-12-23,14.7,15.38,14.45,15.368,13.772928,23000,0.0,0.0,0.0
2024-12-24,15.45,15.84,15.449,15.475,13.868823,14900,0.0,0.0,0.0
2024-12-26,15.33,15.54,15.039,15.45,13.846416,40100,0.0,0.0,0.0
2024-12-27,15.1,15.11,14.329,14.8,13.263882,14600,0.0,0.0,0.0
2024-12-30,14.28,15.38,14.26,14.86,13.317654,14400,0.0,0.0,0.0
2024-12-31,14.77,14.9,14.17,14.196,12.722572,23500,0.0,0.0,0.0
2025-01-02,14.5,15.1,14.291,15.005,13.447604,30200,0.0,0.0,0.0
2025-01-03,15.35,16.381001,15.35,16.34,14.644043,20800,0.0,0.0,0.0
2025-01-06,17.200001,18.004999,17.198,17.48,15.665719,42100,0.0,0.0,0.0
2025-01-07,18.309999,18.309999,15.264,15.303,13.714675,115700,0.0,0.0,0.0
2025-01-08,15.82,16.051001,15.0,15.258,13.674345,76400,0.0,0.0,0.0
2025-01-10,14.66,14.66,13.991,14.345,12.856108,31200,0.0,0.0,0.0
2025-01-13,13.09,13.78,12.95,13.77,12.340788,28700,0.0,0.0,0.0
2025-01-14,14.15,14.49,13.13,13.367,11.979615,32900,0.0,0.0,0.0
2025-01-15,13.94,14.369,13.749,14.358,12.867758,59600,0.0,0.0,0.0
2025-01-16,14.87,14.87,13.79,13.862,12.423239,22300,0.0,0.0,0.0
2025-01-17,14.329,14.77,14.329,14.64,13.120489,22000,0.0,0.0,0.0
2025-01-21,14.95,15.49,14.62,15.28,13.694061,45200,0.0,0.0,0.0
2025-01-22,16.120001,16.75,15.91,16.6,14.877057,86400,0.0,0.0,0.0
2025-01-23,16.110001,16.66,15.9,16.66,14.930829,23000,0.0,0.0,0.0
2025-01-24,16.9,17.0,15.431,15.61,13.98981,96800,0.0,0.0,0.0
2025-01-27,11.67,12.33,9.96,10.33,9.257831,553200,0.0,0.0,0.0
2025-01-28,10.91,12.2,10.0,12.2,10.933741,345500,0.0,0.0,0.0
2025-01-29,11.63,11.67,10.5,11.16,10.001683,352500,0.0,0.0,0.0
2025-01-30,11.0,11.35,10.13,11.35,10.171964,257300,0.0,0.0,0.0
