Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2013-05-01,18.610001,21.48,18.0,20.0,20.0,922600,0.0,0.0
2013-05-02,21.0,21.0,20.01,20.200001,20.200001,707700,0.0,0.0
2013-05-03,20.190001,20.65,20.190001,20.4,20.4,597000,0.0,0.0
2013-05-06,20.049999,21.75,19.01,21.440001,21.440001,1854900,0.0,0.0
2013-05-07,21.5,22.5,21.5,22.379999,22.379999,2932500,0.0,0.0
2013-05-08,22.360001,24.75,22.360001,24.450001,24.450001,3468000,0.0,0.0
2013-05-09,24.75,25.780001,23.01,24.25,24.25,2308600,0.0,0.0
2013-05-10,24.040001,24.780001,23.27,23.889999,23.889999,820600,0.0,0.0
2013-05-13,23.57,23.940001,22.799999,23.040001,23.040001,791700,0.0,0.0
2013-05-14,22.82,23.200001,22.32,22.84,22.84,672300,0.0,0.0
2013-05-15,22.799999,23.0,22.4,22.75,22.75,1212800,0.0,0.0
2013-05-16,23.5,23.85,22.93,23.67,23.67,2347300,0.0,0.0
2013-05-17,24.5,26.15,24.280001,26.030001,26.030001,2242400,0.0,0.0
2013-05-20,26.51,27.25,26.23,27.16,27.16,1452200,0.0,0.0
2013-05-21,27.02,27.200001,26.209999,26.77,26.77,537500,0.0,0.0
2013-05-22,26.799999,26.9,25.51,25.93,25.93,431900,0.0,0.0
2013-05-23,25.059999,25.639999,24.65,25.34,25.34,1036800,0.0,0.0
2013-05-24,25.65,25.65,24.5,24.75,24.75,599700,0.0,0.0
2013-05-28,24.870001,25.25,24.799999,25.040001,25.040001,312400,0.0,0.0
2013-05-29,24.440001,25.09,24.440001,24.940001,24.940001,327600,0.0,0.0
2013-05-30,24.559999,25.379999,24.559999,25.25,25.25,633600,0.0,0.0
2013-05-31,25.049999,25.32,24.700001,25.200001,25.200001,161400,0.0,0.0
2013-06-03,24.860001,25.809999,24.5,25.58,25.58,1577200,0.0,0.0
2013-06-04,25.18,25.709999,25.07,25.57,25.57,1018000,0.0,0.0
2013-06-05,25.209999,25.98,25.07,25.450001,25.450001,753300,0.0,0.0
2013-06-06,25.26,25.969999,25.129999,25.690001,25.690001,879300,0.0,0.0
2013-06-07,25.379999,25.879999,25.379999,25.75,25.75,191300,0.0,0.0
2013-06-10,25.709999,26.309999,25.43,26.07,26.07,576500,0.0,0.0
2013-06-11,26.34,26.34,25.26,25.49,25.49,474000,0.0,0.0
2013-06-12,24.77,26.0,24.77,24.959999,24.959999,425500,0.0,0.0
2013-06-13,25.08,25.790001,24.790001,25.1,25.1,536900,0.0,0.0
2013-06-14,24.92,24.940001,24.32,24.440001,24.440001,253600,0.0,0.0
2013-06-17,24.879999,25.200001,24.74,24.84,24.84,564800,0.0,0.0
2013-06-18,24.719999,25.0,24.620001,24.84,24.84,579300,0.0,0.0
2013-06-19,24.639999,25.0,24.639999,24.950001,24.950001,580700,0.0,0.0
2013-06-20,24.530001,24.84,24.16,24.389999,24.389999,1047800,0.0,0.0
2013-06-21,24.34,24.57,23.459999,23.629999,23.629999,2935200,0.0,0.0
2013-06-24,23.219999,23.6,21.209999,22.620001,22.620001,2261200,0.0,0.0
2013-06-25,22.67,22.99,22.57,22.860001,22.860001,539000,0.0,0.0
2013-06-26,23.27,23.32,22.68,22.700001,22.700001,525100,0.0,0.0
2013-06-27,23.0,23.559999,22.68,23.4,23.4,479600,0.0,0.0
2013-06-28,23.35,24.02,23.299999,23.83,23.83,6909000,0.0,0.0
2013-07-01,23.629999,24.25,23.530001,23.879999,23.879999,369000,0.0,0.0
2013-07-02,23.790001,23.870001,22.41,23.24,23.24,347900,0.0,0.0
2013-07-03,23.059999,23.280001,22.469999,22.91,22.91,362000,0.0,0.0
2013-07-05,23.66,23.66,22.23,22.4,22.4,309700,0.0,0.0
2013-07-08,22.530001,23.6,22.48,23.540001,23.540001,320600,0.0,0.0
2013-07-09,23.379999,23.58,23.01,23.26,23.26,311800,0.0,0.0
2013-07-10,23.18,23.450001,22.91,23.09,23.09,299400,0.0,0.0
2013-07-11,23.32,23.35,23.01,23.309999,23.309999,472000,0.0,0.0
2013-07-12,23.34,24.0,23.280001,23.889999,23.889999,361700,0.0,0.0
2013-07-15,24.0,24.0,23.559999,23.99,23.99,328800,0.0,0.0
2013-07-16,23.950001,24.639999,23.950001,24.6,24.6,453200,0.0,0.0
2013-07-17,24.719999,25.42,24.43,24.959999,24.959999,762600,0.0,0.0
2013-07-18,25.0,25.540001,25.0,25.33,25.33,434000,0.0,0.0
2013-07-19,25.15,25.25,24.65,24.98,24.98,332100,0.0,0.0
2013-07-22,24.68,25.25,24.68,24.98,24.98,314900,0.0,0.0
2013-07-23,25.129999,25.389999,24.799999,24.9,24.9,340900,0.0,0.0
2013-07-24,24.92,25.209999,24.889999,24.969999,24.969999,328600,0.0,0.0
2013-07-25,25.0,25.209999,24.809999,24.99,24.99,199000,0.0,0.0
2013-07-26,24.75,25.299999,24.75,25.02,25.02,163200,0.0,0.0
2013-07-29,24.83,25.299999,24.440001,24.49,24.49,142500,0.0,0.0
2013-07-30,24.65,25.01,24.139999,24.379999,24.379999,158700,0.0,0.0
2013-07-31,24.370001,25.34,24.139999,25.040001,25.040001,637200,0.0,0.0
2013-08-01,25.200001,25.65,25.200001,25.43,25.43,471600,0.0,0.0
2013-08-02,25.27,25.700001,24.809999,24.85,24.85,320000,0.0,0.0
2013-08-05,24.799999,25.17,24.700001,24.93,24.93,240800,0.0,0.0
2013-08-06,24.950001,24.950001,24.27,24.65,24.65,263700,0.0,0.0
2013-08-07,24.6,25.25,24.219999,25.15,25.15,273800,0.0,0.0
2013-08-08,25.34,25.360001,24.780001,25.0,25.0,165300,0.0,0.0
2013-08-09,24.879999,25.209999,24.52,24.719999,24.719999,167700,0.0,0.0
2013-08-12,24.620001,24.68,23.99,24.24,24.24,322900,0.0,0.0
2013-08-13,24.18,24.389999,24.049999,24.200001,24.200001,185400,0.0,0.0
2013-08-14,24.129999,25.129999,24.129999,24.540001,24.540001,302100,0.0,0.0
2013-08-15,24.620001,24.620001,23.76,23.860001,23.860001,272400,0.0,0.0
2013-08-16,23.700001,23.969999,23.6,23.610001,23.610001,217400,0.0,0.0
2013-08-19,23.6,23.85,23.32,23.41,23.41,151000,0.0,0.0
2013-08-20,23.5,23.860001,23.02,23.4,23.4,184000,0.0,0.0
2013-08-21,23.25,23.75,22.66,23.059999,23.059999,240800,0.0,0.0
2013-08-22,23.190001,23.74,23.01,23.41,23.41,105000,0.0,0.0
2013-08-23,23.4,24.0,22.91,22.99,22.99,142700,0.0,0.0
2013-08-26,23.16,23.77,23.120001,23.139999,23.139999,83800,0.0,0.0
2013-08-27,22.74,23.33,22.73,22.83,22.83,215100,0.0,0.0
2013-08-28,22.83,22.9,22.59,22.82,22.82,96400,0.0,0.0
2013-08-29,22.790001,23.4,22.360001,22.469999,22.469999,177000,0.0,0.0
2013-08-30,22.4,22.58,22.059999,22.16,22.16,165000,0.0,0.0
2013-09-03,22.4,23.139999,22.290001,22.360001,22.360001,165600,0.0,0.0
2013-09-04,22.290001,22.290001,21.780001,21.9,21.9,1006500,0.0,0.0
2013-09-05,21.860001,21.879999,21.370001,21.389999,21.389999,484700,0.0,0.0
2013-09-06,21.5,21.76,21.25,21.540001,21.540001,332100,0.0,0.0
2013-09-09,21.549999,21.58,20.809999,20.889999,20.889999,1238600,0.0,0.0
2013-09-10,21.0,21.02,19.6,19.82,19.82,1845900,0.0,0.0
2013-09-11,19.67,19.93,17.639999,18.82,18.82,3021600,0.0,0.0
2013-09-12,18.9,19.469999,18.9,19.370001,19.370001,1638000,0.0,0.0
2013-09-13,19.469999,20.16,19.370001,20.02,20.02,1142700,0.0,0.0
2013-09-16,20.24,20.25,19.91,20.01,20.01,503300,0.0,0.0
2013-09-17,19.99,20.07,19.799999,20.040001,20.040001,343800,0.0,0.0
2013-09-18,19.98,20.200001,19.719999,20.08,20.08,633500,0.0,0.0
2013-09-19,20.07,20.389999,19.58,19.709999,19.709999,537000,0.0,0.0
2013-09-20,19.73,19.91,19.559999,19.809999,19.809999,752800,0.0,0.0
2013-09-23,19.799999,19.940001,19.5,19.559999,19.559999,425600,0.0,0.0
2013-09-24,19.639999,19.9,19.309999,19.559999,19.559999,407400,0.0,0.0
2013-09-25,19.610001,20.0,19.4,19.59,19.59,311400,0.0,0.0
2013-09-26,19.58,19.959999,19.35,19.49,19.49,276000,0.0,0.0
2013-09-27,19.360001,19.450001,18.85,18.940001,18.940001,638100,0.0,0.0
2013-09-30,18.799999,18.799999,18.1,18.139999,18.139999,540200,0.0,0.0
2013-10-01,18.09,18.27,17.48,17.540001,17.540001,624600,0.0,0.0
2013-10-02,17.459999,17.860001,17.33,17.76,17.76,295100,0.0,0.0
2013-10-03,17.700001,17.74,16.98,17.18,17.18,508800,0.0,0.0
2013-10-04,17.129999,17.690001,17.129999,17.48,17.48,551700,0.0,0.0
2013-10-07,17.370001,17.75,17.110001,17.559999,17.559999,343500,0.0,0.0
2013-10-08,17.559999,17.690001,16.65,16.719999,16.719999,1273400,0.0,0.0
2013-10-09,16.77,16.809999,15.03,15.54,15.54,3142500,0.0,0.0
2013-10-10,15.75,16.73,15.5,16.719999,16.719999,1182500,0.0,0.0
2013-10-11,16.75,17.92,16.459999,17.91,17.91,1172700,0.0,0.0
2013-10-14,17.82,17.9,17.4,17.719999,17.719999,775500,0.0,0.0
2013-10-15,17.719999,17.83,17.120001,17.5,17.5,472700,0.0,0.0
2013-10-16,17.57,18.450001,17.41,18.360001,18.360001,514200,0.0,0.0
2013-10-17,18.309999,18.49,17.950001,18.209999,18.209999,375100,0.0,0.0
2013-10-18,18.370001,18.870001,18.290001,18.799999,18.799999,419600,0.0,0.0
2013-10-21,18.77,18.790001,18.32,18.379999,18.379999,252800,0.0,0.0
2013-10-22,18.379999,19.23,18.35,19.209999,19.209999,541900,0.0,0.0
2013-10-23,19.18,19.43,18.82,19.43,19.43,644500,0.0,0.0
2013-10-24,19.309999,20.940001,19.309999,20.6,20.6,2116400,0.0,0.0
2013-10-25,20.790001,20.879999,20.17,20.67,20.67,239400,0.0,0.0
2013-10-28,20.65,21.08,20.5,20.75,20.75,341500,0.0,0.0
2013-10-29,20.74,21.030001,20.24,20.75,20.75,351400,0.0,0.0
2013-10-30,20.860001,20.860001,20.389999,20.51,20.51,255700,0.0,0.0
2013-10-31,20.459999,20.540001,20.09,20.190001,20.190001,165200,0.0,0.0
2013-11-01,20.15,20.93,19.85,20.799999,20.799999,409700,0.0,0.0
2013-11-04,20.870001,20.93,20.469999,20.809999,20.809999,359900,0.0,0.0
2013-11-05,20.690001,20.879999,20.389999,20.58,20.58,335500,0.0,0.0
2013-11-06,20.700001,20.719999,20.379999,20.450001,20.450001,151000,0.0,0.0
2013-11-07,20.49,20.66,19.950001,19.969999,19.969999,237100,0.0,0.0
2013-11-08,20.059999,21.01,20.059999,20.75,20.75,440200,0.0,0.0
2013-11-11,20.719999,20.92,20.42,20.870001,20.870001,267900,0.0,0.0
2013-11-12,20.860001,21.1,20.25,20.65,20.65,463600,0.0,0.0
2013-11-13,20.58,21.15,20.27,21.0,21.0,695700,0.0,0.0
2013-11-14,21.59,22.299999,21.25,21.639999,21.639999,1576900,0.0,0.0
2013-11-15,21.73,22.84,21.440001,22.530001,22.530001,1112200,0.0,0.0
2013-11-18,22.6,22.790001,22.24,22.25,22.25,634000,0.0,0.0
2013-11-19,22.190001,23.299999,21.700001,23.219999,23.219999,1051900,0.0,0.0
2013-11-20,23.290001,23.65,22.57,22.85,22.85,465000,0.0,0.0
2013-11-21,22.99,23.6,22.93,23.120001,23.120001,619700,0.0,0.0
2013-11-22,23.200001,23.41,22.889999,23.209999,23.209999,414000,0.0,0.0
2013-11-25,23.42,24.07,23.42,23.49,23.49,401700,0.0,0.0
2013-11-26,23.49,23.76,23.32,23.42,23.42,369500,0.0,0.0
2013-11-27,23.51,23.99,23.43,23.58,23.58,370100,0.0,0.0
2013-11-29,23.74,24.049999,23.52,23.65,23.65,147400,0.0,0.0
2013-12-02,23.75,24.01,23.41,23.65,23.65,440300,0.0,0.0
2013-12-03,23.68,23.809999,22.889999,23.1,23.1,545000,0.0,0.0
2013-12-04,22.959999,24.0,22.9,23.879999,23.879999,825400,0.0,0.0
2013-12-05,23.85,23.92,23.129999,23.17,23.17,358900,0.0,0.0
2013-12-06,23.440001,23.780001,23.299999,23.42,23.42,357200,0.0,0.0
2013-12-09,23.43,23.610001,23.040001,23.18,23.18,280800,0.0,0.0
2013-12-10,23.08,23.25,22.52,22.52,22.52,601100,0.0,0.0
2013-12-11,22.5,22.52,21.540001,21.84,21.84,1006700,0.0,0.0
2013-12-12,21.74,22.129999,21.309999,21.389999,21.389999,1328300,0.0,0.0
2013-12-13,21.43,21.51,20.379999,20.440001,20.440001,1399400,0.0,0.0
2013-12-16,20.5,20.73,20.33,20.610001,20.610001,392800,0.0,0.0
2013-12-17,20.629999,21.16,20.4,20.83,20.83,605900,0.0,0.0
2013-12-18,20.83,20.940001,20.25,20.68,20.68,412900,0.0,0.0
2013-12-19,20.629999,21.299999,20.52,20.889999,20.889999,649500,0.0,0.0
2013-12-20,20.99,21.030001,20.4,20.629999,20.629999,606300,0.0,0.0
2013-12-23,22.459999,23.5,21.32,23.15,23.15,1488800,0.0,0.0
2013-12-24,23.15,24.09,23.15,23.98,23.98,629300,0.0,0.0
2013-12-26,24.040001,25.16,23.9,24.91,24.91,823300,0.0,0.0
2013-12-27,24.73,25.120001,24.389999,24.690001,24.690001,525900,0.0,0.0
2013-12-30,24.75,24.84,24.129999,24.18,24.18,502100,0.0,0.0
2013-12-31,24.26,24.719999,24.18,24.559999,24.559999,351600,0.0,0.0
2014-01-02,24.57,24.67,24.120001,24.35,24.35,415700,0.0,0.0
2014-01-03,24.370001,24.959999,24.120001,24.200001,24.200001,699400,0.0,0.0
2014-01-06,24.51,24.639999,23.68,23.969999,23.969999,644100,0.0,0.0
2014-01-07,24.049999,24.370001,23.549999,23.76,23.76,942700,0.0,0.0
2014-01-08,23.709999,24.02,23.629999,23.959999,23.959999,537300,0.0,0.0
2014-01-09,24.110001,24.110001,23.639999,23.77,23.77,460000,0.0,0.0
2014-01-10,23.780001,23.969999,23.5,23.860001,23.860001,497900,0.0,0.0
2014-01-13,23.84,23.870001,23.26,23.440001,23.440001,404000,0.0,0.0
2014-01-14,23.5,23.99,23.309999,23.870001,23.870001,488900,0.0,0.0
2014-01-15,23.99,24.42,22.91,23.26,23.26,1006000,0.0,0.0
2014-01-16,23.4,24.139999,23.209999,24.049999,24.049999,724900,0.0,0.0
2014-01-17,24.16,24.6,23.98,24.26,24.26,806600,0.0,0.0
2014-01-21,24.58,24.780001,24.200001,24.709999,24.709999,722200,0.0,0.0
2014-01-22,24.83,24.940001,24.48,24.709999,24.709999,519400,0.0,0.0
2014-01-23,24.5,24.860001,24.16,24.370001,24.370001,388200,0.0,0.0
2014-01-24,24.290001,24.299999,23.33,24.01,24.01,989700,0.0,0.0
2014-01-27,24.18,24.26,23.5,24.049999,24.049999,1084900,0.0,0.0
2014-01-28,24.26,24.5,23.93,24.219999,24.219999,674200,0.0,0.0
2014-01-29,23.9,24.549999,23.68,23.719999,23.719999,588900,0.0,0.0
2014-01-30,23.85,23.98,23.51,23.59,23.59,360000,0.0,0.0
2014-01-31,23.41,23.889999,23.030001,23.440001,23.440001,394300,0.0,0.0
2014-02-03,23.33,23.9,22.549999,22.629999,22.629999,1577300,0.0,0.0
2014-02-04,22.75,23.040001,22.219999,22.389999,22.389999,825900,0.0,0.0
2014-02-05,22.219999,23.540001,22.0,23.35,23.35,794800,0.0,0.0
2014-02-06,23.35,23.57,22.57,22.99,22.99,593400,0.0,0.0
2014-02-07,22.950001,23.030001,22.34,23.01,23.01,655900,0.0,0.0
2014-02-10,22.91,23.52,22.91,23.42,23.42,425100,0.0,0.0
2014-02-11,23.51,24.280001,23.51,24.040001,24.040001,556000,0.0,0.0
2014-02-12,24.129999,24.93,24.0,24.75,24.75,658100,0.0,0.0
2014-02-13,24.49,25.200001,24.299999,25.18,25.18,729600,0.0,0.0
2014-02-14,25.129999,25.540001,25.120001,25.52,25.52,451900,0.0,0.0
2014-02-18,25.59,26.08,25.5,25.959999,25.959999,738100,0.0,0.0
2014-02-19,25.85,26.280001,25.65,26.059999,26.059999,493800,0.0,0.0
2014-02-20,26.030001,26.190001,25.719999,26.01,26.01,480400,0.0,0.0
2014-02-21,26.139999,26.58,25.950001,26.290001,26.290001,809700,0.0,0.0
2014-02-24,26.32,27.52,26.17,27.379999,27.379999,917500,0.0,0.0
2014-02-25,27.379999,28.549999,27.379999,28.48,28.48,1547200,0.0,0.0
2014-02-26,28.59,31.73,28.51,31.120001,31.120001,3241800,0.0,0.0
2014-02-27,30.940001,33.099998,30.700001,32.84,32.84,2201500,0.0,0.0
2014-02-28,32.990002,34.790001,32.700001,34.560001,34.560001,2187700,0.0,0.0
2014-03-03,34.799999,34.799999,32.77,33.099998,33.099998,1402900,0.0,0.0
2014-03-04,32.240002,35.610001,32.009998,34.490002,34.490002,3649100,0.0,0.0
2014-03-05,34.509998,34.990002,34.139999,34.68,34.68,1157600,0.0,0.0
2014-03-06,34.490002,34.810001,34.049999,34.48,34.48,593500,0.0,0.0
2014-03-07,34.650002,34.669998,34.150002,34.470001,34.470001,450200,0.0,0.0
2014-03-10,34.5,34.830002,33.84,33.990002,33.990002,613400,0.0,0.0
2014-03-11,33.360001,33.830002,30.469999,31.379999,31.379999,2550000,0.0,0.0
2014-03-12,31.1,32.330002,29.719999,32.25,32.25,1294900,0.0,0.0
2014-03-13,32.450001,32.549999,31.35,31.940001,31.940001,655200,0.0,0.0
2014-03-14,31.799999,32.34,31.450001,31.940001,31.940001,603000,0.0,0.0
2014-03-17,32.049999,32.66,32.049999,32.240002,32.240002,645900,0.0,0.0
2014-03-18,32.23,32.970001,31.870001,32.75,32.75,479700,0.0,0.0
2014-03-19,32.709999,32.970001,32.279999,32.82,32.82,410900,0.0,0.0
2014-03-20,32.669998,32.900002,32.310001,32.349998,32.349998,379900,0.0,0.0
2014-03-21,32.57,32.720001,32.200001,32.490002,32.490002,904200,0.0,0.0
2014-03-24,32.580002,33.0,31.83,32.860001,32.860001,344100,0.0,0.0
2014-03-25,33.029999,33.5,32.5,32.740002,32.740002,388900,0.0,0.0
2014-03-26,33.029999,33.029999,31.309999,31.83,31.83,687800,0.0,0.0
2014-03-27,31.76,33.0,30.6,31.02,31.02,846800,0.0,0.0
2014-03-28,29.530001,31.040001,29.5,30.200001,30.200001,1606200,0.0,0.0
2014-03-31,30.469999,31.469999,30.389999,31.030001,31.030001,664600,0.0,0.0
2014-04-01,31.030001,31.25,30.52,31.0,31.0,1024800,0.0,0.0
2014-04-02,30.969999,31.049999,30.51,30.780001,30.780001,414700,0.0,0.0
2014-04-03,30.940001,31.01,30.620001,30.75,30.75,393700,0.0,0.0
2014-04-04,30.969999,31.27,30.360001,30.469999,30.469999,610600,0.0,0.0
2014-04-07,30.24,30.34,29.049999,29.35,29.35,666100,0.0,0.0
2014-04-08,29.389999,29.559999,28.68,29.09,29.09,476500,0.0,0.0
2014-04-09,29.17,30.27,29.030001,30.23,30.23,340300,0.0,0.0
2014-04-10,30.219999,30.219999,28.639999,28.809999,28.809999,489200,0.0,0.0
2014-04-11,28.52,28.67,28.02,28.25,28.25,604200,0.0,0.0
2014-04-14,28.6,28.67,28.049999,28.08,28.08,389300,0.0,0.0
2014-04-15,28.1,28.610001,27.66,28.459999,28.459999,534200,0.0,0.0
2014-04-16,28.77,29.35,28.58,28.76,28.76,581100,0.0,0.0
2014-04-17,28.790001,29.030001,28.280001,28.82,28.82,613800,0.0,0.0
2014-04-21,28.690001,28.92,28.280001,28.49,28.49,287900,0.0,0.0
2014-04-22,30.1,32.200001,30.049999,31.969999,31.969999,1806700,0.0,0.0
2014-04-23,32.060001,32.139999,30.309999,30.59,30.59,551800,0.0,0.0
2014-04-24,30.719999,30.719999,30.040001,30.58,30.58,320700,0.0,0.0
2014-04-25,30.33,30.629999,29.65,29.91,29.91,403300,0.0,0.0
2014-04-28,29.950001,30.530001,29.040001,29.15,29.15,357800,0.0,0.0
2014-04-29,29.379999,29.99,29.309999,29.780001,29.780001,252100,0.0,0.0
2014-04-30,29.75,30.24,28.59,30.18,30.18,614900,0.0,0.0
2014-05-01,30.030001,30.639999,29.360001,29.969999,29.969999,381500,0.0,0.0
2014-05-02,29.93,30.530001,29.59,29.950001,29.950001,326300,0.0,0.0
2014-05-05,29.66,30.42,29.0,29.790001,29.790001,350000,0.0,0.0
2014-05-06,29.76,30.139999,29.16,29.41,29.41,445300,0.0,0.0
2014-05-07,29.450001,29.690001,28.709999,29.610001,29.610001,526100,0.0,0.0
2014-05-08,29.16,30.219999,29.15,29.540001,29.540001,505200,0.0,0.0
2014-05-09,29.42,29.93,28.98,29.780001,29.780001,279200,0.0,0.0
2014-05-12,29.860001,30.59,29.41,29.91,29.91,615700,0.0,0.0
2014-05-13,31.0,31.25,28.969999,29.93,29.93,962900,0.0,0.0
2014-05-14,29.959999,30.75,29.65,29.860001,29.860001,488300,0.0,0.0
2014-05-15,29.76,29.799999,28.629999,29.27,29.27,633000,0.0,0.0
2014-05-16,29.200001,29.530001,28.709999,29.52,29.52,380500,0.0,0.0
2014-05-19,29.309999,29.309999,28.719999,29.08,29.08,463900,0.0,0.0
2014-05-20,28.870001,28.870001,28.1,28.59,28.59,612600,0.0,0.0
2014-05-21,28.73,28.809999,27.379999,28.190001,28.190001,504200,0.0,0.0
2014-05-22,28.18,28.42,27.91,28.059999,28.059999,283200,0.0,0.0
2014-05-23,28.129999,28.389999,27.610001,28.24,28.24,317800,0.0,0.0
2014-05-27,27.01,28.690001,27.01,28.290001,28.290001,363800,0.0,0.0
2014-05-28,28.040001,28.92,28.040001,28.299999,28.299999,357600,0.0,0.0
2014-05-29,28.32,28.549999,27.98,28.299999,28.299999,263600,0.0,0.0
2014-05-30,28.389999,28.549999,28.01,28.17,28.17,332300,0.0,0.0
2014-06-02,28.15,28.51,27.709999,28.42,28.42,344200,0.0,0.0
2014-06-03,28.190001,28.469999,27.809999,28.25,28.25,269100,0.0,0.0
2014-06-04,28.15,28.59,27.82,28.450001,28.450001,194400,0.0,0.0
2014-06-05,28.51,29.52,28.26,29.26,29.26,284800,0.0,0.0
2014-06-06,29.459999,30.290001,29.42,30.15,30.15,448300,0.0,0.0
2014-06-09,30.09,30.33,29.809999,29.879999,29.879999,236600,0.0,0.0
2014-06-10,29.719999,30.209999,29.469999,29.5,29.5,219400,0.0,0.0
2014-06-11,29.309999,29.68,28.709999,28.98,28.98,344600,0.0,0.0
2014-06-12,28.969999,28.969999,28.370001,28.75,28.75,324200,0.0,0.0
