Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2001-12-19,15.0,15.0,15.0,15.0,1.29047,1722400,0.0,0.0
2001-12-20,15.0,15.0,15.0,15.0,1.29047,0,0.0,0.0
2001-12-21,15.0,15.0,15.0,15.0,1.29047,75800,0.0,0.0
2001-12-24,15.0,15.0,14.48,15.0,1.29047,190700,0.0,0.0
2001-12-26,15.0,15.0,15.0,15.0,1.29047,74900,0.0,0.0
2001-12-27,15.01,15.04,15.0,15.03,1.293051,54900,0.0,0.0
2001-12-28,15.05,15.05,15.0,15.05,1.294771,33500,0.0,0.0
2001-12-31,15.02,15.08,15.0,15.02,1.29219,40500,0.0,0.0
2002-01-02,15.0,15.08,15.0,15.04,1.293911,146100,0.0,0.0
2002-01-03,15.07,15.1,15.01,15.1,1.299073,67100,0.0,0.0
2002-01-04,15.12,15.14,15.02,15.08,1.297352,58700,0.0,0.0
2002-01-07,15.05,15.08,15.02,15.02,1.29219,74100,0.0,0.0
2002-01-08,15.02,15.07,15.0,15.07,1.296491,105800,0.0,0.0
2002-01-09,15.08,15.09,15.01,15.05,1.294771,72100,0.0,0.0
2002-01-10,15.02,15.12,15.02,15.09,1.298213,51800,0.0,0.0
2002-01-11,15.09,15.1,15.01,15.05,1.294771,46300,0.0,0.0
2002-01-14,15.09,15.15,15.05,15.06,1.295632,101700,0.0,0.0
2002-01-15,15.1,15.25,15.05,15.06,1.295632,95000,0.0,0.0
2002-01-16,15.1,15.2,15.03,15.1,1.299073,87800,0.0,0.0
2002-01-17,15.15,15.24,15.05,15.2,1.307676,152700,0.0,0.0
2002-01-18,15.2,15.25,15.02,15.15,1.303374,71300,0.0,0.0
2002-01-22,15.15,15.15,15.0,15.03,1.293051,229200,0.0,0.0
2002-01-23,15.04,15.04,15.0,15.02,1.29219,147100,0.0,0.0
2002-01-24,15.0,15.06,15.0,15.03,1.293051,195000,0.0,0.0
2002-01-25,15.0,15.05,15.0,15.0,1.29047,162500,0.0,0.0
2002-01-28,15.06,15.06,15.0,15.0,1.29047,90700,0.0,0.0
2002-01-29,15.0,15.06,15.0,15.03,1.293051,86500,0.0,0.0
2002-01-30,15.04,15.06,15.0,15.01,1.29133,127000,0.0,0.0
2002-01-31,15.0,15.04,14.97,15.02,1.29219,72900,0.0,0.0
2002-02-01,15.0,15.05,15.0,15.04,1.293911,31500,0.0,0.0
2002-02-04,15.07,15.07,15.0,15.0,1.29047,43000,0.0,0.0
2002-02-05,15.08,15.08,15.0,15.03,1.293051,59500,0.0,0.0
2002-02-06,15.01,15.03,15.0,15.03,1.293051,77600,0.0,0.0
2002-02-07,15.04,15.04,15.0,15.0,1.29047,42200,0.0,0.0
2002-02-08,15.04,15.04,15.0,15.03,1.293051,101200,0.0,0.0
2002-02-11,15.03,15.07,15.0,15.02,1.29219,53600,0.0,0.0
2002-02-12,15.07,15.1,15.0,15.07,1.296491,113100,0.0,0.0
2002-02-13,15.04,15.04,14.84,14.94,1.294413,115900,0.106,0.0
2002-02-14,14.95,15.0,14.86,14.93,1.293546,75800,0.0,0.0
2002-02-15,14.98,15.04,14.87,14.99,1.298745,69600,0.0,0.0
2002-02-19,14.99,14.99,14.82,14.9,1.290947,107600,0.0,0.0
2002-02-20,14.89,14.99,14.86,14.97,1.297012,58800,0.0,0.0
2002-02-21,14.95,14.96,14.75,14.9,1.290947,48200,0.0,0.0
2002-02-22,14.96,14.96,14.1,14.88,1.289215,149600,0.0,0.0
2002-02-25,14.9,14.9,14.25,14.6,1.264955,126800,0.0,0.0
2002-02-26,14.6,14.8,14.42,14.72,1.275351,77500,0.0,0.0
2002-02-27,14.78,14.9,14.5,14.9,1.290947,53900,0.0,0.0
2002-02-28,14.9,14.9,14.6,14.83,1.284881,36400,0.0,0.0
2002-03-01,14.9,14.98,14.7,14.85,1.286615,60300,0.0,0.0
2002-03-04,14.95,14.95,14.81,14.94,1.294413,50300,0.0,0.0
2002-03-05,14.9,14.97,14.71,14.86,1.287481,36400,0.0,0.0
2002-03-06,14.96,14.96,14.85,14.9,1.290947,33800,0.0,0.0
2002-03-07,14.89,15.05,14.86,15.05,1.303943,62200,0.0,0.0
2002-03-08,15.0,15.12,14.8,15.0,1.299612,76500,0.0,0.0
2002-03-11,15.0,15.0,14.86,15.0,1.299612,71600,0.0,0.0
2002-03-12,15.0,15.06,14.86,15.0,1.299612,72800,0.0,0.0
2002-03-13,14.99,15.0,14.76,14.79,1.290537,59300,0.106,0.0
2002-03-14,14.74,15.0,14.72,14.78,1.289663,156400,0.0,0.0
2002-03-15,14.72,14.9,14.72,14.79,1.290537,61200,0.0,0.0
2002-03-18,14.75,14.91,14.71,14.89,1.299261,86900,0.0,0.0
2002-03-19,14.82,14.87,14.6,14.65,1.278319,72800,0.0,0.0
2002-03-20,14.6,14.75,14.4,14.41,1.257378,116600,0.0,0.0
2002-03-21,14.49,14.55,14.32,14.45,1.260868,104100,0.0,0.0
2002-03-22,14.45,14.53,14.17,14.44,1.259997,115300,0.0,0.0
2002-03-25,14.4,14.45,14.07,14.2,1.239054,132000,0.0,0.0
2002-03-26,14.24,14.34,14.07,14.34,1.251271,62900,0.0,0.0
2002-03-27,14.24,14.47,14.1,14.2,1.239054,85700,0.0,0.0
2002-03-28,14.27,14.48,14.15,14.29,1.246907,91100,0.0,0.0
2002-04-01,14.47,14.49,14.25,14.43,1.259123,81900,0.0,0.0
2002-04-02,14.4,14.54,14.4,14.54,1.268721,106200,0.0,0.0
2002-04-03,14.54,14.69,14.5,14.62,1.275702,88200,0.0,0.0
2002-04-04,14.7,14.75,14.51,14.69,1.281811,91000,0.0,0.0
2002-04-05,14.69,14.74,14.55,14.72,1.284428,67600,0.0,0.0
2002-04-08,14.8,14.8,14.55,14.74,1.286173,54300,0.0,0.0
2002-04-09,14.7,14.79,14.56,14.74,1.286173,57000,0.0,0.0
2002-04-10,14.57,14.74,14.5,14.7,1.291973,40000,0.106,0.0
