Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains
2004-12-09,14.77,14.84,14.66,14.79,5.933667,935000,0.0,0.0,0.0
2004-12-10,14.8,14.91,14.74,14.86,5.961746,573600,0.0,0.0,0.0
2004-12-13,14.93,15.11,14.92,15.11,6.062044,526700,0.0,0.0,0.0
2004-12-14,15.13,15.18,15.06,15.18,6.090133,659300,0.0,0.0,0.0
2004-12-15,15.15,15.22,15.12,15.22,6.106175,483600,0.0,0.0,0.0
2004-12-16,15.19,15.22,15.05,15.11,6.062044,513300,0.0,0.0,0.0
2004-12-17,15.08,15.11,15.03,15.09,6.064861,437600,0.027,0.0,0.0
2004-12-20,15.13,15.19,15.07,15.1,6.068879,462400,0.0,0.0,0.0
2004-12-21,15.15,15.25,15.13,15.25,6.129163,475500,0.0,0.0,0.0
2004-12-22,15.25,15.31,15.23,15.28,6.141222,481900,0.0,0.0,0.0
2004-12-23,15.29,15.33,15.27,15.3,6.149261,362100,0.0,0.0,0.0
2004-12-27,15.33,15.34,15.18,15.19,6.105053,285000,0.0,0.0,0.0
2004-12-28,15.23,15.33,15.23,15.33,6.16132,332400,0.0,0.0,0.0
2004-12-29,15.31,15.34,15.27,15.33,6.16132,280200,0.0,0.0,0.0
2004-12-30,15.33,15.36,15.31,15.33,6.16132,248400,0.0,0.0,0.0
2004-12-31,15.29,15.37,15.26,15.27,6.140812,345500,0.009,0.0,0.0
2005-01-03,15.31,15.31,15.08,15.1,6.072449,399500,0.0,0.0,0.0
2005-01-04,15.15,15.16,14.97,14.99,6.028209,407500,0.0,0.0,0.0
2005-01-05,14.93,14.98,14.8,14.8,5.951799,390500,0.0,0.0,0.0
2005-01-06,14.83,14.88,14.74,14.81,5.955821,372300,0.0,0.0,0.0
2005-01-07,14.86,14.87,14.7,14.7,5.911584,367900,0.0,0.0,0.0
2005-01-10,14.72,14.9,14.72,14.8,5.951799,387700,0.0,0.0,0.0
2005-01-11,14.77,14.79,14.67,14.7,5.911584,382200,0.0,0.0,0.0
2005-01-12,14.72,14.72,14.55,14.7,5.911584,415100,0.0,0.0,0.0
2005-01-13,14.7,14.72,14.54,14.59,5.867349,397100,0.0,0.0,0.0
2005-01-14,14.65,14.72,14.61,14.71,5.915607,260600,0.0,0.0,0.0
2005-01-18,14.69,14.89,14.65,14.88,5.98397,348200,0.0,0.0,0.0
2005-01-19,14.88,14.88,14.74,14.75,5.931691,401100,0.0,0.0,0.0
2005-01-20,14.73,14.73,14.62,14.65,5.891473,325000,0.0,0.0,0.0
2005-01-21,14.67,14.72,14.6,14.65,5.891473,312600,0.0,0.0,0.0
2005-01-24,14.7,14.73,14.6,14.62,5.879414,281900,0.0,0.0,0.0
2005-01-25,14.69,14.69,14.54,14.57,5.859302,326600,0.0,0.0,0.0
2005-01-26,14.62,14.74,14.6,14.74,5.927673,427600,0.0,0.0,0.0
2005-01-27,14.71,14.75,14.62,14.66,5.895503,203100,0.0,0.0,0.0
2005-01-28,14.66,14.66,14.5,14.57,5.859302,379000,0.0,0.0,0.0
2005-01-31,14.69,14.8,14.67,14.79,5.947783,442100,0.0,0.0,0.0
2005-02-01,14.74,14.81,14.7,14.78,5.943756,304400,0.0,0.0,0.0
2005-02-02,14.76,14.84,14.73,14.84,5.967884,267400,0.0,0.0,0.0
2005-02-03,14.81,14.81,14.74,14.8,5.951799,210200,0.0,0.0,0.0
2005-02-04,14.81,14.95,14.8,14.95,6.012126,351600,0.0,0.0,0.0
2005-02-07,14.94,14.94,14.85,14.91,5.996037,275100,0.0,0.0,0.0
2005-02-08,14.91,14.93,14.87,14.93,6.004084,234000,0.0,0.0,0.0
2005-02-09,14.94,14.96,14.79,14.79,5.947783,250700,0.0,0.0,0.0
2005-02-10,14.83,14.85,14.78,14.84,5.967884,234700,0.0,0.0,0.0
2005-02-11,14.83,14.95,14.75,14.94,6.0081,211900,0.0,0.0,0.0
2005-02-14,14.94,14.98,14.92,14.98,6.024189,222800,0.0,0.0,0.0
2005-02-15,15.0,15.06,14.95,15.0,6.032228,402300,0.0,0.0,0.0
2005-02-16,14.97,15.03,14.91,14.98,6.024189,279200,0.0,0.0,0.0
2005-02-17,14.99,14.99,14.85,14.87,5.97995,319900,0.0,0.0,0.0
2005-02-18,14.9,14.9,14.77,14.84,5.967884,278600,0.0,0.0,0.0
2005-02-22,14.78,14.79,14.56,14.57,5.859302,547000,0.0,0.0,0.0
2005-02-23,14.57,14.68,14.57,14.6,5.871372,255400,0.0,0.0,0.0
2005-02-24,14.65,14.73,14.57,14.69,5.907563,156500,0.0,0.0,0.0
2005-02-25,14.72,14.87,14.66,14.87,5.97995,178100,0.0,0.0,0.0
2005-02-28,14.87,14.9,14.74,14.82,5.959842,371700,0.0,0.0,0.0
2005-03-01,14.85,14.97,14.85,14.94,6.0081,198000,0.0,0.0,0.0
2005-03-02,14.89,14.99,14.84,14.89,5.987997,214000,0.0,0.0,0.0
2005-03-03,14.92,14.96,14.8,14.95,6.012126,444700,0.0,0.0,0.0
2005-03-04,14.99,15.12,14.99,15.1,6.072449,226000,0.0,0.0,0.0
2005-03-07,15.1,15.17,15.08,15.12,6.080488,189100,0.0,0.0,0.0
2005-03-08,15.09,15.1,14.98,15.04,6.048317,207200,0.0,0.0,0.0
2005-03-09,15.01,15.01,14.86,14.88,5.98397,190300,0.0,0.0,0.0
2005-03-10,14.9,14.97,14.84,14.9,5.992012,182300,0.0,0.0,0.0
2005-03-11,14.92,14.96,14.8,14.85,5.97191,149000,0.0,0.0,0.0
2005-03-14,14.9,15.01,14.9,15.01,6.036251,172700,0.0,0.0,0.0
2005-03-15,15.08,15.11,14.92,14.94,6.0081,151900,0.0,0.0,0.0
2005-03-16,14.9,14.92,14.78,14.81,5.955821,266400,0.0,0.0,0.0
2005-03-17,14.82,14.88,14.76,14.86,5.975924,157700,0.0,0.0,0.0
2005-03-18,14.72,14.72,14.59,14.67,5.977561,205800,0.194,0.0,0.0
2005-03-21,14.65,14.66,14.55,14.63,5.96126,291800,0.0,0.0,0.0
2005-03-22,14.64,14.68,14.43,14.46,5.891991,266500,0.0,0.0,0.0
2005-03-23,14.4,14.49,14.37,14.43,5.87977,220100,0.0,0.0,0.0
2005-03-24,14.46,14.53,14.41,14.42,5.875689,207100,0.0,0.0,0.0
2005-03-28,14.45,14.52,14.44,14.47,5.89607,193100,0.0,0.0,0.0
2005-03-29,14.42,14.53,14.33,14.36,5.851246,200600,0.0,0.0,0.0
2005-03-30,14.44,14.57,14.41,14.57,5.936808,158600,0.0,0.0,0.0
2005-03-31,14.56,14.61,14.54,14.56,5.932738,133400,0.0,0.0,0.0
2005-04-01,14.66,14.7,14.43,14.51,5.927433,140800,0.037,0.0,0.0
2005-04-04,14.45,14.52,14.36,14.52,5.931515,182300,0.0,0.0,0.0
2005-04-05,14.56,14.58,14.52,14.56,5.947856,140500,0.0,0.0,0.0
2005-04-06,14.6,14.67,14.56,14.59,5.960106,134200,0.0,0.0,0.0
2005-04-07,14.58,14.67,14.56,14.64,5.980533,127200,0.0,0.0,0.0
2005-04-08,14.67,14.67,14.5,14.5,5.92334,122500,0.0,0.0,0.0
2005-04-11,14.54,14.56,14.48,14.49,5.919261,95600,0.0,0.0,0.0
2005-04-12,14.47,14.7,14.39,14.68,5.996872,108700,0.0,0.0,0.0
2005-04-13,14.64,14.64,14.47,14.5,5.92334,116800,0.0,0.0,0.0
2005-04-14,14.51,14.51,14.36,14.37,5.870239,110500,0.0,0.0,0.0
2005-04-15,14.31,14.43,14.2,14.23,5.813043,224000,0.0,0.0,0.0
2005-04-18,14.24,14.37,14.16,14.32,5.849808,260300,0.0,0.0,0.0
2005-04-19,14.37,14.4,14.3,14.4,5.882493,285500,0.0,0.0,0.0
2005-04-20,14.33,14.37,14.16,14.19,5.796701,124100,0.0,0.0,0.0
2005-04-21,14.29,14.4,14.2,14.35,5.862069,166900,0.0,0.0,0.0
2005-04-22,14.36,14.41,14.22,14.34,5.857983,173600,0.0,0.0,0.0
2005-04-25,14.37,14.48,14.36,14.48,5.915173,165700,0.0,0.0,0.0
2005-04-26,14.43,14.5,14.31,14.31,5.845727,194000,0.0,0.0,0.0
2005-04-27,14.3,14.48,14.2,14.4,5.882493,149100,0.0,0.0,0.0
2005-04-28,14.37,14.37,14.24,14.26,5.825305,131100,0.0,0.0,0.0
2005-04-29,14.31,14.41,14.16,14.41,5.886575,111000,0.0,0.0,0.0
2005-05-02,14.46,14.53,14.39,14.52,5.931515,154700,0.0,0.0,0.0
2005-05-03,14.54,14.63,14.46,14.48,5.915173,239100,0.0,0.0,0.0
2005-05-04,14.57,14.71,14.53,14.7,6.005042,219300,0.0,0.0,0.0
2005-05-05,14.67,14.73,14.55,14.62,5.972362,244700,0.0,0.0,0.0
2005-05-06,14.65,14.66,14.57,14.6,5.964191,157800,0.0,0.0,0.0
2005-05-09,14.6,14.72,14.55,14.72,6.013213,155700,0.0,0.0,0.0
2005-05-10,14.63,14.69,14.56,14.59,5.960106,187500,0.0,0.0,0.0
2005-05-11,14.62,14.67,14.5,14.65,5.984616,171800,0.0,0.0,0.0
2005-05-12,14.68,14.69,14.48,14.5,5.92334,132500,0.0,0.0,0.0
2005-05-13,14.51,14.55,14.32,14.43,5.894742,156800,0.0,0.0,0.0
2005-05-16,14.48,14.68,14.47,14.68,5.996872,137200,0.0,0.0,0.0
2005-05-17,14.64,14.81,14.6,14.78,6.037724,124900,0.0,0.0,0.0
2005-05-18,14.88,14.96,14.84,14.92,6.094916,219300,0.0,0.0,0.0
2005-05-19,14.9,14.96,14.85,14.93,6.099005,174100,0.0,0.0,0.0
2005-05-20,14.89,14.89,14.77,14.88,6.078573,244500,0.0,0.0,0.0
2005-05-23,14.88,14.94,14.83,14.89,6.082657,163000,0.0,0.0,0.0
2005-05-24,14.86,14.9,14.8,14.88,6.078573,163300,0.0,0.0,0.0
2005-05-25,14.83,14.84,14.72,14.8,6.045897,135000,0.0,0.0,0.0
2005-05-26,14.81,14.88,14.8,14.88,6.078573,161100,0.0,0.0,0.0
2005-05-27,14.87,14.91,14.8,14.91,6.090834,78900,0.0,0.0,0.0
2005-05-31,14.92,14.98,14.86,14.9,6.086747,127600,0.0,0.0,0.0
2005-06-01,14.9,15.1,14.89,15.03,6.139852,190400,0.0,0.0,0.0
2005-06-02,15.04,15.08,15.0,15.07,6.156189,121400,0.0,0.0,0.0
2005-06-03,15.1,15.1,14.94,15.04,6.143932,156200,0.0,0.0,0.0
2005-06-06,14.99,15.02,14.91,14.99,6.123511,128400,0.0,0.0,0.0
2005-06-07,15.02,15.12,14.97,15.01,6.131677,164900,0.0,0.0,0.0
2005-06-08,15.03,15.04,14.91,14.95,6.107171,142400,0.0,0.0,0.0
2005-06-09,14.89,14.98,14.83,14.95,6.107171,174400,0.0,0.0,0.0
2005-06-10,15.0,15.0,14.9,14.93,6.099005,124400,0.0,0.0,0.0
2005-06-13,14.92,15.04,14.89,14.99,6.123511,111900,0.0,0.0,0.0
2005-06-14,15.02,15.08,14.98,15.06,6.152108,110000,0.0,0.0,0.0
2005-06-15,15.1,15.1,14.98,15.07,6.156189,123400,0.0,0.0,0.0
2005-06-16,15.08,15.19,15.04,15.18,6.201128,252100,0.0,0.0,0.0
2005-06-17,15.11,15.14,15.04,15.12,6.229143,157500,0.128,0.0,0.0
2005-06-20,15.06,15.12,15.01,15.1,6.220904,162900,0.0,0.0,0.0
