Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2003-04-25,15.0,15.02,15.0,15.01,0.911682,567000,0.0,0.0
2003-04-28,15.03,15.08,15.02,15.06,0.914718,326700,0.0,0.0
2003-04-29,15.06,15.11,15.02,15.08,0.915933,291100,0.0,0.0
2003-04-30,15.1,15.19,15.08,15.16,0.920793,525600,0.0,0.0
2003-05-01,15.15,15.17,15.1,15.15,0.920185,194600,0.0,0.0
2003-05-02,15.16,15.23,15.11,15.19,0.922614,297200,0.0,0.0
2003-05-05,15.19,15.2,15.11,15.14,0.919578,273700,0.0,0.0
2003-05-06,15.15,15.15,15.09,15.12,0.918363,205300,0.0,0.0
2003-05-07,15.12,15.12,15.0,15.04,0.913504,180000,0.0,0.0
2003-05-08,15.04,15.13,15.0,15.13,0.91897,181400,0.0,0.0
2003-05-09,15.12,15.15,15.06,15.13,0.91897,139600,0.0,0.0
2003-05-12,15.11,15.17,15.1,15.17,0.9214,167600,0.0,0.0
2003-05-13,15.17,15.18,15.08,15.11,0.917755,158000,0.0,0.0
2003-05-14,15.16,15.16,15.11,15.15,0.920185,123600,0.0,0.0
2003-05-15,15.11,15.19,15.11,15.19,0.922614,159000,0.0,0.0
2003-05-16,15.18,15.18,15.1,15.15,0.920185,128600,0.0,0.0
2003-05-19,15.14,15.2,15.06,15.2,0.923222,221300,0.0,0.0
2003-05-20,15.14,15.18,15.11,15.13,0.91897,120200,0.0,0.0
2003-05-21,15.13,15.17,15.11,15.17,0.9214,202100,0.0,0.0
2003-05-22,15.17,15.2,15.12,15.17,0.9214,191900,0.0,0.0
2003-05-23,15.19,15.22,15.13,15.17,0.9214,249600,0.0,0.0
2003-05-27,15.12,15.13,15.0,15.04,0.913504,448700,0.0,0.0
2003-05-28,15.0,15.08,15.0,15.04,0.913504,350400,0.0,0.0
2003-05-29,15.14,15.14,15.0,15.06,0.914718,205100,0.0,0.0
2003-05-30,15.0,15.03,15.0,15.01,0.911682,511100,0.0,0.0
2003-06-02,15.0,15.02,15.0,15.0,0.911074,688500,0.0,0.0
2003-06-03,15.0,15.04,15.0,15.01,0.911682,260400,0.0,0.0
2003-06-04,15.01,15.1,15.0,15.03,0.912896,228600,0.0,0.0
2003-06-05,15.03,15.08,15.0,15.03,0.912896,260600,0.0,0.0
