Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-08-06,14.5,16.18,13.75,16.0,14.066927,16172700,0.0,0.0
2015-08-07,16.07,18.450001,16.0,18.25,16.045088,1844500,0.0,0.0
2015-08-10,19.5,20.68,18.43,18.68,16.423138,1088300,0.0,0.0
2015-08-11,18.68,18.76,16.709999,17.379999,15.280199,668600,0.0,0.0
2015-08-12,17.030001,17.190001,16.5,16.790001,14.761482,550500,0.0,0.0
2015-08-13,17.049999,18.77,17.0,18.559999,16.317635,466900,0.0,0.0
2015-08-14,18.559999,18.9,17.9,18.780001,16.511057,426100,0.0,0.0
2015-08-17,18.639999,19.4,18.34,19.1,16.792395,225500,0.0,0.0
2015-08-18,19.190001,19.24,18.780001,19.0,16.704475,211800,0.0,0.0
2015-08-19,18.75,19.0,17.15,17.790001,15.640665,581400,0.0,0.0
2015-08-20,17.48,17.48,16.580999,16.99,14.937318,540100,0.0,0.0
2015-08-21,16.52,16.74,16.01,16.24,14.27793,513600,0.0,0.0
2015-08-24,14.75,15.5,13.65,15.05,13.231704,653800,0.0,0.0
2015-08-25,16.860001,16.860001,15.01,15.27,13.425124,302800,0.0,0.0
2015-08-26,15.84,16.25,15.45,15.9,13.979009,258200,0.0,0.0
2015-08-27,16.299999,16.5,15.84,16.049999,14.110886,252700,0.0,0.0
2015-08-28,15.95,16.83,15.94,16.780001,14.75269,202500,0.0,0.0
2015-08-31,17.75,17.85,17.450001,17.809999,15.658248,450500,0.0,0.0
2015-09-01,16.709999,19.200001,16.709999,18.24,16.036297,689500,0.0,0.0
2015-09-02,18.940001,19.0,17.790001,18.5,16.264885,566700,0.0,0.0
2015-09-03,19.0,19.649,18.065001,18.6,16.352802,902700,0.0,0.0
2015-09-04,18.41,18.75,17.75,18.59,16.344011,227500,0.0,0.0
2015-09-08,18.74,18.98,18.200001,18.379999,16.159382,487100,0.0,0.0
2015-09-09,18.5,18.624001,17.139999,17.73,15.587913,409700,0.0,0.0
2015-09-10,17.879999,18.25,17.5,17.639999,15.508786,371200,0.0,0.0
2015-09-11,17.34,17.799999,17.290001,17.709999,15.570329,218900,0.0,0.0
2015-09-14,17.709999,17.99,17.0,17.6,15.47362,348100,0.0,0.0
2015-09-15,17.700001,17.940001,17.379999,17.6,15.47362,455100,0.0,0.0
2015-09-16,17.360001,18.09,17.309999,18.049999,15.869251,757100,0.0,0.0
2015-09-17,18.059999,18.950001,17.73,18.379999,16.159382,722900,0.0,0.0
2015-09-18,17.940001,18.85,17.59,17.83,15.675832,1026200,0.0,0.0
2015-09-21,17.969999,18.75,17.51,17.879999,15.71979,360100,0.0,0.0
2015-09-22,17.700001,18.08,17.209999,17.370001,15.271408,372100,0.0,0.0
2015-09-23,17.43,18.379999,17.4,17.65,15.517578,307200,0.0,0.0
2015-09-24,17.5,18.27,17.469999,17.719999,15.579121,348400,0.0,0.0
2015-09-25,18.040001,18.290001,17.5,18.1,15.913212,758200,0.0,0.0
2015-09-28,18.01,18.4,17.459999,17.5,15.385701,445400,0.0,0.0
