Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2013-06-20,15.8,17.4,15.63,16.49,16.49,3371700,0.0,0.0
2013-06-21,16.75,17.719999,16.5,17.5,17.5,181700,0.0,0.0
2013-06-24,17.25,17.809999,16.33,17.35,17.35,146300,0.0,0.0
2013-06-25,17.41,17.92,17.379999,17.540001,17.540001,116400,0.0,0.0
2013-06-26,16.82,17.0,15.7,16.045,16.045,1056200,0.0,0.0
2013-06-27,16.1,16.190001,13.035,13.63,13.63,580600,0.0,0.0
2013-06-28,13.48,15.18,13.48,15.0,15.0,166200,0.0,0.0
2013-07-01,14.85,15.074,14.42,15.0,15.0,59100,0.0,0.0
2013-07-02,15.51,17.389999,15.044,16.129999,16.129999,90800,0.0,0.0
2013-07-03,16.24,16.24,15.16,15.16,15.16,13000,0.0,0.0
2013-07-05,15.85,16.23,15.025,15.2,15.2,12600,0.0,0.0
2013-07-08,15.2,15.92,15.19,15.92,15.92,72900,0.0,0.0
2013-07-09,15.97,15.99,15.31,15.515,15.515,13900,0.0,0.0
2013-07-10,15.5,15.8,15.2,15.8,15.8,45400,0.0,0.0
2013-07-11,16.030001,16.5,15.83,16.34,16.34,87200,0.0,0.0
2013-07-12,16.940001,16.950001,16.312,16.940001,16.940001,82200,0.0,0.0
2013-07-15,17.370001,17.700001,16.219999,17.17,17.17,188800,0.0,0.0
2013-07-16,18.5,18.5,16.51,16.57,16.57,249800,0.0,0.0
2013-07-17,16.780001,17.82,16.75,17.82,17.82,210900,0.0,0.0
2013-07-18,18.0,18.469999,17.879999,18.4,18.4,149400,0.0,0.0
2013-07-19,17.780001,18.41,17.09,17.75,17.75,251400,0.0,0.0
2013-07-22,17.700001,17.700001,16.75,16.98,16.98,172100,0.0,0.0
2013-07-23,17.02,17.219999,16.4,16.77,16.77,148800,0.0,0.0
2013-07-24,16.74,16.74,15.91,16.1,16.1,93800,0.0,0.0
2013-07-25,16.110001,16.23,15.5,16.139999,16.139999,84300,0.0,0.0
2013-07-26,16.18,17.33,16.18,16.57,16.57,61400,0.0,0.0
2013-07-29,16.67,16.870001,16.35,16.549999,16.549999,15400,0.0,0.0
2013-07-30,16.77,16.889999,15.58,15.58,15.58,239300,0.0,0.0
2013-07-31,15.49,16.040001,14.41,15.66,15.66,87800,0.0,0.0
2013-08-01,15.64,16.1,14.26,14.62,14.62,183100,0.0,0.0
2013-08-02,14.73,14.73,13.88,14.06,14.06,186800,0.0,0.0
