Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2026-03-16,9.85,9.86,9.85,9.86,9.86,3000,0.0,0.0
2026-03-17,9.88,9.9,9.8,9.83,9.83,323700,0.0,0.0
2026-03-18,9.8,9.82,9.79,9.8,9.8,35200,0.0,0.0
2026-03-19,9.77,9.82,9.77,9.81,9.81,8000,0.0,0.0
2026-03-20,9.82,9.83,9.79,9.8,9.8,2800,0.0,0.0
2026-03-23,9.78,9.83,9.78,9.79,9.79,30600,0.0,0.0
2026-03-24,9.8,9.83,9.78,9.8,9.8,48000,0.0,0.0
2026-03-25,9.8,9.82,9.79,9.8,9.8,118400,0.0,0.0
2026-03-26,9.79,9.8,9.79,9.8,9.8,14800,0.0,0.0
2026-03-27,9.78,9.8,9.78,9.8,9.8,8600,0.0,0.0
2026-03-30,9.78,9.78,9.78,9.78,9.78,4400,0.0,0.0
2026-03-31,9.78,9.8,9.78,9.8,9.8,7500,0.0,0.0
2026-04-01,9.79,9.8,9.79,9.8,9.8,2800,0.0,0.0
2026-04-02,9.8,9.8,9.79,9.8,9.8,3000,0.0,0.0
2026-04-06,9.79,9.8,9.79,9.8,9.8,27000,0.0,0.0
2026-04-07,9.8,9.83,9.79,9.8,9.8,75800,0.0,0.0
2026-04-08,9.81,9.81,9.79,9.8,9.8,70300,0.0,0.0
2026-04-09,9.8,9.8,9.79,9.8,9.8,8200,0.0,0.0
2026-04-10,9.8,9.8,9.79,9.8,9.8,9800,0.0,0.0
2026-04-13,9.8,9.83,9.79,9.8,9.8,153500,0.0,0.0
2026-04-14,9.8,9.81,9.8,9.8,9.8,66400,0.0,0.0
2026-04-15,9.8,9.81,9.8,9.8,9.8,15900,0.0,0.0
2026-04-16,9.8,9.81,9.8,9.81,9.81,49300,0.0,0.0
2026-04-17,9.82,9.83,9.81,9.81,9.81,130700,0.0,0.0
2026-04-20,9.82,9.83,9.82,9.82,9.82,24500,0.0,0.0
2026-04-21,9.82,9.83,9.82,9.83,9.83,298000,0.0,0.0
2026-04-22,9.84,9.84,9.83,9.84,9.84,107100,0.0,0.0
2026-04-23,9.84,9.85,9.84,9.84,9.84,23400,0.0,0.0
2026-04-24,9.85,9.85,9.84,9.84,9.84,2700,0.0,0.0
2026-04-27,9.84,9.84,9.84,9.84,9.84,11800,0.0,0.0
2026-04-28,9.85,9.85,9.84,9.84,9.84,44900,0.0,0.0
2026-04-29,9.84,9.85,9.84,9.84,9.84,15300,0.0,0.0
2026-04-30,9.85,9.85,9.84,9.85,9.85,32800,0.0,0.0
2026-05-01,9.85,9.85,9.84,9.84,9.84,60800,0.0,0.0
2026-05-04,9.85,9.85,9.84,9.84,9.84,28200,0.0,0.0
2026-05-05,9.84,9.85,9.84,9.85,9.85,20400,0.0,0.0
2026-05-06,9.85,9.86,9.85,9.85,9.85,60200,0.0,0.0
2026-05-07,9.86,9.86,9.86,9.86,9.86,1400,0.0,0.0
2026-05-08,9.87,9.87,9.87,9.87,9.87,7900,0.0,0.0
2026-05-11,9.88,9.88,9.88,9.88,9.88,200,0.0,0.0
2026-05-12,9.88,9.88,9.88,9.88,9.88,21000,0.0,0.0
2026-05-13,9.89,9.89,9.89,9.89,9.89,700,0.0,0.0
2026-05-14,9.89,9.89,9.89,9.89,9.89,7300,0.0,0.0
2026-05-15,9.9,9.9,9.9,9.9,9.9,200,0.0,0.0
2026-05-18,9.9,9.91,9.9,9.91,9.91,5200,0.0,0.0
2026-05-19,9.91,9.91,9.91,9.91,9.91,100,0.0,0.0
2026-05-20,9.91,9.91,9.9,9.91,9.91,1400,0.0,0.0
2026-05-21,9.91,9.92,9.91,9.91,9.91,280600,0.0,0.0
2026-05-22,9.91,9.92,9.91,9.92,9.92,2500,0.0,0.0
2026-05-26,9.92,9.92,9.91,9.92,9.92,9700,0.0,0.0
2026-05-27,9.93,9.93,9.92,9.93,9.93,7400,0.0,0.0
2026-05-28,9.92,9.93,9.92,9.93,9.93,800,0.0,0.0
2026-05-29,9.93,9.93,9.92,9.93,9.93,5500,0.0,0.0
2026-06-01,9.93,9.94,9.93,9.93,9.93,2400,0.0,0.0
2026-06-02,9.94,9.94,9.92,9.92,9.92,12800,0.0,0.0
2026-06-03,9.92,9.93,9.92,9.93,9.93,300,0.0,0.0
2026-06-04,9.94,9.94,9.93,9.94,9.94,900,0.0,0.0
2026-06-05,9.94,9.94,9.92,9.92,9.92,17300,0.0,0.0
2026-06-08,9.92,9.93,9.92,9.93,9.93,200,0.0,0.0
2026-06-09,9.93,9.93,9.92,9.93,9.93,6000,0.0,0.0
2026-06-10,9.93,9.94,9.93,9.94,9.94,1700,0.0,0.0
2026-06-11,9.93,9.94,9.92,9.94,9.94,5200,0.0,0.0
2026-06-12,9.94,9.94,9.93,9.94,9.94,6400,0.0,0.0
2026-06-15,9.94,9.94,9.94,9.94,9.94,0,0.0,0.0
2026-06-16,9.94,9.94,9.94,9.94,9.94,1100,0.0,0.0
2026-06-17,9.93,9.93,9.93,9.93,9.93,2500,0.0,0.0
2026-06-18,9.94,9.94,9.94,9.94,9.94,500,0.0,0.0
2026-06-22,9.94,9.94,9.94,9.94,9.94,4300,0.0,0.0
2026-06-23,9.94,9.94,9.94,9.94,9.94,0,0.0,0.0
2026-06-24,9.94,9.94,9.94,9.94,9.94,900,0.0,0.0
2026-06-25,9.94,9.94,9.94,9.94,9.94,0,0.0,0.0
2026-06-26,9.94,9.94,9.94,9.94,9.94,2700,0.0,0.0
2026-06-29,9.94,9.94,9.94,9.94,9.94,0,0.0,0.0
2026-06-30,9.93,9.93,9.93,9.93,9.93,2600,0.0,0.0
2026-07-01,9.94,9.94,9.94,9.94,9.94,200,0.0,0.0
2026-07-02,9.94,9.94,9.94,9.94,9.94,7000,0.0,0.0
2026-07-06,9.94,9.94,9.94,9.94,9.94,3700,0.0,0.0
2026-07-07,9.94,9.94,9.93,9.93,9.93,3300,0.0,0.0
2026-07-08,9.94,9.94,9.92,9.93,9.93,12400,0.0,0.0
2026-07-09,9.94,9.94,9.93,9.93,9.93,51500,0.0,0.0
2026-07-10,9.94,9.94,9.93,9.93,9.93,34100,0.0,0.0
2026-07-13,9.93,9.93,9.93,9.93,9.93,36100,0.0,0.0
2026-07-14,9.93,10.02,9.93,10.02,10.02,269600,0.0,0.0
2026-07-15,10.01,10.04,10.01,10.04,10.04,2300,0.0,0.0
2026-07-16,10.03,10.03,9.9999,9.9999,9.9999,30673,0.0,0.0
