Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains
2026-07-07,25.23,25.23,25.23,25.23,25.23,100,0.0,0.0,0.0
2026-07-08,30.280001,30.280001,24.870001,24.870001,24.870001,100,0.0,0.0,0.0
2026-07-09,26.459999,27.309999,25.65,26.969999,26.969999,5400,0.0,0.0,0.0
2026-07-10,26.110001,26.32,25.809999,25.809999,25.809999,100,0.0,0.0,0.0
2026-07-13,23.309999,23.379999,23.17,23.23,23.23,600,0.0,0.0,
2026-07-14,24.030001,24.83,24.030001,24.26,24.26,1300,0.0,0.0,
2026-07-15,20.67,20.67,19.030001,20.23,20.23,2100,0.0,0.0,
2026-07-16,18.75,18.77,18.75,18.77,18.77,100,0.0,0.0,
2026-07-17,19.52,19.52,19.01,19.370001,19.370001,900,0.0,0.0,
2026-07-20,19.690001,19.690001,19.690001,19.690001,19.690001,100,0.0,0.0,0.0
2026-07-21,22.139999,22.200001,22.139999,22.200001,22.200001,100,0.0,0.0,
2026-07-22,22.34,22.540001,22.32,22.540001,22.540001,800,0.0,0.0,
2026-07-23,22.059999,22.639999,22.059999,22.639999,22.639999,200,0.0,0.0,
2026-07-24,22.219999,22.219999,22.219999,22.219999,22.219999,100,0.0,0.0,
2026-07-27,22.08,22.08,22.08,22.08,22.08,300,0.0,0.0,
2026-07-28,21.280001,21.280001,21.280001,21.280001,21.280001,200,0.0,0.0,
2026-07-29,19.18,19.18,19.18,19.18,19.18,200,0.0,0.0,
2026-07-30,21.93,22.43,21.93,22.43,22.43,900,0.0,0.0,
2026-07-31,23.4,23.719999,23.27,23.719999,23.719999,1300,0.0,0.0,
2026-08-03,23.709999,25.43,23.709999,25.43,25.43,500,0.0,0.0,
2026-08-04,28.040001,28.040001,28.040001,28.040001,28.040001,300,0.0,0.0,
2026-08-05,27.889999,27.889999,27.889999,27.889999,27.889999,300,0.0,0.0,
2026-08-06,30.110001,30.110001,30.110001,30.110001,30.110001,700,0.0,0.0,
2026-08-07,31.950001,31.950001,31.950001,31.950001,31.950001,300,0.0,0.0,
2026-08-10,36.16,38.349998,36.16,37.75,37.75,3300,0.0,0.0,
2026-08-11,43.880001,46.369999,41.880001,46.369999,46.369999,2500,0.0,0.0,
2026-08-12,48.400002,48.400002,48.150002,48.360001,48.360001,1500,0.0,0.0,
2026-08-13,51.77,53.919998,51.77,53.549999,53.549999,1800,0.0,0.0,
2026-08-14,53.810001,54.209999,53.0,54.040001,54.040001,5100,0.0,0.0,
2026-08-17,52.310001,53.25,52.310001,52.959999,52.959999,1100,0.0,0.0,
2026-08-18,52.59,53.349998,52.59,53.349998,53.349998,1000,0.0,0.0,
2026-08-19,47.080002,49.09,47.080002,48.360001,48.360001,1400,0.0,0.0,
2026-08-20,47.77,47.77,46.68,46.68,46.68,500,0.0,0.0,
2026-08-21,45.139999,45.265999,45.139999,45.265999,45.265999,450,0.0,0.0,
