Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains
2026-07-08,19.25,19.719999,17.49,18.120001,18.120001,4300,0.0,0.0,
2026-07-09,17.809999,19.360001,16.93,16.93,16.93,5100,0.0,0.0,
2026-07-10,19.35,19.48,17.059999,17.059999,17.059999,5600,0.0,0.0,
2026-07-13,16.040001,16.040001,15.05,15.07,15.07,1600,0.0,0.0,
2026-07-14,15.85,15.98,15.78,15.98,15.98,1300,0.0,0.0,
2026-07-15,17.530001,17.530001,16.0,17.059999,17.059999,3200,0.0,0.0,
2026-07-16,15.61,15.61,13.3,13.3,13.3,3200,0.0,0.0,
2026-07-17,12.11,13.34,11.76,12.74,12.74,7600,0.0,0.0,
2026-07-20,13.83,14.43,13.77,14.34,14.34,15300,0.0,0.0,
2026-07-21,14.4,14.98,13.74,14.34,14.34,18300,0.0,0.0,
2026-07-22,14.27,14.27,13.26,13.37,13.37,1400,0.0,0.0,
2026-07-23,13.26,13.53,12.13,12.16,12.16,4800,0.0,0.0,
2026-07-24,11.77,12.07,10.89,10.89,10.89,7900,0.0,0.0,
2026-07-27,11.52,11.55,10.98,11.39,11.39,14300,0.0,0.0,
2026-07-28,9.91,10.74,9.66,10.74,10.74,9700,0.0,0.0,
2026-07-29,10.68,10.68,9.99,9.99,9.99,4300,0.0,0.0,
2026-07-30,10.65,11.16,10.64,11.16,11.16,3600,0.0,0.0,
2026-07-31,10.98,10.98,10.85,10.85,10.85,1700,0.0,0.0,
2026-08-03,12.14,12.14,12.0406,12.0406,12.0406,596,0.0,0.0,
