Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains
2024-01-25,25.049999,25.120001,24.879999,24.948999,24.71946,2600,0.0,0.0,0.0
2024-01-26,25.01,25.01,24.889999,24.908001,24.678839,2900,0.0,0.0,0.0
2024-01-29,25.200001,25.257999,25.200001,25.257999,25.025618,300,0.0,0.0,0.0
2024-01-30,25.120001,25.148001,25.120001,25.148001,24.91663,200,0.0,0.0,0.0
2024-01-31,25.08,25.08,24.584,24.584,24.357819,2300,0.0,0.0,0.0
2024-02-01,24.58,24.936001,24.58,24.927,24.697664,1500,0.0,0.0,0.0
2024-02-02,25.219999,25.219999,24.870001,24.871,24.642179,400,0.0,0.0,0.0
2024-02-05,24.499001,24.499001,24.48,24.483999,24.258738,300,0.0,0.0,0.0
2024-02-06,24.639999,24.639999,24.631001,24.631001,24.404387,300,0.0,0.0,0.0
2024-02-07,24.655001,24.655001,24.655001,24.655001,24.428165,100,0.0,0.0,0.0
2024-02-08,25.040001,25.040001,24.986,25.002001,24.771973,7700,0.0,0.0,0.0
2024-02-09,25.354,25.354,25.354,25.354,25.120735,0,0.0,0.0,0.0
2024-02-12,25.58,25.870001,25.495001,25.82,25.582447,500,0.0,0.0,0.0
2024-02-13,24.757999,24.805,24.757999,24.805,24.576784,200,0.0,0.0,0.0
2024-02-14,25.049999,25.41,25.049999,25.41,25.176218,300,0.0,0.0,0.0
2024-02-15,25.67,25.844999,25.67,25.844999,25.607218,1300,0.0,0.0,0.0
2024-02-16,25.733999,25.733999,25.556,25.556,25.320873,500,0.0,0.0,0.0
2024-02-20,25.219,25.219,25.219,25.219,24.986975,100,0.0,0.0,0.0
2024-02-21,25.142,25.157,25.07,25.157,24.925547,2100,0.0,0.0,0.0
2024-02-22,25.232,25.232,25.232,25.232,24.999857,100,0.0,0.0,0.0
2024-02-23,25.15,25.43,25.15,25.351999,25.118752,4100,0.0,0.0,0.0
2024-02-26,25.42,25.445999,25.403999,25.403999,25.170275,2100,0.0,0.0,0.0
2024-02-27,25.639999,25.653,25.59,25.653,25.416983,1000,0.0,0.0,0.0
2024-02-28,26.0,26.0,25.450001,25.482,25.247557,2300,0.0,0.0,0.0
2024-02-29,25.709999,25.709999,25.709999,25.709999,25.473457,300,0.0,0.0,0.0
2024-03-01,25.780001,25.9,25.780001,25.833,25.595327,5800,0.0,0.0,0.0
2024-03-04,25.73,25.75,25.68,25.68,25.443735,2100,0.0,0.0,0.0
2024-03-05,25.85,25.85,25.337,25.337,25.103889,4900,0.0,0.0,0.0
2024-03-06,25.450001,25.450001,25.434999,25.434999,25.200987,200,0.0,0.0,0.0
2024-03-07,25.280001,25.73,25.280001,25.686001,25.44968,1400,0.0,0.0,0.0
2024-03-08,25.625,25.625,25.625,25.625,25.389242,100,0.0,0.0,0.0
2024-03-11,25.42,25.52,25.42,25.472,25.237648,700,0.0,0.0,0.0
2024-03-12,25.450001,25.504999,25.360001,25.399,25.165321,800,0.0,0.0,0.0
2024-03-13,25.549999,25.549999,25.388,25.388,25.154421,2400,0.0,0.0,0.0
2024-03-14,25.299999,25.299999,24.950001,25.014,24.783861,1100,0.0,0.0,0.0
2024-03-15,25.08,25.08,25.073999,25.073999,24.843309,400,0.0,0.0,0.0
2024-03-18,25.15,25.24,25.042,25.042,24.811604,1100,0.0,0.0,0.0
2024-03-19,25.066999,25.309999,25.066999,25.285,25.052368,4800,0.0,0.0,0.0
2024-03-20,25.275999,25.74,25.264999,25.681999,25.445715,1100,0.0,0.0,0.0
2024-03-21,26.209999,26.209999,25.948,25.948,25.709269,1400,0.0,0.0,0.0
2024-03-22,25.83,25.83,25.667999,25.667999,25.431845,200,0.0,0.0,0.0
2024-03-25,25.719999,25.719999,25.589001,25.589001,25.353573,1200,0.0,0.0,0.0
2024-03-26,25.554001,25.554001,25.554001,25.554001,25.318895,100,0.0,0.0,0.0
2024-03-27,26.0,26.068001,25.966999,26.068001,25.828167,300,0.0,0.0,0.0
2024-03-28,26.34,26.34,26.25,26.25,26.00849,500,0.0,0.0,0.0
2024-04-01,26.068001,26.120001,26.028,26.028,25.788532,1200,0.0,0.0,0.0
2024-04-02,25.530001,25.563,25.530001,25.563,25.32781,500,0.0,0.0,0.0
2024-04-03,25.719999,25.809999,25.709999,25.724001,25.487329,7700,0.0,0.0,0.0
2024-04-04,25.455999,25.455999,25.455999,25.455999,25.221794,100,0.0,0.0,0.0
2024-04-05,25.620001,25.67,25.59,25.601999,25.366453,16700,0.0,0.0,0.0
2024-04-08,25.761999,25.761999,25.761999,25.761999,25.524981,200,0.0,0.0,0.0
2024-04-09,25.847,25.9,25.709999,25.865999,25.628023,14600,0.0,0.0,0.0
2024-04-10,25.73,25.73,25.195,25.243999,25.011745,11400,0.0,0.0,0.0
2024-04-11,25.200001,25.370001,25.200001,25.365,25.131634,1700,0.0,0.0,0.0
2024-04-12,25.24,25.25,24.870001,24.903999,24.674873,13600,0.0,0.0,0.0
2024-04-15,24.9,24.9,24.604,24.629999,24.403395,6000,0.0,0.0,0.0
2024-04-16,24.559999,24.629999,24.535999,24.535999,24.310261,1000,0.0,0.0,0.0
2024-04-17,24.49,24.49,24.281,24.281,24.057608,1500,0.0,0.0,0.0
2024-04-18,24.139999,24.184,24.139999,24.184,23.961498,1400,0.0,0.0,0.0
2024-04-19,24.48,24.49,24.334,24.334,24.110119,2200,0.0,0.0,0.0
2024-04-22,24.42,24.495001,24.42,24.495001,24.269638,100,0.0,0.0,0.0
2024-04-23,24.957001,25.040001,24.914,24.914,24.684782,1300,0.0,0.0,0.0
2024-04-24,24.85,24.888,24.85,24.888,24.659021,700,0.0,0.0,0.0
2024-04-25,24.73,24.76,24.73,24.745001,24.517338,2700,0.0,0.0,0.0
2024-04-26,24.964001,24.964001,24.964001,24.964001,24.734322,100,0.0,0.0,0.0
2024-04-29,25.136,25.136,25.136,25.136,24.904739,100,0.0,0.0,0.0
2024-04-30,24.719999,24.719999,24.582001,24.582001,24.355837,100,0.0,0.0,0.0
2024-05-01,24.51,24.950001,24.506001,24.506001,24.280539,700,0.0,0.0,0.0
2024-05-02,24.65,24.790001,24.65,24.782,24.553997,5000,0.0,0.0,0.0
2024-05-03,25.120001,25.120001,24.99,24.99,24.760082,5300,0.0,0.0,0.0
2024-05-06,25.32,25.32,25.271,25.271,25.038498,200,0.0,0.0,0.0
2024-05-07,25.52,25.52,25.371,25.371,25.137579,900,0.0,0.0,0.0
2024-05-08,25.33,25.33,25.245001,25.245001,25.012737,400,0.0,0.0,0.0
2024-05-09,25.35,25.539,25.34,25.539,25.304031,3300,0.0,0.0,0.0
2024-05-10,25.59,25.59,25.35,25.427,25.193062,1000,0.0,0.0,0.0
2024-05-13,25.482,25.482,25.482,25.482,25.247557,0,0.0,0.0,0.0
2024-05-14,25.712999,25.719999,25.712999,25.719999,25.483366,2000,0.0,0.0,0.0
2024-05-15,25.77,25.907,25.77,25.907,25.668646,2300,0.0,0.0,0.0
2024-05-16,25.77,25.77,25.77,25.77,25.532907,0,0.0,0.0,0.0
2024-05-17,25.732,25.732,25.732,25.732,25.495258,0,0.0,0.0,0.0
2024-05-20,25.917,25.940001,25.860001,25.860001,25.622078,3900,0.0,0.0,0.0
2024-05-21,25.799999,25.809999,25.780001,25.784,25.546778,5000,0.0,0.0,0.0
2024-05-22,25.608,25.608,25.608,25.608,25.372396,0,0.0,0.0,0.0
2024-05-23,25.5,25.5,25.18,25.320999,25.088037,800,0.0,0.0,0.0
2024-05-24,25.593,25.593,25.593,25.593,25.357536,0,0.0,0.0,0.0
2024-05-28,25.711,25.711,25.591999,25.591999,25.356543,500,0.0,0.0,0.0
2024-05-29,25.459999,25.459999,25.288,25.288,25.055342,500,0.0,0.0,0.0
2024-05-30,25.389999,25.558001,25.389999,25.558001,25.322857,400,0.0,0.0,0.0
2024-05-31,25.768999,25.768999,25.768999,25.768999,25.531916,0,0.0,0.0,0.0
2024-06-03,26.33,26.33,25.73,25.780001,25.542816,900,0.0,0.0,0.0
2024-06-04,25.351,25.351,25.351,25.351,25.11776,100,0.0,0.0,0.0
2024-06-05,25.709999,25.709999,25.67,25.673,25.4368,500,0.0,0.0,0.0
2024-06-06,25.549999,25.559999,25.51,25.51,25.275299,700,0.0,0.0,0.0
2024-06-07,25.284,25.290001,25.191,25.191,24.959232,2400,0.0,0.0,0.0
2024-06-10,25.097,25.181,25.040001,25.181,24.949327,3300,0.0,0.0,0.0
2024-06-11,25.1,25.1,25.1,25.1,24.86907,100,0.0,0.0,0.0
2024-06-12,25.9,25.9,25.507999,25.507999,25.273317,20300,0.0,0.0,0.0
2024-06-13,25.219999,25.25,25.209999,25.209999,24.97806,3400,0.0,0.0,0.0
2024-06-14,25.110001,25.110001,24.731001,24.798,24.569849,4500,0.0,0.0,0.0
2024-06-17,24.780001,25.030001,24.780001,25.01,24.779902,700,0.0,0.0,0.0
2024-06-18,24.986,24.986,24.986,24.986,24.756119,100,0.0,0.0,0.0
2024-06-20,25.219999,25.219999,24.82,24.856001,24.627317,600,0.0,0.0,0.0
2024-06-21,24.860001,24.860001,24.860001,24.860001,24.631279,100,0.0,0.0,0.0
2024-06-24,25.125999,25.125999,24.969999,24.969999,24.740265,2300,0.0,0.0,0.0
2024-06-25,24.76,24.789,24.76,24.789,24.560932,100,0.0,0.0,0.0
2024-06-26,24.781,24.781,24.781,24.781,24.553005,100,0.0,0.0,0.0
2024-06-27,24.799999,24.9,24.799999,24.891001,24.661995,7700,0.0,0.0,0.0
2024-06-28,25.08,25.107,24.99,25.082001,24.851236,1300,0.0,0.0,0.0
