Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains
2018-09-05,24.879999,24.879999,24.5,24.75,23.168226,6700,0.0,0.0,0.0
2018-09-06,24.74,24.74,24.5,24.540001,22.971649,2900,0.0,0.0,0.0
2018-09-07,24.549999,24.6,24.5,24.5,22.934202,2600,0.0,0.0,0.0
2018-09-10,24.58,24.58,24.469999,24.530001,22.962282,3000,0.0,0.0,0.0
2018-09-11,24.530001,24.559999,24.530001,24.530001,22.962282,2200,0.0,0.0,0.0
2018-09-12,24.370001,24.459999,24.360001,24.459999,22.896759,1200,0.0,0.0,0.0
2018-09-13,24.68,24.68,24.530001,24.58,23.009087,10600,0.0,0.0,0.0
2018-09-14,24.74,24.76,24.73,24.76,23.177582,2000,0.0,0.0,0.0
2018-09-17,24.77,24.77,24.59,24.6,23.027811,2900,0.0,0.0,0.0
2018-09-18,24.450001,24.809999,24.450001,24.76,23.177582,3100,0.0,0.0,0.0
2018-09-19,24.719999,24.719999,24.66,24.67,23.093338,1300,0.0,0.0,0.0
2018-09-20,24.799999,24.879999,24.780001,24.870001,23.280554,5500,0.0,0.0,0.0
2018-09-21,24.879999,24.91,24.84,24.84,23.25247,600,0.0,0.0,0.0
2018-09-24,24.629999,24.82,24.629999,24.82,23.233751,1400,0.0,0.0,0.0
2018-09-25,24.84,24.9,24.82,24.879999,23.289919,800,0.0,0.0,0.0
2018-09-26,24.84,24.860001,24.799999,24.799999,23.215029,1100,0.0,0.0,0.0
2018-09-27,24.690001,24.700001,24.639999,24.67,23.093338,2200,0.0,0.0,0.0
2018-09-28,24.67,24.67,24.65,24.65,23.074612,900,0.0,0.0,0.0
2018-10-01,24.75,24.75,24.75,24.75,23.168226,200,0.0,0.0,0.0
2018-10-02,24.629999,24.66,24.5,24.5,22.934202,2300,0.0,0.0,0.0
2018-10-03,24.57,24.57,24.540001,24.540001,22.971649,400,0.0,0.0,0.0
2018-10-04,24.559999,24.559999,24.200001,24.200001,22.653376,600,0.0,0.0,0.0
2018-10-05,24.0,24.0,23.690001,23.780001,22.26022,1100,0.0,0.0,0.0
2018-10-08,23.58,23.59,23.58,23.59,22.082361,400,0.0,0.0,0.0
2018-10-09,23.42,23.42,23.389999,23.389999,21.895144,900,0.0,0.0,0.0
2018-10-10,23.200001,23.200001,22.51,22.51,21.071381,1600,0.0,0.0,0.0
2018-10-11,22.49,22.49,22.49,22.49,21.052664,700,0.0,0.0,0.0
2018-10-12,22.530001,22.530001,22.49,22.530001,21.090105,1500,0.0,0.0,0.0
2018-10-15,22.530001,22.530001,22.530001,22.530001,21.090105,0,0.0,0.0,0.0
2018-10-16,22.719999,22.719999,22.719999,22.719999,21.267962,200,0.0,0.0,0.0
2018-10-17,23.059999,23.07,22.93,23.07,21.595589,800,0.0,0.0,0.0
2018-10-18,22.969999,22.969999,22.59,22.59,21.146269,1400,0.0,0.0,0.0
2018-10-19,22.59,22.59,22.59,22.59,21.146269,0,0.0,0.0,0.0
2018-10-22,22.379999,22.389999,22.379999,22.389999,20.959049,400,0.0,0.0,0.0
2018-10-23,21.84,22.25,21.84,22.25,20.827997,3500,0.0,0.0,0.0
2018-10-24,21.74,21.74,21.65,21.65,20.26634,900,0.0,0.0,0.0
2018-10-25,21.639999,21.66,21.639999,21.66,20.275711,400,0.0,0.0,0.0
2018-10-26,21.049999,21.440001,21.049999,21.35,19.985527,300,0.0,0.0,0.0
2018-10-29,21.5,21.5,21.5,21.5,20.125938,200,0.0,0.0,0.0
2018-10-30,20.959999,21.360001,20.959999,21.35,19.985527,700,0.0,0.0,0.0
2018-10-31,21.48,21.610001,21.48,21.610001,20.228903,500,0.0,0.0,0.0
2018-11-01,21.610001,21.610001,21.610001,21.610001,20.228903,100,0.0,0.0,0.0
2018-11-02,22.6,22.6,22.290001,22.370001,20.940332,63100,0.0,0.0,0.0
2018-11-05,22.370001,22.370001,22.110001,22.110001,20.696943,400,0.0,0.0,0.0
2018-11-06,22.280001,22.389999,22.280001,22.389999,20.959049,7500,0.0,0.0,0.0
2018-11-07,22.610001,22.799999,22.610001,22.799999,21.34285,300,0.0,0.0,0.0
2018-11-08,22.77,22.77,22.66,22.66,21.211796,800,0.0,0.0,0.0
2018-11-09,22.66,22.66,22.66,22.66,21.211796,200,0.0,0.0,0.0
2018-11-12,22.24,22.24,21.6,21.690001,20.303791,900,0.0,0.0,0.0
2018-11-13,21.709999,21.709999,21.709999,21.709999,20.32251,200,0.0,0.0,0.0
2018-11-14,21.76,21.76,21.48,21.58,20.200819,4400,0.0,0.0,0.0
2018-11-15,21.549999,22.17,21.540001,22.08,20.668863,2700,0.0,0.0,0.0
2018-11-16,21.879999,22.0,21.75,21.99,20.584612,1200,0.0,0.0,0.0
2018-11-19,22.040001,22.040001,21.5,21.5,20.125938,3200,0.0,0.0,0.0
2018-11-20,20.74,20.959999,20.5,20.799999,19.470663,3400,0.0,0.0,0.0
2018-11-21,20.799999,20.799999,20.799999,20.799999,19.470663,100,0.0,0.0,0.0
2018-11-23,20.799999,20.799999,20.799999,20.799999,19.470663,100,0.0,0.0,0.0
2018-11-26,21.24,21.24,21.24,21.24,19.882545,200,0.0,0.0,0.0
2018-11-27,21.24,21.24,21.24,21.24,19.882545,100,0.0,0.0,0.0
2018-11-28,21.459999,21.459999,21.280001,21.280001,19.919991,300,0.0,0.0,0.0
2018-11-29,21.280001,21.280001,21.280001,21.280001,19.919991,100,0.0,0.0,0.0
2018-11-30,21.799999,21.799999,21.799999,21.799999,20.406759,600,0.0,0.0,0.0
2018-12-03,22.360001,22.360001,22.360001,22.360001,20.930964,300,0.0,0.0,0.0
2018-12-04,22.360001,22.360001,22.360001,22.360001,20.930964,100,0.0,0.0,0.0
2018-12-06,21.139999,21.530001,21.139999,21.530001,20.15402,700,0.0,0.0,0.0
2018-12-07,21.450001,21.450001,21.450001,21.450001,20.079126,200,0.0,0.0,0.0
2018-12-10,20.9,21.18,20.9,21.18,19.826382,400,0.0,0.0,0.0
