Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2026-07-13,10.35,10.5,10.31,10.34,10.34,671500,0.0,0.0
2026-07-14,10.34,10.68,10.34,10.42,10.42,59800,0.0,0.0
2026-07-15,10.5,11.65,10.46,10.64,10.64,18300,0.0,0.0
2026-07-16,10.6,10.6,10.4,10.5,10.5,6400,0.0,0.0
2026-07-17,10.3,10.68,10.0,10.4,10.4,3900,0.0,0.0
2026-07-20,10.36,10.36,10.36,10.36,10.36,200,0.0,0.0
2026-07-21,10.44,10.44,10.44,10.44,10.44,700,0.0,0.0
2026-07-22,11.22,11.22,10.4,10.4,10.4,1500,0.0,0.0
2026-07-23,10.65,10.65,10.65,10.65,10.65,300,0.0,0.0
2026-07-24,10.28,11.0,10.26,10.82,10.82,20300,0.0,0.0
2026-07-27,11.0,11.0,10.31,10.81,10.81,17700,0.0,0.0
2026-07-28,11.3,11.49,10.62,10.9,10.9,6800,0.0,0.0
2026-07-29,10.9,11.06,10.84,10.84,10.84,8900,0.0,0.0
2026-07-30,11.1,11.25,10.82,11.11,11.11,15100,0.0,0.0
2026-07-31,11.1,11.15,10.91,11.15,11.15,8700,0.0,0.0
2026-08-03,11.06,11.18,11.06,11.15,11.15,2500,0.0,0.0
2026-08-04,11.06,11.06,11.0,11.0,11.0,1600,0.0,0.0
2026-08-05,11.8,11.8,11.21,11.21,11.21,3200,0.0,0.0
2026-08-06,11.3,11.63,11.21,11.21,11.21,4000,0.0,0.0
2026-08-07,11.63,11.63,11.63,11.63,11.63,1500,0.0,0.0
2026-08-10,11.55,12.25,11.51,11.51,11.51,2500,0.0,0.0
2026-08-11,11.41,11.41,11.41,11.41,11.41,600,0.0,0.0
2026-08-12,11.7,11.74,11.42,11.42,11.42,900,0.0,0.0
2026-08-13,11.8,12.0,11.43,11.8,11.8,1700,0.0,0.0
2026-08-14,12.0,12.22,11.87,11.9,11.9,1300,0.0,0.0
2026-08-17,11.9,11.9,11.9,11.9,11.9,0,0.0,0.0
2026-08-18,11.9,11.9,11.9,11.9,11.9,0,0.0,0.0
2026-08-19,12.0,12.05,11.63,12.01,12.01,6800,0.0,0.0
2026-08-20,11.51,12.0,11.5,11.99,11.99,15400,0.0,0.0
2026-08-21,12.94,12.94,11.33,12.0,12.0,8100,0.0,0.0
2026-08-24,12.5,12.5,11.83,12.3,12.3,16000,0.0,0.0
2026-08-25,12.79,13.0,12.46,12.9,12.9,17000,0.0,0.0
2026-08-26,12.9,13.64,12.5,12.94,12.94,4300,0.0,0.0
2026-08-27,13.0,13.3,12.9,13.01,13.01,4300,0.0,0.0
2026-08-28,12.91,12.91,12.0,12.0,12.0,1600,0.0,0.0
2026-08-31,12.93,12.94,12.7,12.7,12.7,3700,0.0,0.0
2026-09-01,12.7,12.7,12.7,12.7,12.7,0,0.0,0.0
