Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains
2025-03-25,24.58,25.337,23.34,25.337,25.337,2700,0.0,0.0,0.0
2025-03-26,22.280001,23.829,22.167,23.09,23.09,32500,0.0,0.0,0.0
2025-03-27,20.694,21.77,19.370001,19.370001,19.370001,11900,0.0,0.0,0.0
2025-03-28,18.969999,19.02,17.079,18.43,18.43,6100,0.0,0.0,0.0
2025-03-31,15.88,17.67,15.103,17.52,17.52,4500,0.0,0.0,0.0
2025-04-01,18.23,19.58,17.98,19.129999,19.129999,28400,0.0,0.0,0.0
2025-04-02,19.82,20.280001,18.82,18.93,18.93,37500,0.0,0.0,0.0
2025-04-03,15.5,15.5,14.12,14.51,14.51,36100,0.0,0.0,0.0
2025-04-04,13.21,13.21,10.973,11.57,11.57,21400,0.0,0.0,0.0
2025-04-07,10.09,14.0,9.72,13.064,13.064,59200,0.0,0.0,0.0
2025-04-08,14.86,14.86,11.45,11.99,11.99,72300,0.0,0.0,0.0
2025-04-09,11.88,18.530001,11.61,17.888,17.888,85700,0.0,0.0,0.0
2025-04-10,15.68,16.41,14.18,14.98,14.98,33400,0.0,0.0,0.0
2025-04-11,14.54,14.681,13.33,14.681,14.681,22000,0.0,0.0,0.0
2025-04-14,16.004999,16.004999,13.7,13.86,13.86,43200,0.0,0.0,0.0
2025-04-15,13.65,14.19,12.88,13.39,13.39,54600,0.0,0.0,0.0
2025-04-16,12.47,13.059,12.13,13.001,13.001,13200,0.0,0.0,0.0
2025-04-17,12.99,13.4,12.44,13.179,13.179,36400,0.0,0.0,0.0
2025-04-21,12.37,12.71,11.791,12.71,12.71,18300,0.0,0.0,0.0
2025-04-22,13.19,14.661,13.19,14.612,14.612,34300,0.0,0.0,0.0
2025-04-23,17.179001,17.959,15.91,16.200001,16.200001,119000,0.0,0.0,0.0
2025-04-24,15.74,17.940001,15.74,17.700001,17.700001,78500,0.0,0.0,0.0
2025-04-25,19.0,20.34,18.42,19.889999,19.889999,95200,0.0,0.0,0.0
2025-04-28,19.99,21.08,19.030001,20.700001,20.700001,135700,0.0,0.0,0.0
2025-04-29,20.389999,21.334,19.75,20.9,20.9,62600,0.0,0.0,0.0
2025-04-30,17.889999,19.280001,16.34,18.9,18.9,88400,0.0,0.0,0.0
2025-05-01,21.9,22.0,19.48,19.870001,19.870001,388300,0.0,0.0,0.0
2025-05-02,20.0,21.926001,17.5,18.09,18.09,1112600,0.0,0.0,0.0
2025-05-05,17.9,20.273001,17.389999,18.92,18.92,447800,0.0,0.0,0.0
2025-05-06,18.08,18.341,16.4,16.809999,16.809999,346400,0.0,0.0,0.0
2025-05-07,16.58,17.290001,14.59,15.37,15.37,276400,0.0,0.0,0.0
2025-05-08,16.120001,16.629999,15.4,16.110001,16.110001,535500,0.0,0.0,0.0
2025-05-09,16.610001,17.5,15.42,16.24,16.24,370200,0.0,0.0,0.0
2025-05-12,17.99,18.025,16.629999,16.99,16.99,391200,0.0,0.0,0.0
2025-05-13,17.440001,18.6,17.299999,17.59,17.59,332800,0.0,0.0,0.0
2025-05-14,18.1,22.908001,17.841999,21.41,21.41,871800,0.0,0.0,0.0
2025-05-15,20.27,20.290001,17.200001,17.51,17.51,1543300,0.0,0.0,0.0
2025-05-16,18.809999,18.809999,16.561001,17.35,17.35,805000,0.0,0.0,0.0
2025-05-19,14.76,16.309999,14.581,15.73,15.73,649800,0.0,0.0,0.0
2025-05-20,15.58,15.668,14.68,15.0,15.0,511200,0.0,0.0,0.0
2025-05-21,14.3,14.3,11.945,12.22,12.22,1550700,0.0,0.0,0.0
2025-05-22,12.65,13.379,12.19,12.82,12.82,761700,0.0,0.0,0.0
2025-05-23,12.04,13.81,12.0,13.42,13.42,777500,0.0,0.0,0.0
2025-05-27,14.19,14.52,13.04,14.5,14.5,512600,0.0,0.0,0.0
2025-05-28,14.52,15.0,14.04,14.72,14.72,453700,0.0,0.0,0.0
2025-05-29,15.68,17.0,15.27,15.7,15.7,1078200,0.0,0.0,0.0
2025-05-30,15.12,16.67,14.975,16.58,16.58,593400,0.0,0.0,0.0
2025-06-02,15.765,17.0,15.76,16.5,16.5,426300,0.0,0.0,0.0
2025-06-03,16.639999,17.48,15.89,16.16,16.16,492500,0.0,0.0,0.0
2025-06-04,16.209999,18.684999,16.16,18.290001,18.290001,686200,0.0,0.0,0.0
2025-06-05,18.32,18.57,16.290001,16.42,16.42,523200,0.0,0.0,0.0
2025-06-06,16.85,19.059999,16.610001,19.059999,19.059999,571500,0.0,0.0,0.0
2025-06-09,18.67,19.25,17.549999,17.91,17.91,451100,0.0,0.0,0.0
2025-06-10,17.52,18.309999,17.24,17.780001,17.780001,330500,0.0,0.0,0.0
2025-06-11,17.860001,18.780001,16.93,17.16,17.16,587500,0.0,0.0,0.0
2025-06-12,16.620001,18.0,15.86,17.48,17.48,440500,0.0,0.0,0.0
2025-06-13,16.25,18.663,16.200001,17.99,17.99,569500,0.0,0.0,0.0
2025-06-16,18.99,20.52,18.959999,20.440001,20.440001,596300,0.0,0.0,0.0
2025-06-17,22.84,26.879999,22.5,22.879999,22.879999,1516600,0.0,0.0,0.0
2025-06-18,22.48,26.351999,22.43,25.52,25.52,848400,0.0,0.0,0.0
2025-06-20,25.639999,27.75,24.280001,24.700001,24.700001,686000,0.0,0.0,0.0
2025-06-23,23.35,25.521999,22.6,22.82,22.82,737200,0.0,0.0,0.0
2025-06-24,23.5,26.139,23.5,25.16,25.16,512700,0.0,0.0,0.0
2025-06-25,28.75,29.790001,25.34,25.379999,25.379999,887800,0.0,0.0,0.0
2025-06-26,26.799999,27.283001,25.128,26.190001,26.190001,643900,0.0,0.0,0.0
2025-06-27,26.030001,26.75,24.52,25.83,25.83,612500,0.0,0.0,0.0
2025-06-30,27.6,30.17,27.18,28.49,28.49,719700,0.0,0.0,0.0
2025-07-01,29.209999,30.74,27.120001,29.299999,29.299999,433600,0.0,0.0,0.0
2025-07-02,29.139999,33.849998,29.049999,31.83,31.83,816700,0.0,0.0,0.0
2025-07-03,32.02,32.200001,30.34,30.809999,30.809999,346800,0.0,0.0,0.0
2025-07-07,30.059999,30.174999,28.0,29.59,29.59,469900,0.0,0.0,0.0
2025-07-08,29.879999,30.43,26.379999,26.66,26.66,468100,0.0,0.0,0.0
2025-07-09,26.799999,26.940001,24.98,26.540001,26.540001,379100,0.0,0.0,0.0
2025-07-10,27.41,27.559999,24.93,25.530001,25.530001,317100,0.0,0.0,0.0
2025-07-11,25.01,27.083,24.936001,26.42,26.42,340400,0.0,0.0,0.0
2025-07-14,26.620001,28.129999,26.32,26.73,26.73,358400,0.0,0.0,0.0
2025-07-15,27.219999,27.25,25.450001,26.190001,26.190001,359900,0.0,0.0,0.0
2025-07-16,26.07,26.52,23.75,25.9,25.9,571300,0.0,0.0,0.0
2025-07-17,25.93,26.764999,24.66,25.25,25.25,275600,0.0,0.0,0.0
2025-07-18,25.25,27.58,23.705999,27.26,27.26,692200,0.0,0.0,0.0
2025-07-21,26.43,27.82,25.981001,26.549999,26.549999,435100,0.0,0.0,0.0
2025-07-22,26.27,27.07,23.799999,26.32,26.32,558700,0.0,0.0,0.0
2025-07-23,26.799999,28.676001,25.870001,26.52,26.52,651600,0.0,0.0,0.0
2025-07-24,27.15,28.110001,25.266001,27.139999,27.139999,530900,0.0,0.0,0.0
2025-07-25,27.83,28.860001,27.07,27.719999,27.719999,300300,0.0,0.0,0.0
2025-07-28,28.01,28.950001,26.91,28.427,28.427,304300,0.0,0.0,0.0
2025-07-29,28.379999,28.41,24.709999,26.01,26.01,715100,0.0,0.0,0.0
2025-07-30,25.91,27.785,25.66,27.568001,27.568001,291400,0.0,0.0,0.0
2025-07-31,31.41,32.299999,29.469999,31.860001,31.860001,1801800,0.0,0.0,0.0
2025-08-01,39.740002,45.740002,38.290001,42.41,42.41,2057000,0.0,0.0,0.0
2025-08-04,44.110001,49.240002,42.84,48.610001,48.610001,975600,0.0,0.0,0.0
2025-08-05,47.119999,51.75,46.400002,47.209999,47.209999,635900,0.0,0.0,0.0
2025-08-06,47.07,53.75,46.950001,53.75,53.75,658400,0.0,0.0,0.0
2025-08-07,55.490002,55.59,50.132,53.220001,53.220001,614300,0.0,0.0,0.0
2025-08-08,53.049999,56.599998,51.630001,54.939999,54.939999,354600,0.0,0.0,0.0
2025-08-11,54.575001,59.799999,53.040001,57.669998,57.669998,337000,0.0,0.0,0.0
2025-08-12,57.5,62.105999,57.380001,59.209999,59.209999,374300,0.0,0.0,0.0
2025-08-13,59.860001,66.209999,59.470001,65.080002,65.080002,595300,0.0,0.0,0.0
2025-08-14,61.91,70.489998,61.830002,69.470001,69.470001,644600,0.0,0.0,0.0
2025-08-15,69.139999,72.019997,65.309998,71.419998,71.419998,421300,0.0,0.0,0.0
2025-08-18,71.099998,74.879997,66.099998,68.599998,68.599998,445700,0.0,0.0,0.0
2025-08-19,66.129997,66.639999,59.370998,60.82,60.82,635200,0.0,0.0,0.0
2025-08-20,56.959999,58.639999,48.77,55.733002,55.733002,983400,0.0,0.0,0.0
2025-08-21,54.91,57.099998,54.18,55.720001,55.720001,400900,0.0,0.0,0.0
2025-08-22,54.049999,61.490002,53.208,54.869999,54.869999,726300,0.0,0.0,0.0
2025-08-25,53.130001,57.5,52.75,56.18,56.18,355600,0.0,0.0,0.0
2025-08-26,55.029999,56.34,53.810001,56.124001,56.124001,190800,0.0,0.0,0.0
2025-08-27,56.419998,59.599998,50.27,51.720001,51.720001,469900,0.0,0.0,0.0
2025-08-28,52.389999,59.32,52.323002,58.5,58.5,475400,0.0,0.0,0.0
2025-08-29,58.220001,59.789001,55.439999,58.305,58.305,312400,0.0,0.0,0.0
2025-09-02,55.349998,57.23,52.330002,55.664001,55.664001,387600,0.0,0.0,0.0
2025-09-03,58.900002,65.489998,55.009998,57.209999,57.209999,896400,0.0,0.0,0.0
2025-09-04,58.400002,62.855999,57.380001,61.845001,61.845001,550100,0.0,0.0,0.0
2025-09-05,63.279999,66.470001,60.799999,65.860001,65.860001,576300,0.0,0.0,0.0
2025-09-08,68.559998,69.580002,60.439999,60.59,60.59,499300,0.0,0.0,0.0
2025-09-09,62.880001,65.779999,61.48,65.779999,65.779999,329200,0.0,0.0,0.0
2025-09-10,68.239998,77.099998,68.239998,76.169998,76.169998,492500,0.0,0.0,0.0
2025-09-11,77.139999,80.400002,75.122002,76.855003,76.855003,306700,0.0,0.0,0.0
2025-09-12,78.360001,80.025002,71.330002,73.279999,73.279999,322500,0.0,0.0,0.0
2025-09-15,73.800003,79.452003,73.410004,78.599998,78.599998,304100,0.0,0.0,0.0
2025-09-16,79.709999,81.0,76.589996,80.019997,80.019997,206500,0.0,0.0,0.0
2025-09-17,78.629997,82.357002,70.019997,80.5,80.5,929600,0.0,0.0,0.0
2025-09-18,82.940002,89.839996,82.169998,82.470001,82.470001,399400,0.0,0.0,0.0
2025-09-19,82.349998,82.775002,70.800003,78.5,78.5,772200,0.0,0.0,0.0
2025-09-22,74.269997,77.5,72.019997,74.620003,74.620003,459500,0.0,0.0,0.0
2025-09-23,73.0,73.0,62.189999,62.709999,62.709999,740300,0.0,0.0,0.0
2025-09-24,64.800003,66.309998,61.507,61.950001,61.950001,357100,0.0,0.0,0.0
2025-09-25,57.419998,62.189999,55.689999,60.220001,60.220001,283600,0.0,0.0,0.0
2025-09-26,61.470001,64.239998,59.400002,64.134003,64.134003,298000,0.0,0.0,0.0
2025-09-29,66.419998,67.199997,63.59,65.0,65.0,309200,0.0,0.0,0.0
2025-09-30,64.129997,64.129997,56.0,58.459999,58.459999,580200,0.0,0.0,0.0
2025-10-01,49.790001,52.362,44.400002,44.630001,44.630001,2361600,0.0,0.0,0.0
2025-10-02,46.68,47.299999,42.881001,43.669998,43.669998,1186900,0.0,0.0,0.0
2025-10-03,48.529999,49.009998,45.759998,46.459999,46.459999,1147700,0.0,0.0,0.0
2025-10-06,46.75,48.139999,42.799999,44.950001,44.950001,875000,0.0,0.0,0.0
2025-10-07,46.209999,47.470001,44.355,45.799999,45.799999,577600,0.0,0.0,0.0
2025-10-08,45.900002,45.956001,41.060001,44.290001,44.290001,1035400,0.0,0.0,0.0
2025-10-09,44.25,48.509998,42.944,48.279999,48.279999,889200,0.0,0.0,0.0
2025-10-10,49.310001,49.48,41.911999,42.25,42.25,926400,0.0,0.0,0.0
2025-10-13,43.700001,44.794998,42.0,44.380001,44.380001,414300,0.0,0.0,0.0
2025-10-14,42.580002,45.139,40.509998,41.16,41.16,589300,0.0,0.0,0.0
2025-10-15,43.189999,44.169998,41.439999,43.09,43.09,356100,0.0,0.0,0.0
2025-10-16,43.959999,44.209999,40.950001,42.154999,42.154999,341700,0.0,0.0,0.0
2025-10-17,40.799999,42.903,37.939999,40.490002,40.490002,403400,0.0,0.0,0.0
2025-10-20,43.220001,47.080002,42.813999,43.630001,43.630001,735100,0.0,0.0,0.0
2025-10-21,46.110001,46.175999,43.807999,44.919998,44.919998,448700,0.0,0.0,0.0
2025-10-22,44.25,44.5,38.720001,41.189999,41.189999,544200,0.0,0.0,0.0
2025-10-23,42.580002,44.52,42.470001,42.790001,42.790001,319300,0.0,0.0,0.0
2025-10-24,45.040001,49.001999,44.620998,48.279999,48.279999,582400,0.0,0.0,0.0
2025-10-27,51.0,53.029999,49.41,50.580002,50.580002,504000,0.0,0.0,0.0
2025-10-28,52.040001,52.189999,47.650002,47.740002,47.740002,396700,0.0,0.0,0.0
2025-10-29,47.099998,48.119999,44.09,46.740002,46.740002,581800,0.0,0.0,0.0
2025-10-30,46.009998,46.009998,39.299999,39.599998,39.599998,1746600,0.0,0.0,0.0
2025-10-31,49.209999,54.0,44.93,45.299999,45.299999,2964500,0.0,0.0,0.0
2025-11-03,46.220001,47.400002,41.0,43.540001,43.540001,948200,0.0,0.0,0.0
2025-11-04,40.549999,41.243,36.060001,36.259998,36.259998,943300,0.0,0.0,0.0
2025-11-05,36.369999,40.57,35.707001,39.360001,39.360001,622200,0.0,0.0,0.0
2025-11-06,39.220001,39.384998,34.055,34.349998,34.349998,520400,0.0,0.0,0.0
2025-11-07,32.220001,38.610001,30.67,38.400002,38.400002,832800,0.0,0.0,0.0
2025-11-10,40.450001,43.700001,39.860001,42.044998,42.044998,745100,0.0,0.0,0.0
2025-11-11,40.91,44.849998,40.91,43.779999,43.779999,404600,0.0,0.0,0.0
2025-11-12,44.48,45.740002,40.43,41.48,41.48,428900,0.0,0.0,0.0
2025-11-13,41.32,41.32,34.409,36.0,36.0,602300,0.0,0.0,0.0
2025-11-14,34.93,39.369999,33.990002,37.380001,37.380001,640200,0.0,0.0,0.0
2025-11-17,36.25,37.790001,34.287998,35.049999,35.049999,214700,0.0,0.0,0.0
2025-11-18,33.990002,35.75,32.700001,34.400002,34.400002,400300,0.0,0.0,0.0
2025-11-19,34.310001,36.849998,34.27,35.299999,35.299999,237100,0.0,0.0,0.0
2025-11-20,37.360001,38.0,31.764999,33.049999,33.049999,329900,0.0,0.0,0.0
2025-11-21,33.790001,35.830002,32.349998,33.560001,33.560001,372000,0.0,0.0,0.0
2025-11-24,34.220001,37.950001,34.0,37.68,37.68,507400,0.0,0.0,0.0
2025-11-25,38.810001,47.25,38.25,46.75,46.75,890600,0.0,0.0,0.0
2025-11-26,45.830002,47.612,41.919998,42.130001,42.130001,502500,0.0,0.0,0.0
2025-11-28,42.610001,46.18,41.950001,45.639999,45.639999,423700,0.0,0.0,0.0
2025-12-01,43.650002,49.709999,43.130001,48.41,48.41,803000,0.0,0.0,0.0
2025-12-02,49.049999,51.998001,47.810001,48.119999,48.119999,535300,0.0,0.0,0.0
2025-12-03,47.93,49.419998,46.93,47.380001,47.380001,187600,0.0,0.0,0.0
2025-12-04,47.59,49.280998,44.82,48.080002,48.080002,262700,0.0,0.0,0.0
2025-12-05,48.650002,54.439999,48.650002,52.880001,52.880001,749400,0.0,0.0,0.0
2025-12-08,51.369999,54.66,49.040001,54.110001,54.110001,374700,0.0,0.0,0.0
2025-12-09,51.599998,54.299999,51.009998,53.700001,53.700001,249100,0.0,0.0,0.0
2025-12-10,53.009998,55.639999,51.68,54.68,54.68,296000,0.0,0.0,0.0
2025-12-11,53.299999,54.272999,49.841999,52.459999,52.459999,321200,0.0,0.0,0.0
2025-12-12,52.18,54.02,47.759998,48.400002,48.400002,280900,0.0,0.0,0.0
2025-12-15,47.290001,48.740002,43.630001,45.860001,45.860001,226000,0.0,0.0,0.0
2025-12-16,44.23,48.290001,44.23,48.080002,48.080002,129600,0.0,0.0,0.0
2025-12-17,49.200001,53.0,49.200001,49.57,49.57,420600,0.0,0.0,0.0
2025-12-18,52.09,57.5,50.450001,51.139999,51.139999,405900,0.0,0.0,0.0
2025-12-19,53.799999,54.75,51.027,52.087002,52.087002,236200,0.0,0.0,0.0
2025-12-22,53.009998,55.247002,50.900002,51.884998,51.884998,431000,0.0,0.0,0.0
2025-12-23,50.799999,53.688,48.57,48.75,48.75,243700,0.0,0.0,0.0
2025-12-24,48.689999,49.700001,47.25,48.689999,48.689999,103300,0.0,0.0,0.0
2025-12-26,48.52,48.75,46.139999,48.654999,48.654999,98600,0.0,0.0,0.0
2025-12-29,48.209999,52.875,47.810001,52.290001,52.290001,240000,0.0,0.0,0.0
2025-12-30,53.0,53.0,49.82,51.678001,51.678001,130900,0.0,0.0,0.0
2025-12-31,51.240002,51.720001,49.195,50.198002,50.198002,105200,0.0,0.0,0.0
2026-01-02,51.450001,55.650002,49.509998,55.25,55.25,263200,0.0,0.0,0.0
2026-01-05,58.77,58.936001,55.02,56.470001,56.470001,212400,0.0,0.0,0.0
2026-01-06,58.07,61.139,55.291,60.494999,60.494999,297200,0.0,0.0,0.0
2026-01-07,60.349998,64.0,59.580002,61.556999,61.556999,251700,0.0,0.0,0.0
2026-01-08,61.389999,63.439999,58.16,60.728001,60.728001,202500,0.0,0.0,0.0
2026-01-09,62.16,65.0,52.0,56.150002,56.150002,493800,0.0,0.0,0.0
