Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains
2014-01-07,19.99,20.129999,19.99,20.120001,16.318935,1600,0.0,0.0,0.0
2014-01-08,20.066,20.066,20.049999,20.049999,16.262156,500,0.0,0.0,0.0
2014-01-09,20.049999,20.049999,20.049999,20.049999,16.262156,200,0.0,0.0,0.0
2014-01-10,21.02,21.02,20.049999,20.139999,16.335152,4300,0.0,0.0,0.0
2014-01-13,20.15,20.15,20.0,20.0,16.221605,2400,0.0,0.0,0.0
2014-01-14,19.940001,20.02,19.940001,20.02,16.237823,600,0.0,0.0,0.0
2014-01-15,20.17,20.200001,20.17,20.200001,16.383818,2600,0.0,0.0,0.0
2014-01-16,20.110001,20.110001,20.052,20.09,16.294598,6800,0.0,0.0,0.0
2014-01-17,20.0,20.07,20.0,20.07,16.278385,300,0.0,0.0,0.0
2014-01-21,20.15,20.15,19.969999,20.049999,16.262156,13600,0.0,0.0,0.0
2014-01-22,20.0,20.059999,19.987,20.059999,16.270267,8600,0.0,0.0,0.0
2014-01-23,19.99,20.0,19.66,19.74,16.010721,5300,0.0,0.0,0.0
2014-01-24,19.5,19.5,19.299999,19.32,15.670072,3900,0.0,0.0,0.0
2014-01-27,19.190001,19.191999,19.139999,19.191999,15.566253,2500,0.0,0.0,0.0
2014-01-28,19.18,19.18,19.18,19.18,15.556516,500,0.0,0.0,0.0
2014-01-29,19.16,19.25,19.139999,19.139999,15.524068,900,0.0,0.0,0.0
2014-01-30,19.34,19.34,19.34,19.34,15.686292,200,0.0,0.0,0.0
2014-01-31,19.18,19.299999,19.110001,19.23,15.597076,9900,0.0,0.0,0.0
2014-02-03,19.15,19.15,18.709999,18.82,15.264528,6200,0.0,0.0,0.0
2014-02-04,18.82,18.82,18.82,18.82,15.264528,1900,0.0,0.0,0.0
2014-02-05,18.799999,18.799999,18.75,18.75,15.207752,500,0.0,0.0,0.0
2014-02-06,18.85,18.940001,18.85,18.940001,15.361859,3000,0.0,0.0,0.0
2014-02-07,19.01,19.01,19.01,19.01,15.418634,100,0.0,0.0,0.0
2014-02-10,19.111,19.23,19.111,19.23,15.597076,1000,0.0,0.0,0.0
2014-02-11,19.290001,19.459999,19.209999,19.459999,15.783626,3100,0.0,0.0,0.0
2014-02-12,19.534,19.534,19.459999,19.469999,15.791728,7000,0.0,0.0,0.0
2014-02-13,19.469999,19.52,19.393999,19.52,15.83229,1900,0.0,0.0,0.0
2014-02-14,19.700001,19.719999,19.700001,19.719,15.993687,2200,0.0,0.0,0.0
2014-02-18,19.809999,19.82,19.799999,19.802,16.061014,1300,0.0,0.0,0.0
2014-02-19,19.809999,19.809999,19.65,19.65,15.937721,1200,0.0,0.0,0.0
2014-02-20,19.780001,19.799999,19.780001,19.799999,16.059389,7400,0.0,0.0,0.0
2014-02-21,19.82,19.860001,19.790001,19.790001,16.051283,3300,0.0,0.0,0.0
2014-02-24,19.98,20.049999,19.959999,19.959999,16.189159,4900,0.0,0.0,0.0
2014-02-25,19.870001,19.93,19.870001,19.92,16.156713,6100,0.0,0.0,0.0
2014-02-26,19.93,19.93,19.93,19.93,16.164837,500,0.0,0.0,0.0
2014-02-27,19.93,19.950001,19.879999,19.950001,16.181053,4800,0.0,0.0,0.0
2014-02-28,19.92,19.92,19.92,19.92,16.156713,1500,0.0,0.0,0.0
2014-03-03,20.0,20.0,19.780001,19.91,16.148605,162900,0.0,0.0,0.0
2014-03-04,19.91,19.91,19.91,19.91,16.148605,0,0.0,0.0,0.0
2014-03-05,20.18,20.190001,20.15,20.18,16.367605,2600,0.0,0.0,0.0
2014-03-06,20.25,20.280001,20.25,20.275,16.444645,2200,0.0,0.0,0.0
2014-03-07,20.33,20.33,20.17,20.190001,16.375708,3100,0.0,0.0,0.0
2014-03-10,20.23,20.23,20.1,20.18,16.367605,24900,0.0,0.0,0.0
2014-03-11,20.24,20.24,20.139999,20.139999,16.335152,2600,0.0,0.0,0.0
2014-03-12,19.879999,20.1,19.879999,20.09,16.294598,3100,0.0,0.0,0.0
2014-03-13,20.110001,20.110001,19.9,19.9,16.140491,4700,0.0,0.0,0.0
2014-03-14,19.959999,19.98,19.76,19.98,16.205389,6800,0.0,0.0,0.0
2014-03-17,20.0,20.049999,19.870001,20.030001,16.245935,3300,0.0,0.0,0.0
2014-03-18,20.030001,20.030001,20.030001,20.030001,16.245935,0,0.0,0.0,0.0
2014-03-19,20.040001,20.174,20.040001,20.07,16.278385,2700,0.0,0.0,0.0
2014-03-20,20.07,20.07,20.07,20.07,16.278385,0,0.0,0.0,0.0
2014-03-21,20.08,20.25,20.08,20.25,16.424372,3500,0.0,0.0,0.0
2014-03-24,20.0,20.08,20.0,20.08,16.286495,2400,0.0,0.0,0.0
2014-03-25,20.129999,20.129999,20.120001,20.129999,16.356369,2100,0.036,0.0,0.0
2014-03-26,20.110001,20.110001,20.1,20.1,16.331997,1800,0.0,0.0,0.0
2014-03-27,19.959999,19.959999,19.959999,19.959999,16.218231,400,0.0,0.0,0.0
2014-03-28,20.120001,20.120001,20.120001,20.120001,16.348248,400,0.0,0.0,0.0
2014-03-31,20.26,20.27,20.24,20.24,16.445745,3100,0.0,0.0,0.0
2014-04-01,20.42,20.51,20.360001,20.51,16.665133,1600,0.0,0.0,0.0
2014-04-02,20.65,20.65,20.65,20.65,16.778887,800,0.0,0.0,0.0
2014-04-03,20.58,20.58,20.58,20.58,16.72201,200,0.0,0.0,0.0
2014-04-04,20.629999,20.66,20.629999,20.66,16.787008,400,0.0,0.0,0.0
2014-04-07,20.33,20.33,20.18,20.18,16.396992,1100,0.0,0.0,0.0
2014-04-08,20.17,20.200001,20.129999,20.200001,16.413248,8000,0.0,0.0,0.0
2014-04-09,20.235001,20.235001,20.231001,20.231001,16.438429,400,0.0,0.0,0.0
2014-04-10,20.35,20.35,20.02,20.02,16.266993,5100,0.0,0.0,0.0
2014-04-11,20.040001,20.040001,20.040001,20.040001,16.283237,1200,0.0,0.0,0.0
2014-04-14,19.93,19.93,19.84,19.84,16.120733,400,0.0,0.0,0.0
2014-04-15,19.84,19.84,19.84,19.84,16.120733,0,0.0,0.0,0.0
2014-04-16,19.84,19.84,19.84,19.84,16.120733,0,0.0,0.0,0.0
2014-04-17,20.35,20.35,20.35,20.35,16.535126,900,0.0,0.0,0.0
2014-04-21,20.35,20.370001,20.349001,20.370001,16.551386,2000,0.0,0.0,0.0
2014-04-22,20.478001,20.49,20.469999,20.469999,16.632635,1200,0.0,0.0,0.0
2014-04-23,20.43,20.440001,20.419001,20.43,16.60013,4700,0.0,0.0,0.0
