Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2026-07-30,15.0,15.75,14.7,15.08,15.08,6415900,0.0,0.0
2026-07-31,15.45,16.35,15.13,16.219999,16.219999,1072200,0.0,0.0
2026-08-03,16.469999,16.85,15.65,16.84,16.84,900900,0.0,0.0
2026-08-04,17.26,17.26,15.88,16.0,16.0,601000,0.0,0.0
2026-08-05,16.0,16.58,15.82,16.129999,16.129999,443400,0.0,0.0
2026-08-06,16.110001,16.4,15.66,16.129999,16.129999,399100,0.0,0.0
2026-08-07,16.16,16.809999,15.51,15.76,15.76,802500,0.0,0.0
2026-08-10,15.74,15.85,14.92,15.09,15.09,592500,0.0,0.0
2026-08-11,15.0,15.6,14.91,15.45,15.45,408400,0.0,0.0
2026-08-12,15.3,15.88,15.16,15.87,15.87,196000,0.0,0.0
2026-08-13,16.030001,16.030001,14.99,15.0,15.0,387800,0.0,0.0
2026-08-14,14.99,15.59,14.99,15.55,15.55,159200,0.0,0.0
2026-08-17,15.75,16.16,15.7,16.0,16.0,197700,0.0,0.0
2026-08-18,16.01,16.139999,15.0,15.08,15.08,255300,0.0,0.0
2026-08-19,15.12,15.58,15.06,15.32,15.32,164700,0.0,0.0
2026-08-20,15.23,15.58,14.5,14.51,14.51,211500,0.0,0.0
2026-08-21,14.54,14.84,14.29,14.48,14.48,176700,0.0,0.0
2026-08-24,14.2,14.99,14.2,14.48,14.48,266600,0.0,0.0
2026-08-25,14.52,14.63,13.18,13.32,13.32,365200,0.0,0.0
2026-08-26,13.24,14.0,12.83,13.68,13.68,1247900,0.0,0.0
2026-08-27,13.75,15.03,13.75,14.7,14.7,1067700,0.0,0.0
2026-08-28,14.69,15.28,14.6,15.0,15.0,267100,0.0,0.0
2026-08-31,15.06,15.27,13.79,14.31,14.31,390700,0.0,0.0
2026-09-01,14.19,14.74,14.16,14.18,14.18,212600,0.0,0.0
2026-09-02,14.11,14.78,14.02,14.13,14.13,201800,0.0,0.0
2026-09-03,14.27,14.4,13.61,13.64,13.64,257800,0.0,0.0
2026-09-04,13.41,14.11,13.41,13.69,13.69,190700,0.0,0.0
2026-09-08,13.96,13.96,13.12,13.56,13.56,261600,0.0,0.0
2026-09-09,13.5,13.93,13.2,13.65,13.65,207300,0.0,0.0
2026-09-10,13.79,13.95,12.96,13.15,13.15,519300,0.0,0.0
2026-09-11,13.1,14.21,13.08,14.03,14.03,567400,0.0,0.0
2026-09-14,14.16,14.73,13.87,14.51,14.51,308200,0.0,0.0
2026-09-15,14.78,16.309999,14.68,15.9,15.9,650100,0.0,0.0
2026-09-16,15.75,16.1,15.61,15.73,15.73,1122800,0.0,0.0
2026-09-17,15.85,16.18,14.84,15.31,15.31,875900,0.0,0.0
2026-09-18,15.21,15.46,14.57,14.63,14.63,3346900,0.0,0.0
2026-09-21,14.79,14.79,13.25,13.38,13.38,471500,0.0,0.0
2026-09-22,13.46,14.21,13.34,13.6,13.6,491800,0.0,0.0
2026-09-23,13.55,13.55,12.36,12.47,12.47,505400,0.0,0.0
2026-09-24,12.5,13.23,12.16,12.55,12.55,399500,0.0,0.0
2026-09-25,12.56,12.73,12.355,,,434726,0.0,0.0
