Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2021-09-23,52.900002,53.650002,46.0,48.450001,48.450001,9841200,0.0,0.0
2021-09-24,47.049999,48.099998,42.009998,44.080002,44.080002,2397300,0.0,0.0
2021-09-27,42.290001,42.810001,40.299999,41.0,41.0,1748000,0.0,0.0
2021-09-28,40.299999,40.389999,37.494999,38.099998,38.099998,1763900,0.0,0.0
2021-09-29,37.709999,39.220001,36.529999,37.0,37.0,1379400,0.0,0.0
2021-09-30,37.0,37.470001,35.549999,36.700001,36.700001,735700,0.0,0.0
2021-10-01,37.540001,38.040001,37.0,37.669998,37.669998,831500,0.0,0.0
2021-10-04,37.639999,39.16,37.5,38.290001,38.290001,593500,0.0,0.0
2021-10-05,38.189999,39.950001,37.700001,39.560001,39.560001,381300,0.0,0.0
2021-10-06,38.919998,39.98,38.91,39.48,39.48,157100,0.0,0.0
2021-10-07,39.720001,41.0,39.0,39.209999,39.209999,292600,0.0,0.0
2021-10-08,39.0,39.740002,39.0,39.0,39.0,140900,0.0,0.0
2021-10-11,38.689999,38.990002,36.970001,37.400002,37.400002,466200,0.0,0.0
2021-10-12,37.5,37.799999,35.619999,36.18,36.18,542400,0.0,0.0
2021-10-13,36.290001,39.418999,36.290001,38.73,38.73,252900,0.0,0.0
2021-10-14,38.41,39.07,37.577,38.299999,38.299999,372000,0.0,0.0
2021-10-15,38.73,41.400002,38.529999,40.200001,40.200001,505700,0.0,0.0
2021-10-18,40.549999,41.264999,39.216,40.459999,40.459999,560200,0.0,0.0
2021-10-19,39.549999,41.040001,32.509998,33.91,33.91,4189700,0.0,0.0
2021-10-20,34.209999,35.77,33.77,34.450001,34.450001,1071700,0.0,0.0
2021-10-21,34.25,35.779999,34.25,35.5,35.5,706200,0.0,0.0
2021-10-22,35.150002,36.0,33.740002,34.119999,34.119999,633400,0.0,0.0
2021-10-25,34.080002,34.470001,32.330002,32.689999,32.689999,796800,0.0,0.0
2021-10-26,32.700001,33.57,30.559999,31.76,31.76,1129500,0.0,0.0
2021-10-27,31.540001,32.580002,31.0,31.459999,31.459999,503800,0.0,0.0
2021-10-28,32.619999,33.540001,31.709999,31.99,31.99,638600,0.0,0.0
2021-10-29,31.75,32.209999,30.41,30.620001,30.620001,433100,0.0,0.0
2021-11-01,30.74,33.57,30.65,33.389999,33.389999,955100,0.0,0.0
2021-11-02,33.200001,33.919998,31.049999,31.1,31.1,500300,0.0,0.0
2021-11-03,31.0,31.440001,30.6,31.200001,31.200001,320900,0.0,0.0
2021-11-04,31.190001,34.470001,31.18,33.970001,33.970001,466800,0.0,0.0
2021-11-05,34.259998,34.457001,32.825001,34.029999,34.029999,232100,0.0,0.0
2021-11-08,34.330002,36.290001,34.040001,36.049999,36.049999,391600,0.0,0.0
2021-11-09,36.099998,37.869999,35.605,37.549999,37.549999,604600,0.0,0.0
2021-11-10,35.32,38.549999,35.099998,36.5,36.5,726300,0.0,0.0
2021-11-11,36.650002,37.0,29.9,30.84,30.84,2359700,0.0,0.0
2021-11-12,31.01,31.959999,30.235001,30.57,30.57,715400,0.0,0.0
2021-11-15,30.66,31.5,30.200001,30.67,30.67,447300,0.0,0.0
2021-11-16,30.93,31.23,28.209999,28.360001,28.360001,836400,0.0,0.0
2021-11-17,28.360001,28.83,26.75,27.0,27.0,906800,0.0,0.0
2021-11-18,27.0,27.268,24.959999,26.26,26.26,867800,0.0,0.0
2021-11-19,26.35,27.309999,25.530001,26.85,26.85,378000,0.0,0.0
2021-11-22,26.91,27.691999,24.32,25.51,25.51,535200,0.0,0.0
2021-11-23,25.209999,25.620001,23.74,24.6,24.6,720600,0.0,0.0
2021-11-24,24.639999,26.02,24.34,25.629999,25.629999,275900,0.0,0.0
2021-11-26,25.440001,25.76,24.75,25.43,25.43,216000,0.0,0.0
2021-11-29,25.879999,25.879999,24.52,24.98,24.98,575800,0.0,0.0
2021-11-30,25.110001,25.379999,23.4,24.059999,24.059999,544700,0.0,0.0
