Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2023-09-19,2110.476074,3984.761963,1992.380981,2514.285645,2514.285645,90,0.0,0.0
2023-09-20,1641.904785,2464.761963,1641.904785,1988.571411,1988.571411,19,0.0,0.0
2023-09-21,1413.333374,1577.142822,822.857117,1199.619019,1199.619019,594,0.0,0.0
2023-09-22,1177.142822,1180.952393,918.095215,1142.476196,1142.476196,148,0.0,0.0
2023-09-25,971.428589,1047.619019,880.0,990.476196,990.476196,73,0.0,0.0
2023-09-26,1059.047607,1131.428589,857.142883,918.095215,918.095215,908,0.0,0.0
2023-09-27,986.666687,1062.857178,895.238098,1043.80957,1043.80957,1532,0.0,0.0
2023-09-28,876.190491,877.714294,624.761902,662.857117,662.857117,1574,0.0,0.0
2023-09-29,514.285706,651.428589,510.476196,556.190491,556.190491,330,0.0,0.0
2023-10-02,552.380981,609.523804,510.476196,533.333313,533.333313,159,0.0,0.0
2023-10-03,518.095215,548.571411,411.428558,464.761902,464.761902,174,0.0,0.0
2023-10-04,525.714294,540.952393,457.142853,529.523804,529.523804,474,0.0,0.0
2023-10-05,514.285706,628.571411,495.238098,571.428589,571.428589,290,0.0,0.0
2023-10-06,556.190491,624.380981,537.142883,556.190491,556.190491,117,0.0,0.0
2023-10-09,540.952393,552.380981,499.047607,537.142883,537.142883,87,0.0,0.0
2023-10-10,533.333313,548.571411,476.190491,533.333313,533.333313,68,0.0,0.0
2023-10-11,487.619049,537.142883,487.619049,514.285706,514.285706,71,0.0,0.0
2023-10-12,569.904785,569.904785,495.238098,495.238098,495.238098,78,0.0,0.0
2023-10-13,457.142853,495.238098,457.142853,495.238098,495.238098,17,0.0,0.0
2023-10-16,460.952393,506.666656,460.952393,483.809509,483.809509,37,0.0,0.0
2023-10-17,487.619049,510.476196,476.190491,487.619049,487.619049,41,0.0,0.0
2023-10-18,468.571442,518.095215,468.571442,483.809509,483.809509,31,0.0,0.0
2023-10-19,430.476196,495.619049,430.476196,457.142853,457.142853,61,0.0,0.0
2023-10-20,441.904755,472.380951,441.904755,457.142853,457.142853,71,0.0,0.0
2023-10-23,398.857147,438.095245,398.857147,415.238098,415.238098,29,0.0,0.0
2023-10-24,453.333344,460.952393,422.857147,422.857147,422.857147,15,0.0,0.0
2023-10-25,432.380951,432.380951,400.0,403.809509,403.809509,43,0.0,0.0
2023-10-26,380.952393,402.666656,380.952393,380.952393,380.952393,52,0.0,0.0
2023-10-27,380.952393,396.190491,377.142853,384.761902,384.761902,10,0.0,0.0
2023-10-30,400.0,400.0,358.095245,365.714294,365.714294,20,0.0,0.0
2023-10-31,400.0,400.0,358.857147,382.095245,382.095245,6,0.0,0.0
2023-11-01,400.0,400.0,348.571442,358.095245,358.095245,57,0.0,0.0
2023-11-02,317.714294,320.0,293.333344,295.238098,295.238098,241,0.0,0.0
2023-11-03,289.523804,327.238098,289.523804,298.285706,298.285706,67,0.0,0.0
2023-11-06,328.0,328.0,259.047607,262.095245,262.095245,77,0.0,0.0
2023-11-07,271.238098,285.714294,194.285721,201.904755,201.904755,615,0.0,0.0
2023-11-08,201.904755,212.952377,179.047623,180.952377,180.952377,189,0.0,0.0
2023-11-09,213.333328,213.333328,179.428574,195.809525,195.809525,297,0.0,0.0
2023-11-10,233.523804,438.095245,189.333328,266.666656,266.666656,10860,0.0,0.0
2023-11-13,206.476196,217.142853,177.523804,194.285721,194.285721,1127,0.0,0.0
2023-11-14,177.904755,178.285721,145.523804,167.619049,167.619049,608,0.0,0.0
2023-11-15,159.619049,182.857147,146.285721,182.857147,182.857147,443,0.0,0.0
2023-11-16,182.857147,2342.857178,182.857147,1154.285767,1154.285767,39592,0.0,0.0
2023-11-17,2822.857178,3207.619141,1546.666626,1603.80957,1603.80957,93893,0.0,0.0
2023-11-20,1333.333374,1455.238037,963.809509,1078.095215,1078.095215,14395,0.0,0.0
2023-11-21,1040.0,1958.095215,1017.142883,1436.19043,1436.19043,85786,0.0,0.0
2023-11-22,1550.476196,1664.761963,1344.761963,1466.666626,1466.666626,12004,0.0,0.0
2023-11-24,1371.428589,1836.19043,1371.428589,1451.428589,1451.428589,7629,0.0,0.0
2023-11-27,1443.80957,1462.857178,1188.571411,1192.380981,1192.380981,2343,0.0,0.0
2023-11-28,1120.0,1173.333374,1013.333313,1173.333374,1173.333374,2458,0.0,0.0
2023-11-29,1089.523804,1137.142822,986.666687,1009.523804,1009.523804,1128,0.0,0.0
2023-11-30,933.333313,1024.761963,716.190491,742.857117,742.857117,1739,0.0,0.0
2023-12-01,788.571411,803.809509,731.428589,739.047607,739.047607,985,0.0,0.0
2023-12-04,704.761902,914.285706,682.666687,739.047607,739.047607,2899,0.0,0.0
2023-12-05,678.095215,754.285706,675.428589,700.952393,700.952393,973,0.0,0.0
2023-12-06,700.952393,715.809509,674.285706,685.714294,685.714294,522,0.0,0.0
2023-12-07,685.714294,838.095215,659.047607,674.285706,674.285706,1966,0.0,0.0
2023-12-08,678.095215,685.714294,640.0,655.238098,655.238098,805,0.0,0.0
2023-12-11,643.809509,647.619019,575.238098,590.476196,590.476196,541,0.0,0.0
2023-12-12,575.238098,582.857117,514.285706,525.714294,525.714294,233,0.0,0.0
2023-12-13,502.857147,685.714294,502.857147,674.285706,674.285706,567,0.0,0.0
2023-12-14,636.190491,723.809509,636.190491,689.523804,689.523804,392,0.0,0.0
2023-12-15,693.333313,720.0,666.666687,674.285706,674.285706,642,0.0,0.0
2023-12-18,750.476196,788.571411,580.571411,624.761902,624.761902,2725,0.0,0.0
2023-12-19,594.285706,594.285706,552.380981,567.619019,567.619019,500,0.0,0.0
2023-12-20,533.333313,571.428589,480.0,502.857147,502.857147,705,0.0,0.0
2023-12-21,544.761902,544.761902,485.714294,506.666656,506.666656,268,0.0,0.0
2023-12-22,499.047607,533.333313,499.047607,518.095215,518.095215,97,0.0,0.0
2023-12-26,502.857147,544.761902,499.047607,529.523804,529.523804,114,0.0,0.0
2023-12-27,533.333313,533.333313,487.619049,495.238098,495.238098,126,0.0,0.0
2023-12-28,491.428558,518.095215,491.428558,518.095215,518.095215,91,0.0,0.0
2023-12-29,502.857147,552.380981,502.857147,533.333313,533.333313,255,0.0,0.0
2024-01-02,533.333313,575.238098,510.476196,533.333313,533.333313,238,0.0,0.0
2024-01-03,521.904785,567.619019,514.285706,533.333313,533.333313,110,0.0,0.0
2024-01-04,552.380981,647.619019,514.285706,518.095215,518.095215,529,0.0,0.0
2024-01-05,742.857117,883.809509,697.142883,773.333313,773.333313,129579,0.0,0.0
2024-01-08,689.523804,716.190491,651.428589,700.952393,700.952393,3586,0.0,0.0
2024-01-09,632.380981,659.047607,537.142883,556.190491,556.190491,2630,0.0,0.0
2024-01-10,552.380981,575.238098,495.238098,548.571411,548.571411,914,0.0,0.0
2024-01-11,521.904785,552.380981,491.428558,491.428558,491.428558,558,0.0,0.0
2024-01-12,533.333313,544.761902,388.571442,409.523804,409.523804,1847,0.0,0.0
2024-01-16,415.238098,426.666656,316.190491,331.428558,331.428558,1392,0.0,0.0
2024-01-17,312.380951,335.238098,286.857147,289.523804,289.523804,568,0.0,0.0
2024-01-18,289.523804,304.761902,274.285706,274.285706,274.285706,252,0.0,0.0
2024-01-19,270.476196,293.333344,270.476196,282.285706,282.285706,213,0.0,0.0
2024-01-22,278.095245,296.761902,266.666656,293.714294,293.714294,337,0.0,0.0
2024-01-23,297.142853,342.095245,281.904755,331.428558,331.428558,467,0.0,0.0
2024-01-24,345.142853,419.047607,344.380951,419.047607,419.047607,1357,0.0,0.0
2024-01-25,407.619049,419.047607,350.476196,377.142853,377.142853,473,0.0,0.0
2024-01-26,361.904755,387.809509,347.809509,365.714294,365.714294,257,0.0,0.0
2024-01-29,336.0,346.666656,312.380951,332.952393,332.952393,484,0.0,0.0
2024-01-30,324.190491,361.904755,324.190491,356.952393,356.952393,532,0.0,0.0
2024-01-31,361.904755,369.523804,347.809509,350.476196,350.476196,226,0.0,0.0
2024-02-01,368.0,415.238098,358.095245,396.190491,396.190491,540,0.0,0.0
2024-02-02,400.0,400.0,361.904755,376.380951,376.380951,130,0.0,0.0
2024-02-05,377.142853,377.142853,356.190491,373.333344,373.333344,211,0.0,0.0
2024-02-06,372.190491,372.190491,314.666656,350.476196,350.476196,285,0.0,0.0
2024-02-07,338.666656,350.476196,320.380951,331.428558,331.428558,191,0.0,0.0
2024-02-08,339.428558,339.428558,305.142853,323.047607,323.047607,318,0.0,0.0
2024-02-09,323.047607,327.619049,308.571442,314.285706,314.285706,61,0.0,0.0
2024-02-12,329.904755,329.904755,289.523804,299.809509,299.809509,301,0.0,0.0
2024-02-13,307.047607,320.0,294.095245,318.857147,318.857147,217,0.0,0.0
2024-02-14,314.285706,327.619049,293.333344,311.619049,311.619049,222,0.0,0.0
2024-02-15,307.809509,318.095245,289.904755,308.571442,308.571442,178,0.0,0.0
2024-02-16,315.809509,315.809509,290.285706,304.380951,304.380951,118,0.0,0.0
2024-02-20,289.523804,304.761902,289.523804,304.761902,304.761902,145,0.0,0.0
2024-02-21,297.142853,297.142853,267.809509,280.0,280.0,160,0.0,0.0
2024-02-22,285.714294,289.523804,248.0,280.761902,280.761902,326,0.0,0.0
2024-02-23,260.952393,267.809509,251.809525,259.047607,259.047607,78,0.0,0.0
2024-02-26,262.857147,274.285706,259.047607,265.523804,265.523804,119,0.0,0.0
2024-02-27,278.095245,289.523804,259.428558,281.523804,281.523804,192,0.0,0.0
2024-02-28,285.714294,289.142853,267.428558,285.333344,285.333344,128,0.0,0.0
2024-02-29,319.619049,320.0,281.904755,308.571442,308.571442,109,0.0,0.0
2024-03-01,293.333344,300.190491,278.476196,293.714294,293.714294,66,0.0,0.0
2024-03-04,284.952393,285.714294,259.428558,274.666656,274.666656,187,0.0,0.0
2024-03-05,270.095245,274.666656,255.238098,261.333344,261.333344,117,0.0,0.0
2024-03-06,270.857147,278.095245,255.619049,266.666656,266.666656,84,0.0,0.0
2024-03-07,270.476196,270.476196,238.095245,251.047623,251.047623,134,0.0,0.0
2024-03-08,563.809509,1024.761963,445.714294,472.380951,472.380951,174072,0.0,0.0
2024-03-11,533.333313,640.0,419.047607,441.904755,441.904755,46555,0.0,0.0
2024-03-12,426.666656,476.190491,361.904755,392.380951,392.380951,4027,0.0,0.0
2024-03-13,369.904755,384.761902,335.238098,354.285706,354.285706,1616,0.0,0.0
2024-03-14,354.285706,377.142853,320.380951,369.523804,369.523804,1360,0.0,0.0
2024-03-15,369.523804,422.857147,344.0,344.0,344.0,1229,0.0,0.0
2024-03-18,348.952393,354.285706,315.428558,349.714294,349.714294,549,0.0,0.0
2024-03-19,346.666656,346.666656,328.380951,346.666656,346.666656,356,0.0,0.0
2024-03-20,346.285706,346.666656,323.809509,339.428558,339.428558,369,0.0,0.0
2024-03-21,334.476196,346.666656,325.714294,335.238098,335.238098,305,0.0,0.0
2024-03-22,340.952393,350.476196,315.047607,321.523804,321.523804,435,0.0,0.0
2024-03-25,320.761902,341.714294,304.761902,317.333344,317.333344,355,0.0,0.0
2024-03-26,330.666656,332.571442,308.571442,323.047607,323.047607,438,0.0,0.0
2024-03-27,312.380951,339.047607,312.380951,335.238098,335.238098,188,0.0,0.0
2024-03-28,321.904755,328.380951,316.190491,320.0,320.0,221,0.0,0.0
2024-04-01,316.190491,327.619049,286.095245,321.904755,321.904755,495,0.0,0.0
2024-04-02,311.238098,312.380951,301.333344,312.380951,312.380951,124,0.0,0.0
2024-04-03,304.0,316.190491,289.523804,297.142853,297.142853,172,0.0,0.0
2024-04-04,295.238098,316.190491,289.904755,293.333344,293.333344,247,0.0,0.0
2024-04-05,297.142853,300.952393,277.714294,289.523804,289.523804,186,0.0,0.0
2024-04-08,289.523804,297.142853,270.857147,286.476196,286.476196,122,0.0,0.0
2024-04-09,296.761902,296.761902,274.285706,285.714294,285.714294,279,0.0,0.0
2024-04-10,285.714294,289.142853,267.047607,271.619049,271.619049,261,0.0,0.0
2024-04-11,274.285706,285.333344,256.380951,261.333344,261.333344,184,0.0,0.0
2024-04-12,257.142853,270.476196,251.428574,264.380951,264.380951,166,0.0,0.0
2024-04-15,264.761902,266.285706,230.476196,247.238098,247.238098,348,0.0,0.0
2024-04-16,243.809525,247.238098,232.380951,243.428574,243.428574,255,0.0,0.0
2024-04-17,237.714279,253.333328,232.380951,243.809525,243.809525,194,0.0,0.0
2024-04-18,236.190475,251.428574,230.476196,240.0,240.0,105,0.0,0.0
2024-04-19,236.190475,270.476196,232.380951,265.523804,265.523804,231,0.0,0.0
2024-04-22,265.523804,266.666656,251.428574,260.952393,260.952393,76,0.0,0.0
2024-04-23,279.619049,281.904755,236.190475,244.571426,244.571426,8126,0.0,0.0
2024-04-24,232.380951,259.047607,232.380951,240.761902,240.761902,956,0.0,0.0
2024-04-25,243.809525,278.095245,232.380951,250.285721,250.285721,3948,0.0,0.0
2024-04-26,246.476196,260.952393,240.0,242.666672,242.666672,2719,0.0,0.0
2024-04-29,232.761902,247.619049,214.095245,231.619049,231.619049,428,0.0,0.0
2024-04-30,236.190475,236.190475,227.428574,228.571426,228.571426,235,0.0,0.0
2024-05-01,223.238098,228.190475,209.904755,212.190475,212.190475,277,0.0,0.0
2024-05-02,216.380951,299.047607,210.285721,251.428574,251.428574,7907,0.0,0.0
2024-05-03,244.190475,308.571442,228.571426,233.523804,233.523804,13864,0.0,0.0
2024-05-06,236.190475,243.428574,190.476196,190.476196,190.476196,3111,0.0,0.0
2024-05-07,193.904755,194.285721,148.571426,148.571426,148.571426,7318,0.0,0.0
2024-05-08,163.809525,311.619049,158.095245,236.190475,236.190475,183969,0.0,0.0
2024-05-09,287.619049,370.666656,266.666656,323.047607,323.047607,265139,0.0,0.0
2024-05-10,293.333344,304.761902,214.095245,219.428574,219.428574,17171,0.0,0.0
2024-05-13,199.619049,243.809525,186.285721,236.190475,236.190475,7584,0.0,0.0
2024-05-14,205.714279,212.952377,191.238098,195.809525,195.809525,4146,0.0,0.0
2024-05-15,195.809525,201.904755,175.238098,182.095245,182.095245,3378,0.0,0.0
2024-05-16,189.714279,200.0,183.238098,190.476196,190.476196,3590,0.0,0.0
2024-05-17,188.571426,213.333328,184.761902,201.904755,201.904755,3737,0.0,0.0
2024-05-20,201.142853,228.571426,198.857147,209.523804,209.523804,2598,0.0,0.0
2024-05-21,221.714279,233.142853,203.047623,219.047623,219.047623,1931,0.0,0.0
2024-05-22,201.904755,220.190475,198.095245,206.857147,206.857147,859,0.0,0.0
2024-05-23,204.190475,212.952377,194.285721,198.095245,198.095245,777,0.0,0.0
2024-05-24,206.095245,224.761902,201.904755,205.714279,205.714279,558,0.0,0.0
2024-05-28,219.809525,227.809525,209.523804,222.857147,222.857147,530,0.0,0.0
2024-05-29,209.904755,236.190475,209.904755,228.571426,228.571426,1062,0.0,0.0
2024-05-30,217.142853,240.0,217.142853,226.285721,226.285721,489,0.0,0.0
2024-05-31,228.952377,232.380951,213.714279,215.238098,215.238098,467,0.0,0.0
2024-06-03,219.809525,240.0,201.904755,212.190475,212.190475,3819,0.0,0.0
2024-06-04,207.238098,208.761902,190.476196,194.285721,194.285721,454,0.0,0.0
