Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2018-03-27,3.00789,8.323471,3.00789,4.832347,4.832347,611036,0.0,0.0
2018-03-28,4.930966,5.56213,4.43787,4.585799,4.585799,1057805,0.0,0.0
2018-03-29,4.43787,4.960552,4.43787,4.783037,4.783037,338777,0.0,0.0
2018-04-02,5.029586,5.029586,4.43787,4.487179,4.487179,312211,0.0,0.0
2018-04-03,4.516765,5.138067,4.516765,5.059172,5.059172,389275,0.0,0.0
2018-04-04,5.029586,5.473373,4.832347,5.207101,5.207101,266479,0.0,0.0
2018-04-05,5.384615,6.193294,5.157791,6.183432,6.183432,337256,0.0,0.0
2018-04-06,6.143984,6.143984,5.680473,5.798817,5.798817,179377,0.0,0.0
2018-04-09,5.956607,6.27712,5.621302,5.946746,5.946746,241129,0.0,0.0
2018-04-10,5.946746,6.203156,5.769231,5.91716,5.91716,128170,0.0,0.0
2018-04-11,5.759369,6.005917,5.680473,5.877712,5.877712,116103,0.0,0.0
2018-04-12,5.877712,5.996055,5.680473,5.927022,5.927022,113365,0.0,0.0
2018-04-13,5.897436,6.143984,5.897436,6.134122,6.134122,120260,0.0,0.0
2018-04-16,6.499014,6.903353,6.370809,6.646943,6.646943,179377,0.0,0.0
2018-04-17,6.715976,6.83432,6.459566,6.755424,6.755424,97547,0.0,0.0
2018-04-18,6.982249,6.982249,6.282051,6.410256,6.410256,103631,0.0,0.0
2018-04-19,6.360947,6.558185,6.331361,6.439842,6.439842,51815,0.0,0.0
2018-04-20,6.410256,6.508876,6.22288,6.291913,6.291913,81830,0.0,0.0
2018-04-23,6.360947,6.903353,6.272189,6.706114,6.706114,68648,0.0,0.0
2018-04-24,6.814596,6.854043,6.410256,6.558185,6.558185,87204,0.0,0.0
2018-04-25,6.617357,6.804734,6.508876,6.646943,6.646943,50193,0.0,0.0
2018-04-26,6.745562,6.903353,6.725838,6.794872,6.794872,33158,0.0,0.0
2018-04-27,6.798817,7.457594,6.798817,7.248521,7.248521,78991,0.0,0.0
2018-04-30,7.39645,8.254438,7.376726,8.086785,8.086785,139019,0.0,0.0
2018-05-01,8.185404,8.223866,7.642998,7.642998,7.642998,73008,0.0,0.0
2018-05-02,7.642998,7.889546,7.642998,7.830375,7.830375,48368,0.0,0.0
2018-05-03,7.712032,7.790927,7.642998,7.692308,7.692308,25756,0.0,0.0
2018-05-04,7.840237,7.845168,7.65286,7.781065,7.781065,33158,0.0,0.0
2018-05-07,7.800789,8.21499,7.741617,8.116371,8.116371,49889,0.0,0.0
2018-05-08,8.116371,8.382643,7.899408,8.126233,8.126233,71994,0.0,0.0
2018-05-09,8.145957,8.2643,7.633136,8.017751,8.017751,146929,0.0,0.0
2018-05-10,8.057199,8.057199,7.051282,7.485207,7.485207,140743,0.0,0.0
2018-05-11,7.426036,7.978304,7.416174,7.889546,7.889546,71893,0.0,0.0
2018-05-14,7.859961,8.372781,7.455621,8.195266,8.195266,121579,0.0,0.0
2018-05-15,8.185404,8.885602,8.096647,8.244576,8.244576,107991,0.0,0.0
2018-05-16,8.21499,8.727811,8.21499,8.441815,8.441815,73312,0.0,0.0
2018-05-17,8.4714,8.737673,8.057199,8.16568,8.16568,77267,0.0,0.0
2018-05-18,8.254438,8.382643,8.037475,8.155819,8.155819,45529,0.0,0.0
2018-05-21,8.185404,8.530572,8.106509,8.274162,8.274162,103631,0.0,0.0
2018-05-22,8.303748,8.510848,7.938856,7.938856,7.938856,39242,0.0,0.0
2018-05-23,7.889546,8.372781,7.741617,8.254438,8.254438,72907,0.0,0.0
2018-05-24,8.211045,8.422091,8.087771,8.293886,8.293886,45630,0.0,0.0
2018-05-25,8.244576,8.382643,8.136095,8.372781,8.372781,11965,0.0,0.0
2018-05-29,8.16568,8.658777,8.16568,8.530572,8.530572,38126,0.0,0.0
2018-05-30,8.579882,8.915187,8.4714,8.796844,8.796844,38836,0.0,0.0
2018-05-31,8.836292,9.18146,8.836292,9.023669,9.023669,104341,0.0,0.0
2018-06-01,9.063116,9.852071,9.023669,9.783037,9.783037,66113,0.0,0.0
2018-06-04,10.167653,10.167653,9.487179,9.822485,9.822485,42994,0.0,0.0
2018-06-05,9.861933,10.108481,9.861933,9.970414,9.970414,29000,0.0,0.0
2018-06-06,9.970414,10.108481,9.763314,9.792899,9.792899,89435,0.0,0.0
2018-06-07,9.763314,9.990138,9.74359,9.861933,9.861933,37112,0.0,0.0
2018-06-08,9.901381,10.059172,9.783037,9.861933,9.861933,41878,0.0,0.0
2018-06-11,9.714004,9.95069,9.664694,9.664694,9.664694,51308,0.0,0.0
2018-06-12,9.664694,9.664694,9.15286,9.497041,9.497041,136383,0.0,0.0
2018-06-13,9.457594,9.566075,9.18146,9.191321,9.191321,92578,0.0,0.0
2018-06-14,9.171598,9.418146,9.112426,9.161736,9.161736,110526,0.0,0.0
2018-06-15,9.142012,9.299803,8.856016,8.925049,8.925049,121274,0.0,0.0
2018-06-18,8.856016,9.122288,8.589744,9.072978,9.072978,77165,0.0,0.0
2018-06-19,9.250493,9.260355,8.620316,8.629191,8.629191,32448,0.0,0.0
2018-06-20,8.648915,8.974359,8.175542,8.21499,8.21499,77368,0.0,0.0
2018-06-21,8.254438,8.77712,8.224852,8.619329,8.619329,64389,0.0,0.0
2018-06-22,8.619329,8.925049,8.353057,8.757396,8.757396,881267,0.0,0.0
2018-06-25,9.043393,9.368836,8.431953,9.072978,9.072978,59725,0.0,0.0
2018-06-26,9.142012,9.74359,8.77712,9.299803,9.299803,51714,0.0,0.0
2018-06-27,9.309665,9.418146,8.727811,8.934911,8.934911,30217,0.0,0.0
2018-06-28,8.846154,9.072978,8.530572,8.885602,8.885602,46238,0.0,0.0
2018-06-29,8.885602,9.127219,8.796844,9.063116,9.063116,21598,0.0,0.0
2018-07-02,9.092702,9.141026,8.851085,9.003945,9.003945,35389,0.0,0.0
2018-07-03,8.925049,9.196252,8.836292,9.013807,9.013807,48064,0.0,0.0
2018-07-05,9.043393,9.275148,8.786982,8.865878,8.865878,57190,0.0,0.0
2018-07-06,8.944773,9.092702,8.589744,8.796844,8.796844,49990,0.0,0.0
2018-07-09,8.796844,9.472387,8.796844,9.230769,9.230769,78686,0.0,0.0
2018-07-10,9.230769,9.467456,9.003945,9.112426,9.112426,56277,0.0,0.0
2018-07-11,9.072978,9.516765,8.895464,9.270217,9.270217,56683,0.0,0.0
2018-07-12,9.203156,9.714004,9.053254,9.526627,9.526627,45224,0.0,0.0
