Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2026-01-26,10.01,10.01,9.91,10.0,10.0,15700,0.0,0.0
2026-01-27,9.91,9.93,9.9,9.93,9.93,6300,0.0,0.0
2026-01-28,9.95,9.96,9.92,9.96,9.96,163800,0.0,0.0
2026-01-29,9.96,9.96,9.93,9.93,9.93,44000,0.0,0.0
2026-01-30,9.93,9.93,9.93,9.93,9.93,7100,0.0,0.0
2026-02-02,9.96,9.99,9.96,9.96,9.96,1500,0.0,0.0
2026-02-03,9.96,9.98,9.96,9.98,9.98,1300,0.0,0.0
2026-02-04,9.98,9.98,9.98,9.98,9.98,600,0.0,0.0
2026-02-05,9.96,10.07,9.95,10.07,10.07,118600,0.0,0.0
2026-02-06,10.07,10.07,10.07,10.07,10.07,0,0.0,0.0
2026-02-09,10.07,10.07,10.07,10.07,10.07,0,0.0,0.0
2026-02-10,10.05,10.05,9.97,10.05,10.05,1900,0.0,0.0
2026-02-11,10.06,10.06,9.97,9.97,9.97,4100,0.0,0.0
2026-02-12,10.592,11.015,9.97,10.0,10.0,5900,0.0,0.0
2026-02-13,10.1,10.1,9.97,10.0,10.0,6300,0.0,0.0
2026-02-17,10.005,10.005,9.99,9.99,9.99,4100,0.0,0.0
2026-02-18,9.99,9.99,9.99,9.99,9.99,0,0.0,0.0
2026-02-19,9.97,9.97,9.97,9.97,9.97,100,0.0,0.0
2026-02-20,9.97,9.97,9.97,9.97,9.97,1400,0.0,0.0
2026-02-23,9.97,9.97,9.9,9.97,9.97,27800,0.0,0.0
2026-02-24,9.97,9.97,9.97,9.97,9.97,444900,0.0,0.0
2026-02-25,9.97,9.97,9.97,9.97,9.97,0,0.0,0.0
2026-02-26,9.97,9.97,9.97,9.97,9.97,8400,0.0,0.0
2026-02-27,9.97,9.97,9.97,9.97,9.97,0,0.0,0.0
2026-03-02,9.99,9.99,9.98,9.99,9.99,12300,0.0,0.0
2026-03-03,9.99,9.99,9.98,9.99,9.99,12200,0.0,0.0
2026-03-04,9.97,9.97,9.93,9.93,9.93,20600,0.0,0.0
2026-03-05,9.95,9.98,9.93,9.93,9.93,28100,0.0,0.0
2026-03-06,9.95,9.98,9.95,9.98,9.98,15600,0.0,0.0
2026-03-09,9.95,9.98,9.95,9.98,9.98,700,0.0,0.0
2026-03-10,9.98,9.98,9.98,9.98,9.98,0,0.0,0.0
2026-03-11,9.96,9.99,9.96,9.96,9.96,1100,0.0,0.0
2026-03-12,9.965,9.97,9.96,9.96,9.96,700,0.0,0.0
2026-03-13,9.96,9.96,9.96,9.96,9.96,0,0.0,0.0
2026-03-16,9.96,9.96,9.92,9.94,9.94,22400,0.0,0.0
2026-03-17,9.94,9.94,9.94,9.94,9.94,0,0.0,0.0
2026-03-18,9.94,9.94,9.94,9.94,9.94,0,0.0,0.0
2026-03-19,9.94,9.94,9.94,9.94,9.94,0,0.0,0.0
2026-03-20,9.96,9.965,9.95,9.96,9.96,23600,0.0,0.0
2026-03-23,9.96,9.96,9.96,9.96,9.96,60500,0.0,0.0
2026-03-24,9.96,9.96,9.96,9.96,9.96,0,0.0,0.0
2026-03-25,9.96,9.96,9.96,9.96,9.96,0,0.0,0.0
2026-03-26,9.96,9.96,9.96,9.96,9.96,0,0.0,0.0
2026-03-27,9.96,9.96,9.96,9.96,9.96,0,0.0,0.0
2026-03-30,9.96,9.96,9.96,9.96,9.96,0,0.0,0.0
2026-03-31,9.96,9.96,9.96,9.96,9.96,0,0.0,0.0
2026-04-01,9.98,10.0,9.98,10.0,10.0,3200,0.0,0.0
2026-04-02,9.95,9.95,9.95,9.95,9.95,1000,0.0,0.0
2026-04-06,9.96,9.96,9.96,9.96,9.96,49800,0.0,0.0
2026-04-07,9.96,9.96,9.95,9.95,9.95,248700,0.0,0.0
2026-04-08,9.945,9.95,9.94,9.95,9.95,83200,0.0,0.0
2026-04-09,9.95,9.95,9.95,9.95,9.95,0,0.0,0.0
2026-04-10,9.95,9.95,9.95,9.95,9.95,0,0.0,0.0
2026-04-13,9.95,9.95,9.95,9.95,9.95,700,0.0,0.0
2026-04-14,9.95,9.95,9.95,9.95,9.95,500,0.0,0.0
2026-04-15,9.965,9.97,9.95,9.97,9.97,13500,0.0,0.0
2026-04-16,9.97,9.97,9.97,9.97,9.97,0,0.0,0.0
2026-04-17,9.97,9.97,9.97,9.97,9.97,0,0.0,0.0
2026-04-20,9.98,9.98,9.98,9.98,9.98,2000,0.0,0.0
2026-04-21,9.98,10.0,9.98,10.0,10.0,38900,0.0,0.0
2026-04-22,10.02,10.03,10.0,10.02,10.02,2013300,0.0,0.0
2026-04-23,10.02,10.02,10.02,10.02,10.02,53000,0.0,0.0
2026-04-24,10.02,10.04,10.02,10.04,10.04,141700,0.0,0.0
2026-04-27,10.03,10.03,10.03,10.03,10.03,6800,0.0,0.0
2026-04-28,10.03,10.03,10.03,10.03,10.03,0,0.0,0.0
2026-04-29,10.145,10.145,10.04,10.04,10.04,23800,0.0,0.0
2026-04-30,10.06,10.06,10.01,10.04,10.04,638400,0.0,0.0
2026-05-01,10.04,10.04,10.04,10.04,10.04,121600,0.0,0.0
2026-05-04,10.03,10.04,10.03,10.04,10.04,3900,0.0,0.0
2026-05-05,10.04,10.14,10.04,10.14,10.14,600,0.0,0.0
2026-05-06,10.14,10.14,10.14,10.14,10.14,0,0.0,0.0
2026-05-07,10.13,10.13,10.13,10.13,10.13,200,0.0,0.0
2026-05-08,10.24,10.24,10.24,10.24,10.24,300,0.0,0.0
2026-05-11,10.24,10.24,10.24,10.24,10.24,0,0.0,0.0
2026-05-12,10.05,10.06,10.05,10.055,10.055,2300,0.0,0.0
2026-05-13,10.05,10.1,10.05,10.1,10.1,11700,0.0,0.0
2026-05-14,10.15,10.15,10.15,10.15,10.15,300,0.0,0.0
2026-05-15,10.15,10.15,10.15,10.15,10.15,0,0.0,0.0
2026-05-18,10.05,10.1,10.05,10.1,10.1,5200,0.0,0.0
2026-05-19,10.05,10.1,10.05,10.1,10.1,7200,0.0,0.0
2026-05-20,10.1,10.1,10.05,10.1,10.1,9000,0.0,0.0
2026-05-21,10.05,10.05,10.05,10.05,10.05,100,0.0,0.0
2026-05-22,10.05,10.05,10.04,10.04,10.04,700,0.0,0.0
2026-05-26,10.04,10.04,10.04,10.04,10.04,100,0.0,0.0
2026-05-27,10.09,10.15,10.08,10.08,10.08,1400,0.0,0.0
2026-05-28,10.08,10.08,10.08,10.08,10.08,500,0.0,0.0
2026-05-29,10.09,10.09,10.04,10.06,10.06,5800,0.0,0.0
