Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2022-09-26,9.95,9.97,9.95,9.96,9.96,152500,0.0,0.0
2022-09-27,9.96,10.0,9.95,10.0,10.0,400800,0.0,0.0
2022-09-28,10.0,10.02,9.99,10.014,10.014,185400,0.0,0.0
2022-09-29,10.01,10.01,10.01,10.01,10.01,200,0.0,0.0
2022-09-30,10.02,10.02,10.02,10.02,10.02,7300,0.0,0.0
2022-10-03,10.06,10.09,10.06,10.09,10.09,9200,0.0,0.0
2022-10-04,10.1,10.61,10.1,10.1,10.1,16800,0.0,0.0
2022-10-05,10.05,10.05,10.05,10.05,10.05,2100,0.0,0.0
2022-10-06,10.05,10.05,10.05,10.05,10.05,0,0.0,0.0
2022-10-07,10.05,10.05,10.05,10.05,10.05,0,0.0,0.0
2022-10-10,10.05,10.05,10.05,10.05,10.05,0,0.0,0.0
2022-10-11,10.05,10.05,10.05,10.05,10.05,0,0.0,0.0
2022-10-12,10.02,10.02,10.02,10.02,10.02,100,0.0,0.0
2022-10-13,10.03,10.05,10.02,10.05,10.05,26900,0.0,0.0
2022-10-14,10.05,10.05,10.05,10.05,10.05,0,0.0,0.0
2022-10-17,10.05,10.05,10.05,10.05,10.05,0,0.0,0.0
2022-10-18,10.09,10.09,10.09,10.09,10.09,3300,0.0,0.0
2022-10-19,10.06,10.08,9.99,10.08,10.08,9700,0.0,0.0
2022-10-20,10.08,10.08,10.05,10.05,10.05,400,0.0,0.0
2022-10-21,10.05,10.09,10.05,10.07,10.07,281900,0.0,0.0
2022-10-24,10.08,10.08,10.08,10.08,10.08,1100,0.0,0.0
2022-10-25,10.09,10.09,10.074,10.09,10.09,99300,0.0,0.0
2022-10-26,10.09,10.09,10.09,10.09,10.09,0,0.0,0.0
2022-10-27,10.09,10.09,10.09,10.09,10.09,0,0.0,0.0
2022-10-28,10.13,10.13,10.11,10.11,10.11,3400,0.0,0.0
2022-10-31,10.08,10.09,10.08,10.08,10.08,250200,0.0,0.0
2022-11-01,10.12,10.12,10.1,10.105,10.105,5200,0.0,0.0
2022-11-02,10.1,10.13,10.1,10.13,10.13,300,0.0,0.0
2022-11-03,10.13,10.13,10.13,10.13,10.13,0,0.0,0.0
2022-11-04,10.13,10.13,10.13,10.13,10.13,0,0.0,0.0
2022-11-07,10.13,10.13,10.13,10.13,10.13,2700,0.0,0.0
2022-11-08,10.13,10.13,10.13,10.13,10.13,0,0.0,0.0
2022-11-09,10.13,10.13,10.13,10.13,10.13,0,0.0,0.0
2022-11-10,10.13,10.13,10.13,10.13,10.13,0,0.0,0.0
2022-11-11,10.13,10.13,10.12,10.12,10.12,3000,0.0,0.0
2022-11-14,10.15,10.15,10.135,10.135,10.135,300,0.0,0.0
2022-11-15,10.05,10.14,10.05,10.14,10.14,88700,0.0,0.0
2022-11-16,10.14,10.14,10.14,10.14,10.14,0,0.0,0.0
2022-11-17,10.08,10.11,10.07,10.11,10.11,59900,0.0,0.0
2022-11-18,10.11,10.11,10.11,10.11,10.11,100,0.0,0.0
2022-11-21,10.11,10.11,10.11,10.11,10.11,100,0.0,0.0
2022-11-22,10.11,10.11,10.11,10.11,10.11,100,0.0,0.0
2022-11-23,10.07,10.09,10.07,10.09,10.09,13100,0.0,0.0
2022-11-25,10.1,10.1,10.1,10.1,10.1,400,0.0,0.0
2022-11-28,10.1,10.1,10.1,10.1,10.1,2500,0.0,0.0
2022-11-29,10.1,10.1,10.1,10.1,10.1,0,0.0,0.0
2022-11-30,10.1,10.1,10.1,10.1,10.1,0,0.0,0.0
2022-12-01,10.1,10.1,10.1,10.1,10.1,0,0.0,0.0
2022-12-02,10.08,10.15,10.08,10.15,10.15,3500,0.0,0.0
2022-12-05,10.15,10.15,10.15,10.15,10.15,0,0.0,0.0
2022-12-06,10.15,10.15,10.15,10.15,10.15,0,0.0,0.0
2022-12-07,10.15,10.15,10.15,10.15,10.15,0,0.0,0.0
2022-12-08,10.15,10.15,10.15,10.15,10.15,0,0.0,0.0
2022-12-09,10.15,10.15,10.15,10.15,10.15,0,0.0,0.0
2022-12-12,10.2,10.2,10.2,10.2,10.2,100,0.0,0.0
2022-12-13,10.13,10.18,10.13,10.18,10.18,16300,0.0,0.0
