Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-12-22,65.0,65.0,65.0,65.0,65.0,100,0.0,0.0
2015-12-23,70.0,70.0,65.0,67.0,67.0,165,0.0,0.0
2015-12-24,66.0,66.0,66.0,66.0,66.0,125,0.0,0.0
2015-12-28,66.0,66.0,66.0,66.0,66.0,0,0.0,0.0
2015-12-29,66.0,66.0,66.0,66.0,66.0,0,0.0,0.0
2015-12-30,65.0,65.0,65.0,65.0,65.0,100,0.0,0.0
2015-12-31,65.0,65.0,65.0,65.0,65.0,0,0.0,0.0
2016-01-04,65.0,65.0,65.0,65.0,65.0,0,0.0,0.0
2016-01-05,65.0,65.0,65.0,65.0,65.0,0,0.0,0.0
2016-01-06,65.0,65.0,65.0,65.0,65.0,0,0.0,0.0
2016-01-07,65.0,65.0,65.0,65.0,65.0,0,0.0,0.0
2016-01-08,66.0,66.0,66.0,66.0,66.0,15,0.0,0.0
2016-01-11,65.0,65.0,65.0,65.0,65.0,50,0.0,0.0
2016-01-12,65.0,65.0,65.0,65.0,65.0,0,0.0,0.0
2016-01-13,65.0,65.0,65.0,65.0,65.0,0,0.0,0.0
2016-01-14,65.0,65.0,65.0,65.0,65.0,0,0.0,0.0
2016-01-15,65.0,65.0,65.0,65.0,65.0,0,0.0,0.0
2016-01-19,65.0,65.0,65.0,65.0,65.0,0,0.0,0.0
2016-01-20,65.0,65.0,65.0,65.0,65.0,0,0.0,0.0
2016-01-21,65.0,65.0,65.0,65.0,65.0,0,0.0,0.0
2016-01-22,65.0,65.0,65.0,65.0,65.0,0,0.0,0.0
2016-01-25,66.0,66.0,66.0,66.0,66.0,5,0.0,0.0
2016-01-26,66.0,66.0,66.0,66.0,66.0,0,0.0,0.0
2016-01-27,66.0,66.0,66.0,66.0,66.0,0,0.0,0.0
2016-01-28,66.0,66.0,66.0,66.0,66.0,0,0.0,0.0
2016-01-29,66.0,66.0,66.0,66.0,66.0,750,0.0,0.0
2016-02-01,66.0,66.0,66.0,66.0,66.0,505,0.0,0.0
2016-02-02,66.0,66.0,66.0,66.0,66.0,1600,0.0,0.0
