Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2026-06-26,10.8,12.0,10.8,12.0,12.0,2493800,0.0,0.0
2026-06-29,12.0,12.24,11.76,12.0,12.0,341100,0.0,0.0
2026-06-30,11.97,12.15,11.75,12.0,12.0,414800,0.0,0.0
2026-07-01,12.0,12.07,11.53,12.0,12.0,88100,0.0,0.0
2026-07-02,12.0,12.19,11.9,12.06,12.06,153300,0.0,0.0
2026-07-06,12.29,12.29,12.02,12.07,12.07,25700,0.0,0.0
2026-07-07,12.0,12.29,12.0,12.01,12.01,52900,0.0,0.0
2026-07-08,12.0,12.1,12.0,12.03,12.03,57600,0.0,0.0
2026-07-09,12.03,12.15,11.89,12.03,12.03,120800,0.0,0.0
2026-07-10,12.0,12.21,11.88,12.21,12.21,197100,0.0,0.0
2026-07-13,12.16,12.75,12.01,12.2,12.2,101500,0.0,0.0
2026-07-14,12.25,12.81,12.01,12.6,12.6,42600,0.0,0.0
2026-07-15,12.89,12.99,12.11,12.35,12.35,40900,0.0,0.0
2026-07-16,12.45,12.91,12.13,12.91,12.91,40600,0.0,0.0
2026-07-17,12.64,14.99,12.64,13.63,13.63,55200,0.0,0.0
2026-07-20,13.61,14.01,12.36,12.43,12.43,48300,0.0,0.0
2026-07-21,12.73,14.46,12.42,14.0,14.0,58300,0.0,0.0
2026-07-22,14.24,14.99,13.39,14.61,14.61,46200,0.0,0.0
2026-07-23,14.17,15.0,13.95,14.4,14.4,205200,0.0,0.0
2026-07-24,14.6,14.6,13.68,13.93,13.93,284000,0.0,0.0
2026-07-27,13.76,14.3,13.31,13.8,13.8,103300,0.0,0.0
2026-07-28,13.59,13.59,10.03,12.61,12.61,67400,0.0,0.0
2026-07-29,12.6,12.81,11.47,12.5,12.5,61400,0.0,0.0
2026-07-30,12.36,13.35,11.59,13.35,13.35,140200,0.0,0.0
2026-07-31,13.25,13.4,12.65,12.81,12.81,101700,0.0,0.0
2026-08-03,12.82,13.4,12.01,13.18,13.18,336200,0.0,0.0
2026-08-04,13.4,13.95,12.6,13.08,13.08,264000,0.0,0.0
2026-08-05,13.33,14.94,12.93,14.74,14.74,67100,0.0,0.0
2026-08-06,14.56,16.0,14.56,15.91,15.91,17200,0.0,0.0
2026-08-07,16.280001,16.370001,15.68,15.82,15.82,29500,0.0,0.0
2026-08-10,16.0,16.67,15.37,16.209999,16.209999,48000,0.0,0.0
2026-08-11,16.74,17.76,15.9,16.32,16.32,168400,0.0,0.0
2026-08-12,16.620001,18.129999,16.17,17.33,17.33,161100,0.0,0.0
2026-08-13,17.09,18.02,15.95,17.0,17.0,56900,0.0,0.0
2026-08-14,17.74,17.48,15.8461,16.58,16.58,127685,0.0,0.0
