Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1993-05-28,5.90625,6.28125,5.875,6.25,0.948575,8848000,0.0,0.0
1993-06-01,6.25,6.375,6.15625,6.1875,0.939089,1505200,0.0,0.0
1993-06-02,6.1875,6.46875,6.1875,6.375,0.967547,483600,0.0,0.0
1993-06-03,6.375,6.5625,6.375,6.375,0.967547,266400,0.0,0.0
1993-06-04,6.34375,6.40625,6.1875,6.34375,0.962804,420800,0.0,0.0
1993-06-07,6.3125,6.34375,6.1875,6.1875,0.939089,321600,0.0,0.0
1993-06-08,6.1875,6.1875,6.0625,6.09375,0.924861,322000,0.0,0.0
1993-06-09,6.0625,6.125,5.96875,5.96875,0.90589,176400,0.0,0.0
1993-06-10,6.0,6.09375,6.0,6.03125,0.915375,101200,0.0,0.0
1993-06-11,6.09375,6.15625,6.03125,6.125,0.929604,97200,0.0,0.0
1993-06-14,6.125,6.21875,6.125,6.1875,0.939089,92400,0.0,0.0
1993-06-15,6.15625,6.1875,6.09375,6.125,0.929604,99600,0.0,0.0
1993-06-16,6.1875,6.21875,6.15625,6.1875,0.939089,152800,0.0,0.0
1993-06-17,6.15625,6.25,6.15625,6.1875,0.939089,208400,0.0,0.0
1993-06-18,6.1875,6.28125,6.1875,6.1875,0.939089,102800,0.0,0.0
1993-06-21,6.1875,6.28125,6.15625,6.25,0.948575,101600,0.0,0.0
1993-06-22,6.25,6.40625,6.25,6.3125,0.958061,75600,0.0,0.0
1993-06-23,6.3125,6.3125,6.28125,6.28125,0.953318,75600,0.0,0.0
1993-06-24,6.3125,6.34375,6.21875,6.21875,0.943833,84000,0.0,0.0
1993-06-25,6.28125,6.28125,6.21875,6.21875,0.943833,80400,0.0,0.0
1993-06-28,6.28125,6.28125,6.25,6.28125,0.953318,39200,0.0,0.0
1993-06-29,6.25,6.28125,6.1875,6.21875,0.943833,134000,0.0,0.0
1993-06-30,6.25,6.375,6.21875,6.375,0.967547,64800,0.0,0.0
1993-07-01,6.4375,6.59375,6.4375,6.59375,1.000747,366400,0.0,0.0
1993-07-02,6.5625,6.59375,6.53125,6.5625,0.996004,130800,0.0,0.0
1993-07-06,6.53125,6.65625,6.53125,6.65625,1.010233,63200,0.0,0.0
1993-07-07,6.65625,6.75,6.625,6.75,1.024461,79600,0.0,0.0
1993-07-08,6.6875,7.0,6.6875,6.96875,1.057662,226000,0.0,0.0
1993-07-09,7.03125,7.1875,7.0,7.0,1.062404,100000,0.0,0.0
1993-07-12,6.96875,7.0,6.90625,6.96875,1.057662,71600,0.0,0.0
1993-07-13,7.0,7.125,7.0,7.0625,1.07189,68400,0.0,0.0
1993-07-14,7.09375,7.1875,7.03125,7.09375,1.076633,53600,0.0,0.0
1993-07-15,7.0625,7.09375,7.03125,7.03125,1.067147,82000,0.0,0.0
1993-07-16,7.0625,7.0625,6.59375,6.65625,1.010233,320000,0.0,0.0
1993-07-19,6.65625,6.65625,6.65625,6.65625,1.010233,113200,0.0,0.0
1993-07-20,6.59375,6.625,6.59375,6.59375,1.000747,206800,0.0,0.0
1993-07-21,6.625,6.6875,6.625,6.65625,1.010233,52800,0.0,0.0
1993-07-22,6.71875,6.71875,6.65625,6.65625,1.010233,111600,0.0,0.0
1993-07-23,6.71875,6.78125,6.71875,6.75,1.024461,52400,0.0,0.0
1993-07-26,6.78125,6.78125,6.6875,6.6875,1.014975,14000,0.0,0.0
1993-07-27,6.6875,6.71875,6.59375,6.59375,1.000747,77200,0.0,0.0
1993-07-28,6.625,6.75,6.59375,6.75,1.028948,99200,0.02875,0.0
1993-07-29,6.75,6.90625,6.75,6.90625,1.052766,58800,0.0,0.0
1993-07-30,7.0,7.0,6.9375,6.96875,1.062294,24800,0.0,0.0
1993-08-02,6.96875,6.96875,6.875,6.90625,1.052766,66000,0.0,0.0
1993-08-03,6.90625,6.96875,6.90625,6.96875,1.062294,34000,0.0,0.0
1993-08-04,6.9375,6.9375,6.90625,6.90625,1.052766,8800,0.0,0.0
1993-08-05,6.875,6.90625,6.875,6.875,1.048002,29600,0.0,0.0
1993-08-06,6.875,6.9375,6.875,6.90625,1.052766,8400,0.0,0.0
1993-08-09,6.875,6.90625,6.875,6.875,1.048002,16800,0.0,0.0
1993-08-10,6.875,6.875,6.875,6.875,1.048002,13200,0.0,0.0
1993-08-11,6.875,6.9375,6.78125,6.78125,1.033712,347200,0.0,0.0
1993-08-12,6.75,6.75,6.6875,6.75,1.028948,24400,0.0,0.0
1993-08-13,6.6875,6.8125,6.6875,6.78125,1.033712,116000,0.0,0.0
1993-08-16,6.78125,6.78125,6.71875,6.71875,1.024184,30400,0.0,0.0
1993-08-17,6.6875,6.78125,6.6875,6.75,1.028948,96000,0.0,0.0
1993-08-18,6.75,6.75,6.71875,6.75,1.028948,51600,0.0,0.0
1993-08-19,6.75,6.75,6.6875,6.6875,1.019421,17600,0.0,0.0
1993-08-20,6.71875,6.71875,6.65625,6.65625,1.014657,171600,0.0,0.0
1993-08-23,6.65625,6.6875,6.65625,6.65625,1.014657,9600,0.0,0.0
1993-08-24,6.65625,6.65625,6.625,6.625,1.009893,14000,0.0,0.0
1993-08-25,6.5625,6.5625,6.5,6.5,0.990838,298400,0.0,0.0
1993-08-26,6.5,6.59375,6.5,6.5625,1.000365,154000,0.0,0.0
1993-08-27,6.59375,6.65625,6.59375,6.625,1.009893,14800,0.0,0.0
1993-08-30,6.6875,6.71875,6.65625,6.65625,1.014657,22800,0.0,0.0
1993-08-31,6.6875,6.8125,6.6875,6.8125,1.038475,72800,0.0,0.0
1993-09-01,6.9375,7.0,6.90625,6.96875,1.062294,62400,0.0,0.0
1993-09-02,6.96875,7.0,6.90625,7.0,1.067057,44800,0.0,0.0
1993-09-03,6.9375,7.0625,6.90625,7.0625,1.076584,50400,0.0,0.0
1993-09-07,7.0,7.0,7.0,7.0,1.067057,8400,0.0,0.0
1993-09-08,6.9375,6.9375,6.8125,6.8125,1.038475,76400,0.0,0.0
1993-09-09,6.8125,7.03125,6.8125,7.03125,1.071821,58000,0.0,0.0
1993-09-10,6.96875,7.25,6.96875,7.125,1.086112,130800,0.0,0.0
1993-09-13,7.125,7.21875,7.125,7.21875,1.100403,251200,0.0,0.0
1993-09-14,7.21875,7.21875,7.15625,7.21875,1.100403,157600,0.0,0.0
1993-09-15,7.15625,7.28125,7.15625,7.1875,1.095639,39200,0.0,0.0
1993-09-16,7.21875,7.25,7.1875,7.25,1.105167,68000,0.0,0.0
1993-09-17,7.25,7.4375,7.25,7.375,1.124221,70800,0.0,0.0
1993-09-20,7.375,7.375,7.3125,7.3125,1.114694,118400,0.0,0.0
1993-09-21,7.3125,7.34375,7.125,7.125,1.086112,22400,0.0,0.0
1993-09-22,7.21875,7.25,7.1875,7.21875,1.100403,65600,0.0,0.0
1993-09-23,7.125,7.125,7.0,7.0,1.067057,129600,0.0,0.0
1993-09-24,7.03125,7.15625,7.03125,7.15625,1.090876,30000,0.0,0.0
1993-09-27,7.15625,7.21875,7.15625,7.1875,1.095639,13600,0.0,0.0
1993-09-28,7.15625,7.1875,7.125,7.125,1.086112,30400,0.0,0.0
1993-09-29,7.125,7.125,6.9375,6.9375,1.05753,115200,0.0,0.0
1993-09-30,6.9375,7.1875,6.9375,7.15625,1.090876,104400,0.0,0.0
1993-10-01,7.09375,7.15625,7.03125,7.09375,1.081348,22400,0.0,0.0
1993-10-04,7.09375,7.125,7.09375,7.125,1.086112,22000,0.0,0.0
1993-10-05,7.1875,7.28125,7.15625,7.25,1.105167,164400,0.0,0.0
1993-10-06,7.3125,7.3125,7.125,7.125,1.086112,84000,0.0,0.0
1993-10-07,7.125,7.125,7.0625,7.0625,1.076584,13200,0.0,0.0
1993-10-08,7.0,7.03125,6.96875,6.96875,1.062294,51200,0.0,0.0
1993-10-11,6.96875,7.0,6.96875,6.96875,1.062294,68800,0.0,0.0
1993-10-12,7.03125,7.03125,6.96875,6.96875,1.062294,59200,0.0,0.0
1993-10-13,7.0,7.0,6.875,6.875,1.048002,161600,0.0,0.0
1993-10-14,6.875,7.0625,6.875,7.0625,1.076584,60000,0.0,0.0
1993-10-15,7.0625,7.1875,7.0625,7.1875,1.095639,236800,0.0,0.0
1993-10-18,7.1875,7.1875,7.09375,7.09375,1.081348,10000,0.0,0.0
1993-10-19,7.03125,7.09375,7.0,7.0,1.067057,54000,0.0,0.0
1993-10-20,7.0,7.0,7.0,7.0,1.067057,103600,0.0,0.0
1993-10-21,6.96875,7.21875,6.96875,7.21875,1.100403,73200,0.0,0.0
1993-10-22,7.21875,7.21875,7.15625,7.15625,1.090876,16000,0.0,0.0
1993-10-25,7.15625,7.1875,7.125,7.125,1.086112,73200,0.0,0.0
1993-10-26,7.0625,7.0625,7.0,7.0625,1.092687,102000,0.105,0.0
1993-10-27,7.09375,7.125,7.0625,7.0625,1.092687,223600,0.0,0.0
1993-10-28,7.0625,7.09375,7.0625,7.0625,1.092687,200400,0.0,0.0
1993-10-29,7.125,7.15625,7.09375,7.15625,1.107191,94800,0.0,0.0
1993-11-01,7.125,7.125,7.09375,7.125,1.102357,170000,0.0,0.0
