Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2018-03-06,1.777,1.83,1.777,1.795,1.795,51300,0.0,0.0
2018-03-07,1.76,1.76,1.71,1.75,1.75,24300,0.0,0.0
2018-03-08,1.746,1.76,1.65,1.69,1.69,82000,0.0,0.0
2018-03-09,1.686,1.7,1.65,1.667,1.667,20400,0.0,0.0
2018-03-12,1.74,1.74,1.617,1.699,1.699,28800,0.0,0.0
2018-03-13,1.68,1.68,1.63,1.646,1.646,16400,0.0,0.0
2018-03-14,1.658,1.658,1.58,1.59,1.59,27500,0.0,0.0
2018-03-15,1.563,1.58,1.55,1.58,1.58,20500,0.0,0.0
2018-03-16,1.55,1.621,1.55,1.578,1.578,17400,0.0,0.0
2018-03-19,1.6,1.616,1.565,1.6,1.6,34800,0.0,0.0
2018-03-20,1.6,1.6,1.56,1.562,1.562,8300,0.0,0.0
2018-03-21,1.525,1.56,1.5,1.513,1.513,46600,0.0,0.0
2018-03-22,1.48,1.527,1.452,1.5,1.5,47000,0.0,0.0
2018-03-23,1.47,1.496,1.27,1.496,1.496,72400,0.0,0.0
2018-03-26,1.506,1.515,1.41,1.41,1.41,8900,0.0,0.0
2018-03-27,1.435,1.5,1.4,1.475,1.475,46900,0.0,0.0
2018-03-28,1.476,1.476,1.43,1.431,1.431,7000,0.0,0.0
2018-03-29,1.46,1.47,1.423,1.44,1.44,43600,0.0,0.0
2018-04-02,1.5,1.5,1.41,1.41,1.41,20000,0.0,0.0
2018-04-03,1.41,1.41,1.36,1.4,1.4,21300,0.0,0.0
2018-04-04,1.255,1.34,1.22,1.326,1.326,45600,0.0,0.0
2018-04-05,1.33,1.346,1.3,1.324,1.324,20800,0.0,0.0
2018-04-06,1.32,1.326,1.28,1.28,1.28,17100,0.0,0.0
2018-04-09,1.285,1.35,1.285,1.35,1.35,5700,0.0,0.0
2018-04-10,1.385,1.46,1.385,1.43,1.43,21700,0.0,0.0
2018-04-11,1.43,1.444,1.397,1.4,1.4,10400,0.0,0.0
2018-04-12,1.4,1.41,1.4,1.4,1.4,3500,0.0,0.0
2018-04-13,1.382,1.398,1.382,1.395,1.395,3400,0.0,0.0
2018-04-16,1.39,1.4,1.27,1.27,1.27,37100,0.0,0.0
2018-04-17,1.29,1.32,1.22,1.22,1.22,47000,0.0,0.0
2018-04-18,1.246,1.275,1.23,1.23,1.23,26300,0.0,0.0
2018-04-19,1.25,1.25,1.217,1.217,1.217,11200,0.0,0.0
2018-04-20,1.21,1.21,1.17,1.182,1.182,9200,0.0,0.0
2018-04-23,1.2,1.214,1.2,1.214,1.214,3000,0.0,0.0
2018-04-24,1.188,1.23,1.145,1.145,1.145,31000,0.0,0.0
2018-04-25,1.083,1.12,1.07,1.12,1.12,58200,0.0,0.0
2018-04-26,1.151,1.176,1.126,1.15,1.15,9600,0.0,0.0
2018-04-27,1.165,1.165,1.117,1.117,1.117,6700,0.0,0.0
2018-04-30,1.14,1.15,1.14,1.15,1.15,1700,0.0,0.0
2018-05-01,1.14,1.159,1.09,1.119,1.119,14100,0.0,0.0
2018-05-02,1.091,1.091,1.029,1.029,1.029,23000,0.0,0.0
2018-05-03,1.02,1.11,0.96,1.11,1.11,26600,0.0,0.0
2018-05-04,1.104,1.12,1.09,1.12,1.12,12000,0.0,0.0
2018-05-07,1.175,1.22,1.17,1.22,1.22,21700,0.0,0.0
2018-05-08,1.22,1.35,1.22,1.33,1.33,54300,0.0,0.0
2018-05-09,1.296,1.33,1.24,1.24,1.24,19000,0.0,0.0
2018-05-10,1.252,1.252,1.18,1.203,1.203,9800,0.0,0.0
2018-05-11,1.222,1.222,1.169,1.169,1.169,11300,0.0,0.0
2018-05-14,1.209,1.209,1.17,1.2,1.2,10100,0.0,0.0
2018-05-15,1.168,1.168,1.168,1.168,1.168,1000,0.0,0.0
2018-05-16,1.273,1.36,1.273,1.348,1.348,28400,0.0,0.0
2018-05-17,1.405,1.426,1.299,1.299,1.299,49800,0.0,0.0
2018-05-18,1.329,1.33,1.27,1.305,1.305,14800,0.0,0.0
2018-05-21,1.33,1.38,1.31,1.31,1.31,21300,0.0,0.0
2018-05-22,1.29,1.32,1.263,1.297,1.297,10000,0.0,0.0
2018-05-23,1.24,1.275,1.22,1.235,1.235,27000,0.0,0.0
2018-05-24,1.25,1.25,1.2,1.23,1.23,4800,0.0,0.0
2018-05-25,1.203,1.208,1.188,1.208,1.208,14000,0.0,0.0
2018-05-29,1.133,1.16,1.12,1.141,1.141,78000,0.0,0.0
2018-05-30,1.172,1.193,1.16,1.169,1.169,33700,0.0,0.0
2018-05-31,1.23,1.23,1.133,1.16,1.16,30500,0.0,0.0
2018-06-01,1.167,1.18,1.131,1.14,1.14,11900,0.0,0.0
2018-06-04,1.13,1.17,0.992,1.114,1.114,46200,0.0,0.0
2018-06-05,1.12,1.145,1.085,1.13,1.13,27600,0.0,0.0
2018-06-06,1.17,1.21,1.124,1.14,1.14,21100,0.0,0.0
2018-06-07,1.189,1.189,1.131,1.167,1.167,3500,0.0,0.0
2018-06-08,1.159,1.16,1.11,1.11,1.11,17900,0.0,0.0
2018-06-11,1.111,1.12,1.11,1.116,1.116,16000,0.0,0.0
2018-06-12,1.132,1.14,1.05,1.087,1.087,43500,0.0,0.0
2018-06-13,1.043,1.043,1.01,1.02,1.02,75900,0.0,0.0
2018-06-14,1.004,1.02,0.94,0.959,0.959,53000,0.0,0.0
2018-06-15,0.899,0.952,0.884,0.952,0.952,37500,0.0,0.0
2018-06-18,0.934,0.934,0.9,0.913,0.913,15800,0.0,0.0
2018-06-19,0.861,0.946,0.861,0.936,0.936,35900,0.0,0.0
2018-06-20,0.944,1.01,0.944,0.982,0.982,50700,0.0,0.0
2018-06-21,0.982,0.982,0.9,0.9,0.9,10600,0.0,0.0
2018-06-22,0.896,0.908,0.87,0.906,0.906,50700,0.0,0.0
2018-06-25,0.876,0.899,0.835,0.859,0.859,34400,0.0,0.0
2018-06-26,0.821,0.86,0.816,0.837,0.837,19000,0.0,0.0
2018-06-27,0.855,0.883,0.84,0.84,0.84,23300,0.0,0.0
2018-06-28,0.829,0.85,0.802,0.802,0.802,18100,0.0,0.0
2018-06-29,0.854,0.88,0.854,0.861,0.861,5800,0.0,0.0
2018-07-02,0.921,0.921,0.86,0.86,0.86,6800,0.0,0.0
2018-07-03,0.914,0.946,0.9,0.946,0.946,11400,0.0,0.0
2018-07-05,0.98,1.03,0.962,0.994,0.994,17300,0.0,0.0
2018-07-06,1.039,1.039,0.918,0.918,0.918,35200,0.0,0.0
2018-07-09,0.984,1.018,0.95,0.958,0.958,10500,0.0,0.0
2018-07-10,0.975,0.975,0.956,0.956,0.956,2400,0.0,0.0
2018-07-11,0.957,0.957,0.926,0.926,0.926,5700,0.0,0.0
2018-07-12,0.936,0.936,0.936,0.936,0.936,1100,0.0,0.0
2018-07-13,0.93,0.94,0.93,0.94,0.94,10800,0.0,0.0
2018-07-16,0.924,0.93,0.877,0.888,0.888,7500,0.0,0.0
2018-07-17,0.85,0.896,0.842,0.842,0.842,48300,0.0,0.0
2018-07-18,0.848,0.915,0.848,0.914,0.914,6800,0.0,0.0
2018-07-19,0.91,0.925,0.88,0.9,0.9,5800,0.0,0.0
2018-07-20,0.923,0.923,0.845,0.882,0.882,16600,0.0,0.0
2018-07-23,0.84,0.85,0.799,0.81,0.81,26000,0.0,0.0
2018-07-24,0.8,0.8,0.779,0.787,0.787,20800,0.0,0.0
2018-07-25,0.8,0.924,0.8,0.833,0.833,58600,0.0,0.0
2018-07-26,0.865,0.893,0.844,0.844,0.844,15500,0.0,0.0
2018-07-27,0.823,0.838,0.813,0.815,0.815,11300,0.0,0.0
2018-07-30,0.827,0.834,0.816,0.825,0.825,12500,0.0,0.0
2018-07-31,0.83,0.83,0.83,0.83,0.83,2800,0.0,0.0
2018-08-01,0.835,0.835,0.779,0.783,0.783,50200,0.0,0.0
2018-08-02,0.77,0.787,0.695,0.697,0.697,35300,0.0,0.0
2018-08-03,0.734,0.765,0.734,0.765,0.765,27400,0.0,0.0
2018-08-06,0.77,0.82,0.77,0.82,0.82,5100,0.0,0.0
2018-08-07,0.832,0.883,0.823,0.84,0.84,12200,0.0,0.0
2018-08-08,0.852,0.859,0.852,0.859,0.859,1700,0.0,0.0
2018-08-09,0.856,0.856,0.84,0.852,0.852,4300,0.0,0.0
2018-08-10,0.796,0.8,0.787,0.8,0.8,10400,0.0,0.0
2018-08-13,0.77,0.776,0.744,0.758,0.758,29500,0.0,0.0
2018-08-14,0.755,0.778,0.722,0.722,0.722,17100,0.0,0.0
2018-08-15,0.73,0.73,0.672,0.683,0.683,8600,0.0,0.0
2018-08-16,0.683,0.687,0.658,0.67,0.67,48000,0.0,0.0
2018-08-17,0.66,0.67,0.625,0.641,0.641,23400,0.0,0.0
2018-08-20,0.647,0.655,0.623,0.624,0.624,10700,0.0,0.0
2018-08-21,0.617,0.634,0.604,0.626,0.626,30700,0.0,0.0
2018-08-22,0.663,0.758,0.663,0.758,0.758,38700,0.0,0.0
2018-08-23,0.77,0.77,0.737,0.745,0.745,27900,0.0,0.0
2018-08-24,0.753,0.769,0.732,0.732,0.732,15900,0.0,0.0
2018-08-27,0.74,0.793,0.737,0.773,0.773,10100,0.0,0.0
2018-08-28,0.803,0.803,0.769,0.769,0.769,16700,0.0,0.0
2018-08-29,0.79,0.895,0.79,0.862,0.862,76000,0.0,0.0
2018-08-30,0.888,0.957,0.888,0.957,0.957,62200,0.0,0.0
2018-08-31,0.961,1.09,0.961,1.07,1.07,113300,0.0,0.0
2018-09-04,1.055,1.058,0.916,0.922,0.922,94100,0.0,0.0
2018-09-05,0.94,0.955,0.882,0.946,0.946,79400,0.0,0.0
2018-09-06,0.944,0.97,0.944,0.95,0.95,43300,0.0,0.0
2018-09-07,0.954,0.967,0.9,0.926,0.926,51700,0.0,0.0
2018-09-10,0.924,0.93,0.891,0.925,0.925,45300,0.0,0.0
2018-09-11,0.886,0.886,0.817,0.841,0.841,50100,0.0,0.0
2018-09-12,0.892,1.06,0.892,1.03,1.03,78600,0.0,0.0
2018-09-13,1.189,1.3,1.15,1.22,1.22,339200,0.0,0.0
2018-09-14,1.176,1.21,1.11,1.16,1.16,114500,0.0,0.0
2018-09-17,1.13,1.18,1.13,1.14,1.14,28500,0.0,0.0
2018-09-18,1.143,1.19,1.13,1.138,1.138,139400,0.0,0.0
2018-09-19,1.162,1.188,1.15,1.17,1.17,35400,0.0,0.0
2018-09-20,1.17,1.23,1.15,1.18,1.18,89600,0.0,0.0
2018-09-21,1.27,1.29,1.21,1.24,1.24,261900,0.0,0.0
2018-09-24,1.27,1.27,1.209,1.232,1.232,84100,0.0,0.0
2018-09-25,1.24,1.24,1.2,1.21,1.21,39700,0.0,0.0
2018-09-26,1.23,1.24,1.214,1.22,1.22,19800,0.0,0.0
2018-09-27,1.198,1.23,1.198,1.22,1.22,31000,0.0,0.0
2018-09-28,1.244,1.27,1.22,1.27,1.27,27900,0.0,0.0
2018-10-01,1.31,1.387,1.301,1.327,1.327,95100,0.0,0.0
2018-10-02,1.33,1.36,1.262,1.27,1.27,53100,0.0,0.0
2018-10-03,1.296,1.306,1.28,1.28,1.28,58100,0.0,0.0
2018-10-04,1.286,1.294,1.11,1.15,1.15,44600,0.0,0.0
2018-10-05,1.21,1.23,1.181,1.23,1.23,25900,0.0,0.0
2018-10-08,1.23,1.31,1.2,1.24,1.24,44900,0.0,0.0
2018-10-09,1.18,1.2,1.154,1.17,1.17,20500,0.0,0.0
2018-10-10,1.18,1.18,0.989,1.131,1.131,72300,0.0,0.0
2018-10-11,1.043,1.053,0.95,0.95,0.95,88400,0.0,0.0
2018-10-12,0.98,1.0,0.954,0.985,0.985,48900,0.0,0.0
2018-10-15,1.017,1.07,1.009,1.06,1.06,47100,0.0,0.0
2018-10-16,1.2,1.2,1.08,1.091,1.091,34100,0.0,0.0
2018-10-17,1.09,1.11,1.09,1.11,1.11,11600,0.0,0.0
2018-10-18,1.145,1.145,1.068,1.07,1.07,25500,0.0,0.0
2018-10-19,1.05,1.088,1.05,1.063,1.063,13600,0.0,0.0
2018-10-22,1.032,1.09,1.02,1.09,1.09,21600,0.0,0.0
2018-10-23,0.931,1.07,0.92,1.07,1.07,54700,0.0,0.0
2018-10-24,1.03,1.03,1.0,1.005,1.005,6000,0.0,0.0
2018-10-25,1.01,1.06,0.989,1.06,1.06,34700,0.0,0.0
2018-10-26,1.06,1.07,1.02,1.04,1.04,39300,0.0,0.0
2018-10-29,1.03,1.06,1.03,1.06,1.06,6400,0.0,0.0
2018-10-30,1.03,1.03,1.002,1.024,1.024,16700,0.0,0.0
2018-10-31,1.04,1.05,1.04,1.04,1.04,33300,0.0,0.0
2018-11-01,1.04,1.046,1.028,1.031,1.031,17600,0.0,0.0
2018-11-02,1.04,1.08,1.04,1.078,1.078,55300,0.0,0.0
2018-11-05,1.019,1.06,1.019,1.041,1.041,24000,0.0,0.0
2018-11-06,1.015,1.05,0.99,1.05,1.05,33700,0.0,0.0
2018-11-07,1.048,1.049,1.01,1.038,1.038,4700,0.0,0.0
2018-11-08,1.02,1.02,0.963,1.0,1.0,69800,0.0,0.0
2018-11-09,1.006,1.01,0.956,0.995,0.995,27500,0.0,0.0
2018-11-12,1.109,1.12,0.988,1.007,1.007,49300,0.0,0.0
2018-11-13,1.017,1.02,0.962,0.962,0.962,15900,0.0,0.0
2018-11-14,1.01,1.01,0.94,0.942,0.942,60100,0.0,0.0
2018-11-15,0.987,0.99,0.97,0.99,0.99,22300,0.0,0.0
2018-11-16,0.978,0.99,0.975,0.99,0.99,56600,0.0,0.0
2018-11-19,1.0,1.016,0.97,0.973,0.973,11900,0.0,0.0
