Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains
2016-09-16,15.25,15.25,15.165,15.191,14.085959,3600,0.0,0.0,0.0
2016-09-19,15.34,15.38,15.2,15.23,14.122123,18800,0.0,0.0,0.0
2016-09-20,15.39,16.27,15.15,16.27,15.086472,4800,0.0,0.0,0.0
2016-09-21,15.38,15.38,15.23,15.323,14.208359,10000,0.0,0.0,0.0
2016-09-22,15.59,15.64,15.51,15.64,14.5023,35900,0.0,0.0,0.0
2016-09-23,15.64,15.64,15.426,15.466,14.340957,9100,0.0,0.0,0.0
2016-09-26,15.43,15.43,15.257,15.29,14.17776,10900,0.0,0.0,0.0
2016-09-27,15.34,15.44,15.3,15.414,14.292738,7600,0.0,0.0,0.0
2016-09-28,15.51,15.53,15.385,15.5,14.372483,11200,0.0,0.0,0.0
2016-09-29,15.446,15.446,15.22,15.22,14.112853,3400,0.0,0.0,0.0
2016-09-30,15.54,15.7,15.46,15.64,14.5023,6600,0.0,0.0,0.0
2016-10-03,15.74,15.74,15.51,15.51,14.381756,9300,0.0,0.0,0.0
2016-10-04,15.66,15.66,15.45,15.453,14.328904,13800,0.0,0.0,0.0
2016-10-05,15.569,15.665,15.55,15.61,14.474482,17100,0.0,0.0,0.0
2016-10-06,15.63,15.65,15.526,15.65,14.511572,2800,0.0,0.0,0.0
2016-10-07,15.68,15.68,15.405,15.54,14.409574,7200,0.0,0.0,0.0
2016-10-10,15.66,15.66,15.5,15.5,14.372483,8400,0.0,0.0,0.0
2016-10-11,15.45,15.45,15.048,15.14,14.038671,14800,0.0,0.0,0.0
2016-10-12,15.14,15.14,15.0,15.05,13.955217,16200,0.0,0.0,0.0
2016-10-13,15.01,15.01,14.83,14.98,13.890309,10600,0.0,0.0,0.0
2016-10-14,15.06,15.06,14.88,14.88,13.797584,16000,0.0,0.0,0.0
2016-10-17,15.01,15.01,14.92,14.93,13.843947,10700,0.0,0.0,0.0
2016-10-18,15.12,15.12,14.984,15.01,13.918129,4500,0.0,0.0,0.0
2016-10-19,15.06,15.07,14.97,15.06,13.964492,6000,0.0,0.0,0.0
2016-10-20,15.008,15.05,14.95,15.05,13.955217,1400,0.0,0.0,0.0
2016-10-21,15.08,15.08,14.9,15.0,13.908856,14200,0.0,0.0,0.0
2016-10-24,15.15,15.15,15.0,15.006,13.914417,26600,0.0,0.0,0.0
2016-10-25,15.07,15.07,14.928,14.99,13.899583,9000,0.0,0.0,0.0
2016-10-26,15.05,15.05,14.88,14.93,13.843947,11900,0.0,0.0,0.0
2016-10-27,14.91,14.91,14.73,14.73,13.658497,8800,0.0,0.0,0.0
2016-10-28,14.94,14.97,14.9,14.9,13.816131,3200,0.0,0.0,0.0
2016-10-31,14.86,15.08,14.86,15.08,13.983037,1700,0.0,0.0,0.0
2016-11-01,15.15,15.15,14.89,15.039,13.945019,4000,0.0,0.0,0.0
2016-11-02,15.07,15.07,14.527,14.765,13.690951,10200,0.0,0.0,0.0
2016-11-03,14.85,14.85,14.6,14.655,13.588953,4800,0.0,0.0,0.0
2016-11-04,14.49,14.7,14.49,14.64,13.575043,2400,0.0,0.0,0.0
2016-11-07,14.95,14.95,14.913,14.95,13.862493,900,0.0,0.0,0.0
2016-11-08,15.03,15.08,14.85,14.995,13.904221,7200,0.0,0.0,0.0
