Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2005-02-17,12550.100586,12550.100586,12250.097656,12250.097656,12250.097656,4,0.0,0.0
2005-02-18,12500.099609,12500.099609,12250.097656,12450.099609,12450.099609,8,0.0,0.0
2005-02-22,12000.095703,12000.095703,12000.095703,12000.095703,12000.095703,0,0.0,0.0
2005-02-23,12000.095703,12000.095703,11900.094727,12000.095703,12000.095703,2,0.0,0.0
2005-02-24,11650.092773,12050.09668,11450.091797,12050.09668,12050.09668,5,0.0,0.0
2005-02-25,11750.09375,11750.09375,11750.09375,11750.09375,11750.09375,0,0.0,0.0
2005-02-28,11750.09375,11950.095703,11750.09375,11850.094727,11850.094727,13,0.0,0.0
2005-03-01,12050.09668,13300.106445,11750.09375,12550.100586,12550.100586,13,0.0,0.0
2005-03-02,12650.101562,12750.101562,12500.099609,12550.100586,12550.100586,8,0.0,0.0
2005-03-03,12850.102539,12850.102539,12250.097656,12400.099609,12400.099609,15,0.0,0.0
2005-03-04,12450.099609,12500.099609,11950.095703,12150.097656,12150.097656,12,0.0,0.0
2005-03-07,12000.095703,12000.095703,11850.094727,12000.095703,12000.095703,5,0.0,0.0
2005-03-08,12100.09668,12100.09668,11950.095703,11950.095703,11950.095703,2,0.0,0.0
2005-03-09,12200.097656,12200.097656,12150.097656,12200.097656,12200.097656,1,0.0,0.0
2005-03-10,12250.097656,12250.097656,11600.092773,12150.097656,12150.097656,10,0.0,0.0
2005-03-11,12100.09668,12250.097656,12000.095703,12250.097656,12250.097656,9,0.0,0.0
2005-03-14,12350.098633,12350.098633,12000.095703,12200.097656,12200.097656,11,0.0,0.0
2005-03-15,12200.097656,12250.097656,12200.097656,12250.097656,12250.097656,7,0.0,0.0
2005-03-16,12100.09668,12250.097656,12100.09668,12250.097656,12250.097656,0,0.0,0.0
2005-03-17,12250.097656,12250.097656,11600.092773,11900.094727,11900.094727,2,0.0,0.0
2005-03-18,12000.095703,12450.099609,11950.095703,12000.095703,12000.095703,25,0.0,0.0
2005-03-21,12250.097656,12800.102539,11750.09375,11750.09375,11750.09375,69,0.0,0.0
2005-03-22,12100.09668,12100.09668,11400.09082,11550.092773,11550.092773,7,0.0,0.0
2005-03-23,11750.09375,11850.094727,11550.092773,11600.092773,11600.092773,6,0.0,0.0
2005-03-24,11700.09375,11700.09375,11650.092773,11650.092773,11650.092773,5,0.0,0.0
2005-03-28,11950.095703,11950.095703,11550.092773,11550.092773,11550.092773,2,0.0,0.0
2005-03-29,11750.09375,11900.094727,11700.09375,11750.09375,11750.09375,4,0.0,0.0
2005-03-30,11650.092773,11900.094727,11200.089844,11900.094727,11900.094727,4,0.0,0.0
2005-03-31,11750.09375,11950.095703,11150.088867,11250.089844,11250.089844,10,0.0,0.0
2005-04-01,11250.089844,11250.089844,11150.088867,11250.089844,11250.089844,0,0.0,0.0
