Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains
2026-03-16,25.549999,25.549999,25.01,25.309999,25.309999,300,0.0,0.0,0.0
2026-03-17,25.459999,25.469999,25.35,25.35,25.35,28600,0.0,0.0,0.0
2026-03-18,25.32,25.32,25.07,25.07,25.07,1300,0.0,0.0,0.0
2026-03-19,24.860001,25.040001,24.84,24.99,24.99,1000,0.0,0.0,0.0
2026-03-20,24.459999,24.459999,24.459999,24.459999,24.459999,100,0.0,0.0,0.0
2026-03-23,24.92,24.92,24.799999,24.799999,24.799999,2000,0.0,0.0,0.0
2026-03-24,24.6,24.6,24.6,24.6,24.6,0,0.0,0.0,0.0
2026-03-25,24.9,24.9,24.74,24.74,24.74,4500,0.0,0.0,0.0
2026-03-26,24.52,24.52,24.219999,24.219999,24.219999,7100,0.0,0.0,0.0
2026-03-27,23.99,24.09,23.76,23.790001,23.790001,50300,0.0,0.0,0.0
2026-03-30,23.75,23.75,23.530001,23.530001,23.530001,219700,0.0,0.0,0.0
2026-03-31,24.02,24.4,24.02,24.4,24.4,59800,0.0,0.0,0.0
2026-04-01,24.709999,24.870001,24.639999,24.68,24.68,106100,0.0,0.0,0.0
2026-04-02,24.559999,24.67,24.549999,24.629999,24.629999,2500,0.0,0.0,0.0
2026-04-06,24.76,24.85,24.73,24.82,24.82,1700,0.0,0.0,0.0
2026-04-07,24.530001,24.92,24.530001,24.9,24.9,800,0.0,0.0,0.0
2026-04-08,25.65,25.719999,25.559999,25.639999,25.639999,14800,0.0,0.0,0.0
2026-04-09,25.639999,25.799999,25.58,25.799999,25.799999,196000,0.0,0.0,0.0
2026-04-10,25.83,25.85,25.83,25.84,25.84,17200,0.0,0.0,0.0
2026-04-13,25.84,26.09,25.84,26.08,26.08,23000,0.0,0.0,0.0
2026-04-14,26.25,26.540001,26.25,26.48,26.48,103600,0.0,0.0,0.0
2026-04-15,26.530001,26.719999,26.530001,26.719999,26.719999,21400,0.0,0.0,0.0
2026-04-16,26.75,26.799999,26.620001,26.690001,26.690001,24200,0.0,0.0,0.0
2026-04-17,26.98,26.98,26.91,26.950001,26.950001,6400,0.0,0.0,0.0
2026-04-20,26.700001,26.84,26.700001,26.84,26.84,38000,0.0,0.0,0.0
2026-04-21,26.870001,26.940001,26.65,26.65,26.65,7100,0.0,0.0,0.0
