Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1980-03-17,0.085938,0.117188,0.085938,0.085938,0.039838,86400,0.0,0.0
1980-03-18,0.085938,0.117188,0.085938,0.085938,0.039838,43200,0.0,0.0
1980-03-19,0.085938,0.117188,0.085938,0.085938,0.039838,97600,0.0,0.0
1980-03-20,0.09375,0.125,0.09375,0.09375,0.043459,65600,0.0,0.0
1980-03-21,0.09375,0.125,0.09375,0.09375,0.043459,64000,0.0,0.0
1980-03-24,0.09375,0.109375,0.078125,0.078125,0.036216,232000,0.0,0.0
1980-03-25,0.078125,0.109375,0.078125,0.078125,0.036216,84800,0.0,0.0
1980-03-26,0.078125,0.109375,0.078125,0.078125,0.036216,116800,0.0,0.0
1980-03-27,0.078125,0.101563,0.070313,0.070313,0.032594,424000,0.0,0.0
1980-03-28,0.070313,0.101563,0.070313,0.070313,0.032594,296000,0.0,0.0
1980-03-31,0.070313,0.101563,0.070313,0.070313,0.032594,134400,0.0,0.0
1980-04-01,0.070313,0.101563,0.070313,0.070313,0.032594,32000,0.0,0.0
1980-04-02,0.070313,0.101563,0.070313,0.070313,0.032594,17600,0.0,0.0
1980-04-03,0.070313,0.101563,0.070313,0.070313,0.032594,112000,0.0,0.0
1980-04-07,0.070313,0.101563,0.070313,0.070313,0.032594,14400,0.0,0.0
1980-04-08,0.070313,0.070313,0.070313,0.070313,0.032594,0,0.0,0.0
1980-04-09,0.070313,0.097656,0.066406,0.066406,0.030783,99200,0.0,0.0
1980-04-10,0.066406,0.097656,0.066406,0.066406,0.030783,56000,0.0,0.0
1980-04-11,0.070313,0.101563,0.070313,0.070313,0.032594,16000,0.0,0.0
1980-04-14,0.070313,0.101563,0.070313,0.070313,0.032594,8000,0.0,0.0
1980-04-15,0.070313,0.101563,0.070313,0.070313,0.032594,28800,0.0,0.0
1980-04-16,0.070313,0.101563,0.070313,0.070313,0.032594,280000,0.0,0.0
1980-04-17,0.078125,0.109375,0.078125,0.078125,0.036216,112000,0.0,0.0
1980-04-18,0.082031,0.113281,0.082031,0.082031,0.038027,120000,0.0,0.0
1980-04-21,0.082031,0.101563,0.070313,0.070313,0.032594,395200,0.0,0.0
1980-04-22,0.078125,0.109375,0.078125,0.078125,0.036216,121600,0.0,0.0
1980-04-23,0.078125,0.109375,0.078125,0.078125,0.036216,116800,0.0,0.0
1980-04-24,0.078125,0.109375,0.078125,0.078125,0.036216,64000,0.0,0.0
1980-04-25,0.078125,0.109375,0.078125,0.078125,0.036216,44800,0.0,0.0
1980-04-28,0.078125,0.109375,0.078125,0.078125,0.036216,480000,0.0,0.0
1980-04-29,0.078125,0.109375,0.078125,0.078125,0.036216,44800,0.0,0.0
1980-04-30,0.078125,0.101563,0.070313,0.070313,0.032594,168000,0.0,0.0
1980-05-01,0.070313,0.101563,0.070313,0.070313,0.032594,120000,0.0,0.0
1980-05-02,0.070313,0.101563,0.070313,0.070313,0.032594,9600,0.0,0.0
1980-05-05,0.070313,0.09375,0.0625,0.0625,0.028973,25600,0.0,0.0
1980-05-06,0.0625,0.09375,0.0625,0.0625,0.028973,65600,0.0,0.0
1980-05-07,0.070313,0.101563,0.070313,0.070313,0.032594,43200,0.0,0.0
1980-05-08,0.070313,0.09375,0.0625,0.0625,0.028973,155200,0.0,0.0
1980-05-09,0.0625,0.09375,0.0625,0.0625,0.028973,12800,0.0,0.0
1980-05-12,0.0625,0.09375,0.0625,0.0625,0.028973,17600,0.0,0.0
1980-05-13,0.0625,0.09375,0.0625,0.0625,0.028973,112000,0.0,0.0
1980-05-14,0.0625,0.09375,0.0625,0.0625,0.028973,41600,0.0,0.0
1980-05-15,0.0625,0.09375,0.0625,0.0625,0.028973,19200,0.0,0.0
1980-05-16,0.0625,0.09375,0.0625,0.0625,0.028973,19200,0.0,0.0
1980-05-19,0.0625,0.09375,0.0625,0.0625,0.028973,336000,0.0,0.0
1980-05-20,0.0625,0.09375,0.0625,0.0625,0.028973,144000,0.0,0.0
