Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2022-06-03,30240.0,30240.0,19180.800781,22118.400391,22118.400391,192,0.0,0.0
2022-06-06,24192.0,24192.0,20822.400391,23760.0,23760.0,74,0.0,0.0
2022-06-07,23414.400391,24451.199219,21513.599609,23846.400391,23846.400391,30,0.0,0.0
2022-06-08,24710.400391,25488.0,23500.800781,25488.0,25488.0,20,0.0,0.0
2022-06-09,24883.199219,24969.599609,24192.0,24192.0,24192.0,4,0.0,0.0
2022-06-10,24883.199219,24883.199219,22809.599609,23500.800781,23500.800781,6,0.0,0.0
2022-06-13,21859.199219,21945.599609,19958.400391,20995.199219,20995.199219,33,0.0,0.0
2022-06-14,19958.400391,21513.599609,18144.0,21340.800781,21340.800781,3,0.0,0.0
2022-06-15,19440.0,21427.199219,19180.800781,21340.800781,21340.800781,4,0.0,0.0
2022-06-16,20736.0,20736.0,17452.800781,20217.599609,20217.599609,12,0.0,0.0
2022-06-17,19267.199219,21772.800781,19267.199219,20736.0,20736.0,1,0.0,0.0
2022-06-21,21081.599609,22291.199219,20736.0,21513.599609,21513.599609,2,0.0,0.0
2022-06-22,21168.0,21600.0,20736.0,20822.400391,20822.400391,1,0.0,0.0
2022-06-23,20736.0,22464.0,19872.0,21859.199219,21859.199219,10,0.0,0.0
2022-06-24,22982.400391,22982.400391,19958.400391,21513.599609,21513.599609,4,0.0,0.0
2022-06-27,21340.800781,21340.800781,19802.880859,20666.880859,20666.880859,1,0.0,0.0
2022-06-28,20312.640625,21600.0,17971.199219,19180.800781,19180.800781,2,0.0,0.0
2022-06-29,19612.800781,20995.199219,19180.800781,20736.0,20736.0,2,0.0,0.0
2022-06-30,20822.400391,20822.400391,19915.199219,19915.199219,19915.199219,1,0.0,0.0
2022-07-01,20476.800781,20736.0,19872.0,19915.199219,19915.199219,1,0.0,0.0
2022-07-05,19699.199219,20304.0,18403.199219,18921.599609,18921.599609,1,0.0,0.0
2022-07-06,19440.0,19958.400391,15638.400391,17107.199219,17107.199219,14,0.0,0.0
2022-07-07,17280.0,17971.199219,17107.199219,17107.199219,17107.199219,3,0.0,0.0
2022-07-08,16848.0,19094.400391,15984.0,18921.599609,18921.599609,2,0.0,0.0
2022-07-11,17789.759766,23155.199219,16502.400391,19699.199219,19699.199219,6,0.0,0.0
2022-07-12,20304.0,33436.800781,18688.320312,21600.0,21600.0,542,0.0,0.0
2022-07-13,22118.400391,27216.0,21712.320312,24969.599609,24969.599609,192,0.0,0.0
2022-07-14,25833.599609,36028.800781,24537.599609,24796.800781,24796.800781,1812,0.0,0.0
2022-07-15,23328.0,24364.800781,19008.0,22896.0,22896.0,87,0.0,0.0
2022-07-18,25056.0,25401.599609,21686.400391,23414.400391,23414.400391,91,0.0,0.0
