Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2024-01-12,3.99,4.0,3.26,3.61,3.61,712000,0.0,0.0
2024-01-16,3.49,3.8,3.4,3.65,3.65,58500,0.0,0.0
2024-01-17,3.16,3.72,3.16,3.72,3.72,46400,0.0,0.0
2024-01-18,3.9,3.9,3.43,3.54,3.54,88400,0.0,0.0
2024-01-19,3.48,3.597,3.07,3.07,3.07,55000,0.0,0.0
2024-01-22,2.98,3.0,2.821,2.91,2.91,18600,0.0,0.0
2024-01-23,3.41,3.41,2.91,2.96,2.96,74900,0.0,0.0
2024-01-24,3.11,3.11,2.881,2.881,2.881,11200,0.0,0.0
2024-01-25,2.94,3.05,2.91,2.99,2.99,24900,0.0,0.0
2024-01-26,3.01,3.15,2.97,3.0,3.0,26700,0.0,0.0
2024-01-29,3.2,3.2,3.06,3.2,3.2,3500,0.0,0.0
2024-01-30,3.2,3.2,3.15,3.15,3.15,2800,0.0,0.0
2024-01-31,3.11,3.15,3.04,3.05,3.05,7500,0.0,0.0
2024-02-01,3.04,3.2,3.0,3.01,3.01,37000,0.0,0.0
2024-02-02,3.02,3.09,3.0,3.002,3.002,2800,0.0,0.0
2024-02-05,3.3,3.39,3.0,3.24,3.24,65000,0.0,0.0
2024-02-06,3.21,3.4,3.06,3.4,3.4,22100,0.0,0.0
2024-02-07,3.31,3.31,3.17,3.17,3.17,16200,0.0,0.0
2024-02-08,3.17,3.17,3.17,3.17,3.17,2500,0.0,0.0
2024-02-09,3.34,3.34,3.2,3.2,3.2,3600,0.0,0.0
2024-02-12,3.4,3.6,3.151,3.21,3.21,18700,0.0,0.0
2024-02-13,3.33,3.65,3.28,3.59,3.59,31200,0.0,0.0
2024-02-14,3.62,3.7,3.55,3.57,3.57,14000,0.0,0.0
2024-02-15,3.5,3.58,3.35,3.4,3.4,9400,0.0,0.0
2024-02-16,3.4,3.55,3.37,3.37,3.37,3500,0.0,0.0
2024-02-20,3.63,3.64,3.4,3.4,3.4,2900,0.0,0.0
2024-02-21,3.8,3.8,3.512,3.53,3.53,17000,0.0,0.0
2024-02-22,4.0,4.0,3.46,3.49,3.49,2600,0.0,0.0
2024-02-23,3.593,3.663,3.37,3.552,3.552,2800,0.0,0.0
2024-02-26,3.62,3.62,3.5,3.5,3.5,6100,0.0,0.0
2024-02-27,3.73,3.73,3.51,3.572,3.572,7000,0.0,0.0
2024-02-28,3.69,3.69,3.5,3.55,3.55,18200,0.0,0.0
2024-02-29,3.51,3.65,3.5,3.62,3.62,17700,0.0,0.0
2024-03-01,3.65,3.673,3.41,3.545,3.545,7100,0.0,0.0
2024-03-04,3.7,3.7,3.6,3.65,3.65,12500,0.0,0.0
2024-03-05,3.6,3.72,3.51,3.7,3.7,14700,0.0,0.0
2024-03-06,3.77,3.8,3.705,3.705,3.705,10100,0.0,0.0
2024-03-07,3.66,4.0,3.66,3.93,3.93,21900,0.0,0.0
2024-03-08,4.0,4.0,3.721,3.83,3.83,5000,0.0,0.0
2024-03-11,3.8,4.0,3.788,4.0,4.0,12000,0.0,0.0
2024-03-12,4.0,4.1,3.52,3.71,3.71,37700,0.0,0.0
2024-03-13,4.05,4.05,3.72,3.72,3.72,16200,0.0,0.0
2024-03-14,3.7,3.94,3.7,3.72,3.72,8800,0.0,0.0
2024-03-15,3.85,3.89,3.76,3.85,3.85,2900,0.0,0.0
2024-03-18,3.87,3.92,3.78,3.78,3.78,5300,0.0,0.0
2024-03-19,3.63,3.99,3.63,3.89,3.89,17500,0.0,0.0
2024-03-20,3.71,3.88,3.6,3.68,3.68,22000,0.0,0.0
2024-03-21,3.732,3.8,3.72,3.72,3.72,7600,0.0,0.0
2024-03-22,3.66,3.8,3.66,3.8,3.8,3900,0.0,0.0
2024-03-25,3.7,3.737,3.61,3.66,3.66,11600,0.0,0.0
2024-03-26,3.62,3.85,3.6,3.85,3.85,11300,0.0,0.0
2024-03-27,3.8,3.8,3.56,3.56,3.56,4400,0.0,0.0
2024-03-28,3.52,3.53,3.32,3.41,3.41,5600,0.0,0.0
2024-04-01,3.5,3.54,3.5,3.54,3.54,1800,0.0,0.0
2024-04-02,3.54,3.59,3.54,3.59,3.59,4200,0.0,0.0
2024-04-03,4.05,4.05,3.23,3.4,3.4,9500,0.0,0.0
2024-04-04,3.4,3.4,3.1,3.25,3.25,13000,0.0,0.0
2024-04-05,3.08,3.29,3.05,3.29,3.29,1800,0.0,0.0
2024-04-08,3.59,3.6,3.3,3.34,3.34,5900,0.0,0.0
2024-04-09,3.378,3.378,3.365,3.371,3.371,16300,0.0,0.0
2024-04-10,3.5,3.85,3.5,3.65,3.65,40400,0.0,0.0
2024-04-11,3.65,3.84,3.5,3.84,3.84,22300,0.0,0.0
2024-04-12,3.85,4.05,3.79,3.95,3.95,11200,0.0,0.0
2024-04-15,3.99,3.99,3.62,3.62,3.62,6900,0.0,0.0
2024-04-16,3.62,4.0,3.62,3.74,3.74,3400,0.0,0.0
2024-04-17,3.92,3.94,3.502,3.75,3.75,32700,0.0,0.0
2024-04-18,3.49,3.7,3.49,3.7,3.7,13700,0.0,0.0
2024-04-19,3.81,3.81,3.65,3.65,3.65,1300,0.0,0.0
2024-04-22,3.63,3.807,3.4,3.452,3.452,6800,0.0,0.0
2024-04-23,3.37,3.42,3.15,3.2,3.2,3600,0.0,0.0
2024-04-24,3.25,3.4,3.25,3.3,3.3,4400,0.0,0.0
2024-04-25,3.22,3.4,3.19,3.4,3.4,2200,0.0,0.0
2024-04-26,3.235,3.24,3.235,3.24,3.24,1100,0.0,0.0
2024-04-29,3.48,3.48,3.15,3.16,3.16,6400,0.0,0.0
2024-04-30,3.15,3.35,3.15,3.26,3.26,3400,0.0,0.0
2024-05-01,3.21,3.21,3.01,3.01,3.01,11600,0.0,0.0
2024-05-02,3.03,3.03,2.67,2.8,2.8,17200,0.0,0.0
2024-05-03,2.92,3.2,2.72,3.2,3.2,9000,0.0,0.0
2024-05-06,3.0,3.078,2.72,3.0,3.0,18900,0.0,0.0
2024-05-07,2.85,2.85,2.85,2.85,2.85,1300,0.0,0.0
2024-05-08,2.98,2.98,2.8,2.895,2.895,7400,0.0,0.0
2024-05-09,2.77,2.77,2.58,2.58,2.58,5600,0.0,0.0
2024-05-10,2.4,2.544,2.343,2.389,2.389,2500,0.0,0.0
2024-05-13,2.425,2.55,2.4,2.4,2.4,11600,0.0,0.0
2024-05-14,2.4,2.4,2.4,2.4,2.4,1300,0.0,0.0
2024-05-15,2.75,2.75,2.5,2.68,2.68,5200,0.0,0.0
2024-05-16,2.75,2.75,2.65,2.74,2.74,6500,0.0,0.0
2024-05-17,2.84,2.84,2.84,2.84,2.84,8600,0.0,0.0
2024-05-20,2.46,2.46,2.46,2.46,2.46,1100,0.0,0.0
2024-05-21,2.44,2.75,2.42,2.75,2.75,8700,0.0,0.0
2024-05-22,2.67,2.67,2.53,2.53,2.53,4400,0.0,0.0
2024-05-23,2.75,2.87,2.51,2.75,2.75,12200,0.0,0.0
2024-05-24,2.58,2.81,2.58,2.62,2.62,2100,0.0,0.0
2024-05-28,2.82,2.85,2.635,2.74,2.74,4100,0.0,0.0
2024-05-29,2.73,2.8,2.683,2.8,2.8,3900,0.0,0.0
2024-05-30,2.74,2.85,2.74,2.85,2.85,3100,0.0,0.0
2024-05-31,2.8,2.8,2.542,2.71,2.71,1800,0.0,0.0
2024-06-03,2.79,2.8,2.62,2.62,2.62,800,0.0,0.0
2024-06-04,2.7,2.7,2.681,2.681,2.681,2200,0.0,0.0
2024-06-05,2.69,2.69,2.1,2.506,2.506,18900,0.0,0.0
2024-06-06,2.46,2.55,2.46,2.55,2.55,8700,0.0,0.0
