Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2025-02-13,10.0,10.01,10.0,10.01,10.01,510400,0.0,0.0
2025-02-14,10.01,10.01,10.0,10.0,10.0,879900,0.0,0.0
2025-02-18,10.01,10.01,10.0,10.0,10.0,366900,0.0,0.0
2025-02-19,10.0,10.01,10.0,10.0,10.0,390800,0.0,0.0
2025-02-20,10.0,10.01,10.0,10.01,10.01,217700,0.0,0.0
2025-02-21,10.01,10.02,10.01,10.01,10.01,381900,0.0,0.0
2025-02-24,10.02,10.025,10.01,10.02,10.02,193800,0.0,0.0
2025-02-25,10.02,10.03,10.02,10.02,10.02,330200,0.0,0.0
2025-02-26,10.03,10.03,10.02,10.02,10.02,80600,0.0,0.0
2025-02-27,10.02,10.03,10.02,10.03,10.03,31200,0.0,0.0
2025-02-28,10.02,10.03,10.02,10.03,10.03,96300,0.0,0.0
2025-03-03,10.03,10.04,10.03,10.04,10.04,130800,0.0,0.0
2025-03-04,10.04,10.04,10.04,10.04,10.04,44800,0.0,0.0
2025-03-05,10.04,10.04,10.03,10.04,10.04,205500,0.0,0.0
2025-03-06,10.04,10.06,10.04,10.06,10.06,906900,0.0,0.0
2025-03-07,10.04,10.06,10.04,10.06,10.06,74600,0.0,0.0
2025-03-10,10.07,10.08,10.03,10.04,10.04,221300,0.0,0.0
2025-03-11,10.06,10.08,10.04,10.04,10.04,51800,0.0,0.0
2025-03-12,10.07,10.07,10.04,10.04,10.04,62500,0.0,0.0
2025-03-13,10.07,10.18,10.06,10.07,10.07,34500,0.0,0.0
2025-03-14,10.05,10.05,10.05,10.05,10.05,10400,0.0,0.0
2025-03-17,10.05,10.05,10.05,10.05,10.05,0,0.0,0.0
2025-03-18,10.08,10.1,10.05,10.05,10.05,5200,0.0,0.0
2025-03-19,10.12,10.2,10.06,10.06,10.06,16400,0.0,0.0
2025-03-20,10.06,10.08,10.06,10.06,10.06,8600,0.0,0.0
2025-03-21,10.06,10.13,10.06,10.12,10.12,13700,0.0,0.0
