Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2025-12-08,9.87,9.88,9.86,9.86,9.86,30800,0.0,0.0
2025-12-09,9.85,9.85,9.83,9.85,9.85,5300,0.0,0.0
2025-12-10,9.85,9.86,9.85,9.86,9.86,79300,0.0,0.0
2025-12-11,9.85,9.86,9.84,9.85,9.85,368000,0.0,0.0
2025-12-12,9.855,9.86,9.84,9.85,9.85,529500,0.0,0.0
2025-12-15,9.855,9.86,9.85,9.86,9.86,303800,0.0,0.0
2025-12-16,9.85,9.86,9.85,9.86,9.86,194900,0.0,0.0
2025-12-17,9.86,9.86,9.86,9.86,9.86,16000,0.0,0.0
2025-12-18,9.86,9.86,9.86,9.86,9.86,292600,0.0,0.0
2025-12-19,9.86,9.86,9.86,9.86,9.86,600,0.0,0.0
2025-12-22,9.86,9.86,9.86,9.86,9.86,300,0.0,0.0
2025-12-23,9.855,9.86,9.84,9.85,9.85,85000,0.0,0.0
2025-12-24,9.85,9.85,9.85,9.85,9.85,2900,0.0,0.0
2025-12-26,9.857,9.857,9.85,9.85,9.85,900,0.0,0.0
2025-12-29,9.86,9.86,9.85,9.86,9.86,11600,0.0,0.0
2025-12-30,9.857,9.86,9.85,9.86,9.86,26700,0.0,0.0
2025-12-31,9.86,9.86,9.84,9.85,9.85,226600,0.0,0.0
2026-01-02,9.85,9.87,9.85,9.87,9.87,11300,0.0,0.0
2026-01-05,9.86,9.87,9.85,9.85,9.85,320800,0.0,0.0
2026-01-06,9.86,9.86,9.86,9.86,9.86,149400,0.0,0.0
2026-01-07,9.87,9.88,9.87,9.88,9.88,2400,0.0,0.0
2026-01-08,9.87,9.88,9.87,9.87,9.87,16300,0.0,0.0
2026-01-09,9.88,9.88,9.87,9.87,9.87,101400,0.0,0.0
2026-01-12,9.875,9.885,9.875,9.88,9.88,32300,0.0,0.0
2026-01-13,9.9,9.91,9.9,9.91,9.91,18600,0.0,0.0
2026-01-14,9.9,9.91,9.89,9.89,9.89,300100,0.0,0.0
2026-01-15,9.9,9.9,9.89,9.89,9.89,500,0.0,0.0
2026-01-16,9.903,9.903,9.89,9.89,9.89,5600,0.0,0.0
2026-01-20,9.899,9.91,9.899,9.9,9.9,1400,0.0,0.0
2026-01-21,9.91,9.91,9.91,9.91,9.91,200,0.0,0.0
2026-01-22,9.9,9.9,9.9,9.9,9.9,1000,0.0,0.0
2026-01-23,9.91,9.91,9.91,9.91,9.91,900,0.0,0.0
2026-01-26,9.91,9.91,9.91,9.91,9.91,28900,0.0,0.0
2026-01-27,9.935,9.935,9.935,9.935,9.935,500,0.0,0.0
2026-01-28,9.935,9.935,9.935,9.935,9.935,0,0.0,0.0
2026-01-29,9.935,9.935,9.935,9.935,9.935,0,0.0,0.0
2026-01-30,9.935,9.935,9.935,9.935,9.935,0,0.0,0.0
2026-02-02,9.93,9.93,9.93,9.93,9.93,100000,0.0,0.0
2026-02-03,9.93,9.93,9.93,9.93,9.93,0,0.0,0.0
