Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains
2026-08-26,20.41,23.59,20.01,21.42,21.42,64300,0.0,0.0,0.0
2026-08-27,21.48,21.5,21.190001,21.5,21.5,54300,0.0,0.0,0.0
2026-08-28,20.450001,20.58,20.1,20.280001,20.280001,35400,0.0,0.0,0.0
2026-08-31,21.17,21.91,21.110001,21.84,21.84,26100,0.0,0.0,0.0
2026-09-01,21.690001,21.959999,21.629999,21.73,21.73,14900,0.0,0.0,0.0
2026-09-02,21.1,21.290001,21.1,21.17,21.17,12400,0.0,0.0,0.0
2026-09-03,21.040001,21.26,20.969999,21.25,21.25,6200,0.0,0.0,0.0
2026-09-04,20.83,21.26,20.83,21.15,21.15,6000,0.0,0.0,0.0
2026-09-08,18.639999,18.74,18.469999,18.66,18.66,18300,0.0,0.0,0.0
2026-09-09,18.1,18.24,18.09,18.139999,18.139999,13300,0.0,0.0,0.0
2026-09-10,16.5,16.5,16.290001,16.290001,16.290001,13300,0.0,0.0,0.0
2026-09-11,15.38,15.44,15.31,15.36,15.36,18400,0.0,0.0,0.0
2026-09-14,14.74,15.0,14.67,14.9,14.9,15100,0.0,0.0,0.0
2026-09-15,14.19,14.19,13.98,13.98,13.98,9800,0.0,0.0,0.0
2026-09-16,14.78,14.84,14.64,14.68,14.68,40000,0.0,0.0,0.0
2026-09-17,15.35,15.43,15.31,15.41,15.41,28200,0.0,0.0,0.0
2026-09-18,16.190001,16.309999,16.190001,16.309999,16.309999,18200,0.0,0.0,0.0
2026-09-21,16.540001,17.117701,16.540001,,,29047,0.0,0.0,0.0
