Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains
2026-05-12,25.0,25.0,23.24,23.49,23.466879,76800,0.0,0.0,0.0
2026-05-13,22.870001,22.950001,22.540001,22.65,22.627705,117400,0.0,0.0,0.0
2026-05-14,23.799999,26.030001,23.690001,25.940001,25.914467,333700,0.0,0.0,0.0
2026-05-15,25.530001,26.1,24.9,25.860001,25.834547,224300,0.0,0.0,0.0
2026-05-18,26.65,26.959999,25.73,26.860001,26.833563,357000,0.0,0.0,0.0
2026-05-19,27.620001,28.35,27.5,28.280001,28.252165,502200,0.0,0.0,0.0
2026-05-20,29.33,30.700001,29.200001,30.65,30.619831,844900,0.0,0.0,0.0
2026-05-21,34.279999,36.25,33.150002,33.439999,33.407082,1422400,0.0,0.0,0.0
2026-05-22,35.380001,35.860001,31.889999,32.209999,32.178295,1198900,0.0,0.0,0.0
2026-05-26,35.900002,37.52,34.849998,35.25,35.215302,835300,0.0,0.0,0.0
2026-05-27,35.990002,35.990002,34.139999,34.799999,34.765747,666400,0.0,0.0,0.0
2026-05-28,33.0,35.639999,32.779999,35.34,35.305214,531300,0.0,0.0,0.0
2026-05-29,35.919998,39.279999,35.59,38.380001,38.342224,899300,0.0,0.0,0.0
2026-06-01,42.34,42.790001,40.700001,42.73,42.687939,576200,0.0,0.0,0.0
2026-06-02,42.369999,42.84,40.0,40.990002,40.949654,464700,0.0,0.0,0.0
2026-06-03,42.169998,43.119999,41.459999,42.41,42.368256,262700,0.0,0.0,0.0
2026-06-04,37.939999,39.880001,37.860001,38.490002,38.452114,417000,0.0,0.0,0.0
2026-06-05,36.139999,36.57,32.830002,33.919998,33.886612,385300,0.0,0.0,0.0
2026-06-08,37.310001,38.029999,36.720001,36.919998,36.883656,223700,0.0,0.0,0.0
2026-06-09,35.220001,35.509998,33.700001,33.959999,33.926571,186200,0.0,0.0,0.0
2026-06-10,32.59,33.669998,31.0,31.190001,31.1593,266500,0.0,0.0,0.0
2026-06-11,32.52,34.439999,32.439999,33.950001,33.916584,214100,0.0,0.0,0.0
2026-06-12,34.950001,36.150002,34.27,35.220001,35.185333,168800,0.0,0.0,0.0
2026-06-15,39.41,39.73,38.66,38.84,38.801769,281900,0.0,0.0,
2026-06-16,43.639999,44.110001,41.810001,41.939999,41.898716,230300,0.0,0.0,
2026-06-17,41.290001,44.119999,41.189999,41.869999,41.828785,197200,0.0,0.0,0.0
2026-06-18,41.549999,41.549999,38.529999,39.389999,39.351227,92700,0.0,0.0,0.0
2026-06-22,39.939999,40.200001,38.740002,39.029999,38.991581,211600,0.0,0.0,
2026-06-23,36.380001,36.779999,35.66,35.990002,35.954575,53100,0.0,0.0,
2026-06-24,35.200001,35.400002,34.119999,35.09,35.055462,133700,0.0,0.0,
2026-06-25,36.360001,36.73,34.040001,36.700001,36.663876,94200,0.0,0.0,
2026-06-26,35.790001,37.790001,35.57,37.59,37.553001,216500,0.0,0.0,
2026-06-29,36.959999,38.810001,36.689999,38.700001,38.700001,50400,0.037,0.0,
2026-06-30,37.650002,38.150002,37.099998,37.860001,37.860001,58700,0.0,0.0,
2026-07-01,36.509998,37.599998,36.259998,36.400002,36.400002,78900,0.0,0.0,
2026-07-02,37.869999,38.810001,37.599998,38.400002,38.400002,107000,0.0,0.0,
2026-07-06,39.779999,41.509998,39.759998,41.459999,41.459999,194100,0.0,0.0,
2026-07-07,41.41,42.18,40.16,40.630001,40.630001,132900,0.0,0.0,
2026-07-08,39.110001,39.509998,38.580002,38.91,38.91,58100,0.0,0.0,
2026-07-09,38.880001,39.650002,38.689999,38.720001,38.720001,51400,0.0,0.0,
2026-07-10,39.619999,39.919998,38.799999,38.959999,38.959999,63400,0.0,0.0,
2026-07-13,37.080002,37.240002,36.52,36.830002,36.830002,74900,0.0,0.0,
2026-07-14,37.610001,37.959999,37.279999,37.830002,37.830002,78600,0.0,0.0,
2026-07-15,39.869999,39.900002,38.630001,38.689999,38.689999,57500,0.0,0.0,
2026-07-16,38.25,38.32,35.830002,36.060001,36.060001,93300,0.0,0.0,
2026-07-17,34.5,35.189999,34.110001,34.799999,34.799999,81500,0.0,0.0,
2026-07-20,35.310001,36.109901,35.029999,35.939999,35.939999,48321,0.0,0.0,
