Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2021-01-08,0.9435,0.9435,0.9435,0.9435,0.817851,333,0.0,0.0
2021-01-11,0.9435,0.9435,0.9435,0.9435,0.817851,0,0.0,0.0
2021-01-12,0.936,0.936,0.9,0.9,0.780144,1667,0.0,0.0
2021-01-13,0.9,0.9,0.9,0.9,0.780144,0,0.0,0.0
2021-01-14,0.9375,0.9375,0.9375,0.9375,0.81265,2000,0.0,0.0
2021-01-15,0.951,1.485,0.9,0.9,0.780144,2733,0.0,0.0
2021-01-19,0.9255,0.9255,0.843,0.843,0.730735,200,0.0,0.0
2021-01-20,0.843,0.843,0.843,0.843,0.730735,0,0.0,0.0
2021-01-21,0.846,0.846,0.846,0.846,0.733336,400,0.0,0.0
2021-01-22,0.8805,0.8805,0.8715,0.8715,0.75544,667,0.0,0.0
2021-01-25,0.819,0.825,0.819,0.825,0.715132,1400,0.0,0.0
2021-01-26,0.8085,0.8085,0.8085,0.8085,0.70083,67,0.0,0.0
2021-01-27,0.693,0.693,0.693,0.693,0.600711,400,0.0,0.0
2021-01-28,0.693,0.693,0.693,0.693,0.600711,67,0.0,0.0
2021-01-29,0.693,0.693,0.693,0.693,0.600711,0,0.0,0.0
2021-02-01,0.765,0.765,0.765,0.765,0.663122,3333,0.0,0.0
2021-02-02,0.7485,0.7485,0.7485,0.7485,0.64882,733,0.0,0.0
2021-02-03,0.7485,0.7485,0.7485,0.7485,0.64882,0,0.0,0.0
2021-02-04,0.69,0.69,0.69,0.69,0.59811,1333,0.0,0.0
2021-02-05,0.7515,0.7515,0.7515,0.7515,0.65142,1400,0.0,0.0
2021-02-08,0.819,0.819,0.7065,0.7065,0.612413,400,0.0,0.0
2021-02-09,0.7065,0.7065,0.7065,0.7065,0.612413,0,0.0,0.0
2021-02-10,0.7065,0.7065,0.7065,0.7065,0.612413,0,0.0,0.0
2021-02-11,0.7065,0.7065,0.7065,0.7065,0.612413,0,0.0,0.0
2021-02-12,0.7065,0.7065,0.7065,0.7065,0.612413,0,0.0,0.0
2021-02-16,0.7065,0.7065,0.7065,0.7065,0.612413,0,0.0,0.0
2021-02-17,0.7065,0.7065,0.7065,0.7065,0.612413,0,0.0,0.0
2021-02-18,0.921,0.921,0.921,0.921,0.798348,200,0.0,0.0
2021-02-19,0.921,0.921,0.921,0.921,0.798348,0,0.0,0.0
2021-02-22,0.9585,0.9585,0.9585,0.9585,0.830854,333,0.0,0.0
2021-02-23,0.9585,0.9585,0.9585,0.9585,0.830854,0,0.0,0.0
2021-02-24,0.9585,0.9585,0.9585,0.9585,0.830854,0,0.0,0.0
2021-02-25,0.9585,0.9585,0.9585,0.9585,0.830854,0,0.0,0.0
2021-02-26,0.9585,0.9585,0.9585,0.9585,0.830854,0,0.0,0.0
2021-03-01,0.8475,0.8475,0.8475,0.8475,0.734636,200,0.0,0.0
2021-03-02,0.8505,0.8505,0.8505,0.8505,0.737236,2067,0.0,0.0
2021-03-03,0.8505,0.8505,0.8505,0.8505,0.737236,0,0.0,0.0
2021-03-04,0.855,0.855,0.813,0.813,0.70473,1667,0.0,0.0
2021-03-05,0.825,0.825,0.825,0.825,0.715132,667,0.0,0.0
2021-03-08,0.852,0.852,0.852,0.852,0.738537,667,0.0,0.0
2021-03-09,0.8265,0.8265,0.8265,0.8265,0.716432,67,0.0,0.0
2021-03-10,0.8265,0.8265,0.8265,0.8265,0.716432,0,0.0,0.0
2021-03-11,0.84,0.84,0.84,0.84,0.728135,667,0.0,0.0
2021-03-12,0.84,0.84,0.84,0.84,0.728135,0,0.0,0.0
2021-03-15,0.84,0.84,0.84,0.84,0.728135,0,0.0,0.0
2021-03-16,0.837,0.855,0.8265,0.8265,0.716432,10667,0.0,0.0
2021-03-17,0.8475,0.8475,0.8475,0.8475,0.734636,67,0.0,0.0
2021-03-18,0.8475,0.8475,0.8475,0.8475,0.734636,0,0.0,0.0
2021-03-19,0.8475,0.8475,0.8475,0.8475,0.734636,0,0.0,0.0
2021-03-22,0.8475,0.8475,0.8475,0.8475,0.734636,0,0.0,0.0
2021-03-23,0.75,0.831,0.75,0.831,0.720333,2333,0.0,0.0
2021-03-24,0.7965,0.7965,0.75,0.7695,0.667023,1600,0.0,0.0
2021-03-25,0.7695,0.7695,0.7695,0.7695,0.667023,0,0.0,0.0
2021-03-26,0.7755,0.7755,0.771,0.771,0.668324,800,0.0,0.0
2021-03-29,0.771,0.771,0.771,0.771,0.668324,0,0.0,0.0
2021-03-30,0.771,0.771,0.771,0.771,0.668324,0,0.0,0.0
2021-03-31,0.771,0.771,0.771,0.771,0.668324,0,0.0,0.0
2021-04-01,0.771,0.771,0.771,0.771,0.668324,0,0.0,0.0
2021-04-05,0.7425,0.7425,0.7425,0.7425,0.643619,333,0.0,0.0
2021-04-06,0.726,0.7455,0.726,0.7455,0.646219,2733,0.0,0.0
2021-04-07,0.7455,0.7455,0.7455,0.7455,0.646219,0,0.0,0.0
2021-04-08,0.7155,0.7155,0.7155,0.7155,0.620215,667,0.0,0.0
